Date,Open,High,Low,Close,Volume
2014-06-02,30.3462,30.4786,30.3143,30.388,19032143.056567
2014-06-03,30.3462,30.7145,30.3462,30.6588,30479506.58248
2014-06-04,30.2974,30.4198,30.2894,30.4029,19130134.346187
2014-06-05,30.5771,30.7056,30.4865,30.6508,19704407.03539
2014-06-06,30.5194,30.5771,30.4457,30.4865,25688345.110017
2014-06-09,30.6,30.7972,30.5931,30.7902,19760938.269733
2014-06-10,30.9684,30.9684,30.8479,30.9266,14988240.874894
2014-06-11,30.7812,30.8629,30.6966,30.7972,15979257.52881
2014-06-12,30.8957,30.9266,30.616,30.7145,14997181.132465
2014-06-13,30.9684,31.2233,30.9515,31.1825,20653214.34382
2014-06-16,31.1825,31.1825,31.0152,31.1247,17868145.827528
2014-06-17,30.9435,31.1417,30.9356,31.0998,16542556.029246
2014-06-18,31.0998,31.3686,30.9117,31.3368,21609220.26207
2014-06-19,31.0033,31.0998,30.9515,31.053,17491193.592306
2014-06-20,31.059,31.0749,30.9515,30.9684,24024942.943611
2014-06-23,30.616,30.6588,30.5104,30.5861,20270624.352645
2014-06-24,30.6847,30.7922,30.4348,30.4845,15475570.78962
2014-06-25,30.4178,30.6,30.4178,30.5423,12264008.496208
2014-06-26,30.8758,30.9176,30.7763,30.843,11800345.505327
2014-06-27,30.8579,30.9176,30.6986,30.9077,7242896.2869055
2014-06-30,30.8679,30.9176,30.7484,30.7663,9327681.789973
2014-07-01,30.9664,31.1337,30.9664,31.0013,11996548.050459
2014-07-02,31.6225,31.6225,31.507,31.5817,14010123.864612
2014-07-03,31.748,31.9371,31.6892,31.9222,14437443.267137
2014-07-07,31.7719,31.8704,31.7052,31.8565,9755431.0801777
2014-07-08,31.748,31.7898,31.521,31.6892,15072636.464426
2014-07-09,31.3318,31.5907,31.3159,31.5379,12734879.136603
2014-07-10,31.0013,31.3657,30.8818,31.3477,16492981.341801
2014-07-11,31.3716,31.513,31.282,31.4821,10676025.502986
2014-07-14,31.8127,31.9142,31.7818,31.8973,25021353.281738
2014-07-15,31.8704,31.973,31.6892,31.8973,18072109.452342
2014-07-16,31.9451,32.0387,31.8973,31.9949,11805885.833466
2014-07-17,31.748,31.8127,31.4911,31.5379,22610101.231187
2014-07-18,31.7639,31.9043,31.7221,31.7639,12741514.272152
2014-07-21,31.4821,31.7719,31.4314,31.738,16973577.688754
2014-07-22,32.4439,32.5036,32.3792,32.4519,22331081.025368
2014-07-23,32.9108,32.9337,32.8003,32.885,23626326.579017
2014-07-24,33.2513,33.4584,33.2185,33.324,32665336.782988
2014-07-25,33.3569,33.4505,33.2653,33.3828,21758888.470243
2014-07-28,33.7571,34.1225,33.7233,34.0976,31826211.09761
2014-07-29,34.248,34.3057,34.015,34.015,21274412.085655
2014-07-30,34.1155,34.2061,33.6655,33.8159,21699874.333225
2014-07-31,33.8995,33.9811,33.5251,33.6157,63824607.277252
2014-08-01,33.6396,33.9413,33.567,33.8238,26254363.553999
2014-08-04,34.0817,34.1643,33.8935,34.1155,19841301.151237
2014-08-05,33.773,33.8935,33.5421,33.6157,22227368.613726
2014-08-06,33.4345,33.548,33.341,33.3997,23429296.399659
2014-08-07,33.3181,33.3748,32.9915,33.11,26548580.490191
2014-08-08,33.4156,33.6994,33.3031,33.6307,24461855.470511
2014-08-11,33.8995,34.1574,33.8995,34.0896,21134512.773689
2014-08-12,33.9323,34.0488,33.8318,34.0319,15334243.20597
2014-08-13,34.3814,34.5387,34.3127,34.4491,18482730.530844
2014-08-14,34.0896,34.1384,34.0239,34.0747,14703464.392686
2014-08-15,34.2977,34.3057,33.9413,34.1155,19855155.989226
2014-08-18,34.3206,34.4132,34.23,34.3883,20156349.560526
2014-08-19,34.3634,34.4212,34.3206,34.4132,12418527.002528
2014-08-20,34.1972,34.3555,34.1574,34.23,13400461.776997
2014-08-21,34.015,34.0319,33.7651,33.782,17595224.402067
2014-08-22,34.0747,34.1155,33.8935,33.9622,18146056.15978
2014-08-25,34.2549,34.2639,34.1315,34.2639,12046273.399474
2014-08-26,34.1882,34.3634,34.1812,34.3127,9222974.0075571
2014-08-27,34.0896,34.0976,34.005,34.0747,9104256.7079404
2014-08-28,33.6247,33.6745,33.5162,33.6576,18766845.106555
2014-08-29,33.8159,33.9234,33.5988,33.6157,18952062.414404
2014-09-02,33.8636,33.9413,33.791,33.8159,17492934.235647
2014-09-03,35.0106,35.0962,34.8135,34.9369,25646844.878321
2014-09-04,35.2356,35.3531,34.9608,35.0454,16702005.186551
2014-09-05,35.0962,35.3362,35.0046,35.3192,16290556.473823
2014-09-08,35.2107,35.2933,35.0176,35.1261,10599574.800252
2014-09-09,35.0524,35.1121,34.7706,34.8782,18559813.007762
2014-09-10,34.0817,34.3465,34.0239,34.2639,27528171.975039
2014-09-11,33.9811,34.1972,33.9622,34.1484,21157219.481128
2014-09-12,34.015,34.0976,33.8238,34.015,29925458.70245
2014-09-15,33.7651,33.782,33.4744,33.5341,18263610.352076
2014-09-16,33.1428,34.1574,33.1349,33.7482,49218429.078038
2014-09-17,33.7651,33.7989,33.3997,33.5062,26733742.555465
2014-09-18,33.4993,33.5421,33.3907,33.4584,21021168.065663
2014-09-19,33.4345,33.4584,32.9845,33.1199,33068039.089365
2014-09-22,32.87,32.87,32.412,32.4947,34599338.177854
2014-09-23,32.5335,32.7346,32.421,32.4608,34295482.918815
2014-09-24,32.9178,33.2275,32.7784,33.093,33749103.712704
2014-09-25,32.6112,32.6281,32.2786,32.3951,28299311.124694
2014-09-26,32.4519,32.7257,32.4519,32.5534,20093921.432329
2014-09-29,31.8306,31.8973,31.7141,31.7898,30200452.226705
2014-09-30,31.6126,31.8625,31.5727,31.7968,31455640.886499
2014-10-01,31.5817,31.5976,31.0988,31.1148,32562823.637444
2014-10-02,31.0739,31.2492,30.5005,31.1237,47968072.637003
2014-10-03,31.7818,31.7968,31.5379,31.6325,37102617.328668
2014-10-06,32.2119,32.3284,32.0706,32.0875,26499403.549292
2014-10-07,32.0964,32.1273,31.7968,31.8127,31056624.766538
2014-10-08,31.9551,32.5036,31.7818,32.412,36174203.57037
2014-10-09,32.2119,32.2388,31.7719,31.8794,35133002.551856
2014-10-10,31.5648,31.6395,31.2651,31.3258,33575023.308119
2014-10-13,31.8465,32.0576,31.5817,31.6056,29077941.167615
2014-10-14,31.6325,31.8386,31.3995,31.6574,26673781.259376
2014-10-15,31.3059,31.5727,30.7763,31.521,36904363.777361
2014-10-16,30.9077,31.6633,30.8918,31.3995,36262932.186659
2014-10-17,31.8565,32.0706,31.6803,31.7639,31386127.646864
2014-10-20,31.6056,31.8386,31.5459,31.7818,17651047.52703
2014-10-21,31.8465,32.1203,31.7818,31.9043,20824144.917179
2014-10-22,32.0118,32.0646,31.738,31.7818,20079928.990106
2014-10-23,32.0208,32.195,31.9371,31.9809,16611426.446181
2014-10-24,31.9949,32.2119,31.964,32.0964,13576330.032214
2014-10-27,31.6126,31.7719,31.513,31.6484,17261214.731973
2014-10-28,32.3951,32.6958,32.3882,32.6201,26201913.239386
2014-10-29,32.9616,33.0672,32.6032,32.7346,22341707.688114
2014-10-30,32.5932,32.9178,32.5534,32.7695,16630293.292403
2014-10-31,33.2185,33.3181,33.0423,33.1677,31221660.454863
2014-11-03,32.87,32.9337,32.653,32.8511,23681360.237352
2014-11-04,33.0273,33.0761,32.8282,33.0343,18652342.31326
2014-11-05,32.8282,32.885,32.6361,32.7784,15605585.698176
2014-11-06,32.7516,32.8003,32.5694,32.6858,12253525.464159
2014-11-07,32.4349,32.653,32.421,32.6281,14801382.360341
2014-11-10,32.87,32.9178,32.6281,32.646,18287035.212999
2014-11-11,32.7107,32.8342,32.653,32.8003,10123983.430659
2014-11-12,32.878,33.0273,32.7346,32.7695,17092739.942207
2014-11-13,33.0582,33.0582,32.8342,32.9616,15629402.279181
2014-11-14,33.3907,33.6157,33.3031,33.5988,30797009.770951
2014-11-17,32.6281,32.6699,32.5136,32.6032,20682512.997157
2014-11-18,32.204,32.2876,32.1562,32.2478,15886455.023665
2014-11-19,31.9949,32.1621,31.9222,32.0964,18356751.343548
2014-11-20,31.8704,32.0208,31.8306,31.973,15309178.142753
2014-11-21,33.2185,33.3907,33.0672,33.1488,51710199.693716
2014-11-24,33.3499,33.3658,33.1996,33.2424,21024982.816619
2014-11-25,33.2424,33.3031,32.9616,32.9696,14547428.222149
2014-11-26,33.7651,34.0399,33.7571,33.9971,27746784.926522
2014-11-28,33.8935,33.8935,33.5908,33.7233,17754905.57819
2014-12-01,32.8342,32.885,32.6779,32.8431,25752379.290552
2014-12-02,33.5162,33.7482,33.4674,33.6486,22238383.983323
2014-12-03,33.2653,33.548,33.2424,33.4744,17680862.447347
2014-12-04,34.4212,34.5954,34.2898,34.4799,28731157.405196
2014-12-05,34.686,34.8871,34.5148,34.8712,22208969.822782
2014-12-08,34.9608,35.152,34.6123,34.6203,24109916.069162
2014-12-09,33.4156,33.5162,33.1896,33.4674,40647542.451833
2014-12-10,33.6088,33.6157,33.102,33.1428,25875768.103253
2014-12-11,33.2752,33.5988,33.2095,33.2752,22300284.796024
2014-12-12,33.1249,33.1896,32.7695,32.8601,21151116.683127
2014-12-15,33.0512,33.093,32.4041,32.7695,27657856.432551
2014-12-16,32.3951,33.2275,32.2537,32.6958,36219670.219003
2014-12-17,32.9337,33.8836,32.9337,33.5062,35832309.278107
2014-12-18,33.6914,33.8238,33.3828,33.6655,24647921.505205
2014-12-19,33.6347,34.0319,33.6038,33.8626,19690969.027746
2014-12-22,34.47,34.7328,34.4192,34.696,19361433.001874
2014-12-23,34.4112,34.4112,34.0996,34.2012,21653399.256483
2014-12-24,33.9413,34.015,33.8228,33.9234,6411471.4165812
2014-12-26,35.0504,35.2615,34.9648,35.0594,17205762.234473
2014-12-29,35.0763,35.15,34.9578,34.9837,14025269.370052
2014-12-30,34.5207,34.6303,34.4192,34.4461,15308340.464424
2014-12-31,35.1759,35.2007,34.9479,35.0086,14086005.066611
2015-01-02,35.4287,35.4546,35.0136,35.0594,18878109.680503
2015-01-05,35.3023,35.3202,34.8383,34.9319,23721868.111506
2015-01-06,34.909,35.0026,34.3346,34.5038,28117407.366977
2015-01-07,35.3023,35.4636,35.1092,35.4118,25833030.437861
2015-01-08,35.6309,35.8389,35.596,35.6995,16960723.24359
2015-01-09,35.824,35.8569,35.4636,35.5631,21359276.734875
2015-01-12,35.603,35.6388,35.2007,35.2426,13955878.668494
2015-01-13,35.8837,36.043,35.3123,35.7473,25721584.065618
2015-01-14,35.3859,35.5801,35.15,35.369,20727564.824266
2015-01-15,36.0689,36.1874,35.6906,35.7244,17980294.282687
2015-01-16,35.141,35.5383,35.1022,35.5124,27313416.964162
2015-01-20,35.1589,35.1759,34.9937,35.1251,22117183.78103
2015-01-21,35.7901,36.3039,35.7553,36.2451,23411826.688398
2015-01-22,36.4214,36.9082,36.2531,36.8943,24414096.757192
2015-01-23,36.7818,36.9162,36.741,36.7987,13429562.561472
2015-01-26,36.6723,36.8843,36.6065,36.7818,11570436.953727
2015-01-27,35.8569,36.1774,35.8071,36.0749,19453004.099786
