Date,Open,High,Low,Close,Volume
2013-01-02,73.096,74.312,73.024,73.562,796364
2013-01-03,73.312,73.954,70.804,71.234,802184
2013-01-04,70.196,72.234,69.837,72.02,1255376
2013-01-07,71.555,71.77,71.018,71.485,925475
2013-01-08,71.485,72.128,71.018,71.699,660664
2013-01-09,71.806,71.951,71.055,71.234,622338
2013-01-10,72.415,73.419,72.128,73.276,1016610
2013-01-11,73.061,73.168,71.806,72.342,723191
2013-01-14,73.312,73.741,72.38,72.559,594904
2013-01-15,73.096,73.741,72.451,73.276,458960
2013-01-16,72.917,73.633,72.737,73.382,336906
2013-01-17,73.061,74.17,72.559,73.812,728700
2013-01-18,73.776,73.776,72.737,73.382,1181385
2013-01-22,73.168,73.741,72.415,73.347,922093
2013-01-23,73.312,74.028,71.519,71.842,1061857
2013-01-24,71.234,71.234,68.618,69.226,1847923
2013-01-25,68.581,68.941,66.972,67.043,1492489
2013-01-28,67.043,67.51,66.291,66.363,664578
2013-01-29,66.901,67.974,66.829,67.902,882656
2013-01-30,68.727,69.334,68.224,68.475,928264
2013-01-31,67.902,68.26,67.33,67.689,612322
2013-02-01,68.655,69.12,67.939,68.581,540968
2013-02-04,67.83,68.655,67.366,67.51,788393
2013-02-05,67.51,68.224,66.507,66.865,1077103
2013-02-06,66.793,67.08,66.111,66.47,801116
2013-02-07,66.076,67.295,65.897,66.436,609189
2013-02-08,66.255,66.829,66.148,66.291,511035
2013-02-11,65.502,65.502,64.501,64.607,1015960
2013-02-12,64.464,65.002,63.928,64.393,1044443
2013-02-13,64.858,64.894,63.535,63.784,750355
2013-02-14,63.784,64.144,63.176,63.39,757872
2013-02-15,62.495,62.746,61.135,61.671,1616031
2013-02-19,60.92,61.242,59.163,59.558,1998616
2013-02-20,58.626,58.626,56.371,56.658,2717757
2013-02-21,56.8,57.696,56.156,57.123,2012530
2013-02-22,57.301,58.09,56.943,58.053,935761
2013-02-25,58.663,59.773,58.663,59.451,1109666
2013-02-26,59.451,60.203,58.304,59.593,1180451
2013-02-27,59.235,59.773,58.304,58.448,642683
2013-02-28,58.161,58.304,56.549,56.693,900026
2013-03-01,56.693,57.086,55.69,55.904,1076313
2013-03-04,55.546,55.976,53.541,53.936,1535294
2013-03-05,54.938,55.439,54.436,54.473,943189
2013-03-06,54.615,57.266,53.827,57.086,2721174
2013-03-07,57.301,57.839,56.622,57.159,1798379
2013-03-08,56.443,58.841,56.228,57.661,1587915
2013-03-11,57.839,58.484,57.696,58.342,1172458
2013-03-12,58.949,60.489,58.913,60.489,1307625
2013-03-13,60.633,60.777,58.342,58.805,1114714
2013-03-14,58.377,59.809,58.233,59.379,970710
2013-03-15,59.379,60.777,59.379,60.346,1528210
2013-03-18,61.349,61.6,60.346,60.703,1068773
2013-03-19,60.885,61.206,60.203,60.419,610079
2013-03-20,60.131,60.56,59.881,60.275,568114
2013-03-21,60.633,61.528,60.346,61.313,912845
2013-03-22,61.062,61.636,60.633,60.885,630631
2013-03-25,60.096,60.777,55.583,60.024,1050136
2013-03-26,59.629,59.918,59.235,59.844,470016
2013-03-27,59.379,60.597,59.343,60.525,687002
2013-03-28,60.024,60.275,59.307,59.951,575021
2013-04-01,59.558,59.951,57.946,58.699,691767
2013-04-02,57.696,58.053,56.049,56.12,1111453
2013-04-03,55.69,56.191,51.714,52.538,2544359
2013-04-04,52.216,53.9,50.999,53.9,1472090
2013-04-05,54.904,56.049,54.329,55.154,1116511
2013-04-08,54.938,55.475,54.293,54.436,481490
2013-04-09,54.436,56.872,54.436,56.334,874727
2013-04-10,55.583,56.12,54.151,54.257,970991
2013-04-11,53.9,54.724,53.541,53.827,915896
2013-04-12,52.323,52.612,49.243,50.103,2795604
2013-04-15,46.7,46.808,43.263,43.835,3741851
2013-04-16,45.769,46.165,43.121,43.441,2162997
2013-04-17,43.586,43.835,40.542,41.114,2418488
2013-04-18,41.185,42.224,40.397,42.116,2162360
2013-04-19,42.977,43.121,41.937,43.013,1074450
2013-04-22,43.729,44.015,42.511,43.441,1077048
2013-04-23,42.404,42.798,41.651,42.224,1058154
2013-04-24,42.762,45.447,42.725,45.233,1679846
2013-04-25,46.308,47.166,45.267,46.021,2169415
2013-04-26,46.415,46.594,44.373,44.768,1389073
2013-04-29,45.554,45.662,44.947,45.267,798597
2013-04-30,44.947,45.914,43.98,45.914,1039981
2013-05-01,44.408,44.801,42.725,44.408,1868670
2013-05-02,44.444,44.875,43.623,44.373,667048
2013-05-03,44.229,45.34,43.623,43.691,1189501
2013-05-06,43.799,44.087,43.515,43.872,551848
2013-05-07,42.905,43.156,41.83,41.901,1087226
2013-05-08,42.725,44.229,42.511,44.157,1154291
2013-05-09,43.084,45.411,42.977,43.408,1176002
2013-05-10,42.189,43.907,41.614,43.656,1086555
2013-05-13,42.762,43.084,42.189,42.655,634800
2013-05-14,41.937,43.013,41.937,42.44,513817
2013-05-15,41.543,41.687,39.002,39.145,1563664
2013-05-16,38.571,39.968,38.249,39.431,1034608
2013-05-17,38.786,39.36,37.318,37.462,1500097
2013-05-20,37.569,41.006,37.247,40.364,1802114
2013-05-21,39.217,39.61,38.14,38.821,1433809
2013-05-22,39.824,41.363,39.037,39.467,1921113
2013-05-23,40.542,40.648,39.145,40.397,1015229
2013-05-24,40.148,40.542,39.324,39.897,862088
2013-05-28,39.61,40.72,39.037,39.395,848356
2013-05-29,39.789,41.579,39.646,41.508,1073231
2013-05-30,42.547,44.373,42.367,44.229,1998258
2013-05-31,43.729,43.835,42.082,43.049,1760836
2013-06-03,43.656,45.447,43.441,44.982,1472649
2013-06-04,44.229,44.947,43.691,43.98,711858
2013-06-05,44.157,44.801,43.408,43.765,841335
2013-06-06,43.835,45.089,43.408,44.768,870900
2013-06-07,43.691,44.015,41.901,42.189,1053821
2013-06-10,42.476,42.833,41.579,42.404,595869
2013-06-11,41.399,42.01,40.72,40.827,738040
2013-06-12,41.185,41.937,40.47,40.577,1067221
2013-06-13,40.47,41.042,39.933,40.791,516379
2013-06-14,41.293,41.293,40.255,40.397,407518
2013-06-17,40.327,40.683,39.395,39.755,562125
2013-06-18,39.287,39.503,38.14,38.284,1086814
2013-06-19,38.391,38.965,36.78,36.996,817604
2013-06-20,34.702,34.918,33.163,33.378,1921160
2013-06-21,34.131,34.489,33.236,34.023,1193650
2013-06-24,33.344,33.486,31.159,31.516,1958625
2013-06-25,31.444,32.195,31.229,31.658,1060436
2013-06-26,30.514,30.693,29.403,29.583,1645025
2013-06-27,30.119,30.764,29.868,30.263,2281434
2013-06-28,30.048,33.344,29.977,32.806,2653454
2013-07-01,33.092,33.934,32.698,33.387,1694623
2013-07-02,33.065,33.889,31.641,32.089,1980277
2013-07-03,32.268,32.921,32.053,32.401,1295330
2013-07-05,31.329,31.337,30.388,30.674,1377269
