Date,Open,High,Low,Close,Volume
2012-01-03,154.76,156.3,154.55,155.92,13379272
2012-01-04,155.46,157.38,155.34,156.71,11525767
2012-01-05,155.35,158.03,155.25,157.78,11613634
2012-01-06,158.62,158.63,156.38,157.2,9791021
2012-01-09,157.42,157.59,156.19,156.5,8771877
2012-01-10,158.94,159.47,158.47,158.64,8315402
2012-01-11,159.32,160.05,158.91,159.67,7970110
2012-01-12,161.0,161.62,159.83,160.38,8603249
2012-01-13,159.32,159.59,158.01,159.26,8910456
2012-01-17,161.18,161.65,160.42,160.5,8307291
2012-01-18,160.02,161.64,159.68,161.6,9305987
2012-01-19,160.96,161.45,160.33,161.22,8114546
2012-01-20,160.5,162.09,160.0,162.07,11617331
2012-01-23,162.37,163.47,162.32,163.16,8833470
2012-01-24,161.8,162.37,161.53,162.01,7502181
2012-01-25,161.07,166.55,160.29,166.42,28940681
2012-01-26,168.07,168.31,167.05,167.27,19129953
2012-01-27,167.47,169.0,167.41,168.97,13030234
2012-01-30,168.19,168.54,167.74,168.03,8422615
2012-01-31,169.75,169.86,167.72,169.31,11166965
2012-02-01,169.75,170.18,169.08,169.56,7721005
2012-02-02,169.96,171.23,169.68,171.05,11511977
2012-02-03,169.89,170.14,167.51,167.64,23361980
2012-02-06,166.96,167.68,166.61,167.18,8780843
2012-02-07,167.4,170.09,167.15,169.7,11617894
2012-02-08,169.26,169.96,167.5,168.5,10640170
2012-02-09,170.04,170.37,167.67,168.02,16077816
2012-02-10,166.47,167.64,166.33,167.14,10327033
2012-02-13,167.33,167.94,166.74,167.51,7090311
2012-02-14,167.61,167.93,166.42,167.12,7867553
2012-02-15,168.65,168.75,167.19,168.11,11639441
2012-02-16,166.33,168.14,166.17,168.0,10716610
2012-02-17,168.31,168.33,166.87,167.35,7286947
2012-02-21,169.65,171.07,169.59,171.02,13598584
2012-02-22,170.43,173.17,170.19,172.94,16661541
2012-02-23,172.69,173.77,172.28,173.02,11648995
2012-02-24,172.63,173.04,172.0,172.23,9294182
2012-02-27,172.14,172.92,171.58,171.7,7344495
2012-02-28,172.86,174.0,172.6,173.49,12417380
2012-02-29,173.19,173.59,164.0,164.29,44098684
2012-03-01,166.12,167.72,165.75,166.61,19203230
2012-03-02,166.23,166.83,165.63,166.34,9300284
2012-03-05,165.77,165.91,164.55,165.65,12071616
2012-03-06,162.16,162.81,161.78,162.7,15533772
