Date,Open,High,Low,Close,Volume
2013-01-02,32.84,32.98,32.76,32.8,2505307
2013-01-03,32.66,32.74,32.3,32.38,3026640
2013-01-04,32.06,32.28,31.92,32.22,6117772
2013-01-07,32.02,32.14,31.96,32.04,2389826
2013-01-08,32.22,32.34,32.14,32.24,3446274
2013-01-09,32.3,32.32,32.12,32.26,2504853
2013-01-10,32.46,32.66,32.46,32.54,2518927
2013-01-11,32.5,32.54,32.16,32.34,2628743
2013-01-14,32.52,32.54,32.36,32.44,2078457
2013-01-15,32.7,32.78,32.6,32.64,3459602
2013-01-16,32.64,32.76,32.56,32.68,3092374
2013-01-17,32.54,33.02,32.5,32.82,3559978
2013-01-18,32.96,32.96,32.74,32.78,2016135
2013-01-22,32.86,33,32.82,32.9,2067628
2013-01-23,32.94,32.94,32.74,32.78,2882548
2013-01-24,32.56,32.6,32.38,32.44,2948355
2013-01-25,32.26,32.36,32.2,32.28,3290354
2013-01-28,32.18,32.28,32.14,32.18,3936878
2013-01-29,32.34,32.4,32.28,32.34,4243637
2013-01-30,32.68,32.74,32.56,32.58,5121144
2013-01-31,32.48,32.52,32.24,32.4,3575187
2013-02-01,32.68,32.7,32.34,32.44,4108278
2013-02-04,32.4,32.64,32.38,32.54,2455262
2013-02-05,32.7,32.72,32.42,32.56,2840253
2013-02-06,32.58,32.68,32.54,32.64,2324677
2013-02-07,32.4,32.74,32.38,32.52,4715315
2013-02-08,32.42,32.56,32.38,32.44,2389908
2013-02-11,32.1,32.14,31.98,32.1,4161259
2013-02-12,32.02,32.16,31.92,32.12,3312479
2013-02-13,32.08,32.08,31.9,31.96,3279727
2013-02-14,32.02,32.08,31.74,31.8,4891277
2013-02-15,31.44,31.46,31.06,31.3,8695112
2013-02-19,31.3,31.32,31.12,31.2,6422605
2013-02-20,30.92,30.94,30.3,30.42,14230353
2013-02-21,30.52,30.82,30.52,30.66,7974863
2013-02-22,30.6,30.74,30.52,30.72,2731716
2013-02-25,30.84,31.06,30.8,31,3116911
2013-02-26,31.02,31.5,30.8,31.4,4103888
2013-02-27,31.24,31.28,30.96,31.06,3007965
2013-02-28,30.94,30.98,30.62,30.74,5062204
2013-03-01,30.76,30.88,30.56,30.64,2836162
2013-03-04,30.64,30.7,30.52,30.62,2766561
2013-03-05,30.78,30.82,30.56,30.64,3806314
2013-03-06,30.58,30.82,30.46,30.8,4121976
2013-03-07,30.74,30.8,30.62,30.68,3240558
2013-03-08,30.46,30.78,30.42,30.68,4028877
2013-03-11,30.72,30.76,30.66,30.74,7396521
2013-03-12,30.96,31.08,30.92,30.96,3144223
2013-03-13,31,31.08,30.82,30.88,3848150
2013-03-14,30.76,30.98,30.74,30.9,8416101
2013-03-15,30.96,31.08,30.94,30.96,2471508
2013-03-18,31.28,31.34,31.14,31.2,15516955
2013-03-19,31.18,31.42,31.16,31.36,6601324
2013-03-20,31.26,31.32,31.12,31.24,2138736
2013-03-21,31.38,31.44,31.32,31.38,1669454
2013-03-22,31.22,31.34,31.22,31.24,1967280
2013-03-25,31.08,31.28,31.02,31.2,1976712
2013-03-26,31.04,31.14,31,31.1,2602464
2013-03-27,31.06,31.26,31.04,31.2,3082129
2013-03-28,31.06,31.12,30.98,31.04,4105215
2013-04-01,31.06,31.14,31.02,31.1,2476723
2013-04-02,30.76,30.82,30.6,30.64,4306846
2013-04-03,30.54,30.66,30.14,30.3,4687890
2013-04-04,30.08,30.26,30.02,30.2,4787470
2013-04-05,30.46,30.74,30.36,30.7,2995656
2013-04-08,30.62,30.66,30.48,30.56,2404155
2013-04-09,30.62,30.92,30.6,30.8,3237518
2013-04-10,30.68,30.7,30.26,30.28,2788553
2013-04-11,30.28,30.48,30.26,30.36,2508223
2013-04-12,29.86,29.92,28.82,28.94,15450300
2013-04-15,27.34,27.48,26.2,26.38,34991231
2013-04-16,27.12,27.14,26.46,26.7,10242325
2013-04-17,26.88,27.12,26.58,26.68,6923123
2013-04-18,26.94,27.18,26.84,26.98,3761683
2013-04-19,27.32,27.34,27.04,27.22,3921933
2013-04-22,27.76,27.78,27.58,27.7,2815225
2013-04-23,27.58,27.58,27.32,27.52,2449802
2013-04-24,27.74,27.84,27.62,27.82,2769449
2013-04-25,28.16,28.56,28.1,28.46,2680369
2013-04-26,28.6,28.84,28.14,28.32,4040564
2013-04-29,28.56,28.68,28.44,28.58,2311550
2013-04-30,28.6,28.7,28.46,28.7,2674975
2013-05-01,28.26,28.46,28,28.36,3274365
2013-05-02,28.52,28.64,28.48,28.52,2565599
2013-05-03,28.46,28.68,28.42,28.56,3600655
2013-05-06,28.6,28.64,28.48,28.56,2090933
2013-05-07,28.22,28.26,28,28.2,2795196
