Date,Open,High,Low,Close,Volume
2014-06-02,85.6147,85.6147,85.4335,85.4711,2708348.1420003
2014-06-03,85.4513,85.5305,85.4147,85.4335,1440500.1360927
2014-06-04,85.4711,85.5098,85.3939,85.4949,2056544.0927547
2014-06-05,85.5098,85.688,85.4711,85.688,2555075.0234449
2014-06-06,85.7316,85.898,85.7316,85.8752,3004294.0839836
2014-06-09,85.9168,86.0178,85.799,85.9545,807700.48336034
2014-06-10,85.9733,86.0178,85.8752,86.0178,1618495.8328443
2014-06-11,85.999,85.999,85.9168,85.9357,1157043.7207271
2014-06-12,85.9357,85.9733,85.9357,85.9357,679129.74811611
2014-06-13,85.9545,86.0723,85.9357,86.0723,863702.91890668
2014-06-16,85.999,86.3297,85.999,86.0584,1140725.2439167
2014-06-17,86.0723,86.0723,85.999,86.0584,1035449.3085003
2014-06-18,85.999,86.3704,85.999,86.3486,2240782.0284546
2014-06-19,86.3297,86.3297,86.201,86.3041,1071051.8809811
2014-06-20,86.3486,86.4377,86.3041,86.4169,964450.15136559
2014-06-23,86.4169,86.4992,86.3704,86.4585,813746.83192424
2014-06-24,86.4585,86.5348,86.3892,86.4992,1538150.4829395
2014-06-25,86.3704,86.519,86.3704,86.4169,961366.39242868
2014-06-26,86.3892,86.4169,86.3041,86.3704,1533913.5960701
2014-06-27,86.3297,86.3892,86.2833,86.3892,603503.9428318
2014-06-30,86.3297,86.4585,86.2684,86.3486,3296955.3279244
2014-07-01,86.4466,86.5248,86.3981,86.4229,1494160.9747253
2014-07-02,86.4229,86.504,86.3981,86.4229,1715466.6218114
2014-07-03,86.4466,86.4466,86.3099,86.4466,762306.42089557
2014-07-07,86.4229,86.4872,86.3367,86.3565,1067518.7858533
2014-07-08,86.4229,86.4872,86.3367,86.3367,1252994.6680026
2014-07-09,86.3793,86.4466,86.2743,86.3099,2281649.4074504
2014-07-10,86.2515,86.2515,85.9575,85.9763,3544759.6933409
2014-07-11,86.0416,86.1129,85.9763,86.0416,1314061.9807027
2014-07-14,86.1129,86.1584,86.0743,86.0911,872935.01057666
2014-07-15,86.0584,86.1584,85.9575,86.0208,1227240.1311838
2014-07-16,86.0416,86.0584,85.8227,85.8782,1596258.2352453
2014-07-17,85.7782,85.8227,85.2374,85.2374,3478648.7081164
2014-07-18,85.4513,85.6633,85.3632,85.5117,1566717.1574922
