Date,Open,High,Low,Close,Volume
2012-01-03,314.0,318.0,313.92,317.52,1546355
2012-01-04,316.0,319.68,315.04,318.16,1726654
2012-01-05,315.92,318.8,312.96,313.36,1474946
2012-01-06,315.12,315.12,310.88,313.76,1220068
2012-01-09,312.88,313.12,308.48,312.64,938652
2012-01-10,316.56,317.84,314.64,314.72,882781
2012-01-11,312.72,314.48,309.92,311.36,1107635
2012-01-12,314.32,317.28,303.6,304.48,2068498
2012-01-13,303.2,305.68,301.12,305.28,1408641
2012-01-17,308.72,310.72,306.48,310.32,1156586
2012-01-18,311.12,312.24,307.52,310.64,1556915
2012-01-19,312.64,312.88,307.76,309.52,1315201
2012-01-20,305.28,305.6,301.44,302.24,1650696
2012-01-23,304.0,308.16,303.68,307.12,1058932
2012-01-24,302.32,305.6,302.0,304.8,808285
2012-01-25,302.72,308.64,299.92,306.8,1774820
2012-01-26,311.44,311.68,305.12,306.96,881722
2012-01-27,306.24,309.36,304.72,306.4,905848
2012-01-30,303.44,306.24,302.64,304.08,668690
2012-01-31,310.64,310.72,300.88,302.56,1210906
2012-02-01,305.04,305.84,298.8,299.04,1295537
2012-02-02,297.28,298.56,293.44,297.04,1147222
2012-02-03,297.92,301.36,296.56,300.72,1430910
2012-02-06,298.64,300.24,297.04,298.64,718681
2012-02-07,296.56,304.64,296.32,303.6,1279621
2012-02-08,307.04,307.52,301.52,304.32,1130718
2012-02-09,307.12,307.84,305.2,306.64,583069
2012-02-10,300.4,304.16,300.08,304.16,751063
2012-02-13,308.08,310.32,305.2,309.52,1801143
2012-02-14,312.48,312.8,308.08,310.72,1052357
2012-02-15,312.4,313.44,310.96,313.44,916850
2012-02-16,312.24,315.2,311.44,314.24,794995
2012-02-17,317.68,318.0,315.36,318.0,891450
2012-02-21,321.04,325.92,320.32,324.64,1423754
2012-02-22,324.0,326.64,323.44,324.72,1106144
2012-02-23,324.48,331.28,322.8,330.96,1215205
2012-02-24,332.8,336.48,330.4,336.08,1372299
2012-02-27,332.24,334.8,328.24,329.44,1417243
2012-02-28,330.96,332.88,325.28,326.32,1242944
2012-02-29,326.8,328.56,320.8,327.36,2474759
2012-03-01,329.2,338.4,326.56,334.0,3072201
2012-03-02,330.24,330.56,323.84,326.16,1930278
2012-03-05,327.52,327.92,324.56,327.76,925675
2012-03-06,320.8,323.28,319.76,321.04,1261582
2012-03-07,320.24,325.92,319.28,324.88,729984
2012-03-08,325.6,328.0,323.84,326.56,911324
2012-03-09,326.48,330.88,325.92,328.72,936015
2012-03-12,324.48,326.08,322.4,325.6,645129
2012-03-13,324.64,328.48,323.52,326.64,893655
2012-03-14,325.36,327.52,321.76,323.28,1093085
2012-03-15,323.28,324.48,317.6,322.24,3414340
2012-03-16,323.44,329.36,322.72,328.24,1076700
2012-03-19,329.6,331.04,328.48,330.32,724359
2012-03-20,326.24,326.4,321.84,323.44,1216167
2012-03-21,324.24,327.76,323.44,325.28,1052529
2012-03-22,319.12,321.36,318.24,321.12,1034555
2012-03-23,321.68,329.68,320.32,325.52,1846623
2012-03-26,325.52,326.72,324.64,326.16,543670
2012-03-27,326.8,328.0,324.32,325.68,932525
2012-03-28,321.04,321.6,318.8,321.52,1227568
2012-03-29,320.24,320.96,310.96,314.32,1600854
2012-03-30,315.04,317.04,312.96,313.84,735503
2012-04-02,311.44,321.04,311.04,320.24,959604
2012-04-03,319.6,320.16,315.44,317.28,629031
2012-04-04,312.96,313.84,307.76,310.72,1086673
2012-04-05,309.76,314.8,309.68,314.4,434829
2012-04-09,308.48,312.32,306.88,311.76,675961
2012-04-10,311.04,313.36,306.48,308.08,822679
2012-04-11,309.44,313.84,308.56,312.08,1029082
2012-04-12,313.2,317.12,313.04,315.52,724228
2012-04-13,314.0,314.64,312.16,313.2,509094
2012-04-16,313.04,314.48,309.84,313.44,720331
2012-04-17,318.64,319.12,316.32,317.12,676097
2012-04-18,315.76,316.56,310.88,312.4,641915
2012-04-19,312.32,313.12,309.36,311.68,689486
2012-04-20,316.08,316.88,312.96,315.12,670577
2012-04-23,309.84,312.4,308.4,312.24,693912
2012-04-24,314.96,315.12,312.08,313.36,518493
2012-04-25,314.64,316.72,312.32,315.28,1070063
2012-04-26,315.52,317.76,315.04,316.24,669286
2012-04-27,316.4,318.0,315.04,316.96,420023
2012-04-30,315.44,318.48,314.96,317.44,609141
2012-05-01,317.04,322.32,317.04,321.2,757664
2012-05-02,320.08,320.48,317.68,319.12,713543
2012-05-03,315.44,315.52,310.0,310.64,1135115
2012-05-04,302.72,303.92,295.36,298.32,2510971
2012-05-07,294.88,297.28,292.0,296.4,1345584
2012-05-08,293.84,295.2,289.2,294.96,1337393
2012-05-09,289.92,293.28,288.24,292.16,1426503
2012-05-10,294.88,295.76,292.4,292.88,593314
2012-05-11,290.16,294.16,289.92,290.08,568846
2012-05-14,285.68,287.84,284.24,284.88,657471
2012-05-15,286.4,287.76,281.76,282.24,784406
2012-05-16,281.52,285.12,279.52,280.4,1330655
2012-05-17,283.04,283.6,278.88,280.32,543743
2012-05-18,279.12,280.32,275.44,275.44,901445
2012-05-21,277.44,281.52,276.8,281.2,692520
2012-05-22,279.28,280.0,275.12,275.84,660516
2012-05-23,275.36,275.68,269.28,272.72,1161584
2012-05-24,274.32,276.0,272.0,274.08,664684
2012-05-25,273.68,274.96,273.28,273.76,387743
2012-05-29,276.24,278.08,272.16,273.84,765999
2012-05-30,268.16,268.32,263.44,264.16,829882
2012-05-31,264.32,264.72,258.96,260.88,1363874
2012-06-01,253.6,254.96,248.24,251.44,1833414
2012-06-04,250.72,254.48,249.84,254.08,1482907
2012-06-05,252.88,254.64,252.48,254.08,925593
2012-06-06,256.8,260.08,255.68,257.2,1136555
2012-06-07,262.16,262.4,252.88,253.76,1020207
2012-06-08,249.52,255.2,249.04,254.4,1111944
2012-06-11,255.2,255.2,245.36,245.6,1248855
2012-06-12,250.56,252.32,248.96,251.36,846612
2012-06-13,248.32,253.2,247.68,248.8,891651
2012-06-14,249.52,254.4,248.32,253.84,617662
2012-06-15,253.12,254.32,251.6,253.04,610315
2012-06-18,248.16,252.88,247.44,250.56,694218
2012-06-19,253.92,254.48,251.92,253.44,915426
2012-06-20,252.4,252.64,242.88,243.92,2734537
2012-06-21,242.4,243.2,234.48,235.68,2306432
2012-06-22,236.56,241.44,235.6,240.8,1278972
2012-06-25,237.44,238.72,234.4,238.4,997638
2012-06-26,238.32,239.28,235.44,238.48,861675
2012-06-27,240.96,242.96,239.6,241.6,1166436
2012-06-28,239.52,240.16,232.16,236.0,1760185
2012-06-29,246.08,256.24,244.48,254.64,2552311
2012-07-02,251.44,253.6,246.56,251.44,2193864
2012-07-03,261.52,264.32,260.32,263.52,1744864
2012-07-05,261.52,264.64,259.76,260.96,1239600
2012-07-06,254.16,255.92,252.4,252.72,1196727
2012-07-09,253.68,259.68,253.28,257.36,836491
