Date,Open,High,Low,Close,Volume
2012-01-03,38.8245,39.2187,38.1275,38.4539,9395616.243155
2012-01-04,38.2976,38.2976,37.6871,37.7992,3640889.8222464
2012-01-05,37.7904,38.2337,37.4964,38.154,2745199.8483395
2012-01-06,38.2514,38.3555,37.8523,38.0272,2034588.1224994
2012-01-09,38.1413,38.2101,37.7992,37.8955,2338001.4569959
2012-01-10,38.3388,38.561,38.2582,38.3182,2370046.5162055
2012-01-11,38.273,38.6603,38.1462,38.5865,2139906.2070037
2012-01-12,38.5532,38.6475,38.0754,38.3054,2637977.4321999
2012-01-13,38.1343,38.3969,37.9162,38.389,2334113.446574
2012-01-17,38.7596,38.9748,38.5532,38.7055,2205709.4100777
2012-01-18,38.7665,39.1066,38.6731,38.9748,2314837.1751235
2012-01-19,39.1233,39.2687,38.9306,39.1233,1942628.8430344
2012-01-20,39.1665,39.4074,38.8933,39.372,2057642.5390852
2012-01-23,39.4477,39.7151,39.2963,39.5608,1884080.8179638
2012-01-24,39.4359,39.8625,39.3022,39.8625,2769228.8107085
2012-01-25,39.835,40.4071,39.6767,40.3747,2280380.1659635
2012-01-26,40.5791,40.8426,40.469,40.6598,2465115.5936454
2012-01-27,40.5379,40.7974,40.3344,40.6715,2278707.7721558
2012-01-30,40.3609,40.4867,40.1741,40.3668,3582639.8576293
2012-01-31,40.5871,40.6627,40.3059,40.5694,3147576.3743246
2012-02-01,40.9222,41.0264,40.7394,40.9655,4900789.3250119
2012-02-02,40.9999,41.0648,40.8426,41.0588,4125663.2786738
2012-02-03,41.5061,41.6536,41.2427,41.629,4104781.7533128
2012-02-06,41.5268,41.6231,41.2643,41.5013,2704325.8926224
2012-02-07,41.4865,41.5523,41.3085,41.396,3020301.5088299
2012-02-08,41.4668,41.6536,41.1779,41.4668,2639109.6550151
2012-02-09,41.5523,41.5966,40.9222,41.163,2187130.9866516
2012-02-10,40.819,41.0588,40.6598,40.7836,1778630.488207
2012-02-13,41.1837,41.3036,40.9596,41.1974,2801740.7973864
2012-02-14,41.2054,41.2427,40.526,40.7767,2838757.2608168
2012-02-15,40.9095,40.9095,40.3963,40.5329,2995933.7951603
2012-02-16,40.5329,41.0402,40.5329,40.9596,2027610.6595263
2012-02-17,41.0923,41.0923,40.7109,40.994,2578090.6782662
2012-02-21,41.0805,41.1267,40.1978,40.355,4282606.8579187
2012-02-22,40.3295,40.4927,39.9648,40.011,3439299.228505
2012-02-23,39.9706,40.5329,39.9648,40.5133,3731214.346937
2012-02-24,40.6598,40.7109,40.3117,40.5684,2754109.1092695
2012-02-27,40.3432,40.6391,40.0001,40.4995,3046909.2536217
2012-02-28,40.6204,40.6715,40.1368,40.2636,3622378.5387177
2012-02-29,40.3649,40.5624,40.0326,40.1004,4583269.4911644
2012-03-01,40.1368,40.4484,40.1063,40.3432,5151223.1768369
2012-03-02,40.1791,40.5084,40.1417,40.2842,1852255.4893275
2012-03-05,40.2725,40.6912,40.0945,40.6912,2783806.3066127
2012-03-06,40.297,40.5624,40.069,40.1496,3401423.1709338
2012-03-07,40.3029,40.3806,39.8802,40.3668,1190931.5690735
2012-03-08,40.469,40.5005,40.0443,40.1554,2211762.1735549
2012-03-09,40.2567,40.5005,40.1034,40.355,2466596.7404728
2012-03-12,40.4553,40.7699,40.3344,40.6528,4022507.9126825
2012-03-13,40.8613,41.5395,40.8101,41.4746,3661419.3717816
2012-03-14,41.5268,41.6369,41.106,41.3636,3468883.508748
2012-03-15,41.4579,41.4579,41.1424,41.3036,2426703.4341661
2012-03-16,41.3645,41.5828,41.2988,41.5415,2737117.6288728
2012-03-19,41.5395,42.0606,41.3822,41.8286,3203233.3147226
2012-03-20,41.567,41.9338,41.567,41.7677,2731100.4698866
2012-03-21,41.8414,41.9091,41.6949,41.7106,2304427.4392138
2012-03-22,41.4746,41.4746,40.8858,41.1375,4872130.7615361
2012-03-23,41.1779,41.6005,40.992,41.396,3794789.7261429
2012-03-26,41.7637,41.9672,41.6114,41.8806,2459548.0685174
2012-03-27,41.9672,42.1383,41.8069,41.8866,5204596.3434522
2012-03-28,41.9003,41.923,41.396,41.8217,2374594.7356184
2012-03-29,41.5563,41.8738,41.3174,41.8404,2308879.0178653
2012-03-30,41.9997,42.2769,41.9348,42.1854,3107923.1440148
2012-04-02,42.2375,42.5304,42.0783,42.4823,10134478.606731
2012-04-03,42.4626,42.5403,42.151,42.3161,3528910.6461036
2012-04-04,41.9977,42.0674,41.6821,41.8531,3086555.3630334
2012-04-05,41.744,41.8924,41.5494,41.6496,2667188.3739225
2012-04-09,41.2054,41.4373,40.9772,41.2574,1497710.0366091
2012-04-10,41.2574,41.3715,40.3236,40.3609,4029441.6329953
2012-04-11,40.7571,40.8908,40.5477,40.878,2892801.8264061
