Date,Open,High,Low,Close,Volume
2013-01-02,32.1573,32.312,32.0167,32.2267,17924679.240656
2013-01-03,32.1989,32.4606,32.1663,32.2436,11244549.990052
2013-01-04,32.3744,32.5131,32.2951,32.4883,7891787.4218279
2013-01-07,32.3902,32.413,32.2267,32.3486,6639416.9095056
2013-01-08,32.2436,32.3209,31.991,32.095,9022407.4555539
2013-01-09,32.2208,32.4883,32.1989,32.421,8250457.5051712
2013-01-10,32.5844,32.6023,32.3486,32.5765,14101044.672905
2013-01-11,32.4883,32.5458,32.3992,32.4606,8428919.0365621
2013-01-14,32.52,32.5923,32.4418,32.5844,7526572.3192221
2013-01-15,32.413,32.7133,32.3992,32.6805,5986678.1519114
2013-01-16,32.5072,32.5616,32.4506,32.5458,9115287.1830293
2013-01-17,32.7063,32.955,32.6191,32.8946,14317438.047619
2013-01-18,33.0263,33.1829,32.8768,33.1601,13140577.982664
2013-01-22,33.0828,33.2948,33.0263,33.2948,9091641.3455122
2013-01-23,33.2166,33.3514,33.1363,33.3028,7744225.2442901
2013-01-24,33.3097,33.9745,33.278,33.4999,8300235.9847486
2013-01-25,33.6079,33.6486,33.4574,33.6079,8319377.5167964
2013-01-28,33.7417,33.7596,33.4831,33.6317,6723400.0533575
2013-01-29,33.5594,33.7179,33.5089,33.709,6569954.9278968
2013-01-30,33.6753,33.7506,33.384,33.3999,8418500.496262
2013-01-31,33.2889,33.4445,33.2106,33.2889,11956394.76277
2013-02-01,33.492,33.6486,33.4177,33.6079,10429703.670555
2013-02-04,33.4425,33.5089,33.278,33.3176,10824853.279147
2013-02-05,33.4999,33.7001,33.4494,33.6238,10344517.494635
2013-02-06,33.4494,33.6585,33.4326,33.6317,13305288.413446
2013-02-07,33.6823,33.7259,33.3414,33.5911,9641689.4068955
2013-02-08,33.6417,33.7506,33.5831,33.7259,8628005.7049838
2013-02-11,33.6585,33.7506,33.6238,33.7001,9294475.3780852
2013-02-12,33.8012,33.9072,33.7596,33.8488,6960077.4368829
2013-02-13,34.0261,34.1489,33.932,34.035,7721260.6539592
2013-02-14,33.8834,34.0965,33.823,34.0805,11145813.555286
2013-02-15,34.1331,34.1896,33.9895,34.0965,9644253.9240806
2013-02-19,34.2312,34.3719,34.1331,34.3471,10265313.173637
2013-02-20,34.3868,34.3957,33.8755,33.8983,12787176.210893
2013-02-21,33.7684,33.823,33.4999,33.6486,18764083.764273
2013-02-22,33.7724,33.9567,33.7724,33.9141,11672372.213691
2013-02-25,34.0965,34.141,33.1997,33.2166,13150915.782556
2013-02-26,33.3097,33.4831,33.1918,33.4177,17103769.316575
2013-02-27,33.4246,34.1489,33.3751,34.0489,12299343.679568
2013-02-28,34.1004,34.2876,33.9835,34.0211,13414280.898441
2013-03-01,33.8042,34.0855,33.6129,33.9637,13901745.051659
2013-03-04,33.8983,33.9072,33.5663,33.8983,21433686.607963
2013-03-05,34.1123,34.5631,34.1123,34.3778,14863048.41437
2013-03-06,34.5958,34.6057,34.3224,34.3778,13685566.648278
2013-03-07,34.4719,34.5423,34.354,34.4026,7697644.0848398
2013-03-08,34.6434,34.7652,34.4977,34.7316,9616780.9912601
2013-03-11,34.6978,34.8623,34.6206,34.8445,7367911.3634533
2013-03-12,34.7316,34.8188,34.4977,34.6434,13446563.941024
2013-03-13,34.6434,34.8386,34.5721,34.8098,8660926.5967833
2013-03-14,34.8802,35.0139,34.8465,34.9783,7068231.2308989
2013-03-15,34.9455,35.0367,34.8633,35.0061,10953978.38469
2013-03-18,34.7574,35.0724,34.6057,34.788,8028965.3737388
2013-03-19,34.8286,34.9397,34.5235,34.7574,14850539.706776
2013-03-20,34.9317,34.9713,34.68,34.795,19942426.424956
2013-03-21,34.6711,34.9871,34.3778,34.4472,8209833.9785206
2013-03-22,34.7148,34.7216,34.4561,34.7148,8335539.7278169
2013-03-25,34.8098,34.8286,34.255,34.4026,21961024.411297
2013-03-26,34.5721,34.6057,34.4561,34.5809,10517518.955986
2013-03-27,34.4195,34.6057,34.2362,34.5809,7992887.532016
2013-03-28,34.5324,34.8386,34.5324,34.8286,9413977.2363398
2013-04-01,34.7811,34.788,34.3382,34.4026,18584733.079147
2013-04-02,34.5542,34.5631,34.2292,34.2976,14046264.325098
2013-04-03,34.363,34.4105,34.0389,34.0855,24261407.428183
2013-04-04,34.1212,34.2886,34.0855,34.2362,15115477.242094
2013-04-05,33.7873,34.1965,33.7288,34.1708,15404648.001389
2013-04-08,34.1708,34.3709,34.0389,34.3709,9887395.5864611
2013-04-09,34.4719,34.6057,34.245,34.4809,12807352.229409
2013-04-10,34.5057,34.9625,34.5057,34.9397,13896338.472138
2013-04-11,34.9783,35.1388,34.8465,35.0298,11815704.603145
2013-04-12,34.8901,34.9625,34.7048,34.8286,8918341.1446546
2013-04-15,34.5958,34.6354,33.7467,33.7714,35834797.958121
2013-04-16,34.0786,34.255,33.9716,34.2292,12161407.777084
2013-04-17,33.9547,34.0142,33.4692,33.6615,19110535.805489
2013-04-18,33.7784,33.7784,33.378,33.5129,20049885.85147
