Date,Open,High,Low,Close,Volume
2013-01-02,20.8212,20.889,20.7095,20.8638,23068595
2013-01-03,20.9201,21.0429,20.8638,20.9161,13027565
2013-01-04,20.9544,21.0197,20.8988,20.9935,11577210
2013-01-07,20.9364,20.9621,20.8343,20.9412,8272316
2013-01-08,20.8765,20.9239,20.7399,20.8808,8909349
2013-01-09,20.9078,21.0246,20.889,20.9161,8378520
2013-01-10,21.0333,21.0589,20.9031,21.038,11920170
2013-01-11,21.0333,21.0884,20.98,21.0545,7823447
2013-01-14,21.1136,21.1722,21.0246,21.1048,12480802
2013-01-15,21.0429,21.2781,21.011,21.2596,20028001
2013-01-16,21.2215,21.2486,21.1528,21.2122,8684033
2013-01-17,21.3204,21.4948,21.3154,21.4373,10540102
2013-01-18,21.4815,21.49,21.3425,21.464,12218642
2013-01-22,21.4461,21.535,21.4073,21.5186,10576923
2013-01-23,21.4815,21.5568,21.4184,21.535,6163295
2013-01-24,21.6053,21.8226,21.6053,21.6995,9876309
2013-01-25,21.7382,21.9382,21.7345,21.9291,13190636
2013-01-28,21.9595,21.9623,21.7969,21.8254,12172595
2013-01-29,21.7969,21.805,21.6183,21.7382,14568233
2013-01-30,21.8226,21.8293,21.6749,21.6995,9497989
2013-01-31,21.6532,21.7166,21.5563,21.5964,13521340
2013-02-01,21.7509,21.805,21.6789,21.7204,11964145
2013-02-04,21.597,21.6749,21.4461,21.4553,9536804
2013-02-05,21.5525,21.7605,21.5317,21.6832,13611016
2013-02-06,21.6749,21.7969,21.627,21.7297,11760049
2013-02-07,21.7382,21.7605,21.4677,21.6832,11989808
2013-02-08,21.7345,21.8621,21.6995,21.8495,6791848
2013-02-11,21.8666,21.8666,21.7345,21.7781,5539702
2013-02-12,21.7924,21.9057,21.7781,21.8621,10596389
2013-02-13,21.9967,22.0539,21.8424,21.9106,13537994
2013-02-14,21.8336,21.9623,21.8254,21.9202,10880733
2013-02-15,21.9382,22.0441,21.8293,21.9469,28525406
2013-02-19,21.9595,22.0441,21.9247,22.0268,16388068
2013-02-20,22.022,22.0719,21.687,21.6912,16220338
2013-02-21,21.6401,21.6609,21.4373,21.5099,20318613
2013-02-22,21.6018,21.6401,21.464,21.6314,12394338
2013-02-25,21.7557,21.7781,21.2821,21.2946,12358535
2013-02-26,21.3855,21.5442,21.3154,21.5066,18273487
2013-02-27,21.5481,21.9057,21.4992,21.8336,11841271
2013-02-28,21.8103,22.0074,21.7886,21.9445,13522122
2013-03-01,21.8143,21.9929,21.6875,21.9929,10519097
2013-03-04,21.897,22.1856,21.897,22.1856,16385431
2013-03-05,22.2876,22.4396,22.2609,22.4091,14494287
2013-03-06,22.4569,22.534,22.3699,22.3964,8185257
2013-03-07,22.4042,22.4435,22.3699,22.4298,7760147
2013-03-08,22.5561,22.7023,22.4656,22.6675,9384399
2013-03-11,22.6461,22.7425,22.6224,22.7252,7445230
2013-03-12,22.7023,22.746,22.5863,22.6578,8646249
2013-03-13,22.6675,22.7967,22.6337,22.7837,8906214
2013-03-14,22.8242,22.8364,22.7242,22.8103,8610172
2013-03-15,22.7734,22.8054,22.6762,22.7242,13998965
2013-03-18,22.5198,22.6448,22.4396,22.5513,12064582
2013-03-19,22.6337,22.6337,22.2407,22.3921,14465207
2013-03-20,22.5561,22.7023,22.534,22.6495,9529357
2013-03-21,22.487,22.5992,22.3921,22.4613,12009633
2013-03-22,22.5813,22.746,22.5683,22.7368,15996194
2013-03-25,22.7875,22.8803,22.5906,22.6984,10527276
2013-03-26,22.7323,22.8194,22.6984,22.8103,7641821
2013-03-27,22.7114,22.8408,22.6337,22.8194,7807445
2013-03-28,22.8292,22.9216,22.7875,22.9013,8795530
2013-04-01,22.8979,22.9563,22.7023,22.7281,13827310
2013-04-02,22.801,22.97,22.801,22.9172,10643050
2013-04-03,22.965,22.9748,22.6297,22.7067,15840747
2013-04-04,22.6858,22.876,22.6811,22.8364,10266955
2013-04-05,22.5683,22.7599,22.4483,22.7242,9457461
2013-04-08,22.7067,22.9834,22.7023,22.9834,10348968
2013-04-09,23.0091,23.0183,22.8145,22.9216,12303443
2013-04-10,22.9962,23.226,22.9519,23.1897,11591212
2013-04-11,23.2118,23.4927,23.2118,23.3863,14502338
2013-04-12,23.3374,23.5114,23.315,23.5114,18027621
2013-04-15,23.3863,23.4446,22.8931,22.8931,20999664
2013-04-16,23.0231,23.2211,22.9923,23.2211,15508671
2013-04-17,23.0963,23.1078,22.859,22.9834,20760002
2013-04-18,23.0231,23.0362,22.6123,22.7323,20256836
2013-04-19,22.7242,23.0231,22.7157,23.0051,14834713
2013-04-22,23.0183,23.1433,22.8451,23.104,10556197
2013-04-23,23.2772,23.3739,23.0963,23.3374,12356339
2013-04-24,23.4317,23.5158,23.2937,23.3557,6755502
2013-04-25,23.3991,23.6315,23.3991,23.5545,15749030
2013-04-26,23.5284,23.5464,23.3863,23.4496,5723359
2013-04-29,23.5545,23.6218,23.4543,23.5322,7307842
2013-04-30,23.5482,23.6068,23.4902,23.5986,8905718
2013-05-01,23.5579,23.6575,23.4446,23.4717,9885133
2013-05-02,23.4847,23.7137,23.4847,23.7017,7009148
2013-05-03,23.8947,24.0675,23.8734,23.9993,15062776
2013-05-06,24.0081,24.1212,23.9595,24.0757,7395178
2013-05-07,24.1459,24.279,24.0292,24.279,10688269
2013-05-08,24.2663,24.3065,24.1753,24.2969,7860929
2013-05-09,24.3375,24.4478,24.2587,24.3414,15388235
2013-05-10,24.3622,24.5302,24.3622,24.5302,6865058
2013-05-13,24.5041,24.5471,24.4103,24.5346,5223643
2013-05-14,24.5471,24.8069,24.5432,24.7857,8121663
2013-05-15,24.7547,24.937,24.7547,24.9192,11007428
2013-05-16,24.8544,24.9333,24.5906,24.6304,13827066
2013-05-17,24.6943,24.8843,24.685,24.8669,13215956
2013-05-20,24.8109,24.8936,24.7416,24.7949,11186347
2013-05-21,24.8767,25.0015,24.79,24.9057,8886259
2013-05-22,24.9284,25.1011,24.5564,24.6695,21264760
2013-05-23,24.3961,24.6617,24.3622,24.6172,12680895
2013-05-24,24.4744,24.5564,24.3196,24.5432,11966840
2013-05-28,24.832,24.9506,24.6729,24.7818,15044951
2013-05-29,24.6665,24.6665,24.427,24.5262,10430153
2013-05-30,24.6129,24.7285,24.5041,24.5258,8592196
