Date,Open,High,Low,Close,Volume
2014-06-02,37.8503,37.8703,37.4119,37.8035,1918444.6525215
2014-06-03,37.6999,38.2001,37.665,38.0277,2772371.206702
2014-06-04,37.8892,38.1931,37.8503,38.1732,1724044.6614499
2014-06-05,38.1732,39.0381,38.1483,38.9375,2758472.6625259
2014-06-06,38.9245,39.3949,38.7911,39.2125,1935046.6391532
2014-06-09,39.2055,39.5942,39.0053,39.3949,1788928.28389
2014-06-10,39.3142,39.374,38.9245,39.1359,1907846.6362728
2014-06-11,38.7641,39.2923,38.7511,39.1487,2122749.2378904
2014-06-12,39.1428,39.2055,38.6755,38.8099,2525108.5795214
2014-06-13,38.8937,39.1239,38.6615,38.8757,1587408.4248813
2014-06-16,38.9195,39.1169,38.6415,38.7571,1767339.8809397
2014-06-17,38.7243,39.3411,38.6685,39.1239,1999197.7029471
2014-06-18,39.1169,39.4199,38.8937,39.3869,1677523.1734022
2014-06-19,39.3411,39.5663,38.6415,38.9505,4739574.1599042
2014-06-20,38.5071,39.2475,38.4373,39.0521,3053895.5014103
2014-06-23,39.0123,39.1169,38.52,38.6147,2160391.7137453
2014-06-24,38.5609,38.8687,38.2629,38.3097,1694189.3843536
2014-06-25,38.2818,38.6077,38.1483,38.52,1595890.0490962
2014-06-26,38.5339,38.5797,38.1423,38.4243,1658892.0996713
2014-06-27,38.3107,38.7263,38.0845,38.2977,2280708.9520906
2014-06-30,38.2977,38.4711,38.0845,38.2569,1974213.439095
2014-07-01,38.4602,38.9205,38.2141,38.7991,3019008.6502709
2014-07-02,38.7193,39.0223,38.4841,38.6635,2124343.8073269
2014-07-03,38.7591,38.9863,38.6435,38.9335,901962.33126513
2014-07-07,38.7661,38.7991,38.5279,38.7123,1425197.8635236
2014-07-08,38.521,38.5827,37.9091,38.0656,2426145.9274625
2014-07-09,38.0018,38.0217,37.645,37.8962,1919556.5360555
2014-07-10,37.5703,37.7178,37.3052,37.6261,1785684.9557472
2014-07-11,37.5175,37.7915,37.3979,37.6999,1776594.2040005
