Date,Open,High,Low,Close,Volume
2014-06-02,20.22,20.718,19.68,20.45,857213
2014-06-03,20.25,20.36,19.66,20.16,907926
2014-06-04,20.05,21.32,19.72,21.2,1083016
2014-06-05,21.19,22.22,21.15,21.7,1266591
2014-06-06,21.85,22.18,21.47,21.99,808322
2014-06-09,21.99,23.38,21.8,22.93,1365669
2014-06-10,22.77,23.19,22.33,23.1,1025100
2014-06-11,22.73,23.38,22.53,22.8,1106868
2014-06-12,23.04,23.89,22.4,23.03,1115577
2014-06-13,23.16,23.46,22.57,23.05,820150
2014-06-16,22.95,23.26,22.65,23.04,1023483
2014-06-17,23.02,23.57,22.8,23.22,771892
2014-06-18,23.19,23.7,22.85,23.67,649948
2014-06-19,23.75,23.91,22.8,23.16,1373342
2014-06-20,23.24,23.3,22.7,23.06,1340174
2014-06-23,23.09,23.36,22.87,22.97,671249
2014-06-24,22.93,23.6,22.69,22.82,1367423
2014-06-25,22.7,23.17,22.34,23.04,1020462
2014-06-26,23.13,23.13,22.61,22.81,686471
2014-06-27,22.65,23,21.9,22.41,1436856
2014-06-30,22.41,23.01,22.2,22.59,1800574
2014-07-01,22.66,23.5,22.64,23.42,1174584
2014-07-02,23.36,23.87,23.22,23.49,687100
2014-07-03,23.57,23.89,23.16,23.64,486823
2014-07-07,23.63,24.72,23.32,23.42,1722726
2014-07-08,23.32,23.32,21.34,21.56,2732164
2014-07-09,21.58,22.03,21.2,21.78,939492
2014-07-10,20.96,21.78,20.75,21.44,910810
2014-07-11,21.45,22.429,21.27,22.3,843061
2014-07-14,22.45,22.63,21.97,22.09,826986
2014-07-15,22.15,22.3,20.73,20.77,1247865
2014-07-16,20.91,20.91,19.9,20.25,1537251
2014-07-17,19.97,20.37,19.21,19.4,1445157
2014-07-18,19.39,20.35,19.28,20.25,979891
2014-07-21,20.15,20.55,19.81,20.31,691016
2014-07-22,20.43,20.63,20,20.16,769108
2014-07-23,20.34,20.87,20.34,20.73,1079604
2014-07-24,20.77,21.3,20.37,20.83,1088313
2014-07-25,20.68,20.91,20.33,20.62,653913
2014-07-28,20.62,20.62,20.02,20.26,652081
2014-07-29,20.02,20.98,20.02,20.74,563656
2014-07-30,21.13,21.49,20.84,21.21,808836
