Date,Open,High,Low,Close,Volume
2014-06-02,52.45,52.75,51.73,52.52,1596820
2014-06-03,52.5,53.18,52.25,53.15,2434409
2014-06-04,52.88,53.24,52.74,53.03,1242592
2014-06-05,53.06,53.74,52.83,53.72,1422683
2014-06-06,54,55.43,53.92,54.87,2313535
2014-06-09,54.66,54.87,54.17,54.51,2130214
2014-06-10,54.27,54.58,53.95,54.08,1162759
2014-06-11,53.8,54.11,53.54,54.09,991833
2014-06-12,53.86,54.41,53.67,53.85,1147572
2014-06-13,54.12,54.45,53.77,54.25,1766029
2014-06-16,53.87,54.88,53.87,54.58,1584907
2014-06-17,54.15,55,54.15,54.63,1942531
2014-06-18,55,57.17,54.99,56.96,4853960
2014-06-19,56.78,57.17,55.67,56.31,1977733
2014-06-20,56.37,56.37,55.86,56.19,1870342
2014-06-23,56.12,56.43,55.84,56.17,885609
2014-06-24,56.11,56.49,55.71,55.8,1066927
2014-06-25,55.8,56,55.45,55.62,1579377
2014-06-26,55.88,56.26,55.44,56.25,1069215
2014-06-27,56.07,56.43,55.63,56.4,1131708
2014-06-30,56.19,56.69,55.82,56.38,2252751
2014-07-01,56.07,57.3,55.97,57.13,2329946
2014-07-02,56.87,57.59,56.76,56.83,1361800
2014-07-03,57.03,57.28,56.84,56.88,842211
2014-07-07,56.77,56.8,55.84,55.93,1376395
2014-07-08,56.03,56.2,54.54,55.64,2106985
2014-07-09,55.89,55.98,55.25,55.63,1097776
2014-07-10,55.37,55.99,54.78,55.435,1708942
2014-07-11,55.55,55.71,55,55.57,1226931
2014-07-14,55.81,56.17,55.7,56.04,1241562
2014-07-15,55.96,56.11,55.17,55.48,1147179
2014-07-16,55.72,55.79,55.24,55.42,1064570
2014-07-17,55.3,55.98,55.17,55.42,2873540
2014-07-18,55.78,57.39,55.47,57.36,2613703
2014-07-21,56.91,57.2,55.95,56.2,2022664
2014-07-22,56.34,56.93,56.34,56.39,1754309
2014-07-23,56.77,56.87,55.85,55.88,2008979
2014-07-24,56.12,56.47,55.87,56,1641966
2014-07-25,55.82,55.955,55.14,55.23,1964709
2014-07-28,55.26,55.52,54.51,55.19,1460003
2014-07-29,55.32,55.84,55.23,55.47,1371700
2014-07-30,55.79,55.95,55.29,55.61,1067699
2014-07-31,54.98,55.19,53.17,53.35,2805773
2014-08-01,53.36,53.82,52.48,53.34,2439803
2014-08-04,53.37,54.31,53.3,54.15,1905264
2014-08-05,53.79,54.68,53.73,54.15,1575029
2014-08-06,53.87,54.9,53.4,54.23,2095914
2014-08-07,54.58,54.81,53.44,53.63,1334436
2014-08-08,54.02,54.24,53.48,53.91,1897775
2014-08-11,54.17,54.39,53.81,54.34,1920332
2014-08-12,53.95,54.77,53.95,54.62,1520472
2014-08-13,54.64,55.82,54.64,55.79,1223733
2014-08-14,55.35,56.92,55.35,56.28,3598795
2014-08-15,58.44,58.53,51.88,52.66,14280609
