Date,Open,High,Low,Close,Volume
2014-06-02,37.6157,37.8665,37.4769,37.8069,978884.39332087
2014-06-03,37.7604,37.927,37.581,37.7049,580525.02929237
2014-06-04,37.7049,38.1916,37.7049,38.15,729355.56694839
2014-06-05,38.1094,38.3066,37.8685,37.8773,1220293.0081303
2014-06-06,37.9438,38.15,37.7802,37.912,889452.12909323
2014-06-09,37.9438,38.1252,37.7802,37.8685,918332.28533428
2014-06-10,37.8357,37.9616,37.6067,37.682,743866.24683385
2014-06-11,37.572,37.9438,37.5551,37.8973,527617.07525392
2014-06-12,37.7981,37.8079,37.5313,37.7207,514498.25873414
2014-06-13,37.7207,37.9032,37.4143,37.5086,624182.13493231
2014-06-16,37.5403,37.6989,37.3419,37.6067,618688.30902447
2014-06-17,37.6147,38.043,37.3936,37.9289,999033.12843394
2014-06-18,37.9032,38.382,37.7981,38.2829,717279.63935623
2014-06-19,38.3393,38.3483,38.0855,38.1837,584536.21813678
2014-06-20,38.0855,38.4733,38.0212,38.2997,1882101.8493813
2014-06-23,38.3721,38.5228,38.2096,38.3653,775202.33589766
2014-06-24,38.2997,38.8193,38.263,38.5228,1216579.3552952
2014-06-25,38.4792,38.845,38.4098,38.5882,1220583.4839631
2014-06-26,38.6439,38.6439,38.0113,38.268,801876.69128312
2014-06-27,38.1759,38.5377,38.0023,38.2997,775738.9093111
2014-06-30,38.3216,38.4792,38.2263,38.4663,659818.88007673
2014-07-01,38.4316,38.9948,38.3721,38.968,1318283.2148635
2014-07-02,38.8678,39.0027,38.382,38.4663,514766.54544086
2014-07-03,38.5555,38.6776,38.382,38.6062,372014.81974491
2014-07-07,38.4792,38.5734,38.2829,38.4009,635485.47749687
2014-07-08,38.3393,38.4177,38.1252,38.263,804914.5843682
2014-07-09,38.2729,38.5655,38.268,38.5377,618677.21446141
2014-07-10,38.0855,38.5882,38.0023,38.4495,662154.78989912
2014-07-11,38.3066,38.6953,38.3066,38.6151,645854.85957113
2014-07-14,38.7132,38.7806,38.3653,38.4733,633140.4903047
2014-07-15,38.3653,38.5555,38.2263,38.4098,439423.3677024
2014-07-16,38.5466,38.5982,38.0935,38.1916,1084560.1064646
2014-07-17,38.1916,38.4405,37.9438,38.0212,768732.18844057
2014-07-18,38.1916,38.4247,38.0212,38.3306,694679.00580696
2014-07-21,38.2829,38.2899,38.0717,38.1659,358147.62451692
2014-07-22,38.263,38.5466,38.2452,38.3483,556842.17154647
2014-07-23,38.4733,38.5982,38.2829,38.505,324362.66280683
