Date,Open,High,Low,Close,Volume
2014-06-02,54.56,54.71,53.53,54.36,1474454
2014-06-03,54.05,55.31,53.95,55.09,1796805
2014-06-04,54.78,55.54,54.51,55.19,1393854
2014-06-05,55.16,56.1,54.84,55.9,1652888
2014-06-06,56.32,57.66,56.03,57.47,2697834
2014-06-09,57.46,58.57,57.37,58.13,2735038
2014-06-10,57.97,58.36,57.6,58.11,2035503
2014-06-11,57.78,58.49,57.39,58.3,1179546
2014-06-12,58.01,58.945,57.782,58.51,1600509
2014-06-13,58.59,58.98,58.33,58.84,1348126
2014-06-16,58.72,60.9,58.34,60.25,3429677
2014-06-17,60.58,61.775,60.36,60.59,3779341
2014-06-18,60.58,61.13,60.05,61.07,1652774
2014-06-19,61.19,61.38,60.72,61.33,1306333
2014-06-20,61.47,61.47,60.76,61.22,1890674
2014-06-23,61,62.35,60.95,62.12,1892891
2014-06-24,62.19,62.76,61.39,61.61,1210041
2014-06-25,61.44,61.68,60.62,61.17,1947909
2014-06-26,61.36,61.44,60.4,61.03,1209466
2014-06-27,60.88,61.08,60.578,61.01,899088
2014-06-30,61,61.37,60.79,61.06,1121838
2014-07-01,61.1,61.77,61.06,61.63,1461476
2014-07-02,61.48,62.11,61.48,61.84,1414600
2014-07-03,61.92,62.2,61.83,62.01,773696
2014-07-07,62,62.36,61.65,61.89,1997242
2014-07-08,61.9,62,59.49,59.75,2666924
2014-07-09,60.35,61.1,60,60.69,2729346
2014-07-10,59.75,60.45,59.47,60.07,1403691
2014-07-11,60.07,60.21,59.76,59.9,2225902
2014-07-14,60.31,61.338,60.23,60.34,1409470
2014-07-15,60.06,60.85,59.23,59.72,1379017
2014-07-16,59.72,59.86,58.8,59.11,1977226
2014-07-17,58.94,59.58,58.21,58.32,1394282
2014-07-18,58.63,59.36,58.32,59.24,1612695
2014-07-21,58.96,59.13,58.37,58.49,1043368
2014-07-22,58.81,59.22,58.71,58.92,1230694
2014-07-23,58.98,59.03,58.46,58.49,909634
2014-07-24,59.53,59.9,59,59.8,2376903
2014-07-25,59.6,59.85,59.285,59.71,1197173
2014-07-28,59.82,59.98,59.34,59.44,2399432
2014-07-29,60.37,60.48,58.89,59,2224025
2014-07-30,59.55,61.01,59.55,60.73,5170754
2014-07-31,58.13,61.24,58.13,59.02,5135191
2014-08-01,58.79,59.65,56.89,57.09,3808628
2014-08-04,57.1,57.79,56.83,57.62,1697465
2014-08-05,57.22,57.73,56.42,56.86,1820456
2014-08-06,56.7,56.94,56.41,56.54,1492589
2014-08-07,57.09,57.333,56.51,56.55,1258429
2014-08-08,56.64,57.577,56.4,57.52,1446194
2014-08-11,57.92,58.195,57.51,57.98,975404
2014-08-12,57.95,57.96,57.16,57.525,830875
2014-08-13,57.81,58.73,57.54,58.7,1154142
