Date,Open,High,Low,Close,Volume
2019-06-12,41.3638,41.8744,40.9942,41.5051,4595219
2019-06-13,41.2894,41.2894,39.8111,40.6663,4166924
2019-06-14,40.5834,40.7411,40.0354,40.33,3521810
2019-06-17,39.7364,39.9606,39.1296,39.2979,3249750
2019-06-18,39.5912,39.8528,39.3146,39.8528,1880918
2019-06-19,39.6699,39.7364,38.593,39.0802,2120369
2019-06-20,39.5496,40.3881,39.5245,40.1059,2007577
2019-06-21,40.33,40.8119,40.0144,40.6663,4122345
2019-06-24,40.77,41.2894,39.8111,41.1023,6280920
2019-06-25,41.4012,42.4348,41.1437,42.2854,3351942
2019-06-26,42.0739,42.5804,41.7998,42.4724,2535626
2019-06-27,42.6883,42.8006,42.3274,42.3975,1468704
2019-06-28,42.1027,42.4348,41.9577,42.3975,2060926
2019-07-01,41.995,42.1693,41.7043,42.1693,2122540
2019-07-02,42.3274,42.8006,42.2441,42.7257,1791049
2019-07-03,43.3862,43.4276,42.9828,43.0958,816684
2019-07-05,42.7257,42.9828,42.6133,42.8422,966176
2019-07-08,42.3644,42.4724,41.8744,42.2067,821442
2019-07-09,41.6254,41.6254,40.3675,40.6663,1815531
2019-07-10,40.6997,40.9942,40.3675,40.4421,987140
2019-07-11,40.3675,40.8824,40.1059,40.8824,1193686
2019-07-12,40.9529,41.1729,40.5501,41.1437,1399120
2019-07-15,40.5834,40.8824,40.2222,40.8824,819856
2019-07-16,40.9155,40.9155,39.9275,40.2222,1562348
2019-07-17,40.33,41.4386,40.1806,41.2559,2223349
2019-07-18,41.2145,41.9577,40.1392,41.6254,2261793
2019-07-19,41.7998,42.1027,41.472,41.5838,910089
2019-07-22,40.8492,40.8492,39.3308,39.6324,2307796
2019-07-23,39.8528,40.1392,39.699,40.0767,804779
2019-07-24,39.9937,40.2222,39.3678,39.8111,1039815
2019-07-25,39.699,40.9529,39.699,40.5127,1484554
2019-07-26,40.33,41.069,39.9606,40.4421,859590
2019-07-29,40.4421,40.4421,39.7364,40.1059,470648
2019-07-30,39.1459,39.9148,38.8143,39.1459,1037018
2019-07-31,39.2979,40.409,39.022,39.1131,1811960
2019-08-01,39.1459,39.6324,38.6719,38.7779,1003625
2019-08-02,39.0419,39.5496,38.8143,38.8914,1008898
2019-08-05,38.8143,39.1296,37.9322,38.0076,1518522
2019-08-06,38.0076,38.187,37.2997,37.7798,1274154
2019-08-07,37.6022,38.5731,37.3778,38.4843,1377004
2019-08-08,38.4121,39.2979,38.4121,39.1459,1498617
2019-08-09,39.1459,39.3063,38.3029,38.6334,824734
2019-08-12,38.151,38.4121,37.7085,37.8748,634301
2019-08-13,37.6375,38.8143,37.4524,38.4843,889607
2019-08-14,38.0433,38.0433,36.6043,36.7127,1366044
2019-08-15,36.4176,36.5134,35.7531,35.7907,998653
2019-08-16,36.1592,36.7127,35.8087,36.6043,1093370
2019-08-19,36.8601,37.9322,36.8255,37.2997,1194409
2019-08-20,36.972,37.3588,36.6425,36.787,1396643
2019-08-21,36.3489,36.6743,34.3897,35.6077,1518812
2019-08-22,35.6077,35.8271,34.6472,35.2015,1975292
2019-08-23,35.2378,35.8654,34.6472,34.8327,2300950
2019-08-26,35.0915,35.8654,34.9432,35.8654,1062833
2019-08-27,35.9781,36.586,35.6444,36.0837,2287338
2019-08-28,35.9409,36.273,35.4217,35.8271,1217450
2019-08-29,35.8654,36.2348,35.6261,35.9409,942957
2019-08-30,36.1966,36.4561,35.9409,36.2348,1074067
2019-09-03,36.3117,36.3489,35.6077,35.8271,1062527
2019-09-04,35.9781,36.1216,35.5706,35.8271,1019154
2019-09-05,36.273,36.6043,35.9027,36.0459,1095725
2019-09-06,36.0459,36.4561,36.0459,36.4176,1115661
2019-09-09,36.3796,36.3796,35.8654,36.1966,1622590
2019-09-10,36.1216,37.7684,35.8985,37.582,2374255
2019-09-11,37.206,37.9183,37.1669,37.8788,1505732
2019-09-12,37.5425,37.7961,37.0191,37.7289,1832030
2019-09-13,37.8788,38.79,37.7684,38.1754,2025476
2019-09-16,37.4331,37.7289,35.9557,36.1216,1565442
2019-09-17,36.2348,36.4593,36.0123,36.4593,1244797
2019-09-18,36.6083,36.9995,36.273,36.6806,1056265
2019-09-19,36.6466,37.1669,36.4013,36.5703,1264246
2019-09-20,36.383,36.4777,35.9366,36.0837,3845914
2019-09-23,35.7117,36.3489,35.6741,36.0459,1249164
2019-09-24,36.2348,36.3489,35.7864,35.8613,1171220
2019-09-25,36.0123,36.3117,35.8613,36.0459,784834
2019-09-26,36.1966,36.273,35.6373,35.8985,956367
2019-09-27,36.0837,36.4211,35.9366,36.3489,1268381
2019-09-30,36.1966,36.8685,36.0123,36.4211,1610630
2019-10-01,36.4211,36.7197,35.5254,35.6741,1196138
2019-10-02,35.3761,35.5254,34.8528,35.1891,1609906
2019-10-03,34.9649,35.7117,34.4039,35.6741,1657016
2019-10-04,35.6741,35.7117,35.2637,35.4515,1809652
2019-10-07,35.2637,35.5254,35.0399,35.0769,1653894
2019-10-08,34.6288,34.7774,34.2923,34.4798,1433855
2019-10-09,34.6657,35.0769,34.4039,34.815,1195128
2019-10-10,34.9093,35.2264,34.7032,34.815,885411
2019-10-11,35.1891,36.3117,35.1891,35.8613,1486211
2019-10-14,35.4515,36.1216,35.4515,35.8246,1206554
2019-10-15,35.8613,35.8985,35.4317,35.8246,1521575
2019-10-16,35.7117,35.8613,34.9834,35.0769,1763470
2019-10-17,35.3379,36.0837,35.3379,35.8246,1285932
2019-10-18,35.6939,36.3117,35.6001,35.8246,1475833
2019-10-21,36.1216,36.498,35.9366,36.1592,1240405
2019-10-22,36.0123,36.5514,36.0123,36.0837,1725994
2019-10-23,36.3117,36.498,35.9749,36.273,1449664
2019-10-24,36.1216,36.1216,34.9279,35.3761,1292834
2019-10-25,35.5623,36.498,35.5623,36.3117,1741235
2019-10-28,36.1592,36.2348,35.7117,35.7864,1544464
2019-10-29,35.6001,35.8047,35.1511,35.4135,1419274
2019-10-30,35.1891,35.8985,35.1891,35.7117,1521732
2019-10-31,35.749,36.0837,35.3761,35.5623,9520146
2019-11-01,35.8613,36.3489,35.7305,36.3489,1432741
2019-11-04,36.3489,37.1307,36.273,36.9454,1614321
2019-11-05,36.8339,37.6022,36.6806,37.3549,2134972
2019-11-06,36.9454,37.7289,36.7197,37.2454,2426604
2019-11-07,37.0963,37.2454,36.498,36.5363,2366399
2019-11-08,37.2808,37.582,36.3117,36.498,2221330
2019-11-11,36.5363,37.0577,36.1966,36.6466,1452794
2019-11-12,36.5703,36.7589,36.383,36.7197,1223688
2019-11-13,36.6466,36.9454,36.498,36.8339,940084
2019-11-14,36.9805,37.3154,36.7589,37.1669,1098036
2019-11-15,37.4679,37.5425,37.1669,37.4331,1469251
2019-11-18,37.2808,37.6178,36.7589,37.4331,1533613
2019-11-19,37.582,38.0874,37.3736,37.8788,2170983
2019-11-20,37.582,37.6178,36.5168,36.7197,2746086
2019-11-21,36.9805,37.3154,36.9069,36.9805,1026331
2019-11-22,37.206,37.8788,37.206,37.582,1536415
2019-11-25,37.4331,38.2152,37.4331,37.7684,1411625
2019-11-26,38.4121,38.516,37.8,38.376,7288131
2019-11-27,38.4843,38.9771,38.1592,38.9363,1447491
2019-11-29,38.9363,39.1995,38.2592,38.7862,755948
2019-12-02,38.7862,38.8998,38.3593,38.4439,2752709
2019-12-03,38.0711,38.1791,37.429,38.0711,1276044
2019-12-04,38.1391,38.9158,38.1391,38.4843,1620318
2019-12-05,38.7532,39.1296,38.6374,39.0557,1274195
2019-12-06,39.1995,39.8071,39.1621,39.5786,2057625
2019-12-09,39.1995,39.6907,39.0966,39.4338,1290630
2019-12-10,39.1621,39.3146,38.7862,39.1296,1368737
2019-12-11,39.4338,39.89,39.2444,39.6199,1310354
2019-12-12,39.6907,40.4131,39.5123,40.3758,1306421
2019-12-13,40.1847,40.3382,39.7281,39.9275,712655
2019-12-16,40.4505,40.9362,40.2263,40.683,956718
2019-12-17,40.2637,40.8864,40.2263,40.8657,1998651
2019-12-18,40.6414,40.8864,40.4714,40.7163,2100632
2019-12-19,40.8323,41.0191,40.4131,40.8323,1409959
2019-12-20,42.1528,42.3438,40.7163,40.7163,4728186
2019-12-23,40.8657,41.5467,40.8323,41.2476,887669
2019-12-24,41.0609,41.3973,40.6,40.791,289775
2019-12-26,40.8989,41.1313,40.7163,41.0191,718031
2019-12-27,41.2062,41.6878,41.1313,41.3973,946981
2019-12-30,41.2062,41.3182,40.8864,41.0191,762766
2019-12-31,41.0191,41.2848,40.3758,40.9778,957391
2020-01-02,41.1313,41.2684,40.1433,40.1847,2653064
2020-01-03,39.5413,40.1847,38.9771,39.6575,2499009
2020-01-06,39.6199,39.7488,39.3515,39.3925,2280692
2020-01-07,39.1621,39.6575,39.0557,39.0557,2406730
2020-01-08,39.2407,39.8484,39.0966,39.1995,1309759
2020-01-09,39.4338,39.4706,39.1788,39.3146,1056219
2020-01-10,39.2407,39.9106,39.0966,39.5123,932923
2020-01-13,39.5786,40.4836,39.5579,40.4131,1112477
2020-01-14,40.2263,40.3382,39.9275,40.1433,1460581
2020-01-15,40.8989,40.9778,40.2263,40.3382,1052054
2020-01-16,40.4836,40.9362,40.3382,40.8989,929042
2020-01-17,40.8989,41.2268,40.791,41.2062,1594784
2020-01-21,40.6414,40.7163,39.9566,40.4505,1826068
2020-01-22,40.4505,40.683,40.4338,40.5586,1073365
2020-01-23,40.1433,40.683,40.0354,40.5586,1259243
2020-01-24,40.4131,40.4131,39.5123,39.6575,989181
2020-01-27,39.1296,41.3182,39.1296,40.7163,4023353
2020-01-28,40.8989,41.6878,40.791,41.1688,2174872
2020-01-29,41.1688,41.4675,40.8323,41.0191,1656045
2020-01-30,40.6,40.9572,40.2637,40.9362,1495029
2020-01-31,40.2637,40.3758,39.4338,40.0354,13220335
2020-02-03,40.0354,40.6955,39.3515,40.3758,3407362
2020-02-04,40.8323,41.339,40.683,41.094,2154333
2020-02-05,41.3557,41.9619,41.1688,41.6669,3116152
2020-02-06,41.7708,41.7708,41.3973,41.6254,2269950
2020-02-07,41.2476,41.3973,40.8323,40.8989,1333435
2020-02-10,40.7538,41.3557,40.301,40.8657,1561542
2020-02-11,41.0191,41.7166,40.9362,41.4675,1470735
2020-02-12,40.683,40.9362,39.0966,39.5786,2216499
2020-02-13,39.0557,39.1296,38.3189,38.4121,1501923
2020-02-14,38.1391,39.1296,38.0711,38.5971,1502141
2020-02-18,38.7124,38.7862,38.2787,38.5971,1170323
2020-02-19,38.6756,39.2407,38.4439,38.4843,1696208
2020-02-20,38.5971,39.1621,38.5371,38.8226,1386151
2020-02-21,38.5971,38.7862,38.0309,38.7124,1199426
2020-02-24,38.219,38.299,37.429,37.539,1866530
2020-02-25,37.657,37.6935,36.4437,36.5558,2961493
2020-02-26,36.8213,37.3707,36.6705,36.8946,3591914
2020-02-27,36.7466,36.7645,35.3845,35.7623,4055856
2020-02-28,35.0449,35.6498,34.516,35.2335,4355900
2020-03-02,36.5935,37.0495,35.4601,37.0107,2697192
2020-03-03,36.7044,37.6257,36.1106,36.7044,3020921
2020-03-04,37.1622,37.4679,36.0537,37.3941,2244562
2020-03-05,36.3972,37.0306,35.7471,35.9389,2149031
2020-03-06,35.632,35.9389,34.8292,35.67,2824060
2020-03-09,34.0634,35.174,32.9535,33.9875,5113335
2020-03-10,34.4072,34.5998,32.4936,34.3309,4905646
2020-03-11,31.5371,32.1113,30.3891,30.5802,4616491
2020-03-12,26.4853,27.1739,25.0699,25.6429,7854081
