Date,Open,High,Low,Close,Volume
2014-06-02,75.8614,75.9553,74.5924,74.7788,2713967.6574642
2014-06-03,74.7788,75.2023,74.7788,75.0572,1858823.3526728
2014-06-04,75.0572,75.3996,74.7039,75.3019,2242149.5073307
2014-06-05,75.3996,75.9986,75.0927,75.9128,1876486.0838122
2014-06-06,75.9908,76.6835,75.8467,76.497,1722362.0099343
2014-06-09,76.5888,76.7576,75.6433,75.8546,2085697.8966835
2014-06-10,75.6187,76.3707,75.1174,75.5684,1498310.5035552
2014-06-11,75.3385,75.3385,74.7394,75.0996,1337229.1517241
2014-06-12,75.3848,75.3848,74.5647,74.9427,2087499.5337649
2014-06-13,75.2298,75.2456,74.2459,75.1104,1526469.9492762
2014-06-16,75.3237,75.3848,74.2371,74.6792,1404072.1166911
2014-06-17,74.5924,75.1381,74.2015,74.9338,2033988.4805413
2014-06-18,74.7878,74.9427,73.9291,74.7966,1830470.3677602
2014-06-19,74.7483,75.375,74.4858,75.375,1713962.8143394
2014-06-20,75.3503,75.7036,75.0167,75.673,2132473.5833829
2014-06-23,75.5881,75.7915,75.4509,75.6641,1077523.8757464
2014-06-24,75.4184,76.1043,75.3928,75.8003,1440559.8274133
2014-06-25,75.1569,76.0805,75.1569,75.826,1326038.3306177
2014-06-26,75.7915,75.8753,75.2378,75.2723,1758212.3586069
2014-06-27,75.2042,76.0204,75.2042,75.6039,1646784.4489933
2014-06-30,75.6395,76.4359,75.4865,76.4181,2552153.6939291
2014-07-01,76.504,76.504,75.8092,76.1901,2848586.8313535
2014-07-02,76.1842,76.5799,75.8092,76.2138,2252464.8422512
2014-07-03,76.2039,76.5138,75.6305,76.4447,1372496.8562336
2014-07-07,76.198,77.1583,76.0953,77.0586,2113416.5594291
2014-07-08,76.8276,77.1138,76.4359,76.7398,2060813.4178056
2014-07-09,76.8276,77.403,76.3272,77.1751,1899941.8178731
2014-07-10,76.6569,77.8125,76.5316,77.6349,1848209.0959644
2014-07-11,77.5826,77.9931,77.2757,77.8263,1255411.7251209
2014-07-14,78.0919,78.2201,77.6428,78.1105,1729800.602631
2014-07-15,78.0919,78.152,77.1237,77.8195,2091752.3295077
2014-07-16,78.0504,78.2695,77.6595,78.1796,1523917.4611953
2014-07-17,77.856,78.1353,77.0724,77.1503,1567939.0142685
2014-07-18,77.4879,78.5853,77.3852,78.5359,1839062.0892524
2014-07-21,78.2793,78.4155,77.9487,78.0138,1214179.7709705
2014-07-22,78.4077,78.9396,77.9655,78.8823,1841179.8741232
2014-07-23,79.135,79.2406,78.8567,78.9494,1450977.5050477
2014-07-24,78.9396,79.0303,78.3662,78.4491,1320530.0633655
2014-07-25,78.3416,78.9396,78.228,78.3218,1064434.1413159
2014-07-28,78.5172,78.8645,78.1431,78.4728,1969474.0656378
2014-07-29,78.5665,79.1527,78.2349,78.4313,1970329.2859396
2014-07-30,79.4685,82.8574,79.4685,81.7452,3383520.0371052
2014-07-31,81.3989,81.7532,80.1663,80.1663,2877722.0793858
2014-08-01,80.2314,81.2035,79.9008,80.1317,2025661.2288343
2014-08-04,80.4702,81.3002,79.733,81.1561,2195700.1013626
2014-08-05,80.6311,80.9123,79.9264,80.5048,2334107.9822526
2014-08-06,80.7643,81.5587,79.9452,81.2361,2863752.8055927
2014-08-07,81.5074,82.8989,81.3436,82.5841,3791795.5214697
2014-08-08,82.5446,83.3855,82.2446,83.3232,2206542.3492653
2014-08-11,83.6805,84.555,83.2078,83.2542,2356407.5476353
2014-08-12,83.1279,83.1723,81.916,82.1351,2837616.908382
2014-08-13,82.518,82.6878,81.9723,82.5594,2116638.834974
2014-08-14,82.8496,82.9986,82.3562,82.8496,1463157.3012898
2014-08-15,83.2976,83.791,82.9423,83.4081,1994707.1177193
2014-08-18,84.1661,84.7404,83.9855,84.7404,2136105.2297832
2014-08-19,84.7226,84.8411,83.723,84.1325,2571891.651583
2014-08-20,84.0724,84.096,83.1032,83.791,2065330.6833336
2014-08-21,84.0556,84.8184,83.87,84.0201,3425587.9589675
2014-08-22,84.0201,84.0634,83.0765,83.341,1953085.0453034
2014-08-25,83.9075,84.0467,83.57,83.9943,1417222.6487735
2014-08-26,84.1483,84.1483,83.57,83.7388,1352214.7595963
2014-08-27,84.0121,84.399,83.6983,83.9075,1669138.7322626
2014-08-28,83.8848,84.241,83.7654,83.8927,1241569.1131023
2014-08-29,84.1799,84.2934,83.6647,83.7388,2710021.889863
2014-09-02,84.1897,84.3013,83.3144,83.8927,3153708.966513
2014-09-03,82.9325,83.4516,82.8496,83.3232,2713078.9984539
2014-09-04,83.5947,84.0289,83.3312,83.7388,2896550.0988512
2014-09-05,83.6647,84.7068,83.5868,84.6141,1742965.3208321
2014-09-08,84.7582,84.8411,84.096,84.3812,1127905.8764911
2014-09-09,84.1729,84.3901,83.341,83.7052,1723742.11663
2014-09-10,83.2375,83.6983,82.7055,82.7815,2068754.6044236
2014-09-11,82.7884,83.2078,82.3226,83.0835,2412374.8259912
2014-09-12,82.9926,83.0184,81.0436,81.5409,2424855.5706097
2014-09-15,81.4472,81.6032,80.4189,80.8008,3479044.2943046
2014-09-16,80.8008,81.4068,80.5719,81.0841,2494805.2955833
2014-09-17,81.3337,81.7127,80.9874,81.2213,2257587.0444146
2014-09-18,81.4384,82.0848,81.2035,81.4314,1991729.0460758
2014-09-19,81.9909,82.1972,80.8699,81.1206,3122413.3752537
2014-09-22,81.0821,81.0969,80.0093,80.3982,2041625.6789004
2014-09-23,80.4149,80.9203,80.0548,80.0725,1455265.7660873
2014-09-24,80.1347,80.9488,79.8347,80.2965,1540796.9159207
2014-09-25,79.9906,80.2679,79.2899,79.3847,2099008.5292489
2014-09-26,79.3146,80.2867,79.2899,79.6649,3210928.6764958
2014-09-29,79.1893,80.0468,79.0955,79.7508,2510710.9745859
2014-09-30,79.9729,80.2679,79.5011,79.8209,3425166.4285818
2014-10-01,80.0172,80.2038,79.358,79.6649,2262446.803381
2014-10-02,79.7005,80.188,79.358,79.7005,1961272.4624112
2014-10-03,79.8425,80.3754,79.6906,80.032,3516378.1056809
2014-10-06,80.3578,80.5531,79.7932,80.032,1731288.1185114
2014-10-07,79.7676,80.3064,79.5386,79.588,1777199.4652612
2014-10-08,79.7083,81.3268,79.5109,81.2676,1939441.0389473
2014-10-09,81.2203,82.0009,80.5018,80.7712,2720186.2439482
2014-10-10,80.9025,82.1381,80.6636,80.7377,3020557.0426204
2014-10-13,80.6193,80.8344,79.2317,79.3146,2612340.3293193
2014-10-14,79.7932,80.8077,79.2465,79.581,2989316.1692477
2014-10-15,79.2317,79.8425,76.8947,78.4135,4049645.4557735
2014-10-16,77.3655,79.0767,77.2776,78.8231,2577823.4758093
2014-10-17,79.4172,79.9906,78.8557,79.427,2451771.7043516
2014-10-20,79.4616,80.2432,79.1438,80.2126,1657300.4161647
2014-10-21,80.4939,81.5242,80.1435,81.4975,1639508.9966623
2014-10-22,81.5597,82.0245,80.8798,80.9321,1437377.0703421
2014-10-23,81.4216,82.0542,81.1926,81.7295,1760378.7815991
2014-10-24,81.61,82.069,81.308,81.9821,1691594.3449515
2014-10-27,81.6416,82.069,80.9409,81.9673,1952522.6670242
2014-10-28,81.164,82.2387,81.164,82.1805,1876563.0941711
2014-10-29,82.1311,82.2574,80.861,81.0327,3484093.5392858
2014-10-30,82.368,84.6812,81.5242,84.3121,3562824.4717663
2014-10-31,84.8668,85.5605,83.0568,83.117,4640283.4966842
2014-11-03,81.6959,82.8101,81.6959,82.5713,3224503.7788466
2014-11-04,82.6571,82.9394,81.6032,82.5891,3689395.0498527
2014-11-05,82.9127,83.2532,82.2387,83.2443,2372937.415863
2014-11-06,85.5753,86.4853,83.9539,84.8668,4944351.8058794
2014-11-07,85.0947,85.3612,84.1503,84.7987,2950167.5479654
2014-11-10,84.2332,84.8075,84.0644,84.6526,2352882.2971256
2014-11-11,85.0503,85.0503,84.1681,84.8233,1724934.7638993
2014-11-12,84.7888,85.0779,84.3201,85.0286,2068095.9631959
2014-11-13,84.9517,85.6394,84.9517,85.2062,1610691.9230077
2014-11-14,85.0869,85.302,84.6526,84.851,1455015.4824208
2014-11-17,84.7355,85.3366,84.7355,84.8588,1870818.7293711
2014-11-18,84.9852,85.9494,84.8322,85.8102,1893446.6020734
2014-11-19,86.0353,86.0876,85.2151,85.9414,1643440.5781448
2014-11-20,85.8102,86.1388,85.5072,85.8517,1649434.2133172
2014-11-21,86.6659,87.0596,86.1724,87.0438,3554514.4460608
2014-11-24,87.1217,87.6004,86.9392,87.3518,2400667.2248447
2014-11-25,87.335,89.0374,87.2274,88.7975,3051215.27183
2014-11-26,89.0541,89.6916,88.6653,89.2505,1682058.2332681
2014-11-28,89.6818,90.6252,89.4035,89.5208,1082254.9463499
2014-12-01,88.4482,89.5899,88.0682,88.2251,2890150.132706
2014-12-02,87.0951,87.2195,85.601,86.9303,4508010.0988599
2014-12-03,87.3813,87.4583,86.6747,86.6747,2122445.01072
2014-12-04,86.5712,86.9303,86.3303,86.6126,1916240.655024
2014-12-05,86.5079,86.8425,85.4826,85.7165,2492154.5179652
2014-12-08,85.601,86.6401,85.5428,85.9059,2552349.259709
2014-12-09,85.2665,85.9829,85.0208,85.9138,1958525.4218444
2014-12-10,85.5428,86.1891,85.2221,85.3927,2142955.0985516
2014-12-11,85.7243,85.827,85.0779,85.2062,2425973.2341084
