Date,Open,High,Low,Close,Volume
2014-06-02,10.8464,10.954,10.801,10.9462,4315126.4732069
2014-06-03,10.8933,10.9242,10.8078,10.9056,3955255.5029008
2014-06-04,10.8714,10.9046,10.8405,10.8636,2455599.5332655
2014-06-05,10.8783,10.9785,10.8611,10.9507,5454729.4675108
2014-06-06,10.9967,11.07,10.9737,11.0312,5674419.758221
2014-06-09,11.0113,11.1853,10.9853,11.1247,4595943.8674622
2014-06-10,11.084,11.0983,11.0386,11.0626,3143304.4993992
2014-06-11,11.024,11.1257,10.9887,11.108,2732721.6120043
2014-06-12,11.0015,11.0865,10.9516,10.9887,3150942.5754667
2014-06-13,11.0001,11.0288,10.9336,10.9667,2453795.8430135
2014-06-16,10.9477,11.0015,10.8953,10.9296,2138884.2039921
2014-06-17,10.9018,11.0033,10.8734,10.9599,3206204.618192
2014-06-18,10.9599,10.9933,10.8533,10.9877,5585149.3607422
2014-06-19,10.9991,11.0558,10.954,11.0342,4123100.9463637
2014-06-20,11.0666,11.0875,11.0152,11.042,5504633.6094869
2014-06-23,11.0362,11.0586,10.9877,10.9991,2369918.1112883
2014-06-24,10.9809,11.0113,10.8787,10.8943,3227190.4111255
2014-06-25,10.8739,10.9218,10.8312,10.89,4079258.1852352
2014-06-26,10.8905,10.8968,10.7531,10.826,3122216.4564512
2014-06-27,10.798,10.935,10.798,10.9056,3607083.9792303
2014-06-30,10.9018,10.9227,10.8518,10.9134,3604689.2838958
2014-07-01,10.9809,11.0288,10.9085,11.0278,6837714.0808368
2014-07-02,11.0059,11.023,10.9701,11.0104,2899982.1853853
2014-07-03,11.0264,11.0924,11.0161,11.0801,1853837.749146
2014-07-07,11.0792,11.1125,11.0104,11.0817,3091615.0721736
2014-07-08,11.0778,11.0993,10.9632,11.0646,4009973.5755498
2014-07-09,11.0778,11.0865,10.9599,11.02,2440636.2661738
2014-07-10,10.9194,11.0033,10.8928,10.9492,2092851.2475573
2014-07-11,10.9737,10.9907,10.9085,10.9414,2465967.6847151
2014-07-14,11.0079,11.0616,10.9737,10.9827,2070380.7844164
2014-07-15,10.9785,11.024,10.9036,10.932,3810688.2976921
2014-07-16,10.9599,10.9933,10.8851,10.932,2981272.9917491
2014-07-17,10.9085,10.9414,10.7018,10.7237,6485757.261637
