Date,Open,High,Low,Close,Volume
2014-06-02,17.5953,17.5953,17.1797,17.249,21356.020231259
2014-06-03,17.1342,17.3162,17.0164,17.055,17240.037152571
2014-06-04,17.1431,17.2638,16.8729,17.2202,24929.336255379
2014-06-05,17.1797,17.6507,17.1797,17.6111,26728.12090553
2014-06-06,17.4479,17.6725,17.241,17.6645,38483.885981489
2014-06-09,17.6111,17.8209,17.5141,17.6953,33212.840624642
2014-06-10,17.6033,17.8209,17.4785,17.6863,17002.557156624
2014-06-11,17.6557,17.6557,17.3667,17.5141,14800.56178995
2014-06-12,17.439,17.4924,17.2984,17.431,16857.037499533
2014-06-13,17.4063,17.4855,17.2906,17.4212,9149.5484395883
2014-06-16,17.337,17.4479,17.2362,17.3301,14668.179324125
2014-06-17,17.3816,17.4479,17.3301,17.3816,17001.54660345
2014-06-18,17.337,17.5083,17.3301,17.4479,9947.8854472396
2014-06-19,17.5083,17.6429,17.3667,17.5083,9082.8519300883
2014-06-20,17.5637,17.8278,17.4716,17.5637,75938.018278426
2014-06-23,17.6033,17.8278,17.5083,17.5231,12526.817147906
2014-06-24,17.531,17.7992,17.531,17.5399,14155.828864784
2014-06-25,17.5399,17.8209,17.5231,17.7437,14623.714984458
2014-06-26,17.5231,17.7576,17.5231,17.6269,8370.4119422476
2014-06-27,17.6181,17.7992,17.5705,17.5865,67204.817746625
2014-06-30,17.5637,17.6695,17.5231,17.5865,16736.781671798
2014-07-01,17.5637,17.8774,17.5637,17.7596,31618.187715688
2014-07-02,17.7437,17.8378,17.6181,17.6863,13294.83756033
2014-07-03,17.7734,17.7903,17.5231,17.5231,18509.291939419
2014-07-07,17.5865,17.5865,17.337,17.337,22117.977324638
2014-07-08,17.3301,17.5705,17.0847,17.1431,40650.511987064
2014-07-09,17.1431,17.2638,16.7819,16.8205,58839.458570249
2014-07-10,16.7957,16.9373,16.6246,16.7255,47130.178940305
2014-07-11,16.7106,16.8294,16.6642,16.7819,23214.42751869
2014-07-14,16.9947,17.1213,16.8463,16.9293,33486.700534862
2014-07-15,17.0075,17.0075,16.7186,16.7601,22544.430764168
2014-07-16,16.8037,16.9779,16.7186,16.7344,28161.085306606
2014-07-17,16.7186,16.8729,16.6246,16.6344,25122.35191166
2014-07-18,16.5998,16.9501,16.5998,16.9017,21556.109759759
2014-07-21,16.775,17.0936,16.775,17.0075,15607.99377617
2014-07-22,17.1638,17.2292,17.0471,17.1589,22865.786673577
2014-07-23,17.1094,17.2728,17.0402,17.2124,11193.89751108
2014-07-24,17.1956,17.3301,17.0788,17.0936,22656.602166509
2014-07-25,17.0847,17.1698,16.8294,16.9501,23519.614577312
2014-07-28,16.9373,17.0708,16.8719,16.9947,8094.5309256795
2014-07-29,16.8819,17.2044,16.8819,17.0847,18879.154401192
2014-07-30,17.0936,17.1956,17.0075,17.1035,9104.0735467474
2014-07-31,17.0026,17.1797,16.9085,17.0471,23375.105473395
2014-08-01,17.0788,17.2558,16.9461,17.0026,20640.548583896
2014-08-04,16.9373,17.0847,16.8443,17.0164,18141.450583995
2014-08-05,17.0402,17.2202,16.8205,16.9373,20566.778202176
2014-08-06,16.9373,17.0471,16.8661,16.9501,17804.936376972
2014-08-07,16.9967,17.3786,16.867,16.9095,24887.903575235
2014-08-08,16.8205,16.9095,16.7611,16.9027,13152.349562761
2014-08-11,16.867,17.0214,16.7671,16.8739,12255.988897209
2014-08-12,16.8037,16.8313,16.4197,16.6394,69042.003417397
2014-08-13,16.6156,16.8581,16.5909,16.7097,25071.824252947
2014-08-14,16.7671,16.8739,16.681,16.8739,8710.9683619672
2014-08-15,16.9461,17.0253,16.5524,16.7403,35200.598718376
2014-08-18,16.7591,16.9027,16.5909,16.8205,27180.848727591
2014-08-19,16.7591,16.8927,16.5909,16.679,35400.688246876
2014-08-20,16.6473,16.7819,16.5909,16.7097,22808.185142645
2014-08-21,16.6068,16.7403,16.5968,16.6928,26702.857076174
2014-08-22,16.775,16.8739,16.5721,16.6542,27211.165322818
2014-08-25,16.6522,16.8096,16.5524,16.6325,26245.076488243
2014-08-26,16.5692,16.7097,16.5128,16.6542,38337.355771224
2014-08-27,16.672,16.6928,16.5128,16.5266,32422.588042385
2014-08-28,16.5128,16.6394,16.4336,16.4564,37431.900127103
2014-08-29,16.4564,16.775,16.4564,16.7591,21999.742603251
2014-09-02,16.8037,16.8611,16.5909,16.7245,19725.997961207
2014-09-03,16.7245,16.8363,16.489,16.5692,37625.926336558
2014-09-04,16.5612,16.6928,16.5346,16.5346,16912.617924116
2014-09-05,16.5128,16.7403,16.5128,16.576,18803.362913123
2014-09-08,16.5524,16.6068,16.5524,16.5968,12450.015106663
2014-09-09,16.5692,16.6325,16.5128,16.5266,16146.618618041
2014-09-10,16.5128,16.7403,16.4564,16.6394,15606.983222996
2014-09-11,16.576,16.8205,16.4642,16.7502,26154.126702561
2014-09-12,16.7591,16.7799,16.4564,16.4564,25696.346114629
2014-09-15,16.4504,16.5128,16.3376,16.3603,21939.109412797
2014-09-16,16.5909,16.5909,16.3435,16.3851,27453.698084636
2014-09-17,16.4197,16.4276,16.1951,16.2426,37219.683960512
2014-09-18,16.3851,16.4306,16.2021,16.3099,30913.832153241
2014-09-19,16.3297,16.3297,15.9022,16.0011,45341.499821896
2014-09-22,16.0437,16.1723,15.8092,15.9665,54643.641790795
2014-09-23,15.918,16.1981,15.918,16.0239,18928.671506729
2014-09-24,16.1179,16.1485,16.0011,16.1179,19122.697716184
2014-09-25,16.0516,16.1951,16.0367,16.0516,25715.54662494
2014-09-26,16.0595,16.2199,16.0516,16.0516,21292.355381282
2014-09-29,16.0367,16.1803,15.9833,16.1179,23194.216455206
2014-09-30,16.1337,16.3099,15.9111,15.9111,42703.956037124
2014-10-01,15.9526,16.1585,15.6835,15.6993,51419.977164963
2014-10-02,15.6993,16.1485,15.6993,15.9526,27760.906249606
2014-10-03,15.8408,16.11,15.7626,15.9754,35699.811986452
2014-10-06,15.9665,16.0863,15.7854,15.7934,19704.776344547
2014-10-07,15.73,16.0239,15.73,15.7478,22828.39620613
2014-10-08,15.7854,16.2604,15.73,16.0863,28503.662832674
2014-10-09,16.0961,16.1585,15.7696,15.9754,37435.9423398
2014-10-10,15.8656,16.5128,15.8656,16.2693,21262.038786055
2014-10-13,16.2267,16.8501,16.2267,16.7245,36722.491798785
2014-10-14,16.867,17.057,16.5612,17.0491,43069.7762862
2014-10-15,16.9709,17.145,16.8581,17.1114,27199.038684727
2014-10-16,16.9393,17.34,16.6542,17.145,59546.845792218
2014-10-17,17.3133,17.3133,16.7671,16.7819,29313.115925242
2014-10-20,16.8887,17.1916,16.7245,17.0253,28443.029642219
2014-10-21,17.0412,17.3104,16.8927,17.0412,25093.045869607
2014-10-22,17.1203,17.342,16.8739,16.8829,38110.991860194
2014-10-23,17.1045,17.1045,16.7957,17.057,19706.797450896
2014-10-24,17.0026,17.1114,16.9393,16.9393,11111.032150792
2014-10-27,17.0184,17.244,16.9511,17.2164,25680.177263841
2014-10-28,17.2786,17.6111,17.2322,17.4291,45460.745096457
2014-10-29,17.5825,17.5825,17.2876,17.438,14488.30085911
2014-10-30,17.438,18.008,17.2074,17.6655,73739.054571275
2014-10-31,17.8011,17.9674,17.4202,17.5953,45677.003475745
2014-11-03,17.7447,17.7447,17.3658,17.5221,20899.250196502
2014-11-04,17.438,17.5676,17.3212,17.3717,23284.155687713
2014-11-05,17.434,17.625,17.2342,17.434,17217.804982738
2014-11-06,17.6013,17.8922,17.3865,17.8239,27268.76685375
2014-11-07,17.9011,17.91,17.5281,17.8744,37912.923438042
2014-11-10,17.8744,18.002,17.6507,17.9852,27888.23594956
2014-11-11,17.6577,18.0308,17.6507,17.9932,23329.630580554
2014-11-12,17.6339,18.0258,17.6339,17.8744,29946.732765492
2014-11-13,17.8318,17.9446,17.7546,17.7675,12414.645745565
2014-11-14,17.9189,17.9268,17.5943,17.7546,20215.10569754
2014-11-17,17.6775,17.8744,17.6775,17.7546,13880.95840139
2014-11-18,17.8664,18.1049,17.8318,17.9446,19716.902982638
2014-11-19,17.9704,17.9704,17.4597,17.4805,18665.927681427
2014-11-20,17.4805,17.4805,17.1302,17.2906,47161.506088706
2014-11-21,17.5695,17.8318,16.9788,17.1065,36715.417926565
2014-11-24,17.2104,17.4518,16.9759,17.147,78639.226913175
2014-11-25,17.1134,17.6923,17.0817,17.1778,14995.598552579
2014-11-26,17.2816,17.4093,17.2024,17.3934,15072.400593821
2014-11-28,17.3252,17.4093,17.1233,17.1391,10803.823985823
2014-12-01,17.1391,17.249,16.9788,17.0035,30427.756076431
2014-12-02,17.058,17.5815,17.0115,17.156,23733.851850251
2014-12-03,17.3746,17.4172,17.0263,17.3321,21784.494777138
2014-12-04,17.2728,17.3162,17.1223,17.1629,14139.660013996
2014-12-05,17.156,17.5449,16.9511,17.1936,27455.719190985
2014-12-08,17.3687,17.3934,17.0342,17.0896,21157.951809108
