Date,Open,High,Low,Close,Volume
2016-10-04,16.1915,16.1915,14.6658,14.7648,2318269.9747714
2016-10-05,14.6658,14.7054,13.7806,13.9372,3781704.8580649
2016-10-06,13.642,14.2173,13.5341,13.7906,2468787.9527948
2016-10-07,13.7806,15.2866,13.4846,14.8628,4327908.502933
2016-10-10,14.9608,16.0638,14.942,15.3746,1903010.7691464
2016-10-11,14.8331,15.7777,14.7648,15.3945,1888680.3409398
2016-10-12,14.7846,15.4341,13.9965,14.745,2148402.6865457
2016-10-13,14.9123,15.0797,14.6855,14.8926,1166144.1505193
2016-10-14,14.8044,15.8469,14.6757,15.3746,1136661.1226544
2016-10-17,15.1876,16.0825,15.0697,15.7677,895768.92739055
2016-10-18,16.0449,16.0539,15.7479,15.8469,679924.68032906
2016-10-19,15.8172,16.2905,15.7093,15.9559,616832.61675976
2016-10-20,15.7974,16.2509,15.5123,16.1122,584232.60965559
2016-10-21,15.9261,16.6549,15.7479,16.0736,721934.20739181
2016-10-24,16.2211,16.6934,15.7974,16.4578,537535.49327041
2016-10-25,16.2905,16.7033,16.1271,16.3004,659596.64268564
2016-10-26,16.1518,16.6053,15.8866,16.1915,705463.50730976
2016-10-27,16.0736,16.1816,15.3063,15.6806,409923.17149662
2016-10-28,15.5816,16.0053,15.3549,15.4142,398621.8491677
2016-10-31,15.4044,15.7777,14.6855,15.7093,676518.8300392
2016-11-01,15.7479,15.8717,14.5965,14.7054,504303.20197837
2016-11-02,14.5766,14.8044,14.4202,14.6163,685262.73453483
2016-11-03,14.7549,15.148,14.4202,14.6658,344987.78741161
2016-11-04,14.6855,15.0697,14.5677,14.6855,338550.81116688
2016-11-07,14.745,14.9222,14.5192,14.7351,496475.40252809
2016-11-08,14.6063,14.8143,14.4896,14.8044,801543.43282053
2016-11-09,14.8331,15.6262,14.6658,15.0895,1407632.26858
2016-11-10,14.9806,15.8866,14.9707,15.8074,969548.20979643
2016-11-11,15.7479,16.4865,15.3351,16.3786,415111.73998386
2016-11-14,16.3499,16.3786,15.7093,15.7192,272336.71816522
2016-11-15,15.5816,16.1915,14.942,16.1321,542277.62467932
2016-11-16,16.1518,16.1518,15.4142,15.9459,309194.03813171
2016-11-17,15.8469,16.4281,15.8469,16.2707,295717.09257493
2016-11-18,16.4381,17.8845,16.241,17.7369,576975.48203618
2016-11-21,17.9142,19.2428,17.7369,19.1934,663020.673671
2016-11-22,19.3716,19.9617,19.0468,19.2329,788971.48188405
2016-11-23,19.1834,19.5577,18.5934,19.4596,233911.81823138
2016-11-25,19.6171,20.0398,19.3814,19.8042,114477.77931552
2016-11-28,19.922,19.922,19.2032,19.5181,303445.90823861
2016-11-29,19.5874,19.6567,18.8092,18.9775,302342.94604509
2016-11-30,18.9478,19.6171,18.3379,18.4063,719825.2467141
2016-12-01,18.5834,19.2528,18.5052,18.7023,339380.05288929
2016-12-02,18.7508,19.0073,18.5637,18.8092,146229.35396316
2016-12-05,18.9973,19.5478,18.7023,19.3517,251647.08668913
2016-12-06,19.4893,20.3447,19.0963,20.1488,274685.0580003
2016-12-07,20.1586,20.7378,19.6864,20.3943,430012.84002128
2016-12-08,20.4141,20.6695,19.8972,20.0398,345458.46541726
2016-12-09,20.021,20.0794,19.322,19.6764,557025.19884366
2016-12-12,19.6368,20.2181,19.3121,19.3716,224218.47741533
2016-12-13,19.4299,20.0398,19.4299,19.9418,330904.81867157
2016-12-14,19.7646,20.0794,19.4596,20.0596,245819.16374357
2016-12-15,20.03,20.8279,19.7062,20.8081,317131.93179363
2016-12-16,20.7686,22.1853,20.2181,21.8803,1009142.7344739
2016-12-19,22.5992,22.5992,20.7487,21.2804,318067.2275731
2016-12-20,21.2418,21.2804,20.6704,21.0734,196660.58319577
2016-12-21,21.0041,22.8754,20.818,22.609,333846.0511876
2016-12-22,22.52,22.6289,22.1466,22.2745,119616.85590947
2016-12-23,22.1853,22.9734,22.0882,22.3239,138294.49041717
2016-12-27,22.215,22.8852,22.215,22.5793,184355.28245992
2016-12-28,22.6189,22.9833,21.8209,22.1378,200839.11304428
2016-12-29,22.0289,22.2051,21.8319,22.0784,284380.41889363
2016-12-30,22.1081,22.1081,21.408,21.7922,209951.68164304
2017-01-03,21.6546,21.6546,21.1527,21.6546,413675.46503957
2017-01-04,21.8121,22.6387,21.7537,22.6387,302294.46419043
2017-01-05,22.6981,22.6981,22.0587,22.1566,149521.06988683
2017-01-06,22.2447,22.3249,21.6546,21.9695,205087.33555884
2017-01-09,22.019,22.019,21.1427,21.1427,217195.67876013
2017-01-10,21.1823,21.5853,20.917,21.418,223673.05655041
2017-01-11,21.4477,21.6101,21.1922,21.2319,160791.08101797
2017-01-12,21.6151,21.6248,20.5546,21.0636,331776.48201681
2017-01-13,21.1527,22.1466,21.1527,22.0784,299282.52896969
2017-01-17,22.1466,22.7476,21.8704,22.7179,361577.67205302
2017-01-18,22.8852,23.8793,22.8457,23.8693,446843.11385872
2017-01-19,23.9387,24.2139,23.505,24.0951,285116.73706128
2017-01-20,24.2832,24.8535,24.2832,24.8436,266696.66240645
2017-01-23,25.0109,25.4248,24.8535,25.4049,227184.96089734
2017-01-24,25.601,26.9702,25.3555,26.6157,392033.36712714
2017-01-25,26.9604,27.3446,25.7395,25.7395,418585.26286252
2017-01-26,25.8089,25.8377,24.9317,25.3258,328891.81166454
2017-01-27,25.4347,25.5327,24.9515,25.1495,154125.83604088
2017-01-30,24.9317,25.6109,24.8535,25.5812,298899.72432562
2017-01-31,25.5812,26.2316,25.0208,25.2862,159518.43233315
2017-02-01,25.4248,25.7298,25.2693,25.5812,246163.58691938
2017-02-02,25.7099,26.3495,25.5812,26.0842,263411.00671462
2017-02-03,26.1139,26.1921,25.9456,26.0347,112840.50668212
2017-02-06,26.0248,26.0248,25.3654,25.6703,221547.93525449
2017-02-07,25.601,25.8871,24.4694,24.5783,661855.08908188
2017-02-08,24.5584,24.5584,23.6912,24.2139,602493.09820547
2017-02-09,24.2239,25.9653,24.2239,25.2862,255388.26980705
