Date,Open,High,Low,Close,Volume
2014-06-02,80.8338,80.8707,79.8633,80.1619,644127.14659048
2014-06-03,80.2177,81.0299,80.2077,80.348,1183786.499136
2014-06-04,80.6377,80.9831,80.5999,80.8607,801925.3632251
2014-06-05,81.9338,82.0104,81.216,81.8113,1662140.8803499
2014-06-06,82.8595,83.1561,82.5808,83.1292,1253011.7705786
2014-06-09,82.6246,83.5951,82.6166,83.1661,584117.1101705
2014-06-10,83.2318,83.3642,82.9809,83.1392,600875.91870081
2014-06-11,83.9326,84.1097,83.4468,83.8938,745054.71516726
2014-06-12,83.7922,83.9953,83.1661,83.3731,1501035.506439
2014-06-13,83.9694,84.0251,83.1472,83.4169,1138244.7734973
2014-06-16,84.0997,84.7538,83.9594,84.5577,1339011.9242201
2014-06-17,84.9598,85.3858,84.8931,85.1729,797971.24079522
2014-06-18,86.4051,87.2632,86.2638,87.0592,1193446.7738528
2014-06-19,87.533,87.7132,86.648,87.2443,988984.68860342
2014-06-20,88.0944,88.5792,87.8406,88.4776,1118645.948679
2014-06-23,86.3315,87.0124,86.0986,86.7406,1125496.3452363
2014-06-24,86.7506,87.2175,85.9861,86.0787,458532.53424641
2014-06-25,86.1633,86.7317,86.1264,86.648,378330.95648541
2014-06-26,86.0787,86.1902,85.1161,86.0587,617618.65356271
2014-06-27,85.2207,86.2927,85.2207,86.1902,489986.69412436
2014-06-30,86.3474,87.1885,86.3216,87.0492,327059.97266135
2014-07-01,87.8216,88.5434,87.8136,88.3561,436325.75672797
2014-07-02,87.2921,87.6942,87.1318,87.6753,481943.83229163
2014-07-03,88.7862,89.3088,88.7473,89.3088,249173.003152
2014-07-07,89.5209,89.8204,89.3356,89.71,1041563.6671946
2014-07-08,88.6638,88.825,87.758,88.3273,561272.40893688
2014-07-09,87.3946,87.5907,86.8153,87.2632,1059628.4612837
2014-07-10,86.218,87.2035,86.0488,86.6839,894683.48983038
2014-07-11,85.3053,85.7064,84.7995,85.3231,1417675.4528347
2014-07-14,85.2207,85.4336,84.5477,84.707,1057453.4930263
2014-07-15,84.9768,85.136,84.3905,84.5836,1691235.2247838
2014-07-16,81.7387,82.5808,81.1972,82.4941,2283054.6359375
2014-07-17,81.0648,81.5714,80.0863,80.4605,1685455.7363846
2014-07-18,79.7607,80.4695,79.6204,80.1141,1623893.5863584
2014-07-21,81.6361,82.0004,81.234,81.6272,1650192.1170925
2014-07-22,82.0194,82.2244,81.1604,81.3643,992427.46745687
2014-07-23,81.8213,81.8482,80.8985,81.216,977178.57915322
2014-07-24,80.5063,81.1234,80.4128,80.9264,822277.64125025
2014-07-25,80.144,80.144,78.9395,79.3019,1157608.520915
2014-07-28,78.3792,79.1167,77.967,78.845,1164743.2204823
2014-07-29,77.8027,78.1352,77.7062,77.7251,1275277.8197494
2014-07-30,86.1444,90.2216,85.6964,88.7951,7492738.5220512
2014-07-31,88.4956,89.2043,87.1318,87.8804,2700635.4814817
2014-08-01,87.6853,88.1113,85.8726,86.1444,1495112.3596284
2014-08-04,85.7153,85.8906,84.7249,84.9946,1290109.7972785
2014-08-05,84.8931,85.8646,84.1665,84.7727,1089248.2137538
2014-08-06,85.2107,86.1633,85.146,85.9761,673628.35575612
2014-08-07,86.9367,87.086,85.2863,85.5949,617728.15542878
2014-08-08,84.5009,85.4436,84.1665,85.3132,955789.54951535
2014-08-11,86.0041,86.6012,85.8547,86.4241,413936.14123133
2014-08-12,85.3132,86.009,84.9499,85.2763,555377.39104599
2014-08-13,84.922,85.5849,84.6134,85.2007,688592.9410497
2014-08-14,85.1818,85.2953,84.8373,85.0146,731329.81155012
2014-08-15,85.8646,86.2728,84.5577,85.6765,899183.11238207
2014-08-18,86.209,86.6839,85.8547,86.666,714179.20735222
2014-08-19,86.9009,87.2821,86.7605,86.8919,568524.64720449
2014-08-20,86.5176,86.648,86.0419,86.2927,505174.30156719
2014-08-21,87.1059,88.0028,86.9924,87.8216,469205.45007341
2014-08-22,86.9009,87.7132,86.8253,87.2533,1221160.7920117
2014-08-25,88.2068,89.1764,88.0944,88.5891,483139.31137994
2014-08-26,89.0221,89.7478,88.9594,89.1585,396174.73763368
2014-08-27,89.0271,89.5109,88.7375,89.3168,341408.73553382
2014-08-28,88.9156,89.8105,88.6658,89.5407,826690.86783422
2014-08-29,89.2521,90.2773,88.6448,89.71,850396.51493227
2014-09-02,89.7199,94.5307,89.6721,93.5891,3304917.0086778
2014-09-03,93.0028,93.0495,91.3334,91.4927,1646242.0130797
2014-09-04,91.8929,92.9939,89.4183,91.4927,2272511.3140621
2014-09-05,91.3494,91.5087,90.9054,91.1941,597508.48516805
2014-09-08,91.1463,91.4689,90.5023,90.8766,871318.40358185
2014-09-09,91.0517,91.23,90.2873,90.7253,485436.84135888
2014-09-10,90.6347,91.1275,90.2027,90.996,968089.92426928
2014-09-11,91.211,92.0522,91.0349,91.9497,1463519.5643604
2014-09-12,92.6773,93.1063,92.1816,92.3229,1538775.4752713
2014-09-15,93.2278,93.607,92.7231,93.1899,1081400.2451506
2014-09-16,92.733,94.9319,92.733,94.484,1741568.9128184
2014-09-17,94.049,94.4382,93.5891,93.7384,1519536.2987837
2014-09-18,94.5218,95.5958,94.5218,95.3191,950826.80439249
2014-09-19,94.3098,95.2326,93.8877,94.1047,811008.99508765
2014-09-22,93.8399,93.8877,92.4444,92.4444,1111728.2436353
2014-09-23,92.3876,92.7061,91.7894,92.0233,1096937.4548815
2014-09-24,91.6032,93.5792,91.5017,93.5125,780622.72955496
2014-09-25,92.9381,93.0307,92.1438,92.5648,1527659.5289586
2014-09-26,92.9381,93.4835,92.6295,93.386,228660.99304699
2014-09-29,92.3139,93.5125,92.1178,93.0495,267729.04873188
2014-09-30,92.4534,93.171,91.9964,92.2303,785883.84214777
2014-10-01,92.1438,92.1438,90.3151,90.3908,981124.6647489
2014-10-02,90.8856,90.9781,89.2043,90.4635,881350.38188084
2014-10-03,91.1175,91.5664,90.791,90.9502,577997.06092181
2014-10-06,91.7346,91.9685,90.7711,91.4071,566042.27003878
2014-10-07,90.1927,90.4276,88.5334,88.5334,1115811.9600168
