Date,Open,High,Low,Close,Volume
2014-06-02,41.0272,41.2157,40.8357,41.1843,628897.71252628
2014-06-03,41.1843,41.7224,41.142,41.6163,1043737.2098265
2014-06-04,41.6163,41.9256,41.5996,41.8088,575084.2800666
2014-06-05,41.8932,41.964,41.687,41.9423,582108.69216059
2014-06-06,42.1348,42.2183,41.632,41.6703,432256.94358257
2014-06-09,41.6783,41.8608,41.4818,41.6703,633805.02506338
2014-06-10,41.687,41.7037,41.3375,41.3856,429280.37696172
2014-06-11,41.2835,41.4601,41.036,41.0449,206152.95122407
2014-06-12,40.9879,41.3129,40.6128,41.2088,357262.33229498
2014-06-13,41.1843,41.7037,41.086,41.5928,371168.59085623
2014-06-16,41.583,42.2576,41.5496,41.9423,571557.81745694
2014-06-17,41.8088,42.3971,41.5574,42.0937,545864.43654312
2014-06-18,42.1034,42.6621,42.1034,42.5856,394095.18028565
2014-06-19,42.5934,43.161,42.5856,42.9794,393838.56215754
2014-06-20,43.0599,43.161,42.6995,42.8959,596934.49901423
2014-06-23,42.9981,43.0884,42.4766,42.7074,363662.51060908
2014-06-24,42.6454,43.161,42.5777,42.8439,342729.80330204
2014-06-25,42.7152,43.2043,42.7152,43.1787,427174.47898978
2014-06-26,43.212,43.2926,42.8439,42.8772,452939.14271696
2014-06-27,42.7319,43.2043,42.561,42.9273,804158.72909055
2014-06-30,42.9273,43.496,42.887,43.487,828293.05304351
2014-07-01,43.5441,43.5441,42.8095,42.9047,1214906.5929038
2014-07-02,42.8684,42.8684,42.0396,42.1947,779607.90984235
2014-07-03,42.1132,42.3647,41.5407,41.9012,478530.69104026
2014-07-07,41.8,42.0937,41.3286,41.6703,653311.05777726
2014-07-08,41.6163,42.066,41.6163,41.964,767578.42592438
2014-07-09,41.8608,42.0867,41.4033,41.7479,643096.23062232
2014-07-10,41.5751,42.1869,41.4769,42.066,528351.26762569
2014-07-11,42.0396,42.235,41.6703,41.6959,314957.00088983
2014-07-14,41.8431,41.8678,41.5172,41.5574,359064.76914717
2014-07-15,41.5496,41.8678,41.421,41.7302,297858.29061581
2014-07-16,41.8755,41.8755,40.9958,41.5407,1004391.1335018
2014-07-17,41.5496,41.7764,41.1509,41.1676,362016.89594631
2014-07-18,41.3542,41.9169,41.0998,41.8177,1024132.3994998
2014-07-21,41.7479,41.8,41.5172,41.5928,497233.26461494
2014-07-22,41.7401,41.8177,41.5672,41.6959,353850.9405126
2014-07-23,41.8177,41.8177,41.4534,41.4818,283638.38767576
2014-07-24,41.526,41.8431,41.4681,41.4769,348937.51802006
2014-07-25,41.4534,41.4601,40.7757,40.8798,403185.77564126
2014-07-28,40.7021,41.413,40.6295,41.3041,798276.87866218
2014-07-29,41.4769,41.5083,41.036,41.1509,633742.90718316
2014-07-30,41.1911,41.3375,39.994,40.1306,696492.14946087
2014-07-31,39.8006,40.1159,39.3273,39.3498,728408.5199813
2014-08-01,39.3017,39.6219,38.9462,39.2232,657656.2544147
2014-08-04,39.3017,39.3017,38.09,38.9207,853006.80443653
2014-08-05,38.7086,39.1142,38.5103,38.6123,665987.17864506
2014-08-06,38.5171,38.7734,38.3717,38.5171,763102.88357107
2014-08-07,38.5702,39.0591,38.3717,38.7587,748037.77012971
2014-08-08,38.6644,39.4825,38.6565,39.4736,592741.03293666
2014-08-11,39.564,39.7741,39.3361,39.5777,518796.3156573
2014-08-12,39.4923,39.7319,39.3764,39.5217,309864.35303798
2014-08-13,39.6023,40.0344,39.6023,40.0098,298417.35153775
2014-08-14,40.1827,40.3947,40.0765,40.3712,393648.13521326
2014-08-15,40.4939,40.7669,40.2161,40.5313,266990.79577774
2014-08-18,40.7669,40.7846,40.3712,40.5243,258545.81904601
2014-08-19,40.6706,41.2157,40.5313,41.1764,307644.40256467
2014-08-20,41.1676,41.2835,40.9074,41.2481,368495.48535511
2014-08-21,41.2559,41.4611,41.1086,41.1911,488305.60140415
2014-08-22,41.2481,41.3866,40.9132,41.0526,402291.68549651
2014-08-25,41.2314,41.3296,41.0016,41.0782,315452.92560566
2014-08-26,41.1244,41.3296,40.7139,40.7562,253079.44558696
2014-08-27,40.8955,41.0713,40.6923,41.0016,427617.45075855
2014-08-28,40.9388,41.2913,40.87,41.2648,356691.05146217
2014-08-29,41.2736,41.527,40.6844,41.4788,221844.33509712
2014-09-02,41.4838,41.8216,41.141,41.2913,698054.26139944
2014-09-03,41.4701,41.6998,41.3787,41.6419,335535.33078188
2014-09-04,41.5771,41.7588,41.2736,41.4611,230501.12361712
2014-09-05,41.5191,42.1171,41.5191,42.0917,384973.01682697
2014-09-08,42.0857,42.2271,41.856,42.0917,569100.59704771
2014-09-09,41.9384,42.1752,41.4544,41.5015,425346.58398998
2014-09-10,41.4377,41.5515,40.9869,41.1577,315875.53085631
2014-09-11,41.0085,41.4043,40.9299,41.3953,371631.92914309
2014-09-12,41.2648,41.3051,40.4694,40.6991,472083.6697345
2014-09-15,40.8043,41.034,40.6923,40.8768,439754.87722248
2014-09-16,40.7639,41.3385,40.7639,41.1244,523089.57767358
2014-09-17,41.1577,41.2913,40.651,40.9044,321611.76068024
2014-09-18,40.9692,41.0085,40.3642,40.5194,418301.80537787
2014-09-19,40.6,40.7719,40.3732,40.3966,641412.93790104
2014-09-22,40.269,40.4026,39.7986,40.1159,447862.7880796
2014-09-23,39.9538,40.2161,39.6071,39.617,592100.5059423
2014-09-24,39.6425,39.673,39.0681,39.1653,682145.97410859
2014-09-25,39.0838,39.288,38.6959,38.7637,704454.43971355
2014-09-26,38.741,38.741,38.2815,38.5662,933369.01157039
2014-09-29,38.2648,39.2782,38.2648,39.2477,858834.68359193
2014-09-30,39.2477,39.5099,39.016,39.1299,877391.63656218
2014-10-01,39.0758,39.4687,38.741,38.9286,1005825.9547023
2014-10-02,38.8275,39.2242,38.7871,38.9532,520367.59252902
2014-10-03,39.1387,39.346,38.7871,39.1221,608158.48714121
2014-10-06,39.18,39.3518,38.9462,39.1967,683848.61502207
2014-10-07,38.9816,39.2703,38.8352,38.8442,723598.96673109
