Date,Open,High,Low,Close,Volume
2014-06-02,108.044,108.565,108.005,108.113,1316893.421097
2014-06-03,107.877,108.683,107.809,108.516,653771.43111606
2014-06-04,108.201,108.929,108.113,108.733,762995.84202343
2014-06-05,108.821,110.158,108.389,110.1,880126.94559426
2014-06-06,110.04,110.1,108.251,108.663,978996.19213889
2014-06-09,108.723,109.195,106.205,106.667,1662039.4684705
2014-06-10,106.323,106.893,105.782,105.988,1138351.2308361
2014-06-11,105.988,106.274,105.398,105.91,819892.30481617
2014-06-12,105.9,106.441,105.212,106.156,959677.87244844
2014-06-13,106.441,106.923,105.576,106.756,747370.56602558
2014-06-16,106.48,106.923,105.91,106.028,736398.1997021
2014-06-17,105.988,106.933,105.576,106.903,1541536.6322772
2014-06-18,106.51,107.483,105.812,107.257,836774.35449355
2014-06-19,107.218,107.799,107.031,107.799,922831.8305187
2014-06-20,108.191,108.201,107.021,107.699,2193619.1466605
2014-06-23,107.681,108.497,107.425,108.035,893175.63218764
2014-06-24,107.681,108.605,107.681,108.595,722855.34481725
2014-06-25,108.211,108.969,108.211,108.87,749547.55020671
2014-06-26,108.752,109.116,108.271,108.644,473196.64329418
2014-06-27,108.437,109.421,108.261,109.362,589590.56165653
2014-06-30,109.549,109.922,108.241,109.244,812999.36891524
2014-07-01,109.214,109.854,108.634,109.411,969314.15413202
2014-07-02,109.45,109.578,108.575,109.549,472529.61778141
2014-07-03,109.332,109.618,108.261,109.126,396124.6923548
2014-07-07,108.988,109.834,108.978,109.647,676061.8782056
2014-07-08,109.411,110.63,109.362,110.238,526558.68431503
2014-07-09,110.582,110.63,109.401,110.276,619409.44913705
2014-07-10,109.746,111.29,109.647,110.492,812053.73823405
2014-07-11,110.256,110.876,109.932,110.552,690750.67478692
2014-07-14,110.729,111.653,110.356,111.624,643354.2415151
2014-07-15,111.663,112.441,111.427,112.233,923119.58695179
2014-07-16,112.391,112.843,111.831,112.705,632012.7741838
2014-07-17,112.204,112.883,111.811,112.293,734555.74508454
2014-07-18,112.509,113.394,112.017,113.227,863366.91277896
2014-07-21,113.05,113.099,112.401,112.401,595756.48042083
2014-07-22,112.519,113.217,112.391,112.469,873627.51407357
2014-07-23,112.479,112.705,111.535,111.535,1583656.8530707
