Date,Open,High,Low,Close,Volume
2014-06-02,42.7288,42.7288,41.9998,42.2458,1087120.4457399
2014-06-03,42.2359,42.2359,41.7292,41.8142,1113744.1259049
2014-06-04,41.7579,41.9998,41.6264,41.8734,738732.71433684
2014-06-05,41.9504,42.1461,41.503,41.9741,777074.74182512
2014-06-06,42.0858,42.3229,41.9741,42.0937,540925.99913471
2014-06-09,42.0176,42.5945,41.9841,42.3653,862266.87376971
2014-06-10,42.3406,42.5174,42.1698,42.4493,810599.84520415
2014-06-11,42.227,42.2458,41.823,42.0355,739309.77334111
2014-06-12,41.9247,42.1609,41.7678,41.8556,700307.6713427
2014-06-13,41.8813,42.2103,41.7678,42.0769,729853.09236078
2014-06-16,42.0769,42.7772,42.0769,42.473,993784.69514572
2014-06-17,42.4493,42.9916,42.2784,42.8128,749089.40488697
2014-06-18,42.7684,43.0598,42.4997,43.0321,543238.28468863
2014-06-19,43.0745,43.3471,42.8563,43.1358,746899.61782344
2014-06-20,43.2503,43.4884,43.1605,43.4736,769707.62187073
2014-06-23,43.4114,43.5961,42.8049,43.0745,810744.61614732
2014-06-24,43.041,43.5635,42.8621,43.117,856985.26530441
2014-06-25,43.0153,43.1446,42.5856,42.9984,894467.7785916
2014-06-26,43.0598,43.4973,42.7447,43.4884,1005534.4263798
2014-06-27,43.3946,43.6622,43.1852,43.5486,768945.29655459
2014-06-30,43.5773,43.6148,43.0745,43.3561,736412.32970919
2014-07-01,43.4973,43.7186,43.1693,43.4657,552392.26278777
2014-07-02,43.3194,43.4657,42.9984,43.1446,509378.08213344
2014-07-03,43.4114,43.8371,43.2691,43.5546,539300.11008061
2014-07-07,43.4657,43.5546,42.9659,43.0321,522305.21621307
2014-07-08,42.8493,43.2266,42.7367,43.2089,751159.73061278
2014-07-09,43.4114,43.5408,42.88,43.0508,726994.11932915
2014-07-10,42.721,43.0992,42.4631,43.0153,901063.46177186
2014-07-11,42.9135,43.0745,42.6152,42.714,673298.27279071
2014-07-14,42.9738,43.2169,42.9135,43.1269,492961.25965437
2014-07-15,43.1269,43.6622,42.9659,43.0508,513456.97814776
2014-07-16,43.2603,43.3708,42.8958,43.1783,527096.83071685
2014-07-17,42.9284,43.2503,42.7772,42.8711,1022439.218052
2014-07-18,43.0508,43.2169,42.8711,43.1269,518250.61741997
2014-07-21,42.8227,42.8711,42.6242,42.8316,426180.3470983
2014-07-22,43.0904,43.2939,42.714,42.7367,657584.04495893
2014-07-23,42.7447,43.0904,42.714,42.8049,821507.27276887
2014-07-24,42.8316,43.2939,42.8316,43.0598,1436274.551996
2014-07-25,43.1605,43.279,41.4349,41.6541,1902955.3297354
2014-07-28,41.4684,41.6264,40.9015,41.4092,1396638.6974772
2014-07-29,41.1385,41.2215,40.5774,40.6308,1293788.5600021
2014-07-30,40.6872,40.7563,40.1004,40.4807,940565.68157396
2014-07-31,40.2427,40.2427,39.8435,39.9374,1285622.6688998
2014-08-01,39.8851,40.13,39.6984,40.0184,924421.19044953
2014-08-04,40.1567,40.4412,39.9216,40.3759,881117.46790885
2014-08-05,40.139,40.3405,39.7576,40.0639,593845.34697795
2014-08-06,39.8949,40.2931,39.8949,39.9374,604350.85800812
2014-08-07,40.1004,40.1735,39.565,39.8772,838386.75483556
2014-08-08,39.8357,40.2742,39.656,40.2427,766934.70149764
