Date,Open,High,Low,Close,Volume
2014-06-02,532.5,532.99,529.34,531.43,191432
2014-06-03,527.4,532.02,526.37,528.11,217989
2014-06-04,530.1,541.44,526.06,541.15,258986
2014-06-05,541.09,541.09,536.5,537.94,213942
2014-06-06,540.1,541.58,536.83,540.78,136594
2014-06-09,538.42,540.37,532.51,532.57,233739
2014-06-10,532.73,533.72,530.57,532.48,108722
2014-06-11,531.68,532.88,526.4,529.1,269859
2014-06-12,529.37,529.37,520.81,524.37,248019
2014-06-13,523.15,525.24,520.25,523.1,192456
2014-06-16,523.49,525.89,520.93,524.81,140229
2014-06-17,523.31,525.4,521,524.34,104715
2014-06-18,525.32,527.25,521.38,526.98,189265
2014-06-19,529.21,530,526.71,527.99,135479
2014-06-20,531.11,533.06,526.81,530.79,348800
2014-06-23,531,534.05,529.02,532.94,195342
2014-06-24,530.43,533.7,529.05,530.67,157336
2014-06-25,528.76,532.3,526.52,532,137183
2014-06-26,530,532.65,526.75,532.4,120251
2014-06-27,530.57,535.51,528.91,535.32,167668
2014-06-30,533,536.45,532.26,536.24,195676
2014-07-01,537,538.25,534.53,536.82,159164
2014-07-02,534.84,537.79,532.85,535.31,191800
2014-07-03,537.43,540.4,536.11,539.46,139233
2014-07-07,539.4,540.49,536.14,538.24,185591
2014-07-08,535.51,537.84,534.32,535.11,205732
2014-07-09,535.15,539.61,534.47,538.66,168428
2014-07-10,535.27,538.35,532,534.02,132362
2014-07-11,534.02,534.57,528.5,533.45,109570
2014-07-14,536.71,536.71,533.04,533.66,105174
2014-07-15,531.98,534.32,528.4,533.51,251764
2014-07-16,535.87,535.87,529.2,531.82,236454
2014-07-17,528,531.27,523.51,524.69,149036
2014-07-18,521.2,523.09,517.23,520.56,345585
2014-07-21,520.56,521.99,513.17,515.17,220565
2014-07-22,514.96,515.27,505.32,511.92,332518
2014-07-23,510.22,512.34,506.46,507.72,263759
2014-07-24,511.64,516.76,510.54,514.82,242043
2014-07-25,518.91,518.91,513.31,514.57,149134
2014-07-28,513.77,517.42,512.81,513.22,133894
2014-07-29,512.28,514.81,509.95,510.04,170732
2014-07-30,510.31,523.25,510.31,521.84,261853
2014-07-31,523.8,523.8,516.8,517.03,284676
2014-08-01,515.07,520.23,512.04,514.41,177767
2014-08-04,514.38,521.76,514.1,519.49,115305
2014-08-05,516.4,524,515.19,518.07,173714
2014-08-06,516.35,522.96,515.53,519.6,133244
2014-08-07,520.3,521.77,515.99,517.26,203005
2014-08-08,519.78,526.31,516.47,525.99,162004
2014-08-11,528.67,528.67,524.99,525.47,86705
2014-08-12,523.92,526.79,520.02,524.58,116300
2014-08-13,526.39,526.39,520.17,524.03,140488
2014-08-14,526.34,533.07,524.43,530.67,163085
2014-08-15,533.85,535.81,527.02,529.03,148722
2014-08-18,531,534.16,529.55,533.9,126546
2014-08-19,534.23,539.24,533.26,536.84,115837
2014-08-20,536.83,538.7,531.46,537.96,177550
2014-08-21,538.06,541.07,536.26,537.78,145125
2014-08-22,538.42,539.39,536.45,537.46,161567
2014-08-25,539,543.63,537.47,540.93,85354
2014-08-26,542,542,535,535.95,169000
2014-08-27,537.83,539.5,535.02,538.48,158849
2014-08-28,535.09,540,533.59,538.77,102482
2014-08-29,540.41,540.41,537.33,538.84,130509
2014-09-02,534.67,541.8,534.67,536.56,212450
2014-09-03,538.11,539.86,534.97,537.13,106793
2014-09-04,537.21,538.39,534.67,534.97,143970
2014-09-05,535.91,539.15,534.56,538.04,154121
2014-09-08,535.83,538.57,533.26,536,105219
2014-09-09,533.96,534.23,527.59,528.13,200136
2014-09-10,528.04,531.86,526.39,527.36,217650
2014-09-11,526.12,531.76,525.84,530.33,165950
2014-09-12,529.84,530.95,526.38,530,153573
2014-09-15,530.25,532.16,529.95,530.57,123676
2014-09-16,530.84,543.06,528.25,540.85,206638
2014-09-17,540.63,542.16,536.13,536.72,170505
2014-09-18,536.32,536.32,529.46,532.31,286021
2014-09-19,536.03,536.03,525.7,526.44,440392
2014-09-22,515.01,519.99,500.21,505.38,897342
2014-09-23,501.56,513.04,501.22,507.79,467431
2014-09-24,509.37,509.37,503.6,508.63,344726
2014-09-25,505.64,509.37,504.5,504.62,225313
2014-09-26,503.26,509.12,503.26,508.38,265246
2014-09-29,506.07,509.9,504.37,507.84,230832
2014-09-30,507.59,512.5,503.9,509.66,411410
2014-10-01,509.66,513.43,507.14,508.01,292086
2014-10-02,509.27,516.23,506.3,513.3,277770
2014-10-03,514.62,520.51,511.98,518.11,269789
2014-10-06,518.62,519.75,512.05,512.94,185158
2014-10-07,509.86,515,506.31,511.72,262928
2014-10-08,511.31,518.32,508.97,517.8,205764
2014-10-09,517.35,517.35,507.57,508.32,336185
2014-10-10,506.74,513.67,505.83,509.1,258824
2014-10-13,509.03,511.79,501.39,501.78,216002
2014-10-14,503.89,512.37,503.42,506.35,207653
2014-10-15,500.5,508.67,491.93,505.99,357431
2014-10-16,499.48,507.98,499.48,504.58,279350
2014-10-17,506.66,509.79,503.12,507.59,286290
2014-10-20,508.49,517.85,508.49,517.03,207394
2014-10-21,520.73,530,518.1,526.94,236137
2014-10-22,527.37,531.57,520.45,521.94,177991
2014-10-23,525.2,535.39,525.11,531.57,228270
2014-10-24,530.97,537.02,525.81,536.05,266532
2014-10-27,537.2,541.63,535.05,539.57,251882
2014-10-28,540.2,550.42,538.76,549.72,258506
2014-10-29,551.01,551.36,546.3,550.04,270436
2014-10-30,547.3,553.7,547.3,551.46,250067
2014-10-31,554.89,556.65,551.02,553.52,295766
2014-11-03,556,556,545,552.18,1340968
2014-11-04,550.29,557.95,550.29,554.36,230179
2014-11-05,559.11,563.15,554.29,559.15,340611
2014-11-06,557.74,566.53,554.51,566.05,397095
2014-11-07,566.11,567.28,559.56,562.23,322204
2014-11-10,564.01,568.04,563.05,566.39,217011
2014-11-11,566.43,572.8,565.59,570.87,254025
2014-11-12,571,571.26,566.42,568.8,236821
2014-11-13,569.53,576,569.53,573.72,347991
2014-11-14,570.61,574.09,564.01,567.11,241158
2014-11-17,567.75,572.02,567.18,568.06,209488
2014-11-18,567.99,573.09,565.28,568.59,194940
2014-11-19,570.63,572.17,567.12,568.51,139124
2014-11-20,564.95,569.5,564.95,567.5,176591
2014-11-21,574.82,574.82,568.6,569.21,239367
2014-11-24,569.16,571.61,566.41,571.38,174890
2014-11-25,573.66,573.66,566.35,568.98,243458
2014-11-26,570,572.99,566.65,568.55,144210
2014-11-28,570,583,566.08,577.71,121169
2014-12-01,575.98,579.52,571.27,575.72,409191
2014-12-02,571.52,586.45,571.52,585.49,453833
2014-12-03,585.46,593,585.46,590.55,354979
2014-12-04,588,592.9,586.09,588.07,299490
2014-12-05,588.12,592.41,587.39,587.95,274448
2014-12-08,593.66,594.53,578.78,581.05,400065
2014-12-09,606,611.53,593.06,605.81,661099
2014-12-10,606.25,610.99,597.01,598.37,318601
2014-12-11,602.82,606.39,597.31,602.39,319719
2014-12-12,602.75,609.39,597.92,604.73,285216
2014-12-15,608.61,612.83,604.19,605.84,305471
2014-12-16,605.86,610.35,597.93,597.93,302415
2014-12-17,599.88,604.19,594.91,602.46,318229
2014-12-18,607.45,616.11,600.12,615.48,340263
2014-12-19,620.56,620.56,610.64,618.6,379675
2014-12-22,614.89,617.31,611.84,616.64,221536
2014-12-23,619,626.19,617.78,621.3,182533
2014-12-24,621.73,624.38,617.43,617.43,68661
2014-12-26,618.4,624.97,615.43,618.76,106663
2014-12-29,618.13,625.78,617.15,624.49,114960
2014-12-30,623.32,626.09,619.09,622.45,170942
2014-12-31,626.49,627.3,618.94,619.11,207464
2015-01-02,623.98,623.98,613.49,616.79,224682
2015-01-05,614.46,616.11,605.7,608.49,439807
2015-01-06,610.77,612.34,599.81,607.82,391854
2015-01-07,616,616,605.59,607.24,388517
2015-01-08,610.36,614.97,605.07,606,594329
