Date,Open,High,Low,Close,Volume
2014-06-02,24.8737,25.0731,24.2299,24.8439,127506.58652544
2014-06-03,24.6872,24.9035,24.6466,24.708,80997.400241939
2014-06-04,24.4958,24.6872,24.3262,24.5225,44681.442000933
2014-06-05,24.3262,25.4183,24.3262,25.3568,79128.322525512
2014-06-06,25.5443,25.5443,25.1861,25.3984,80206.01620343
2014-06-09,25.1594,25.7506,25.1594,25.7228,42350.639584332
2014-06-10,25.7138,25.7138,25.3399,25.6484,21615.369642879
2014-06-11,25.0572,25.5343,25.0572,25.2814,43968.692300009
2014-06-12,25.2467,25.4967,25.1871,25.2774,43998.936276003
2014-06-13,25.4183,25.4421,25.1961,25.324,26299.153391809
2014-06-16,25.5245,25.5283,25.2209,25.2893,20806.847351306
2014-06-17,25.1257,25.823,25.1257,25.7645,49849.129365767
2014-06-18,25.6623,25.8905,25.6574,25.8865,17295.521738408
2014-06-19,25.4342,25.8885,25.4342,25.7853,19450.909094245
2014-06-20,25.9986,25.9986,25.7118,25.8419,105894.24128016
2014-06-23,25.5522,25.8657,25.4421,25.4967,40712.424217993
2014-06-24,25.4867,25.82,25.2854,25.6623,122075.77656946
2014-06-25,25.5721,25.9678,25.4629,25.8885,29651.194064471
2014-06-26,25.948,26.3249,25.705,25.9529,39256.680840151
2014-06-27,25.7684,26.2267,25.7605,26.0124,151112.00978872
2014-06-30,25.5839,26.0522,25.5839,25.9053,34577.937753886
2014-07-01,25.9053,26.9151,25.9053,26.3596,74056.407751326
2014-07-02,26.3328,26.4846,26.0888,26.2029,14575.580164019
2014-07-03,26.2167,26.5917,26.2167,26.5143,23179.991334299
2014-07-07,26.4489,26.4489,26.0848,26.2167,31978.972083473
2014-07-08,26.308,26.3328,25.7546,25.8151,33974.066366541
2014-07-09,25.7377,26.0502,25.6256,25.8765,14763.092815182
2014-07-10,25.4599,25.7803,25.325,25.5065,80861.302349966
2014-07-11,25.5016,25.5016,25.2179,25.454,44991.946821137
2014-07-14,25.6306,26.2207,23.9849,25.449,66846.243874368
2014-07-15,25.5264,25.6335,25.4322,25.5333,36899.666977689
2014-07-16,25.705,25.705,25.2605,25.3766,48074.816107455
2014-07-17,25.1217,25.2605,24.9838,24.9838,41076.360062453
2014-07-18,24.7616,26.1583,24.7616,25.948,98867.557524232
2014-07-21,25.7377,25.9053,25.457,25.819,48478.069120707
2014-07-22,26.0045,26.1851,25.695,25.7506,41343.515183734
2014-07-23,25.7258,25.7506,25.5293,25.5531,9451.2424981103
2014-07-24,25.4847,25.7774,25.4232,25.6702,35457.029322778
2014-07-25,25.4074,25.7278,25.3686,25.4599,34910.62148982
2014-07-28,25.1743,25.5185,25.1435,25.4659,45613.96459408
2014-07-29,25.449,25.69,25.1921,25.3498,55680.167937401
2014-07-30,25.5293,26.1156,25.5293,25.8885,44610.872723614
2014-07-31,25.6653,25.8497,25.4847,25.4887,62579.826994155
2014-08-01,25.5503,25.692,25.1167,25.1663,34470.067572841
2014-08-04,25.2061,25.6335,24.7914,25.4074,57030.057399264
2014-08-05,25.4024,25.6852,25.3686,25.6077,39205.266080961
2014-08-06,25.5591,25.7932,25.2318,25.5591,40883.806748626
2014-08-07,25.6603,25.6603,25.085,25.1088,35145.516370039
2014-08-08,25.1217,25.449,25.1138,25.3112,37421.879629851
2014-08-11,25.2784,25.825,25.2784,25.4322,64479.148686574
2014-08-12,25.2377,25.6127,25.085,25.2873,40177.1058429
2014-08-13,25.4847,25.5711,25.1356,25.1881,130890.88743916
2014-08-14,25.2695,25.4441,25.1604,25.3826,27246.797972952
2014-08-15,25.3686,25.5969,24.9173,25.2219,33258.292268017
2014-08-18,25.5065,25.6762,25.3062,25.6306,32656.437145737
2014-08-19,25.6127,25.7258,25.4977,25.6653,20559.854880689
2014-08-20,25.4947,25.6762,25.1296,25.4282,19505.348251034
2014-08-21,25.3498,26.0809,25.2873,25.9688,46292.437788877
2014-08-22,25.9143,26.2981,25.8101,26.0522,45565.57423249
2014-08-25,25.6812,27.0758,25.6812,26.5937,125500.40278451
2014-08-26,26.2287,26.9201,26.2287,26.7862,36745.422700119
2014-08-27,26.7544,26.7862,26.3458,26.7028,30035.292559595
2014-08-28,26.5769,26.7058,26.442,26.5461,22318.038018471
2014-08-29,26.5461,26.7376,26.442,26.6334,23606.431395813
2014-09-02,26.679,26.9895,26.6066,26.8288,59863.917949898
2014-09-03,26.8477,26.9944,26.6414,26.8367,25789.038330044
2014-09-04,26.9697,27.2494,26.7693,26.8517,30794.416357043
2014-09-05,26.7772,26.9508,26.6622,26.8665,25560.192245023
2014-09-08,26.7723,27.2027,26.7723,26.9895,13571.480161019
2014-09-09,26.7336,26.8665,26.5381,26.7643,48764.378760117
2014-09-10,26.7544,26.9568,26.6968,26.8833,29162.249785903
2014-09-11,26.7504,27.1879,26.7455,27.1294,33482.097690372
2014-09-12,27.1294,27.4002,26.9568,27.1879,37877.555534826
2014-09-15,27.049,27.42,26.9846,27.2663,45565.57423249
2014-09-16,27.2187,27.3506,27.0322,27.1829,23690.106396063
2014-09-17,27.3158,27.426,27.1453,27.426,48301.645927409
2014-09-18,27.4458,28.4605,27.4458,27.9993,48843.013097701
2014-09-19,28.044,28.2622,27.7008,27.8386,99501.672887572
2014-09-22,27.6838,27.8386,27.4963,27.5629,37178.919689366
2014-09-23,27.416,27.4895,27.1244,27.1829,27054.244659124
2014-09-24,27.2801,27.4458,26.8605,27.0937,44180.400131967
2014-09-25,26.8665,27.1482,26.6225,26.6711,41891.939281758
2014-09-26,26.7098,27.0372,26.5323,26.9667,44380.010373526
2014-09-29,26.6027,26.9826,26.4479,26.6968,91457.783405714
2014-09-30,26.7514,26.9032,26.323,26.323,77374.171917863
2014-10-01,26.3874,26.5035,26.064,26.0789,47745.15676912
2014-10-02,26.5055,26.5055,26.1345,26.4449,17370.12354586
2014-10-03,26.684,26.7276,26.2684,26.4925,27909.14104722
2014-10-06,26.688,26.693,26.2684,26.4568,18161.507584368
2014-10-07,26.3259,26.8804,25.7674,25.9222,52769.689314249
2014-10-08,25.8865,26.7346,25.7674,26.5283,57490.773966905
2014-10-09,26.3011,26.5055,26.1255,26.3259,49572.901051688
2014-10-10,26.1801,26.693,26.0382,26.4479,42266.964584082
2014-10-13,26.5283,27.3198,26.5283,26.9905,55357.565526799
2014-10-14,27.1492,27.3496,26.7693,27.2266,83675.000249937
2014-10-15,27.1631,27.1631,26.3478,26.8685,66734.34116319
2014-10-16,26.8437,27.4418,26.3676,27.042,72373.83455353
2014-10-17,27.042,27.5381,26.5143,26.8139,58675.329693335
2014-10-20,26.4529,27.5479,26.434,27.5013,60332.699577804
2014-10-21,27.5043,28.3028,27.5043,27.7672,50555.830271492
2014-10-22,27.7702,27.7702,27.0372,27.1195,35168.703418301
2014-10-23,26.93,27.3922,26.9211,27.3278,166568.69778669
2014-10-24,27.2266,27.3714,27.1006,27.2315,41367.710364529
2014-10-27,27.1531,27.3446,27.046,27.2831,30530.285633363
2014-10-28,27.2266,27.5589,27.2007,27.5211,222068.41000066
2014-10-29,27.2831,27.4973,27.1869,27.3446,101485.67771278
2014-10-30,27.3654,27.4547,27.2345,27.3496,129308.11936215
2014-10-31,27.4755,27.6978,27.295,27.3496,159337.36312654
2014-11-03,27.3714,27.5609,27.1531,27.3496,130334.39828088
2014-11-04,27.1969,27.5211,27.1403,27.4547,49475.112195974
2014-11-05,27.5827,27.8525,27.426,27.7414,36032.672999195
2014-11-06,27.6978,27.9497,27.5479,27.9398,32382.225096726
2014-11-07,27.9249,28.0469,27.6848,27.9636,40940.262170481
2014-11-10,27.6392,28.5667,27.6392,28.3524,40091.414577585
2014-11-11,28.5617,28.8117,28.409,28.7125,76771.30866305
2014-11-12,28.6074,29.2392,28.5221,29.1737,41624.784160477
2014-11-13,29.0071,29.0537,28.7393,28.9396,105697.6554362
2014-11-14,28.9258,29.1995,28.6886,28.9486,60458.716144446
2014-11-17,28.9565,29.0438,28.5617,28.6788,41528.003437297
2014-11-18,28.6123,29.0537,28.4238,28.4615,50858.270031432
2014-11-19,28.1114,28.2165,27.7841,27.8833,35602.200407548
2014-11-20,27.8405,27.9428,27.6472,27.7751,23012.641333799
2014-11-21,28.1302,28.3068,27.666,27.7414,46550.51971736
2014-11-24,27.8079,28.2047,27.6442,27.7949,66008.485739335
2014-11-25,27.6848,28.1381,27.5589,27.6234,129643.82749567
2014-11-26,27.8039,28.1421,27.6234,27.7841,98184.043666769
2014-11-28,27.6234,27.7622,26.9349,26.9349,56736.690832122
2014-12-01,26.679,26.8685,26.1721,26.1949,83459.259887846
2014-12-02,26.436,26.6672,26.2009,26.4271,42101.630848648
2014-12-03,26.5094,26.9032,26.4965,26.809,48742.199844388
2014-12-04,26.8527,26.8605,26.56,26.7058,31067.620273522
2014-12-05,26.7028,27.2474,26.7028,26.93,64892.483025158
2014-12-08,26.93,27.1403,26.5769,26.693,44511.067602833
2014-12-09,26.5719,27.1353,26.4707,26.93,110508.4638843
2014-12-10,26.8983,27.1443,26.3954,26.5361,65808.875497776
2014-12-11,26.5927,26.9171,26.5143,26.5143,42844.624525567
2014-12-12,26.3576,26.7574,26.2099,26.2823,55556.167635826
2014-12-15,26.2952,26.5441,26.1355,26.1721,31086.774791651
2014-12-16,26.191,26.7028,26.1345,26.3626,45462.74471411
2014-12-17,26.1949,26.5361,25.8725,26.3954,89241.90809789
2014-12-18,26.5897,26.8249,26.4757,26.804,57337.537821869
2014-12-19,26.7346,26.804,26.2139,26.3874,107969.98616588
2014-12-22,26.431,26.8298,26.431,26.8179,32112.045577846
2014-12-23,26.2952,27.3278,26.2952,26.8983,46205.738391028
2014-12-24,26.8139,27.0084,26.5055,26.8655,19486.193732904
2014-12-26,27.0342,27.3198,26.809,26.9211,27233.692250022
2014-12-29,26.9866,27.3952,26.9538,27.0629,87261.93580282
2014-12-30,27.0718,27.2851,27.0718,27.1829,46428.535680851
2014-12-31,27.2285,27.2285,26.7178,26.8179,25336.386822667
2015-01-02,26.9349,26.9478,26.2882,26.5075,27044.163333793
2015-01-05,26.4072,26.4975,25.5988,25.8259,39572.226323021
2015-01-06,25.8002,25.8002,25.0562,25.2963,32689.70551933
2015-01-07,25.3736,25.7566,25.0522,25.5323,57852.693546299
2015-01-08,25.69,25.8845,25.4222,25.8389,11615.703046744
2015-01-09,25.7466,25.7466,24.8955,25.0046,34389.41697019
2015-01-12,24.9035,25.0692,24.4254,24.5861,47446.749539314
2015-01-13,24.5623,24.8063,23.8163,24.1357,93530.503893833
2015-01-14,23.7142,23.8877,23.5078,23.8044,60483.919457773
2015-01-15,23.6982,24.0316,23.481,23.7806,87998.880684539
2015-01-16,24.0584,24.0662,23.5891,24.0117,92932.681301686
2015-01-20,24.102,24.2587,23.6516,24.1526,98633.670776546
2015-01-21,24.094,24.5107,24.0157,24.1387,54291.969439278
2015-01-22,24.353,25.326,24.3172,25.1842,81664.783978872
2015-01-23,25.2615,25.2615,24.5711,25.092,67706.180925129
2015-01-26,25.092,25.1197,24.6505,25.1158,30748.042260519
2015-01-27,24.6059,24.9779,24.5385,24.5801,15847.843420831
2015-01-28,24.5345,24.722,24.0088,24.0157,55779.973058181
2015-01-29,24.0196,24.7884,24.0196,24.7884,41614.702835146
2015-01-30,24.5425,25.3468,24.2855,24.3926,54024.814317998
