Date,Open,High,Low,Close,Volume
2014-06-02,39.3603,39.451,39.0129,39.3174,1458714.2931576
2014-06-03,39.2451,39.3388,39.0558,39.2188,1542218.1949776
2014-06-04,39.1768,39.6316,39.0764,39.5643,1835856.0933131
2014-06-05,39.7077,39.8638,39.2129,39.8073,2022451.7127129
2014-06-06,40.0082,40.4903,39.8726,40.1907,2045252.2417934
2014-06-09,40.1907,40.3488,40.0843,40.1858,2547130.3266873
2014-06-10,40.1341,40.4483,39.374,40.3,1898454.3007989
2014-06-11,40.0141,40.1907,39.8638,39.9516,1399071.5769689
2014-06-12,39.8794,40.0414,39.6316,39.7887,1682028.1002042
2014-06-13,39.8638,39.936,39.3525,39.4979,1804419.6678525
2014-06-16,39.6589,39.735,39.169,39.3047,2070854.5438302
2014-06-17,39.2305,40.0981,39.0197,39.8941,2091293.9591977
2014-06-18,40.4181,41.35,40.2474,41.3061,4904565.0474374
2014-06-19,41.3432,41.4915,41.0085,41.1002,1955549.3916878
2014-06-20,41.3432,41.3978,41.0085,41.2193,2890398.7532878
2014-06-23,41.2193,41.3764,41.0865,41.2505,2002986.8716255
2014-06-24,41.1578,41.3852,40.7528,40.8094,1876624.2468426
2014-06-25,40.8406,40.9382,40.4903,40.8182,2421842.7055003
2014-06-26,41.0016,41.1236,40.6181,40.8865,2129984.8655499
2014-06-27,40.7079,41.109,40.6591,40.9929,3239777.9963253
2014-06-30,40.6405,41.2661,40.6405,41.1656,1857439.1731353
2014-07-01,41.025,41.2719,40.8943,40.8943,3182203.3042134
2014-07-02,40.9177,40.9723,40.6249,40.9382,2203007.2261126
2014-07-03,41.1168,41.4797,40.9929,41.4358,1685983.7855047
2014-07-07,41.2505,41.2934,40.8718,41.065,1162729.6281541
2014-07-08,40.9245,41.0085,40.5576,40.6249,1811155.6055417
2014-07-09,40.8718,41.3714,40.6523,40.9509,2262894.8668574
2014-07-10,40.3527,40.6893,40.1059,40.4259,1919912.3563706
2014-07-11,40.3663,40.8318,40.2746,40.6337,1889861.4455542
2014-07-14,41.0172,41.0728,40.6805,40.8026,1237963.4832447
2014-07-15,40.6045,41.1012,40.6045,40.8943,1866626.405964
2014-07-16,41.025,41.2427,40.787,41.0728,1442944.8409804
2014-07-17,40.824,41.1587,40.3478,40.3663,1940858.0174734
2014-07-18,40.539,41.109,40.4649,40.9655,1670946.0326292
2014-07-21,40.6103,40.9509,40.4532,40.8026,1809974.0238962
