Date,Open,High,Low,Close,Volume
2014-06-02,30.815,30.892,30.075,30.749,205037
2014-06-03,30.513,31.078,30.109,30.961,304557
2014-06-04,30.845,31.56,30.6,31.429,232699
2014-06-05,31.585,33.16,31.312,33.131,437746
2014-06-06,33.345,33.763,31.36,33.355,338760
2014-06-09,33.297,34.395,33.229,34.21,384366
2014-06-10,34.094,34.395,33.627,34.054,365976
2014-06-11,34.074,35.086,34.054,34.618,570412
2014-06-12,34.562,34.668,33.862,34.025,306335
2014-06-13,34.054,34.329,33.852,34.064,243044
2014-06-16,33.957,34.154,33.687,33.967,285414
2014-06-17,33.997,34.329,33.707,34.045,389032
2014-06-18,34.045,34.872,33.793,34.825,161436
2014-06-19,34.982,35.048,34.472,34.59,181737
2014-06-20,34.552,35.029,34.494,34.542,274771
2014-06-23,34.628,34.892,34.144,34.862,166493
2014-06-24,34.766,35.613,34.756,34.902,207041
2014-06-25,35.217,35.217,33.707,34.22,575280
2014-06-26,34.192,34.415,33.842,33.947,436835
2014-06-27,33.783,34.922,33.783,34.29,1028861
2014-06-30,34.29,34.96,33.901,33.967,419361
2014-07-01,34.104,34.533,33.783,34.395,772136
2014-07-02,34.386,34.6,33.607,33.677,172968
2014-07-03,33.813,34.27,33.677,33.957,142493
2014-07-07,33.803,34.395,33.627,33.822,180620
2014-07-08,33.745,33.967,32.8,33.18,385552
2014-07-09,33.2,34.084,33.131,33.852,215134
2014-07-10,33.278,33.711,32.781,33.307,211564
2014-07-11,33.258,33.607,32.79,32.869,281007
2014-07-14,33.18,33.707,33.052,33.21,232121
2014-07-15,33.307,33.545,32.255,32.586,174791
2014-07-16,32.839,33.388,31.73,31.779,663238
2014-07-17,31.39,31.754,30.96,31.33,709319
2014-07-18,31.283,32.246,31.283,31.77,231340
2014-07-21,31.603,31.75,30.59,30.61,259357
2014-07-22,30.759,31.051,30.426,30.768,303450
2014-07-23,30.69,31.078,30.007,30.046,283097
2014-07-24,30.094,30.368,29.327,29.814,689629
2014-07-25,31.439,35.183,30.67,34.035,967357
2014-07-28,34.23,34.648,33.568,33.568,389774
2014-07-29,33.726,34.425,33.427,34.006,352796
2014-07-30,33.891,34.21,33.052,33.317,296380
2014-07-31,32.869,33.667,32.869,33.345,280610
2014-08-01,33.597,34.395,33.597,34.064,404405
2014-08-04,34.124,34.523,33.707,33.947,281258
2014-08-05,34.104,34.386,33.578,33.773,203806
2014-08-06,33.349,34.348,33.337,34.016,285018
2014-08-07,34.21,34.825,34.016,34.084,322524
2014-08-08,34.134,34.43,33.871,34.124,244852
2014-08-11,34.329,34.976,33.957,34.882,205438
2014-08-12,34.786,35.163,34.463,34.825,148468
2014-08-13,34.892,35.397,34.542,34.746,194926
2014-08-14,34.638,34.815,34.025,34.164,237245
2014-08-15,33.754,34.776,33.745,34.59,238881
2014-08-18,34.776,35.407,34.603,35.183,224488
2014-08-19,35.173,35.71,35.153,35.38,224801
2014-08-20,35.293,35.758,34.638,35.153,184599
2014-08-21,35.058,36.1,35.058,35.904,216555
2014-08-22,36.04,36.04,34.756,34.776,286059
2014-08-25,35.029,35.515,34.425,34.786,222698
