Date,Open,High,Low,Close,Volume
2014-06-02,231.279,232.528,229.254,232.056,532998
2014-06-03,231.215,235.346,230.725,234.031,948571
2014-06-04,233.128,235.936,232.379,235.66,736106
2014-06-05,236.215,237.211,233.841,236.492,742210
2014-06-06,237.878,240.049,236.981,239.558,599074
2014-06-09,238.809,240.935,238.479,240.049,526199
2014-06-10,239.726,240.935,238.154,240.142,514629
2014-06-11,238.728,239.568,236.399,237.647,534918
2014-06-12,237.748,237.96,234.467,235.66,681328
2014-06-13,236.287,237.322,235.077,236.141,446540
2014-06-16,235.372,236.537,233.868,236.085,618223
2014-06-17,234.791,238.203,233.385,238.097,593908
2014-06-18,238.255,244.697,236.871,244.069,1225525
2014-06-19,244.216,245.05,241.352,243.284,918468
2014-06-20,243.866,244.587,241.715,242.691,878207
2014-06-23,242.026,243.386,241.307,242.581,611606
2014-06-24,241.898,244.19,240.483,241.334,765597
2014-06-25,240.678,243.181,239.643,241.898,674387
2014-06-26,242.101,242.489,238.479,240.54,793264
2014-06-27,240.344,242.387,239.459,241.972,683158
2014-06-30,241.991,244.67,241.491,243.885,659803
2014-07-01,245.502,247.886,244.439,246,648109
2014-07-02,246.223,246.389,244.078,245.603,707665
2014-07-03,244.928,247.646,244.624,246.926,362306
2014-07-07,245.16,246.277,244.254,245.085,507433
2014-07-08,244.945,245.085,242.387,242.888,592035
2014-07-09,244.558,245.502,243.376,244.903,452736
2014-07-10,241.482,242.517,239.615,241.048,706201
2014-07-11,241.214,243.19,239.985,242.489,805692
2014-07-14,243.595,247.071,243.466,246.674,852700
2014-07-15,246.49,248.921,245.862,247.008,1393279
2014-07-16,249.55,253.293,246.12,248.107,1157607
2014-07-17,246.472,248.69,242.147,242.471,998166
2014-07-18,242.73,245.51,242.379,244.827,881667
2014-07-21,242.701,244.615,242.24,243.136,731441
2014-07-22,243.553,245.28,243.155,243.476,682032
2014-07-23,244.097,244.19,241.491,241.537,902737
2014-07-24,242.859,243.561,241.464,242.164,518395
2014-07-25,240.862,241.715,239.32,240.281,666093
2014-07-28,240.272,242.321,239.042,241.455,732488
2014-07-29,242.017,243.605,239.893,240.022,595668
2014-07-30,241.269,242.017,238.551,240.216,660524
2014-07-31,237.888,238.046,232.528,232.528,1105396
2014-08-01,229.46,235.07,228.922,231.556,1009039
2014-08-04,233.859,233.859,231.437,233.034,1154838
2014-08-05,232.056,233.239,229.193,229.744,993184
2014-08-06,228.774,233.471,228.415,231.982,876597
2014-08-07,233.135,234.817,230.106,231.206,565484
2014-08-08,232.304,235.094,230.9,234.866,518653
2014-08-11,235.956,237.147,235.103,235.372,466089
2014-08-12,234.791,237.647,234.726,237.23,726201
2014-08-13,238.784,239.799,237.86,238.839,502729
2014-08-14,239.099,240.255,238.765,240.158,438077
2014-08-15,241.464,242.017,238.255,240.436,771146
2014-08-18,241.962,244.078,241.426,243.987,609674
2014-08-19,243.819,245.585,243.294,245.389,928965
2014-08-20,245.29,247.969,244.023,247.794,691182
2014-08-21,247.597,249.069,246.443,248.985,676154
2014-08-22,248.071,250.048,247.478,248.773,599536
2014-08-25,250.02,254.474,249.91,254.07,926199
2014-08-26,254.927,257.377,254.234,256.738,913420
2014-08-27,256.813,257.672,253.374,254.53,725511
2014-08-28,253.773,254.363,251.822,252.377,723421
2014-08-29,253.31,253.902,252.193,253.681,641730
2014-09-02,255.122,255.325,250.999,252.368,1006538
2014-09-03,254.492,255.39,253.097,254.225,581406
2014-09-04,255.64,257.082,253.912,254.605,574835
2014-09-05,254.05,255.416,251.933,255.398,514722
2014-09-08,254.753,256.527,253.773,255.122,435261
2014-09-09,254.371,254.873,251.617,252.09,486162
2014-09-10,253.274,254.328,252.561,253.188,610842
2014-09-11,251.565,252.887,250.834,252.145,657917
2014-09-12,252.025,253.198,250.999,252.552,491233
2014-09-15,251.759,252.422,250.308,250.937,496310
2014-09-16,250.42,252.58,248.172,251.878,767368
2014-09-17,252.128,254.697,250.98,253.079,696657
2014-09-18,253.974,256.517,253.394,256.036,628430
2014-09-19,257.755,257.875,253.586,254.614,1047590
2014-09-22,254.05,254.05,250.308,251.436,514767
2014-09-23,250.38,252.183,248.913,249.484,551094
2014-09-24,249.854,252.82,249.437,252.498,520369
2014-09-25,250.946,252.442,246.038,246.767,880942
2014-09-26,251.351,258.578,251.351,257.182,1680027
2014-09-29,253.485,255.869,252.342,253.773,990664
2014-09-30,253.447,255.058,250.927,251.997,1004476
2014-10-01,251.325,251.325,247.129,248.081,1053174
2014-10-02,247.1,249.189,244.921,248.329,620868
2014-10-03,249.365,252.118,249.365,251.056,641110
2014-10-06,252.128,252.748,248.966,250.289,563616
2014-10-07,248.838,248.838,244.678,244.707,644103
2014-10-08,244.087,249.689,241.786,249.346,1066099
