Date,Open,High,Low,Close,Volume
2014-06-02,32.868,32.957,32.4,32.774,153951
2014-06-03,32.878,32.937,32.468,32.831,260664
2014-06-04,32.657,32.984,32.439,32.888,128865
2014-06-05,32.726,33.589,32.716,33.549,236106
2014-06-06,33.773,34.298,33.135,34.288,131901
2014-06-09,33.783,34.74,33.773,34.587,81560
2014-06-10,33.992,34.444,32.409,34.167,78254
2014-06-11,34.327,34.327,33.589,33.972,75746
2014-06-12,33.902,33.952,33.139,33.359,147248
2014-06-13,33.445,33.638,33.341,33.579,95678
2014-06-16,33.657,34.03,33.426,34.02,76138
2014-06-17,33.962,34.74,33.897,34.72,137978
2014-06-18,34.701,34.869,34.089,34.223,160690
2014-06-19,34.07,34.614,33.768,34.04,166571
2014-06-20,34.06,34.06,33.763,33.875,311131
2014-06-23,33.922,34.251,33.857,33.962,129631
2014-06-24,33.733,34.375,33.733,34.02,259905
2014-06-25,34.269,34.269,33.893,34.109,94802
2014-06-26,34.233,34.242,33.705,34.129,89097
2014-06-27,33.884,34.76,33.884,34.701,178282
2014-06-30,34.549,34.549,34.191,34.298,131525
2014-07-01,34.355,35.593,34.089,35.219,161595
2014-07-02,34.99,35.337,34.876,34.961,90550
2014-07-03,35.049,35.105,34.76,34.971,99721
2014-07-07,34.829,35.152,34.53,34.549,158359
2014-07-08,34.149,34.74,33.559,33.735,282192
2014-07-09,33.821,34.204,33.502,33.83,267169
2014-07-10,33.293,33.922,33.11,33.754,166698
2014-07-11,33.628,33.866,33.426,33.754,82673
2014-07-14,34.119,34.259,33.754,33.992,65968
2014-07-15,33.715,33.902,33.273,33.569,211695
2014-07-16,33.783,33.783,33.11,33.13,82863
2014-07-17,32.975,33.158,32.542,32.599,161468
2014-07-18,32.506,33.321,32.266,33.263,146190
2014-07-21,33.042,33.195,32.599,33.071,143273
2014-07-22,33.263,33.579,32.854,33.177,230992
2014-07-23,33.215,33.341,32.794,32.888,84970
2014-07-24,32.957,33.407,32.706,33.158,160920
2014-07-25,32.841,32.849,32.523,32.657,200466
2014-07-28,32.677,33.445,32.285,33.032,143795
2014-07-29,33.13,33.725,33.054,33.569,282022
2014-07-30,33.893,34.405,33.559,34.195,243593
2014-07-31,34.07,36.373,33.922,35.229,390487
2014-08-01,35.375,35.633,34.905,35.219,285995
2014-08-04,35.337,35.337,34.649,35.068,260612
2014-08-05,34.885,35.443,34.711,35.113,114930
2014-08-06,34.944,35.49,34.944,35.152,248485
2014-08-07,35.249,35.5,34.597,35.058,140035
