Date,Open,High,Low,Close,Volume
2014-10-30,19,19.5,16.88,17.45,6884159
2014-10-31,17.79,18.14,17.66,17.75,429081
2014-11-03,17.56,17.7,17.5,17.56,111994
2014-11-04,17.75,17.75,17.09,17.38,187744
2014-11-05,17.14,17.57,16.91,17.04,361380
2014-11-06,17,17.44,17,17.25,440337
2014-11-07,17.17,17.27,17.06,17.22,56610
2014-11-10,17.52,18.19,17.15,18,157805
2014-11-11,18.14,18.99,18.04,18.78,125061
2014-11-12,18.85,18.98,18.27,18.86,122227
2014-11-13,18.64,19.55,18.51,19.26,99755
2014-11-14,19,20,19,20,73860
2014-11-17,19.95,20.45,19.38,20.19,98493
2014-11-18,20.2,20.2,19.36,19.65,108160
2014-11-19,19.65,20.15,19.4,19.74,111079
2014-11-20,20,20.4,19.68,20.28,83486
2014-11-21,20.21,20.83,19.8,20,147761
2014-11-24,20.21,20.74,19.5,20.65,190558
2014-11-25,20.79,21.65,20.75,21.37,175685
2014-11-26,21.63,21.9,21.11,21.48,129241
2014-11-28,21.71,21.89,21.25,21.6,69059
2014-12-01,21.95,22.1,20.77,20.9,122491
2014-12-02,20.76,21.86,20.75,20.98,123122
2014-12-03,20.76,22.09,20.75,22.08,118143
2014-12-04,22,22.31,21.38,22.17,94423
2014-12-05,22.37,22.37,21.59,22.2,96389
2014-12-08,22,23.12,21.83,22.09,128310
2014-12-09,22.28,22.28,21.41,21.61,101767
2014-12-10,21.97,22.1,20.6,21.92,97132
2014-12-11,21.87,22.64,20.06,20.99,140662
2014-12-12,21.14,21.48,20.62,20.88,74757
2014-12-15,21.02,21.48,20.34,20.42,281189
2014-12-16,20.52,21.06,19.51,19.79,196740
2014-12-17,19.6,20.45,18.8,19.18,218430
2014-12-18,19.23,19.44,18.14,18.8,228842
2014-12-19,18.71,20.45,18.2,19.56,771512
2014-12-22,19.65,20.17,18.82,19.2,190142
2014-12-23,19.2,19.58,18.36,19.3,209362
2014-12-24,19.21,19.22,18.51,18.7,213099
2014-12-26,18.8,19.02,18.4,18.42,106299
2014-12-29,18.34,19.04,18.18,18.35,263903
2014-12-30,18.33,18.7,17.89,18.3,319364
2014-12-31,18.38,18.86,17.91,18.2,399631
2015-01-02,18.15,18.79,17.94,17.94,172053
2015-01-05,17.86,19.43,17.55,18,179280
