Date,Open,High,Low,Close,Volume
2014-06-02,5.19682,5.19682,5.17521,5.17521,414.5150928746
2014-06-03,5.18234,5.18234,5.13198,5.13911,5865.3885641757
2014-06-04,5.15349,5.18958,5.13911,5.18958,2779.3236977243
2014-06-05,5.15349,5.19682,5.15349,5.16796,2986.5812441615
2014-06-06,5.15349,5.15349,5.12493,5.12493,22049.094077732
2014-06-09,5.13198,5.15349,5.12493,5.12493,7337.9534316127
2014-06-10,5.13911,5.16796,5.12493,5.12493,8350.4065459589
2014-06-11,5.12493,5.15349,5.12493,5.12493,1997.9627476556
2014-06-12,5.14646,5.14646,5.14646,5.14646,264.25337170756
2014-06-13,5.13198,5.14646,5.13198,5.13198,2235.2726383264
2014-06-16,5.13198,5.16796,5.0818,5.15349,23168.284828494
2014-06-17,5.16796,5.17521,5.15349,5.17521,1996.9264599234
2014-06-18,5.15349,5.17521,5.13911,5.16796,4887.1329449916
2014-06-19,5.17521,5.17521,5.13911,5.17521,5773.158956011
2014-06-20,5.16796,5.21109,5.16796,5.21109,1671.5321120169
2014-06-23,5.18958,5.18958,5.18958,5.18958,310.88631965595
2014-06-24,5.14646,5.14646,5.14646,5.14646,220.72928695572
2014-06-25,5.18958,5.18958,5.14646,5.18958,3451.8744359133
2014-06-26,5.17521,5.21109,5.16796,5.19682,2746.1624902943
2014-06-27,5.17521,5.33308,5.13911,5.33308,10201.216435644
2014-06-30,5.34755,5.34755,5.27585,5.3047,5114.0799583404
2014-07-01,5.2471,5.2471,5.2471,5.2471,1371.0086696827
2014-07-02,5.33308,5.34051,5.29747,5.31889,5844.6628095319
2014-07-03,5.31156,5.31156,5.29747,5.29747,547.15992259448
2014-07-07,5.29747,5.29747,5.2471,5.2471,8869.5866997843
2014-07-08,5.29747,5.29747,5.26147,5.29013,1744.0722532699
2014-07-09,5.29013,5.29013,5.23262,5.23262,2784.5051363852
2014-07-10,5.23262,5.26852,5.20396,5.20396,30519.710000625
2014-07-11,5.27585,5.27585,5.18958,5.18958,1292.2508020366
2014-07-14,5.19682,5.21109,5.13911,5.19682,5529.6313389472
2014-07-15,5.29013,5.29013,5.13911,5.13911,18283.224458967
2014-07-16,5.10331,5.18234,5.09637,5.14646,42145.822068026
2014-07-17,5.14646,5.18958,5.14646,5.16796,21230.426769305
2014-07-18,5.21109,5.21109,5.14646,5.14646,691.20391736841
2014-07-21,5.21109,5.21109,5.17521,5.17521,1181.3680146926
2014-07-22,5.14646,5.18234,5.14646,5.18234,641.46210622345
2014-07-23,5.19682,5.20396,5.14646,5.18958,494441.89308268
2014-07-24,5.17521,5.20396,5.16073,5.20396,32267.927404824
2014-07-25,5.16073,5.18958,5.16073,5.18234,837.32048760671
2014-07-28,5.19682,5.20396,5.19682,5.19682,935.76782216442
2014-07-29,5.16796,5.18234,5.16796,5.17521,478.76493227017
