Date,Open,High,Low,Close,Volume
2014-06-02,28.44,28.44,27.74,28.02,552911
2014-06-03,28.06,28.32,27.25,27.75,363287
2014-06-04,27.69,28.05,27.27,28.01,465018
2014-06-05,28.06,28.65,27.9,28.44,412917
2014-06-06,28.43,28.84,28.35,28.58,434075
2014-06-09,28.68,28.75,27.59,28.17,914998
2014-06-10,29.44,29.92,29.22,29.67,1108900
2014-06-11,29.72,29.99,29.27,29.89,429475
2014-06-12,29.87,29.94,29.31,29.61,485310
2014-06-13,29.64,29.87,29,29.69,705199
2014-06-16,29.78,30.64,29.76,30.51,605555
2014-06-17,30.67,31.19,30.36,30.96,418328
2014-06-18,30.92,31.52,30.61,31.38,910364
2014-06-19,31.31,31.31,30.69,31.25,689577
2014-06-20,31.37,31.74,30.98,31.6,1694657
2014-06-23,32.57,33.12,31.09,31.53,920116
2014-06-24,31.41,31.98,31.01,31.15,367945
2014-06-25,31.25,32.01,31.02,31.89,604415
2014-06-26,31.81,32,30.86,31.01,677183
2014-06-27,30.32,31.52,30.32,31.03,1646479
2014-06-30,31.1,31.88,30.89,31.86,257044
2014-07-01,31.93,32.59,31.52,31.55,401796
2014-07-02,31.64,31.89,31.09,31.2,247900
2014-07-03,31.35,31.66,31.13,31.47,214294
2014-07-07,31.55,31.55,30.48,30.69,337956
2014-07-08,30.74,30.77,29.71,30.1,569772
2014-07-09,30.13,30.3,29.45,30.14,837113
2014-07-10,29.8,30.36,29.62,30.1,680405
2014-07-11,30.2,30.23,29.97,30.05,595208
2014-07-14,30.34,30.49,28.95,29.8,1462097
2014-07-15,29.92,29.98,28.94,28.99,995132
2014-07-16,29.16,29.42,28.66,28.95,512858
2014-07-17,32.07,33.59,31,31.34,1435902
2014-07-18,30.12,31.67,30.12,31.24,618374
2014-07-21,31.24,32,31.13,31.81,380869
2014-07-22,31.84,32.45,31.78,32.06,574537
2014-07-23,31.96,32.03,31.31,31.51,359722
2014-07-24,31.68,32.24,31.54,32.15,346621
2014-07-25,32.54,33.14,32.28,33.04,1089101
2014-07-28,33.18,33.2,32.54,32.6,322866
2014-07-29,32.53,33,32.04,32.78,278882
2014-07-30,32.84,33.42,32.71,33.25,486266
2014-07-31,33.14,33.18,32.46,32.73,346811
2014-08-01,32.77,32.77,31.93,32.55,271700
2014-08-04,32.6,32.98,32.49,32.59,276208
2014-08-05,32.57,33.2,32.38,32.84,343944
2014-08-06,32.41,32.88,32.25,32.77,341241
2014-08-07,33.01,33.25,32.25,32.27,254579
2014-08-08,32.32,33.39,32.08,33.25,278845
2014-08-11,33.42,33.98,32.7,33.28,318071
2014-08-12,33.16,33.45,32.73,32.92,382733
2014-08-13,32.99,33.09,32.07,33.04,295097
2014-08-14,33.08,33.89,33.08,33.51,299512
2014-08-15,33.7,33.8,33.22,33.45,202307
2014-08-18,33.74,34.59,33.46,34.27,370381
2014-08-19,34.4,35,34.06,34.78,485882
2014-08-20,34.63,34.63,33.84,34.06,369313
2014-08-21,33.96,34.69,33.65,34.49,579639
2014-08-22,34.62,35.84,34.41,35.73,487704
2014-08-25,35.77,35.77,35.35,35.71,287595
2014-08-26,35.64,35.8,35.38,35.53,248177
2014-08-27,35.52,35.92,35.43,35.71,177292
2014-08-28,35.46,36.26,34.77,35.95,250833
2014-08-29,35.93,36.37,35.43,35.67,184355
2014-09-02,35.97,36.93,35.82,36.69,623697
2014-09-03,36.93,37.06,36.16,36.32,452124
2014-09-04,36.51,37.36,36.26,37.3,667862
2014-09-05,37.25,37.25,36.35,36.59,590857
2014-09-08,36.79,37.03,35.41,36.06,1350898
2014-09-09,38.49,39.81,36.81,37.18,2030703
2014-09-10,37.15,38.3,36.25,37.89,1459029
2014-09-11,37.71,38.19,36.59,38.01,983127
2014-09-12,38.14,38.18,37.69,38.1,433429
2014-09-15,38.26,38.36,37.7,37.96,454217
2014-09-16,37.81,38.71,37.68,38.61,501658
2014-09-17,38.5,39.25,38.17,39.1,935221
2014-09-18,39.3,40.55,39,40.46,960835
2014-09-19,40.41,40.8,39.72,40.26,1215687
2014-09-22,40.08,40.25,38.73,39.77,1127605
2014-09-23,39.55,40.35,39.14,39.34,947176
2014-09-24,38.95,39.79,38.53,39.7,724592
2014-09-25,39.51,39.71,38.89,39.46,352495
2014-09-26,39.5,40.58,39.25,40.48,579670
2014-09-29,40.24,40.5,39.8,40.25,395396
2014-09-30,40.14,40.28,39.46,39.86,592912
2014-10-01,39.83,39.97,39.19,39.33,637926
2014-10-02,39.31,39.63,38.69,39.54,538890
