Date,Open,High,Low,Close,Volume
2015-07-01,25.5686,25.5686,21.8326,22.3246,2056269.3618077
2015-07-02,22.2347,23.431,22.2347,23.3045,1942924.8494577
2015-07-06,23.2305,23.2946,22.8125,22.8649,1762345.8074095
2015-07-07,22.4836,22.8827,22.3343,22.8649,1664334.5092687
2015-07-08,22.5982,22.9478,22.5468,22.9291,1387492.4004746
2015-07-09,22.8471,23.0665,22.7276,22.9291,1306892.555717
2015-07-10,23.0477,23.2768,22.8471,23.2205,889988.46427385
2015-07-13,23.1741,23.4882,23.1307,23.4695,890099.816592
2015-07-14,23.3045,23.5682,23.3045,23.5248,715650.21351098
2015-07-15,23.3766,23.5159,23.2205,23.4121,919856.19288278
2015-07-16,23.3589,23.5326,23.2402,23.3232,782776.42777252
2015-07-17,23.4398,23.4398,23.2768,23.2867,1040563.1180499
2015-07-20,23.1307,23.3144,22.9854,22.9854,2752644.4890471
2015-07-21,22.8471,22.9924,22.7651,22.7848,1408631.1196344
2015-07-22,22.5468,22.8471,22.4836,22.7651,617636.89078254
2015-07-23,22.8303,22.9677,22.5291,22.5626,815629.41080164
2015-07-24,22.4105,22.5113,22.1705,22.1972,958762.692844
2015-07-27,21.9353,22.1783,21.9265,22.0272,859215.74500652
2015-07-28,22.0182,22.1616,21.963,22.0983,1091265.8776784
2015-07-29,22.1349,22.3246,22.0746,22.2899,923279.77051896
2015-07-30,22.1526,22.5113,22.1526,22.4303,756278.62522829
2015-07-31,22.3907,22.5468,22.3443,22.4303,668888.31365125
2015-08-03,22.3443,22.4836,22.0983,22.3907,854139.09159273
2015-08-04,22.3343,22.5626,22.3246,22.4658,1005849.5390139
2015-08-05,22.4747,22.9014,22.4658,22.7098,950001.2899933
2015-08-06,22.5982,23.5159,22.2524,23.3322,1390409.83121
2015-08-07,23.3589,23.3677,22.7364,23.0575,1191905.0905275
2015-08-10,23.2305,23.5069,23.103,23.4695,507794.91498529
2015-08-11,23.2107,23.5593,23.2107,23.4784,493258.37599785
2015-08-12,23.5069,23.7432,23.2601,23.6779,588834.09525263
2015-08-13,23.6779,23.9249,23.5326,23.8785,660345.56626164
2015-08-14,24.2598,24.2993,23.8963,24.1709,718603.07452952
2015-08-17,24.072,24.3901,23.8963,24.2993,783106.43555176
2015-08-18,24.3358,24.4474,24.154,24.4376,512772.36360655
2015-08-19,24.328,24.3901,24.0424,24.2409,801663.80551817
2015-08-20,24.071,24.0997,23.7786,23.9881,950261.44950025
2015-08-21,23.7698,24.08,23.6019,23.7609,882191.77741583
2015-08-24,22.368,23.8232,21.957,23.1632,1164737.1494868
2015-08-25,23.5051,23.6393,22.7414,22.7513,1317496.3332862
2015-08-26,22.9647,23.1721,22.6693,23.1632,1503788.7615493
2015-08-27,23.4862,23.9515,23.2472,23.8133,1337161.1526713
2015-08-28,23.8596,23.9318,23.5939,23.8775,1122679.378922
2015-08-31,23.8775,24.2993,23.5663,24.2696,1148135.5311445
2015-09-01,23.9979,23.9979,23.7965,23.9042,966544.19529501
2015-09-02,24.0622,24.1709,23.5663,24.0523,711193.08390362
2015-09-03,24.1353,24.318,23.8863,24.1175,779265.79286943
2015-09-04,23.8518,24.0424,23.7422,23.8686,644326.01685522
2015-09-08,23.9782,24.0622,23.833,24.0079,861652.33618638
2015-09-09,24.1897,24.3724,23.7965,23.833,753259.96511265
2015-09-10,23.8775,23.9318,23.6937,23.9042,528060.02459458
2015-09-11,23.7786,23.8953,23.5139,23.6108,592533.01680277
2015-09-14,23.6108,23.7035,23.3381,23.3845,673827.29510806
2015-09-15,23.5051,23.9042,23.4862,23.8043,694258.42090078
2015-09-16,23.8596,23.9417,23.6937,23.8419,957143.02276184
2015-09-17,23.8043,24.0079,23.6305,23.7698,913878.59798579
2015-09-18,23.6108,23.6483,23.2926,23.4191,2062452.4523463
2015-09-21,23.4675,23.7234,23.4101,23.6581,530141.30065016
2015-09-22,23.4675,23.5317,22.8984,23.0457,873122.63724951
2015-09-23,22.9992,23.1801,22.9361,23.0724,662572.61262462
2015-09-24,22.9271,22.9825,22.613,22.9084,648717.3473655
2015-09-25,22.9992,23.3381,22.8984,23.3312,1545964.9704888
2015-09-28,23.1544,23.3025,23.0457,23.1978,1014091.6351445
2015-09-29,23.3845,23.914,23.2926,23.8232,1357702.6184883
2015-09-30,24.0997,24.154,23.7786,24.1254,902950.88640018
2015-10-01,24.0246,24.0899,23.7135,24.0899,760578.84929645
2015-10-02,23.8775,24.6361,23.7035,24.6015,953540.26912282
2015-10-05,24.7833,24.9858,24.6914,24.9226,1300059.5725579
2015-10-06,24.9691,25.3464,24.9691,25.1311,979435.75685524
2015-10-07,25.3376,25.7643,25.215,25.5045,622144.63507996
2015-10-08,25.4412,25.9204,25.3197,25.8077,727584.14513514
2015-10-09,25.9204,26.1514,25.7909,25.9549,545116.16285359
2015-10-12,26.0181,26.1771,25.9451,26.114,564794.14205809
2015-10-13,26.4508,26.4508,25.783,25.8256,717748.69856118
2015-10-14,25.2615,25.9381,25.2615,25.4323,498894.82788379
2015-10-15,25.4057,25.459,25.1123,25.3878,347783.65839296
2015-10-16,25.3691,25.4679,25.0322,25.2515,563032.75084374
2015-10-19,25.1675,25.2812,25.0322,25.1854,265396.10278222
2015-10-20,25.1409,25.5193,25.1221,25.4323,210768.68008598
2015-10-21,25.4323,25.5816,25.1952,25.2318,544131.20098487
2015-10-22,25.2999,25.7267,25.2713,25.5816,624223.88654794
2015-10-23,25.7643,25.873,25.5816,25.7909,319269.36659645
2015-10-26,25.8353,26.0467,25.5242,25.6467,393456.33012243
2015-10-27,25.543,25.619,25.3099,25.459,312819.03049422
2015-10-28,25.4856,25.7732,25.3376,25.7089,651864.5687939
2015-10-29,25.5913,25.783,25.5045,25.6645,854003.44422335
2015-10-30,25.6102,26.2018,25.4057,25.9006,895194.69129422
2015-11-02,26.0083,26.0083,25.5716,25.873,1067740.169735
2015-11-03,25.9006,26.5585,25.8827,26.2295,821875.26355599
2015-11-04,26.2375,26.4064,25.9638,26.193,738255.74638899
2015-11-05,27.0436,27.9425,26.6888,26.7402,982711.53959642
2015-11-06,26.8331,26.9832,26.4598,26.6534,788441.22388489
2015-11-09,26.7077,26.9171,26.5871,26.5961,1039937.5204807
2015-11-10,26.6049,26.9655,26.4972,26.8608,1043679.9706643
2015-11-11,26.9269,27.2382,26.6978,27.1917,889949.9971094
2015-11-12,27.2382,27.2382,25.9993,26.0467,1233362.5708681
2015-11-13,25.9727,26.5585,25.9282,26.3481,719936.2654659
2015-11-16,26.1514,26.76,26.1514,26.7402,678416.0229096
2015-11-17,26.8044,26.8421,26.4241,26.4508,756976.09565743
2015-11-18,26.5585,27.0189,26.5062,26.9368,1205612.5608916
2015-11-19,26.9181,26.9566,26.6148,26.8815,544307.34010631
2015-11-20,26.9842,27.2026,26.761,26.9744,660758.58213259
2015-11-23,26.9665,27.6234,26.7877,27.3399,691508.0186425
2015-11-24,27.3201,27.8614,27.1482,27.8071,689219.22235764
2015-11-25,27.8427,28.0274,27.5869,27.6155,366690.26972084
2015-11-27,27.5059,27.9543,27.4031,27.8071,291017.25889447
2015-11-30,27.8427,28.0907,27.8071,27.9257,713208.56086211
2015-12-01,27.9158,28.2862,27.734,28.2467,640920.66050747
2015-12-02,28.2951,28.6606,28.1271,28.4858,985715.01530503
2015-12-03,28.5332,28.6695,28.228,28.3929,951379.02185693
2015-12-04,28.3929,28.9996,28.2092,28.6211,598174.53015772
2015-12-07,28.5786,28.5786,28.1825,28.2567,760419.91916963
2015-12-08,28.1371,28.3307,27.7884,28.2092,753290.33392669
2015-12-09,28.2567,28.4305,27.8347,28.0274,784955.89632684
2015-12-10,28.0195,28.6043,27.8802,28.5134,728251.24675023
2015-12-11,28.2665,28.4858,28.065,28.4028,866077.07239209
2015-12-14,28.4028,28.6409,28.3041,28.4118,833198.78201793
