Date,Open,High,Low,Close,Volume
2014-06-02,19.4661,19.647,19.3105,19.4348,5046821.2240691
2014-06-03,19.4289,19.4602,19.2734,19.4406,4691277.345011
2014-06-04,19.5727,19.9287,19.3917,19.9101,6647537.5206183
2014-06-05,19.9453,20.4266,19.9219,20.3698,7610164.0157247
2014-06-06,20.4266,21.0408,20.2505,21.034,13426656.212204
2014-06-09,21.0456,21.122,20.7884,20.8598,11370347.561882
2014-06-10,20.7992,20.9782,20.493,20.9479,5465767.885871
2014-06-11,20.8276,21.1572,20.7698,21.1357,5339432.621929
2014-06-12,21.1699,21.2286,20.6428,20.8853,7461171.4636156
2014-06-13,20.855,20.984,20.4677,20.7259,4745563.4345288
2014-06-16,20.7259,20.7259,20.3483,20.5488,5381986.732668
2014-06-17,20.5488,20.72,20.4061,20.6926,3415421.841234
2014-06-18,20.7044,20.9782,20.4374,20.9234,5944612.561506
2014-06-19,21.0173,21.1357,20.8598,20.9361,4587483.8386387
2014-06-20,20.984,21.0643,20.7376,20.7924,7015698.7722348
2014-06-23,20.7924,20.9479,20.5792,20.7376,3770698.8752846
2014-06-24,20.7533,20.8677,20.2759,20.3434,5800412.9955856
2014-06-25,20.3317,20.5322,20.2446,20.3483,3397812.1155271
2014-06-26,20.3698,20.6779,20.3317,20.6633,3510667.1058137
2014-06-27,20.6173,20.8745,20.6007,20.8334,2560983.1047692
2014-06-30,20.8334,20.8853,20.6779,20.8217,3607127.9976498
2014-07-01,20.9361,21.1699,20.8472,20.9108,6028236.2659308
2014-07-02,20.9479,21.3234,20.8745,21.0711,6455472.5036751
2014-07-03,21.2041,21.2217,20.7884,21.0408,3786842.4870419
2014-07-07,20.9909,21.0115,20.6486,20.7259,5392567.4950542
2014-07-08,20.7044,20.7044,20.3317,20.3806,6299399.8685121
2014-07-09,20.4598,20.5488,20.2388,20.4539,5383346.5175722
2014-07-10,20.2075,20.2759,19.5462,20.0872,9680384.3902511
2014-07-11,20.1008,20.1458,19.8778,20.093,7419148.9981022
2014-07-14,20.2388,20.4882,20.227,20.4266,9500295.7044116
2014-07-15,20.5253,20.8598,20.5253,20.7992,10569439.365277
2014-07-16,20.9479,21.2286,20.8334,21.1572,11996572.473239
2014-07-17,21.5523,21.7998,21.1768,21.2589,17380383.15799
2014-07-18,21.6638,22.2321,21.4937,22.2321,19500141.62121
2014-07-21,22.2429,22.279,21.8751,22.1803,16231471.24298
2014-07-22,22.3065,22.3514,22.1001,22.149,9953459.8708557
2014-07-23,22.1637,22.4698,22.1187,22.4287,8237370.4259605
2014-07-24,22.4425,22.4425,22.0111,22.1392,9183550.6804887
2014-07-25,22.0522,22.1274,21.7001,21.7968,6867086.5509411
2014-07-28,21.7968,21.8869,21.2149,21.7157,8965037.3359614
2014-07-29,21.8546,21.8546,21.4066,21.6208,5602659.3747274
2014-07-30,21.8028,21.879,21.2667,21.5112,7423946.0738695
2014-07-31,21.255,21.2961,20.5899,20.6671,12082659.126411
2014-08-01,20.6671,20.987,20.3317,20.5018,7260490.7268319
2014-08-04,20.7259,20.8697,20.5018,20.7445,5155737.9501067
2014-08-05,20.7445,20.9126,20.361,20.5214,7014020.0001952
2014-08-06,20.4011,20.7826,20.317,20.63,5446313.7601889
2014-08-07,20.7748,20.8765,20.5018,20.6358,8802381.5015516
2014-08-08,20.6721,20.8931,20.4442,20.855,3998468.9811071
2014-08-11,21.1523,21.4369,21.0956,21.3166,12966662.449399
2014-08-12,21.4564,21.4682,20.8931,21.0075,5183625.8093789
2014-08-13,21.1092,21.255,20.7826,21.1337,5083916.7696926
2014-08-14,21.1631,21.2423,21.1034,21.211,3363179.5186512
2014-08-15,21.2423,21.3244,20.7405,21.0017,5108931.6999567
2014-08-18,21.0887,21.2482,20.8482,20.8931,5649666.0142317
2014-08-19,20.9126,21.0623,20.8061,20.8697,4848608.5480063
2014-08-20,20.7689,20.9313,20.6613,20.7924,5388059.756977
2014-08-21,20.8227,20.8697,20.7024,20.7092,6484904.1788912
2014-08-22,20.7092,20.7357,20.3112,20.5018,9994025.4239716
2014-08-25,20.583,20.8853,20.495,20.855,7344431.3736028
2014-08-26,20.9009,21.0839,20.8823,20.9313,8332964.3271209
2014-08-27,21.0153,21.0271,20.6466,20.9009,5253659.8439188
2014-08-28,20.8853,21.2149,20.7748,21.0839,4707990.4305967
2014-08-29,21.121,21.2589,21.0839,21.2041,2689816.0788774
2014-09-02,21.2785,21.4183,21.1523,21.1631,3760579.2128922
2014-09-03,21.2149,21.3421,20.9733,21.1152,3985451.8522346
2014-09-04,21.121,21.121,20.6671,20.8139,7018570.6788483
2014-09-05,20.7884,20.9508,20.6525,20.9176,5395432.244905
2014-09-08,20.8853,20.9733,20.6143,20.7092,5167374.8461816
2014-09-09,20.7288,20.7288,20.5498,20.5498,3870971.2544312
2014-09-10,20.5498,20.6525,20.3884,20.5547,4990079.3425663
2014-09-11,20.5097,20.6212,20.3963,20.5967,6460072.2572721
2014-09-12,20.583,20.6525,20.3542,20.4687,5208823.748288
2014-09-15,20.4304,20.4687,20.2476,20.3365,4669751.8477379
2014-09-16,20.2427,20.7748,20.0764,20.5498,6044847.1120501
2014-09-17,20.5899,20.8402,20.4687,20.6955,6059472.4677303
2014-09-18,20.855,21.0574,20.6955,20.9635,5126667.1802073
2014-09-19,21.0956,21.121,20.7884,20.9733,6590978.6477606
2014-09-22,20.8697,20.9733,20.4061,20.5899,6175200.3870248
2014-09-23,20.5214,20.5469,20.1429,20.2025,7369679.4098504
2014-09-24,20.1957,20.1957,19.4192,20.0167,12834326.751168
2014-09-25,20.0089,20.0764,19.6802,19.9961,8575061.2493816
2014-09-26,19.9961,20.3425,19.9961,20.2358,3911833.3019998
2014-09-29,20.0529,20.23,19.7556,20.1301,3672779.0262617
2014-09-30,20.0891,20.1791,19.7859,19.9091,6072811.6509221
2014-10-01,19.8446,19.8613,19.2754,19.3937,10412152.125253
2014-10-02,19.3937,19.3937,18.4215,19.2998,14316603.737772
2014-10-03,19.4455,19.7917,19.3869,19.7291,5007451.8727109
2014-10-06,19.8573,19.8681,19.47,19.6724,4772577.1463626
2014-10-07,19.561,19.693,19.2754,19.2822,5812679.6867741
2014-10-08,19.2469,19.3624,18.6826,19.2225,12274650.530939
2014-10-09,19.1951,19.1951,18.5653,18.8254,8530433.7222623
2014-10-10,18.9388,19.1873,18.5936,18.7169,11716919.927756
2014-10-13,18.802,19.021,18.4782,18.5408,10128804.645451
2014-10-14,18.5613,18.7697,18.0929,18.622,10002925.369529
2014-10-15,18.3403,18.4283,17.2008,18.3765,23378770.611681
2014-10-16,17.1704,18.4645,16.7949,18.2698,24870923.930746
2014-10-17,18.5985,18.9203,18.3627,18.528,10249231.490625
2014-10-20,18.5799,18.8762,18.528,18.5985,8125357.8888779
2014-10-21,18.8636,19.5951,18.755,19.426,13959170.473374
2014-10-22,19.5394,19.8515,19.3937,19.4886,10426278.552336
2014-10-23,19.6675,19.8162,19.0983,19.1765,7354073.5776867
2014-10-24,19.2391,19.7145,19.203,19.6675,4684697.2129482
2014-10-27,19.5209,19.5355,19.067,19.4954,4735914.0736823
2014-10-28,19.5462,19.6304,19.3604,19.5961,6321227.9946059
2014-10-29,19.5462,19.8035,19.0533,19.2459,9641744.0062891
2014-10-30,19.5737,19.6226,18.622,19.0924,10340507.819115
2014-10-31,19.3418,19.6441,19.0983,19.3213,10641817.750784
2014-11-03,19.337,19.6304,19.1825,19.4367,8266901.2734591
2014-11-04,19.47,19.8426,19.3037,19.4641,8617875.0483655
2014-11-05,19.6617,19.7145,19.3604,19.4367,4789069.3947008
2014-11-06,19.4064,19.5805,19.3105,19.4367,4044923.5274924
2014-11-07,19.4367,19.9961,19.3751,19.9756,6158728.58658
2014-11-10,20.0705,20.7748,20.0216,20.3355,11134885.980996
2014-11-11,20.3884,20.4549,20.0842,20.2857,5411158.7196392
2014-11-12,20.1703,20.6437,20.1458,20.4617,4017917.9948159
2014-11-13,20.4705,20.6946,20.3102,20.4148,4857450.2170677
2014-11-14,20.4442,20.5792,20.2769,20.4382,4442276.1915788
2014-11-17,20.3806,20.5517,20.183,20.5429,5191677.1673643
2014-11-18,20.6887,21.1386,20.6261,20.9195,13172696.444648
2014-11-19,20.9195,21.1475,20.8412,20.9596,5567994.0612222
2014-11-20,20.9009,21.2785,20.8412,21.0819,6391291.6785912
2014-11-21,21.3303,21.3948,21.1308,21.2482,10959012.628359
2014-11-24,21.3694,21.4261,21.2345,21.3694,4332334.0036924
2014-11-25,21.3616,21.4399,21.2207,21.4145,4859601.3354425
2014-11-26,21.4076,21.6365,21.3176,21.4947,4164554.9496172
2014-11-28,21.4947,21.613,21.255,21.5054,2663133.6229151
2014-12-01,21.3303,21.4203,20.8823,21.0741,12237997.682205
2014-12-02,21.2345,21.4947,21.1621,21.1826,8406604.3476436
2014-12-03,21.2853,21.389,21.1826,21.2667,5286086.1131082
2014-12-04,21.2726,21.7655,21.2345,21.5054,8417890.5623486
2014-12-05,21.5896,21.9025,21.5729,21.7685,8611431.9171878
2014-12-08,21.7842,21.8751,21.5983,21.7685,5339386.614169
2014-12-09,21.5103,21.8115,21.3381,21.745,6398768.450775
2014-12-10,21.745,21.9123,21.5279,21.8321,9271756.7578011
2014-12-11,21.8115,21.9729,21.6853,21.7157,4795765.0573607
2014-12-12,21.4458,21.5485,20.9009,21.1142,9070160.9777925
2014-12-15,21.255,21.3303,20.6662,20.9273,9506326.8105394
2014-12-16,20.7748,21.2853,20.6133,20.9762,4610685.0407675
2014-12-17,21.0408,21.927,20.9537,21.7157,8930975.2353083
2014-12-18,21.9729,22.0091,21.6306,22.0091,6678244.1219814
2014-12-19,22.056,22.2595,21.9396,22.0307,4347502.2509396
2014-12-22,22.0443,22.1842,21.5983,21.6853,5933144.3605508
2014-12-23,21.7655,21.9074,21.6189,21.7842,5703729.2217126
2014-12-24,21.7842,21.8712,21.6512,21.8174,1402541.4490891
2014-12-26,21.8957,21.9671,21.7362,21.7627,2740618.8697722
2014-12-29,21.7264,21.8379,21.7088,21.745,2893297.154648
2014-12-30,21.6971,21.8575,21.5543,21.7773,3503644.2768611
2014-12-31,21.8047,21.8751,21.658,21.7001,2511821.2573115
2015-01-02,21.7988,21.9847,21.6306,21.8957,4030681.5698115
2015-01-05,21.7362,21.8516,21.2667,21.5729,4700283.6196133
2015-01-06,21.6257,21.6512,20.7581,21.1562,5228241.0677622
2015-01-07,21.3616,21.5896,21.167,21.4584,3924069.3213484
2015-01-08,21.6853,21.7567,21.5621,21.6257,5491355.3571474
2015-01-09,21.6913,21.9915,21.4458,21.9475,4740086.4663093
2015-01-12,22.0042,22.1578,21.6512,22.0385,6690908.5246945
2015-01-13,22.2742,22.4405,21.6638,21.8654,7271838.2852168
2015-01-14,21.6189,21.8575,21.4076,21.7773,6448322.897784
2015-01-15,21.9074,21.9191,21.4261,21.4712,6733852.1678008
2015-01-16,21.3499,21.6306,21.1386,21.6022,7934595.4027377
2015-01-20,21.6512,21.8115,21.2207,21.7773,4782654.8905736
2015-01-21,21.7773,22.4532,21.7362,22.2595,6983039.3970619
2015-01-22,22.4199,23.086,22.2918,22.9099,9061983.8652633
2015-01-23,22.9354,23.2483,22.7153,23.1329,6704918.3987865
2015-01-26,23.1594,23.4029,23.0635,23.3833,9601099.7287839
2015-01-27,23.1291,23.6601,23.0058,23.4665,8305383.1862482
2015-01-28,23.5955,23.844,23.3638,23.5702,10148268.995079
2015-01-29,23.5564,23.7697,22.8513,23.6455,11588546.008852
2015-01-30,23.755,24.1726,23.667,23.9555,9266319.6629736
2015-02-02,24.3018,24.3252,23.844,23.9086,10237794.983904
2015-02-03,24.1413,24.3194,23.9369,24.2881,8724709.1564709
2015-02-04,24.2509,24.3448,23.8176,23.8665,9414001.5051224
2015-02-05,24.0142,24.0142,23.7071,23.7756,9285078.5602836
2015-02-06,23.9565,24.0416,23.5115,23.6425,10792701.733023
2015-02-09,23.5702,24.023,23.3726,23.7814,5086045.3953847
2015-02-10,24.0837,24.1403,23.7305,24.0475,5845458.6821228
2015-02-11,24.1189,24.1786,23.6621,23.8988,5915428.3057988
2015-02-12,23.9732,24.2011,23.7756,24.1854,5982670.1805092
2015-02-13,24.2402,24.5267,24.2235,24.5062,7159710.2175369
2015-02-17,24.5727,24.6911,24.1726,24.4729,6873432.5546256
2015-02-18,24.4729,24.5267,24.2646,24.3849,4886433.0610259
2015-02-19,24.3351,24.6588,24.3096,24.5864,4566696.5103137
2015-02-20,24.5727,24.7361,24.3908,24.6588,4898588.3111959
2015-02-23,24.6588,24.6911,24.3038,24.5405,9055384.3077019
2015-02-24,24.6001,24.8661,24.5727,24.8085,6165730.9676393
2015-02-25,24.7625,24.8486,24.5776,24.8085,3528798.2527995
2015-02-26,24.8808,24.9013,24.5405,24.8358,4223857.9297553
2015-02-27,24.8358,24.9013,24.5189,24.5463,3313807.0578925
2015-03-02,24.6725,25.0334,24.5864,24.9914,6621739.436041
2015-03-03,24.9796,25.1106,24.7155,24.8016,5522488.2970857
2015-03-04,25.1244,25.4413,24.5727,25.2985,13285441.01631
2015-03-05,25.3992,25.9625,25.2603,25.6467,7584546.895003
2015-03-06,25.7141,25.7513,25.2456,25.3904,7070405.0659599
2015-03-09,25.4285,25.5567,25.005,25.0989,6756183.3120697
2015-03-10,24.9013,25.1244,24.7459,25.0843,6029910.9483917
2015-03-11,24.9405,25.2877,24.8358,25.188,5047718.8865848
2015-03-12,25.3591,25.4491,25.0921,25.3082,4897702.9174161
2015-03-13,25.3386,25.3904,24.8486,24.8661,5462660.8284847
2015-03-16,25.0255,25.2985,24.9258,25.1106,4744484.8081574
2015-03-17,25.05,25.05,24.8085,24.9531,3989064.9949801
2015-03-18,25.2662,25.5107,24.8417,25.3591,5578493.0320351
2015-03-19,25.3747,25.4119,25.1166,25.3523,3418306.0165835
2015-03-20,25.4363,25.5753,25.2799,25.3523,5305477.8727158
2015-03-23,25.3747,25.5224,25.0921,25.1361,5130588.0637468
2015-03-24,25.1419,25.2016,24.9405,25.0989,2492425.4081252
2015-03-25,25.1742,25.1958,24.8358,24.8945,5775207.8999139
2015-03-26,24.7204,24.7722,24.4289,24.6285,4764015.6134394
2015-03-27,24.6646,24.9112,24.5727,24.9072,4586991.0444103
2015-03-30,25.05,25.4413,25.005,25.1684,6414949.8911351
2015-03-31,25.1361,25.5107,25.0686,25.4833,6229124.5488313
2015-04-01,25.5567,25.7386,25.4119,25.5821,8099306.2504236
2015-04-02,25.5567,25.6584,25.405,25.405,5437177.6414641
2015-04-06,25.3523,25.4833,25.1038,25.2603,6193055.4874512
2015-04-07,25.3464,25.7659,25.229,25.5156,5642173.9061279
2015-04-08,25.5224,25.857,25.5156,25.6936,6800137.0811049
2015-04-09,25.7386,25.8178,25.5156,25.6858,5933666.8042245
2015-04-10,25.94,26.3402,25.7386,26.2228,8434430.863236
2015-04-13,26.349,26.7939,26.074,26.3107,8113954.0987865
2015-04-14,26.4526,26.5396,26.1514,26.2375,6462411.4962653
2015-04-15,26.3724,26.969,26.2824,26.8771,8590264.2580475
2015-04-16,27.6547,27.687,26.9504,26.9632,14351574.747283
2015-04-17,27.0111,27.4219,26.8262,27.4219,9620363.6890584
2015-04-20,27.9941,28.0127,27.3163,27.4023,10521867.341523
2015-04-21,27.5246,27.553,27.102,27.3378,6974960.4344206
2015-04-22,27.5784,27.6195,27.2009,27.3622,9842636.3787682
2015-04-23,27.3378,27.7397,27.3094,27.4424,9908511.3118118
2015-04-24,27.5578,27.8063,27.4904,27.7241,7208919.0951492
2015-04-27,27.9451,27.9872,27.7525,27.8464,5986537.8995262
2015-04-28,27.8679,27.9451,27.4503,27.9139,5095472.8965891
2015-04-29,27.8992,28.4019,27.6781,27.9667,6720179.6839482
2015-04-30,27.773,27.953,27.2184,27.4238,8733215.4800821
2015-05-01,27.4972,27.9598,27.4571,27.9451,5096222.3118783
2015-05-04,28.6827,28.7228,28.2562,28.489,10741925.524389
2015-05-05,28.6621,28.8157,28.2131,28.307,8276934.032305
2015-05-06,28.534,28.6005,27.8386,27.953,6536920.5522531
2015-05-07,27.9188,28.5908,27.8258,28.2944,6957621.6433
2015-05-08,28.6445,28.7413,28.4763,28.5203,6099901.0199611
2015-05-11,28.5565,28.7228,28.4019,28.5838,7248461.2312058
2015-05-12,28.5623,28.6377,28.3042,28.4841,4723283.4099931
2015-05-13,28.6151,28.6221,28.3276,28.5066,4174682.7911669
2015-05-14,28.6377,28.9232,28.6005,28.8509,4919081.1898575
2015-05-15,28.8578,29.0905,28.845,29.0494,4322302.2672412
2015-05-18,29.0788,29.56,28.9918,29.4339,6418045.7021802
2015-05-19,29.6138,29.7468,29.1649,29.2177,6943303.0060192
2015-05-20,29.3859,29.4465,29.1776,29.2999,3848340.5485254
2015-05-21,29.293,29.3605,29.0103,29.1707,4817216.9422177
2015-05-22,29.1991,29.206,28.8313,29.072,5382985.6122555
2015-05-26,29.114,29.1248,28.7961,28.9106,5472157.8525261
2015-05-27,28.8841,29.114,28.8313,29.0905,4869491.9814299
2015-05-28,29.0983,29.2235,28.8919,29.2098,3291344.0247118
2015-05-29,29.2304,29.4054,28.9232,29.3252,4422467.294948
2015-06-01,29.4652,29.4788,28.979,29.1248,5797141.3326582
2015-06-02,29.0572,29.1248,28.7844,29.0171,6883090.0946294
2015-06-03,29.293,29.4935,29.0905,29.1511,6573960.8885648
2015-06-04,29.0299,29.1365,28.7228,28.802,7736257.9945259
2015-06-05,28.7892,28.8919,28.2895,28.3882,6817112.9221195
2015-06-08,28.3882,28.5144,27.8855,28.0528,7285496.455544
2015-06-09,28.0195,28.0195,27.1217,27.5784,10480449.111257
2015-06-10,27.6987,28.4088,27.6195,28.1271,5508544.878647
2015-06-11,28.2601,28.6005,28.2269,28.4019,4879970.5043496
2015-06-12,28.355,28.4841,28.1271,28.4567,3856405.1976415
2015-06-15,28.2895,28.3677,27.9325,28.2817,6435803.6751134
2015-06-16,28.2328,28.3403,28.0137,28.1066,3496601.0000151
2015-06-17,28.2562,28.3218,28.0009,28.042,4194102.1554305
2015-06-18,28.0938,28.4147,28.0478,28.1193,5498883.2490645
2015-06-19,28.1408,28.441,28.0528,28.3824,4182152.4065881
2015-06-22,28.5017,28.5281,28.2015,28.2328,4594527.1154847
2015-06-23,28.2484,28.3403,28.0528,28.2131,3966999.673324
2015-06-24,28.1702,28.2131,27.4033,27.7046,8714844.07035
2015-06-25,27.7857,27.8992,27.1383,27.503,7377800.2906731
2015-06-26,27.503,27.7916,27.2184,27.7857,4756284.2649841
2015-06-29,27.1558,27.6057,27.0023,27.2106,7040249.5353211
2015-06-30,27.5315,27.5432,27.0365,27.3622,4900736.3623867
2015-07-01,27.7857,27.8513,27.2635,27.3965,5085016.8663519
2015-07-02,27.4238,27.6645,27.2771,27.6645,3616238.556508
2015-07-06,27.4424,27.5784,26.9622,27.0952,5568634.0802823
2015-07-07,27.1686,27.1823,25.8178,26.6277,11035709.60893
2015-07-08,26.2794,26.4419,25.8325,25.8452,7088500.4291325
2015-07-09,26.3,26.3402,26.0183,26.1729,5313385.0730534
2015-07-10,26.7001,26.7001,26.1729,26.5191,5597167.070588
2015-07-13,26.7813,27.418,26.7519,27.3925,6320946.8360732
2015-07-14,27.4503,27.6987,27.3622,27.4972,5130334.5098699
2015-07-15,27.5784,27.7397,27.3622,27.6713,4520167.3291179
2015-07-16,27.8513,28.5203,27.0414,28.0938,12399936.817954
2015-07-17,28.1408,28.2191,27.8063,27.8513,6270020.335424
2015-07-20,27.9451,28.0273,27.6361,27.8513,5542497.5830709
2015-07-21,27.8737,28.0811,27.7525,28.0195,3843706.0335098
2015-07-22,27.9256,28.088,27.6586,27.7857,4860383.467361
2015-07-23,27.7789,27.8141,26.9945,27.0854,8627957.9045499
2015-07-24,27.0854,27.2351,25.7073,26.0809,13309255.655237
2015-07-27,25.7865,26.2237,25.0558,25.9733,9651291.1276691
2015-07-28,26.1846,26.6619,26.1699,26.3196,6720346.3342785
2015-07-29,26.4917,26.8712,26.3724,26.8399,4944026.5972844
2015-07-30,26.9289,27.2272,26.6796,26.7841,3904261.4471123
