Date,Open,High,Low,Close,Volume
2014-06-02,10.24,10.56,10.08,10.08,138.5
2014-06-03,10.08,10.08,10.08,10.08,87.5
2014-06-04,10.168,10.168,10.168,10.168,62
2014-06-05,10.24,10.72,10.24,10.72,1551.375
2014-06-06,10.96,11.9168,10.9592,11.52,949.625
2014-06-09,11.52,11.76,11.52,11.6,250
2014-06-11,11.624,11.92,11.624,11.92,187.375
2014-06-12,12.24,12.8,12.24,12.72,3685.875
2014-06-13,12.8,13.28,12.4,12.4,472.5
2014-06-16,12.4,12.4,12.24,12.2408,320.625
2014-06-17,13.12,13.12,12.24,12.32,95.125
2014-06-18,12.64,12.64,12.24,12.24,122.375
2014-06-19,12.24,12.24,12.24,12.24,52.875
2014-06-20,12.48,12.72,12.48,12.64,431.25
2014-06-23,12.24,12.712,12.24,12.712,66.375
2014-06-24,12.24,13.52,12.24,12.24,499.375
2014-06-25,12.24,12.3992,11.36,12.3992,1143.125
2014-06-26,12,12.4,10.72,12.4,440.5
2014-06-27,10.8,12.24,10.8,12.2392,80.25
2014-06-30,10.8,12.16,10.72,11.2,185.125
2014-07-01,10.72,11.2,10.72,11.2,80.875
2014-07-02,10.72,11.12,10.72,11.04,112.5
2014-07-03,10.8808,10.8808,10.8808,10.8808,102.25
2014-07-07,10.88,10.88,10.72,10.88,201.375
2014-07-08,10.72,10.952,10.72,10.952,30.875
2014-07-09,10.812,10.812,10.72,10.72,54.625
2014-07-10,10.72,11.6,10.72,11.44,3078.875
2014-07-11,11.84,12.4,10.72,11.12,2802.875
2014-07-14,10.96,12,10.96,11.6,7657.125
2014-07-15,12.08,12.08,11.52,11.68,1471.625
2014-07-16,11.92,12.32,11.68,12.32,411.125
2014-07-17,11.92,12.16,11.68,11.68,159.375
2014-07-18,11.6,12.32,11.52,11.84,1619.375
2014-07-21,11.52,12.32,11.52,11.6,2027.125
2014-07-22,12.24,12.56,11.84,12.4,3918.25
2014-07-23,11.76,23.6,10.8,21.44,72248.625
2014-07-24,19.92,21.2,17.04,17.28,15304.625
2014-07-25,17.28,17.52,17.2,17.28,1532.875
2014-07-28,17.44,18.716,17.36,17.36,4509.75
2014-07-29,18.72,18.72,17.36,17.36,565.125
2014-07-30,17.3608,17.432,15.28,16.4,2904.25
2014-07-31,16.24,16.352,16.08,16.32,436.125
2014-08-01,16,16.08,15.84,16,388.625
2014-08-04,17.6,17.6,15.84,15.92,628.125
2014-08-05,17.4392,17.4392,16.08,16.24,216.375
2014-08-06,15.6,15.68,14,14,4376
2014-08-07,13.6,14,13.2,13.6,1335
2014-08-08,13.92,14.16,13.44,14,1237.625
2014-08-11,13.76,15.52,13.44,13.52,804.875
2014-08-12,13.36,15.0648,13.2,13.52,1926.625
2014-08-13,12.88,13.288,12.88,13.2,236.25
2014-08-14,13.44,13.44,13.12,13.12,62.75
2014-08-15,12.88,13.5912,12.88,13.36,645.5
2014-08-18,13.92,14.16,13.44,14.16,455.625
2014-08-19,14,14,12.48,12.48,674
2014-08-20,12.288,12.9208,12.288,12.8,95
2014-08-21,12.3728,12.3728,12.3728,12.3728,125.125
2014-08-22,12.4,12.4,12,12,799.75
2014-08-25,12.16,12.8,12,12,1182.125
2014-08-26,12.0008,12.16,11.3088,11.84,728.75
2014-08-27,11.84,11.84,11.84,11.84,37.5
2014-08-28,11.12,11.232,11.04,11.1616,107.125
2014-08-29,10.728,10.8488,10.728,10.8488,168.75
2014-09-02,10.64,10.96,10.48,10.48,1422.875
2014-09-03,10.72,15.9192,10.72,13.6,12827.25
2014-09-04,16,16,12,12.08,3399.5
2014-09-05,12.96,12.96,12.08,12.48,1113.25
2014-09-08,12.56,12.56,11.44,11.44,739.125
2014-09-09,11.44,14.16,11.36,13.12,5000.125
2014-09-10,12.8,13.6,11.68,13.6,3814.5
2014-09-11,13.2,15.92,12.96,14.8,6983.75
2014-09-12,14,14.24,13.04,13.04,2738.25
2014-09-15,13.6,14.4,13.12,13.76,3386.375
2014-09-16,13.9208,14.32,12.504,12.56,1772.75
2014-09-17,12.32,13.92,12,13.2,791.625
2014-09-18,12.62,13.36,12.32,13.0392,949
2014-09-19,13.52,13.6,12.464,13.12,896.375
2014-09-22,12.4,12.8,12.32,12.8,236.375
2014-09-24,12.16,12.1608,12.08,12.1608,242
2014-09-25,12.08,12.0808,11.6,11.68,687.5
2014-09-26,11.6,13.84,11.04,13.04,3522
2014-09-29,13.12,13.12,12.4,12.4,263.125
2014-09-30,12.4,12.8,12.4,12.8,4502.5
2014-10-01,12,13.496,11.2,13.2,4373
2014-10-02,13.12,13.44,12.48,12.88,2234.625
2014-10-03,12.48,12.72,11.68,11.848,1101.25
2014-10-06,11.6,11.6,11.36,11.36,917.75
2014-10-07,11.28,13.12,10.56,13.04,6887.625
2014-10-08,13.44,14,12.48,12.8,5248.5
2014-10-09,12.64,13.84,12,12,2493.875
2014-10-10,11.92,12.4,11.1624,11.1624,440.875
2014-10-13,11.2,11.6,11.1992,11.52,650.875
2014-10-14,11.36,11.52,11.2,11.2,412.375
2014-10-15,12.08,12.08,11.04,11.232,313.875
2014-10-16,10.96,11.2,10.88,11.2,1415.625
2014-10-17,11.12,12.8,11.12,11.68,1490
2014-10-20,11.92,11.92,11.2808,11.6,284.125
2014-10-21,11.6,11.6,11.52,11.6,152.5
2014-10-22,11.44,11.6,11.44,11.44,180.75
2014-10-23,11.5192,12.4,11.5192,11.52,1502.375
2014-10-24,11.6,13.92,11.44,13.76,9016.75
2014-10-27,13.44,13.92,13.04,13.6,3945.375
2014-10-28,13.36,13.52,13.2,13.52,1352.5
2014-10-29,13.2,13.3608,12.96,13.2,1125.75
2014-10-30,13.2,13.2,12.08,12.48,899.625
2014-10-31,12.32,12.56,11.84,12,845
2014-11-03,12.32,12.4,12.24,12.4,547.875
2014-11-04,12.3192,12.3192,12.3192,12.3192,12.5
2014-11-05,12.24,12.24,12.24,12.24,81.625
2014-11-06,12.16,12.8,12,12.636,718.75
2014-11-07,12.72,12.72,11.92,12.72,322.25
2014-11-10,12.1608,12.728,12.08,12.16,512.5
2014-11-12,12.64,12.64,12,12.2664,570.5
2014-11-13,12,12.0008,12,12.0008,287.5
2014-11-14,12,12.48,12,12.32,265.75
2014-11-17,12.4,12.5592,12.08,12.08,179
2014-11-18,12.4,12.48,12.4,12.48,725.5
2014-11-19,12.4,12.4,12.32,12.32,283.375
2014-11-20,11.92,12.16,11.92,12.16,162.5
2014-11-21,12,12.16,11.84,12.16,231.125
2014-11-24,12,12.4,11.68,12.32,2519.625
2014-11-25,12.16,12.4,12.08,12.4,819.875
2014-11-26,12,13.996,11.92,13.12,5401.875
2014-11-28,13.04,13.76,12.64,12.64,1068.375
