Date,Open,High,Low,Close,Volume
2014-06-02,56.3309,56.5282,55.8429,55.9236,2748086.5516739
2014-06-03,55.9372,56.0295,55.2714,55.4269,2437369.2747329
2014-06-04,55.4581,55.8088,55.2802,55.3248,2562526.0053929
2014-06-05,55.4581,55.6039,54.974,55.5348,3966464.0666897
2014-06-06,55.7351,55.8352,55.4065,55.6408,2138532.5397791
2014-06-09,55.4581,55.7409,55.3891,55.5436,1875992.8309116
2014-06-10,55.2957,55.4921,54.974,55.2607,2039088.6890706
2014-06-11,55.0606,55.2287,54.7106,54.8613,1309349.5217198
2014-06-12,54.6893,54.8691,54.1877,54.5036,2899843.0616697
2014-06-13,54.3142,54.525,53.5278,54.0993,2858106.3174327
2014-06-16,53.9448,54.106,53.3305,53.7057,3309017.4880319
2014-06-17,53.6843,53.938,53.3752,53.7057,2275121.2183059
2014-06-18,53.3499,54.2859,53.3499,54.2053,2404051.9013351
2014-06-19,54.316,54.5299,54.1614,54.4988,1840459.2379381
2014-06-20,54.5542,54.9215,54.182,54.5299,2294631.9758793
2014-06-23,54.4909,54.6086,54.2383,54.5542,1349236.3296536
2014-06-24,54.3452,55.3901,54.3452,54.6631,1699202.5054584
2014-06-25,54.597,55.185,54.3092,54.8681,1726624.3643861
2014-06-26,54.8681,55.0673,54.5901,54.734,948664.41576693
2014-06-27,54.597,55.1791,54.4278,54.6874,2363447.9601404
2014-06-30,54.5542,54.8525,54.4852,54.7019,2531065.7704975
2014-07-01,54.9002,55.1412,54.597,55.0003,2473823.7203156
2014-07-02,54.7729,54.8768,54.2772,54.5746,1907435.5747519
2014-07-03,55.6486,55.6486,54.1693,54.6241,1117644.4706543
2014-07-07,54.5453,54.8525,54.4278,54.4482,1822754.1745871
2014-07-08,54.5066,54.8049,54.1974,54.4715,1293914.1799955
2014-07-09,54.4909,54.8244,54.3734,54.6329,2341493.5992743
2014-07-10,54.2704,55.185,54.1897,54.8681,4026317.4285164
2014-07-11,54.8768,55.1548,54.8321,54.9488,1896756.771142
2014-07-14,55.0907,55.4143,55.0596,55.1334,1337056.3819579
2014-07-15,55.2384,55.2384,54.3025,54.6154,2560455.887572
2014-07-16,54.8768,55.0383,54.4852,55.008,3400816.7187557
2014-07-17,54.8107,55.0159,54.3889,54.4425,1892109.2949009
2014-07-18,54.7088,55.5232,54.597,55.2462,2936000.1593149
2014-07-21,54.9731,55.4416,54.8448,55.3016,2309985.0067558
2014-07-22,55.5689,56.1433,55.3978,55.6427,2590485.9714878
2014-07-23,55.5854,56.5796,55.5854,56.4241,3341539.5328633
2014-07-24,56.3494,56.3494,54.1003,54.3821,7414433.5834644
2014-07-25,53.9545,54.734,53.7785,53.9253,7578564.5005337
2014-07-28,53.9837,55.2607,53.8971,55.2083,3434445.8444893
2014-07-29,55.3832,55.7516,54.7204,54.7972,2761783.0767395
2014-07-30,55.0518,55.4279,54.455,54.8768,2474570.691259
2014-07-31,54.7252,55.0383,54.3335,54.6387,3835839.837968
2014-08-01,54.6874,55.2607,54.0711,54.1167,2318849.8850584
2014-08-04,54.251,54.251,53.4267,53.8223,2321987.9861289
2014-08-05,53.484,53.9186,53.484,53.66,2194020.3400183
2014-08-06,54.7088,56.6069,54.4482,55.9489,6272126.7250531
2014-08-07,56.1006,56.5699,55.8555,56.4241,4535912.1180185
2014-08-08,56.4873,57.0481,56.2404,57.0336,3719009.8784434
2014-08-11,57.0481,57.8645,56.9238,57.2834,2858676.3200535
2014-08-12,57.1434,57.3785,56.8809,57.0997,2738763.8192807
2014-08-13,57.1171,57.2455,56.7099,57.1968,2987539.0966332
2014-08-14,57.3785,57.6031,57.1307,57.5303,1514109.0732384
2014-08-15,57.5797,57.9753,57.3222,57.7907,3285889.1686998
2014-08-18,58.1173,58.1697,57.7197,57.8471,2449264.2211183
2014-08-19,57.8889,57.9919,57.5865,57.7023,1411979.8311219
2014-08-20,57.6361,57.9472,57.0259,57.8588,1225102.3112769
2014-08-21,57.8228,59.3117,57.743,58.9298,5986154.1467168
2014-08-22,58.819,59.1116,58.3388,58.5479,2920523.6621667
2014-08-25,58.7053,58.819,58.161,58.6013,1938733.245723
2014-08-26,58.683,58.8472,58.3914,58.61,2007171.62897
2014-08-27,58.6984,59.06,58.5954,58.7218,2213114.398925
2014-08-28,58.647,58.8754,58.3729,58.7441,1231673.8035842
2014-08-29,58.8909,58.8909,58.4992,58.5663,1345717.5409123
2014-09-02,58.7597,58.7791,58.3515,58.5809,1602024.260834
2014-09-03,58.6246,59.1397,58.5731,58.9055,1558428.3203236
2014-09-04,58.8831,59.408,58.7791,59.1027,1555722.3512037
2014-09-05,59.0503,59.4857,58.8754,59.3992,1720878.0383276
2014-09-08,59.4498,59.6646,59.0679,59.3176,1073848.926338
2014-09-09,59.1699,59.1699,58.3242,58.7053,1792103.6726564
