Date,Open,High,Low,Close,Volume
2014-06-02,16.69,16.74,16.41,16.57,4875640
2014-06-03,16.56,16.63,16.35,16.44,3820111
2014-06-04,16.43,16.69,16.36,16.5,2707384
2014-06-05,16.53,16.62,16.43,16.57,5941684
2014-06-06,16.61,17.15,16.56,17.06,5295878
2014-06-09,16.99,17.24,16.99,17.05,3317551
2014-06-10,17,17.14,16.97,17.05,1646149
2014-06-11,17.02,17.095,16.97,17.04,1753731
2014-06-12,16.99,17.07,16.68,16.73,2988300
2014-06-13,16.82,16.96,16.81,16.88,2667131
2014-06-16,16.83,16.95,16.745,16.81,3316679
2014-06-17,16.78,16.995,16.631,16.93,4341995
2014-06-18,17,17.083,16.75,16.9,3017125
2014-06-19,16.88,16.99,16.78,16.89,2033347
2014-06-20,16.97,17.17,16.84,17.12,6000205
2014-06-23,17.19,17.43,17.05,17.38,3261184
2014-06-24,17.37,17.44,17.09,17.13,3671226
2014-06-25,17.11,17.43,16.91,17.41,4630261
2014-06-26,17.37,17.42,17.31,17.39,2234655
2014-06-27,17.35,17.55,17.28,17.34,2374474
2014-06-30,17.31,17.5,17.3,17.49,2396741
2014-07-01,17.55,17.63,17.45,17.56,2748868
2014-07-02,17.5,17.6,17.38,17.43,1595400
2014-07-03,17.52,17.58,17.45,17.56,1067214
2014-07-07,17.51,17.66,17.45,17.48,1706575
2014-07-08,17.44,17.49,16.84,17.22,4453007
2014-07-09,17.28,17.35,17.03,17.11,2300223
2014-07-10,16.96,17.24,16.82,17.08,2778088
2014-07-11,17.05,17.14,16.9,17.07,1950217
2014-07-14,17.16,17.31,17.12,17.3,2407806
2014-07-15,17.28,17.47,17.21,17.36,2879680
2014-07-16,17.23,17.66,17.23,17.475,3769053
2014-07-17,17.41,17.5,17.29,17.3,3770306
2014-07-18,17.34,17.51,17.225,17.24,4714814
2014-07-21,17.14,17.58,17.11,17.5,4708399
2014-07-22,16.37,17.32,16.25,17.03,11177819
2014-07-23,16.97,17.02,16.8,16.93,2751760
2014-07-24,17.27,17.27,16.93,17.07,2976509
2014-07-25,17.23,17.27,16.84,16.88,2278293
2014-07-28,16.84,16.96,16.71,16.93,2382262
2014-07-29,16.92,17.11,16.82,16.82,3519541
2014-07-30,16.89,17.07,16.64,17.05,4514470
2014-07-31,16.94,17.05,16.73,16.83,2524904
2014-08-01,16.77,17.1,16.6,17.08,4887069
2014-08-04,17.07,17.32,16.95,17.25,3181145
2014-08-05,17.21,17.31,17.04,17.2,3013422
2014-08-06,17.13,17.27,17.08,17.16,4044391
2014-08-07,17.21,17.26,16.81,16.91,3873315
2014-08-08,16.9,16.945,16.67,16.81,2756042
2014-08-11,16.87,16.945,16.67,16.9,3211808
2014-08-12,16.88,16.92,16.79,16.905,3708532
2014-08-13,16.94,17.1,16.85,16.855,3984633
2014-08-14,16.88,16.98,16.84,16.93,1852915
2014-08-15,17.06,17.15,16.8,16.97,1840614
2014-08-18,17.02,17.27,17.02,17.235,1455345
2014-08-19,17.19,17.44,17.19,17.39,2343936
2014-08-20,17.36,17.42,17.15,17.24,2260005
2014-08-21,17.62,17.88,17.14,17.705,4063754
2014-08-22,17.7,17.87,17.63,17.635,2778090
2014-08-25,17.68,17.72,17.54,17.56,1087584
2014-08-26,17.53,17.57,17.35,17.51,1564323
2014-08-27,17.46,17.551,17.36,17.47,1376159
2014-08-28,17.41,17.54,17.37,17.47,1779033
2014-08-29,17.39,17.66,17.39,17.63,1204996
2014-09-02,17.63,17.99,17.51,17.79,2773971
2014-09-03,17.8,17.98,17.76,17.91,2682466
2014-09-04,19,19,17.89,18.06,2777131
2014-09-05,18.04,18.22,17.99,18.08,1696680
2014-09-08,17.98,18.09,17.85,17.95,2502335
2014-09-09,17.89,18.13,17.86,17.89,3006577
2014-09-10,17.86,18.11,17.86,18.02,1444436
2014-09-11,17.96,18.11,17.93,18,1443422
2014-09-12,17.91,18.02,17.8,17.815,1998513
2014-09-15,17.82,17.82,17.54,17.58,1514198
2014-09-16,17.54,17.795,17.49,17.7,2446999
2014-09-17,17.72,17.93,17.69,17.7,2467338
2014-09-18,17.78,17.925,17.72,17.82,1686478
2014-09-19,17.83,17.96,17.42,17.52,4468305
2014-09-22,17.42,17.52,17.304,17.45,1679350
2014-09-23,17.37,17.48,17.17,17.17,2006256
2014-09-24,17.16,17.31,17.1,17.25,1808531
2014-09-25,17.23,17.23,16.92,17.13,2235353
2014-09-26,17.15,17.497,17.05,17.29,3825276
2014-09-29,17.15,17.4,16.87,17.335,2627898
2014-09-30,17.35,17.4,17.18,17.21,1872214
2014-10-01,17.22,17.3,16.935,16.95,2879098
2014-10-02,16.93,17.205,16.81,17.15,2302737
2014-10-03,17.27,17.421,17.15,17.35,1937618
2014-10-06,17.42,17.63,17.34,17.4,2215981
2014-10-07,17.35,17.56,17.23,17.29,3357941
2014-10-08,17.26,17.81,17.21,17.81,5809864
2014-10-09,17.75,17.94,17.23,17.23,5158486
2014-10-10,17.11,17.29,16.15,16.18,7068042
2014-10-13,16.17,16.54,15.82,16.02,6071488
2014-10-14,16.15,16.27,15.81,15.925,4594083
2014-10-15,15.68,16.16,15.59,16,5524583
2014-10-16,15.77,16.39,15.5,16.3,3869014
2014-10-17,16.5,16.785,16.37,16.5,4053951
2014-10-20,16.51,16.73,16.4,16.62,4104863
2014-10-21,16.86,17.08,16.53,16.59,5227439
2014-10-22,16.58,16.72,16.31,16.33,4553629
2014-10-23,16.5,16.815,16.04,16.715,5043046
2014-10-24,16.79,17.22,16.61,17.2,2928798
2014-10-27,17.12,17.435,17.06,17.35,3489820
2014-10-28,17.15,17.8,17.15,17.51,6423129
2014-10-29,17.47,17.63,17.34,17.49,3296792
2014-10-30,17.45,17.57,17.26,17.57,5398424
2014-10-31,17.8,17.99,17.685,17.95,2933401
2014-11-03,17.92,18.34,17.89,18.17,3510955
2014-11-04,18.16,18.32,18,18.09,2223295
2014-11-05,18.24,18.25,17.9,17.975,1455822
2014-11-06,18,18.23,18,18.23,1401332
2014-11-07,18.19,18.57,18.05,18.515,2947899
2014-11-10,18.49,18.795,18.43,18.675,2462687
2014-11-11,18.65,18.82,18.52,18.58,1649123
2014-11-12,18.56,18.6,18.32,18.56,1802854
2014-11-13,18.49,18.5,18.28,18.4,2583230
2014-11-14,18.37,18.58,18.23,18.485,1408969
2014-11-17,18.47,18.48,18.025,18.085,3188679
2014-11-18,18.09,18.42,18.09,18.34,1930872
2014-11-19,18.39,18.39,18.11,18.16,1472007
2014-11-20,18.07,18.5,18.03,18.32,5982622
2014-11-21,18.5,18.52,18.3,18.44,1875293
2014-11-24,18.4,18.63,18.32,18.62,1744632
2014-11-25,18.63,18.88,18.59,18.82,1879791
2014-11-26,18.84,18.9,18.705,18.83,1045048
2014-11-28,18.79,19.03,18.73,18.87,879940
2014-12-01,18.54,18.965,18.43,18.43,6161079
2014-12-02,18.4,18.64,18.4,18.49,3019499
2014-12-03,18.52,18.63,18.31,18.49,3720832
2014-12-04,18.52,18.62,18.44,18.57,2149935
2014-12-05,18.55,18.83,18.45,18.82,4414649
2014-12-08,18.79,18.96,18.54,18.58,1894380
2014-12-09,18.27,18.45,18.19,18.41,2652842
2014-12-10,18.4,18.49,18.05,18.075,1720635
2014-12-11,18.16,18.435,18.05,18.125,1721155
2014-12-12,17.95,18.31,17.88,17.885,1835462
2014-12-15,17.97,18.1,17.73,17.83,2012164
2014-12-16,17.71,17.98,17.53,17.63,2320394
2014-12-17,17.73,18.145,17.64,18.09,2443398
2014-12-18,18.31,18.71,18.26,18.7,2920446
2014-12-19,18.84,19.02,18.61,18.985,5475693
2014-12-22,18.96,18.99,18.84,18.96,2412018
2014-12-23,19.01,19.08,18.915,18.98,1475313
2014-12-24,19.04,19.325,19,19.26,943746
2014-12-26,19.34,19.47,19.25,19.29,1432966
2014-12-29,19.26,19.535,19.25,19.31,1706198
2014-12-30,19.22,19.44,19.035,19.17,2312475
2014-12-31,19.14,19.295,18.93,18.97,2659962
2015-01-02,19.15,19.24,18.57,18.83,3508565
2015-01-05,18.74,18.75,18.34,18.4,9069921
