Date,Open,High,Low,Close,Volume
2014-06-02,38.1186,38.6383,38.1186,38.3034,4570467.1581764
2014-06-03,38.2836,38.7332,38.1986,38.2916,4210797.7259294
2014-06-04,38.2767,38.5227,38.0771,38.3705,5402902.2922349
2014-06-05,38.5781,38.7559,38.0692,38.3637,3211886.0893137
2014-06-06,38.5682,38.673,38.3034,38.4576,3107969.1959289
2014-06-09,38.4299,38.6947,38.0079,38.1848,3598797.149469
2014-06-10,38.1127,38.1127,37.6749,38.0494,3314562.3350082
2014-06-11,37.7777,37.7777,37.3457,37.4802,3938299.479094
2014-06-12,37.3093,37.4683,36.8101,36.9575,4026952.1557117
2014-06-13,36.9308,36.9555,36.5631,36.8538,3790633.0575012
2014-06-16,36.8428,37.5494,36.8171,37.5069,5576162.891133
2014-06-17,37.417,37.8953,37.2292,37.8419,2895933.8029532
2014-06-18,38.0514,38.2599,37.7825,38.2085,3424442.6352749
2014-06-19,38.34,38.6483,37.9012,38.5385,4441658.3790826
2014-06-20,38.6947,38.7945,38.2797,38.5385,4702049.6854908
2014-06-23,38.4644,38.6947,38.2687,38.4634,2104466.353302
2014-06-24,38.4032,38.4072,37.7321,37.7578,3270802.6873246
2014-06-25,37.5721,38.086,37.5444,37.8676,2897802.8700687
2014-06-26,38.001,38.001,37.4258,37.829,2726929.455429
2014-06-27,37.5988,37.7074,37.3607,37.6403,3867937.7543504
2014-06-30,37.7055,38.1008,37.5296,37.6827,5456028.526394
2014-07-01,37.9565,38.3143,37.7737,38.2392,3730832.0173359
2014-07-02,38.2045,38.4576,37.9288,38.3271,3212090.5027177
2014-07-03,38.339,38.4901,38.1532,38.4466,1957245.188629
2014-07-07,38.3705,38.4723,37.8883,37.9437,3422006.8775343
2014-07-08,37.8794,38.4012,37.5682,38.3805,4835016.5570466
2014-07-09,38.3705,38.3705,38.0148,38.0909,2770644.5774205
2014-07-10,37.6502,37.829,37.417,37.67,2998640.4070742
2014-07-11,37.576,37.7104,37.3714,37.5642,2209167.5060339
2014-07-14,37.6827,37.7698,37.4664,37.7648,3608196.118266
2014-07-15,37.8479,38.2006,37.7825,38.0771,2826346.2180814
2014-07-16,38.1966,38.4417,38.1966,38.4338,2875073.516263
2014-07-17,38.2253,39.9912,38.1838,39.3004,9735801.6089305
2014-07-18,39.3638,39.6334,39.1127,39.5623,5707470.1687152
2014-07-21,39.3696,39.6315,39.1859,39.5149,2868415.9133651
2014-07-22,39.6691,39.9962,39.5673,39.7649,3230948.1452166
2014-07-23,39.7956,39.831,39.4269,39.506,2882786.5804501
2014-07-24,39.8804,40.3045,39.7274,39.8786,5870311.7556912
2014-07-25,39.7046,39.845,39.4981,39.5723,2723261.1455787
2014-07-28,39.4279,39.9605,39.422,39.9468,3121649.7147882
2014-07-29,39.9448,40.1621,39.7976,39.9527,2598677.2474848
2014-07-30,40.0426,40.2106,39.7876,39.8894,2778959.750397
2014-07-31,39.5593,39.8529,39.1492,39.2194,4466686.8777103
2014-08-01,38.6947,39.6295,38.6947,39.5693,3753830.5491888
2014-08-04,39.6731,39.7075,39.2223,39.5456,4255261.6891042
2014-08-05,39.2243,39.8173,39.0613,39.1147,5513619.4731211
2014-08-06,38.83,39.7442,38.7421,39.6464,6107857.334326
2014-08-07,39.8233,39.8253,37.7045,38.1946,12902023.565281
2014-08-08,38.1641,38.6907,37.9961,38.676,4889269.0888231
2014-08-11,38.8429,38.922,38.4862,38.6867,3602388.5513059
2014-08-12,38.6867,39.0821,38.6265,38.8202,2816927.0103335
2014-08-13,38.8795,38.9259,38.4219,38.5682,3648271.2649387
2014-08-14,38.6423,39.1622,38.6423,39.001,3761877.5560656
2014-08-15,39.093,39.8697,39.0574,39.7856,5967775.4595821
2014-08-18,40.0593,40.5673,39.9468,40.4981,4108162.9700841
2014-08-19,40.7046,41.1543,40.3619,40.4389,5097732.3069653
2014-08-20,40.428,40.6029,40.0832,40.5772,2285195.1250815
2014-08-21,40.7699,41.0248,40.3736,40.7759,3514012.1363682
2014-08-22,40.7225,40.9626,40.3479,40.3776,2171078.8123919
2014-08-25,40.5891,40.7254,40.3509,40.6543,1976619.9363233
2014-08-26,40.756,40.8538,40.5051,40.7956,2082889.6077499
2014-08-27,40.9072,41.095,40.8054,40.928,2913762.294799
2014-08-28,40.7116,41.0733,40.4685,41.0229,2959099.5687052
2014-08-29,41.012,41.1385,40.421,40.6138,2886616.8019075
2014-09-02,40.8174,40.8291,40.2748,40.433,3600625.7386827
2014-09-03,40.754,40.8044,40.2738,40.3035,2602958.7975472
2014-09-04,40.4369,40.4369,39.8874,40.1069,2735740.4827022
2014-09-05,40.0031,40.0613,39.6978,40.0169,4744541.3629006
2014-09-08,39.9468,40.0109,39.7175,39.8914,2330580.9724697
2014-09-09,40.0653,40.087,39.4596,39.5574,4292946.6156758
2014-09-10,39.589,39.677,39.1245,39.6404,4576283.8326644
2014-09-11,39.3361,39.7749,39.1859,39.5257,2354420.4327323
2014-09-12,39.4833,39.6868,39.2797,39.504,2734766.9891641
2014-09-15,39.4813,39.7876,39.4112,39.7255,3740949.4688898
2014-09-16,39.6404,40.2718,39.6038,40.1049,3202328.2447521
2014-09-17,40.1661,40.6612,40.1127,40.3993,3882412.6520325
2014-09-18,40.6217,41.0229,40.4626,40.9329,3528922.1714945
2014-09-19,41.1425,41.3767,40.7254,40.7254,6803648.1794506
2014-09-22,40.6997,40.7907,40.1563,40.3143,4609308.7407918
2014-09-23,42.1247,43.3668,41.0357,42.4587,22613990.773687
