Date,Open,High,Low,Close,Volume
2014-06-02,158.26,163.81,157.98,162.74,1482477
2014-06-03,162.31,163.74,162.14,162.82,988369
2014-06-04,162.2,163.45,161.29,163.11,431417
2014-06-05,163.03,164.1,161.4,163.26,396583
2014-06-06,164.92,165.62,162.01,164.64,918831
2014-06-09,165.41,165.67,163.9,164.49,910747
2014-06-10,163.96,164.93,163.25,164.66,1050319
2014-06-11,163.97,165.01,162.97,165.01,689663
2014-06-12,164.91,165.69,163.07,163.45,679253
2014-06-13,163.19,164.27,162.7,163.91,676188
2014-06-16,164.07,164.51,162.77,164.23,577967
2014-06-17,164.53,164.88,163.39,163.68,467053
2014-06-18,164.03,164.97,163.08,164.4,918976
2014-06-19,164.84,165.21,163.7,163.96,814069
2014-06-20,164.88,166.63,163.88,166.46,935908
2014-06-23,167.94,171.01,167,167.7,1035965
2014-06-24,168.46,169.52,166.46,167.06,849066
2014-06-25,167.01,168.65,166.42,168.1,757429
2014-06-26,167.92,168.47,166.84,168.1,492526
2014-06-27,168.73,172.3,168.07,171.25,1527698
2014-06-30,172.54,176.11,171.48,175.16,1145554
2014-07-01,175.49,178.51,174.45,177.39,1131189
2014-07-02,177.48,179.83,177.48,179.16,1137303
2014-07-03,180.29,180.48,177.84,179.63,776972
2014-07-07,179.74,180.27,177.03,177.7,756998
2014-07-08,177.54,177.54,175.37,175.43,1266007
2014-07-09,176.38,179.34,175.19,179.33,1135130
2014-07-10,177.89,180.82,177.23,180.14,1064381
2014-07-11,180.73,180.97,178.27,179.46,699216
2014-07-14,180.2,181.98,179.64,181.04,610236
2014-07-15,180.77,181.86,179.73,180.42,1038958
2014-07-16,181.43,183.02,180.27,181.35,972330
2014-07-17,179.16,181.69,178.61,180.27,1402713
2014-07-18,181.3,181.73,179.04,181.54,649462
2014-07-21,180.44,182.26,179.74,180.27,967749
2014-07-22,181.17,182.7,179.82,179.93,797942
2014-07-23,179.72,181.48,179.23,180.41,858102
2014-07-24,180.94,181.88,180,181.22,501496
2014-07-25,181.14,181.38,179.2,179.55,465518
2014-07-28,179.97,180.77,178.26,178.59,523958
2014-07-29,179.99,185.03,178.71,179.23,1415994
2014-07-30,179.34,180.87,177.66,178.91,824855
2014-07-31,178.39,178.59,167.65,170.89,2531927
2014-08-01,172.17,174.09,165.52,168.39,1738999
2014-08-04,168.98,175.47,168.52,173.74,1125962
2014-08-05,172.64,173.39,169.4,171.39,833167
2014-08-06,170.22,172.41,169.21,170.05,557400
2014-08-07,170.81,173,167.32,167.44,505422
2014-08-08,167.87,168.76,167,168.15,835691
2014-08-11,168.19,170.03,167.81,168.58,596399
2014-08-12,168.78,170.29,167.78,168.89,617631
2014-08-13,169.73,172.83,169.73,171.43,1045014
2014-08-14,170.94,173.22,170.74,173.01,859788
2014-08-15,178.04,178.05,171.62,172.1,1139235
2014-08-18,172.52,174.77,171.67,174.09,1012970
2014-08-19,174.21,174.97,172.09,172.69,502218
2014-08-20,171.99,174.83,171.21,172.27,472880
2014-08-21,172.79,173.45,171.94,173.36,374136
2014-08-22,174.55,176.07,171.43,171.9,285473
2014-08-25,172.31,172.72,170.84,171.49,271001
2014-08-26,171.98,172.06,170.91,171.72,333843
2014-08-27,171.54,174.8,171.52,173.45,631945
2014-08-28,172.75,173.8,172.34,172.54,306961
2014-08-29,173.47,173.59,171.36,173.49,815414
2014-09-02,173.27,175.49,173.06,175.18,730604
2014-09-03,175.75,177.1,175.03,176.51,675587
2014-09-04,176.51,176.56,173.79,174.91,757979
2014-09-05,174.84,175.89,174.45,175.11,383545
2014-09-08,174.54,176.05,173.51,174.45,302466
2014-09-09,173.62,173.87,171.49,173.1,503381
2014-09-10,173.88,174.73,172.66,174.33,701571
2014-09-11,173.9,176.06,173.86,175.62,455552
2014-09-12,175.27,176.29,173.83,175.96,897595
2014-09-15,174.17,176.96,174.17,176.83,647815
2014-09-16,176.75,178.7,176.75,178.52,760100
2014-09-17,179.17,180.14,177.32,179.37,630453
2014-09-18,179.67,179.71,178.29,179.26,642959
2014-09-19,180.24,180.24,177.91,179.63,1732802
2014-09-22,178.87,179.47,176.86,178.22,1473448
2014-09-23,177.89,178.32,172.85,172.94,766549
2014-09-24,172.67,173.31,169.64,171.6,1196567
2014-09-25,171.64,171.94,170.59,170.9,909821
2014-09-26,170.76,173.63,169.97,173.46,823103
2014-09-29,172,173.16,171.38,172.06,1103594
2014-09-30,171.81,174.22,166.42,167.41,1830410
2014-10-01,167,167,163.16,164.03,1125404
2014-10-02,164.26,165.09,162.2,164.62,1591758
2014-10-03,166.05,169.97,165.53,168.85,1049919
2014-10-06,170.14,170.27,168.8,169.8,741749
2014-10-07,168.33,169.3,167.54,167.73,632035
2014-10-08,167.58,171.04,167.15,170.59,876786
2014-10-09,170.55,170.55,166.87,167.39,455882
2014-10-10,166.48,167.99,163.46,163.81,731482
2014-10-13,163.28,165.07,159.67,159.98,868893
2014-10-14,160.46,161.56,157.21,158.12,1315315
2014-10-15,154.86,158.44,153.55,157.54,1535658
2014-10-16,157.08,157.42,152.08,155.11,1683051
2014-10-17,156.64,160.75,156.14,159.04,1119161
2014-10-20,159.15,164.01,158.59,163.88,1274687
2014-10-21,165.24,170.52,164.42,168.78,1040100
2014-10-22,169.13,170.17,166.67,167.15,541882
2014-10-23,169.18,172.96,167.67,172.57,692141
2014-10-24,173.7,174.93,172.72,174.53,1073981
2014-10-27,173.79,175.2,171.36,172.93,715978
2014-10-28,174.07,176.01,171.36,174.08,726801
2014-10-29,173.63,173.63,168.03,170,1183345
2014-10-30,168.6,172.2,166.72,170.76,904631
2014-10-31,174.52,175.96,172.19,175.17,917551
2014-11-03,175.83,179.12,175.08,178.82,782553
2014-11-04,177.66,179.22,174.31,175.23,617485
2014-11-05,177.02,177.49,174.14,176.19,980793
2014-11-06,175.74,180.47,172.69,175.39,564149
2014-11-07,177.36,179.97,171.62,172.94,970409
2014-11-10,172.82,172.84,161.11,162.15,3287965
2014-11-11,162.15,162.62,157.45,162.22,2557590
2014-11-12,162.22,166.04,160.95,164.8,1597731
2014-11-13,165.89,170.83,165.34,168.91,1958293
2014-11-14,168.27,170.04,167.34,168.21,817353
2014-11-17,168.64,171.94,168.24,171.77,632764
2014-11-18,170.92,173.1,170.92,171.55,532173
2014-11-19,171.31,175.6,171.31,175.44,586873
2014-11-20,174.82,177.88,174.22,175.47,648147
2014-11-21,178.83,178.83,174.94,177.27,738550
2014-11-24,177.18,181.8,176.03,181.69,619624
2014-11-25,182.04,186.88,181.55,185.8,1285524
2014-11-26,185.46,186.61,183.22,185.85,583718
2014-11-28,186.76,187.71,186.04,187.68,386003
2014-12-01,187.12,187.54,185.49,186.34,758174
2014-12-02,186.76,187.85,185.28,186.88,564287
2014-12-03,186.36,187.44,185.15,185.56,778642
2014-12-04,185.73,185.73,183.03,184.14,894149
