Date,Open,High,Low,Close,Volume
2014-06-02,5359.88,5401.24,5218.11,5263.41,7640.0383884502
2014-06-03,5316.57,5424.88,5264.38,5411.09,8338.8223873938
2014-06-04,5366.78,5429.79,5256.51,5383.52,6575.0699063392
2014-06-05,5361.85,5519.39,5342.17,5436.68,6486.2322506595
2014-06-06,5435.7,5548.92,5419.94,5495.78,5572.9378148309
2014-06-09,5507.57,5688.72,5460.31,5613.91,6017.1260932292
2014-06-10,5633.61,5685.77,5594.23,5645.41,5741.9460378312
2014-06-11,5673.95,5807.87,5603.08,5777.34,5562.1039543822
2014-06-12,5805.89,5972.28,5778.33,5804.91,8863.1812331126
2014-06-13,5819.67,5878.75,5696.59,5873.83,5969.4571072548
2014-06-16,5880.71,6009.7,5878.75,5958.49,7092.9284357889
2014-06-17,5926.01,5970.3,5827.56,5876.78,6709.4097759036
2014-06-18,5901.39,6013.63,5741.9,5920.11,7628.1211419566
2014-06-19,5967.35,6040.22,5932.89,6027.42,4881.7375182014
2014-06-20,6044.15,6196.77,5976.22,6015.6,8924.9342376705
2014-06-23,6053.02,6159.33,6032.33,6040.22,5608.6895543117
2014-06-24,6036.27,6040.22,5644.43,5677.91,11675.651405605
2014-06-25,5674.95,5883.67,5674.95,5860.05,7512.1988351551
2014-06-26,5894.49,5905.33,5693.65,5717.27,8997.5211026771
2014-06-27,5669.04,5743.86,5552.87,5578.47,14933.393242541
2014-06-30,5527.27,5710.38,5503.63,5630.64,10974.700634572
2014-07-01,5678.88,5694.64,5543.02,5618.82,7766.7945557004
2014-07-02,5625.73,5671,5555.81,5586.34,5474.3496847474
2014-07-03,5612.93,5690.7,5566.65,5652.3,3052.9818744545
2014-07-07,5569.61,5630.64,5498.72,5560.75,9069.0245816387
2014-07-08,5562.7,5669.04,5487.89,5658.21,7956.3871135534
2014-07-09,5671,5844.29,5671,5804.91,8711.5071868303
2014-07-10,5707.44,5892.54,5667.07,5846.27,8126.4787225985
2014-07-11,5846.27,5866.94,5702.5,5734.02,6964.0054964489
2014-07-14,5809.83,5918.12,5771.43,5890.58,4623.8916395215
2014-07-15,5880.71,5886.62,5596.18,5710.38,9021.3555956643
2014-07-16,5794.09,5834.43,5710.38,5814.75,5345.4267454074
2014-07-17,5847.24,5866.94,5680.85,5722.21,11962.748707497
2014-07-18,5727.12,5895.49,5727.12,5888.59,4480.8846815981
2014-07-21,5866.94,6073.69,5832.47,6061.89,10351.75365877
2014-07-22,6061.89,6191.84,6014.61,6028.4,7816.6303137646
2014-07-23,6023.47,6121.93,5988.03,6058.92,6938.0042313719
2014-07-24,6093.38,6158.36,5873.83,6090.44,8119.9784063293
2014-07-25,6042.17,6042.17,5788.16,5846.27,9646.4693435564
2014-07-28,5864.97,5898.43,5646.4,5723.19,6690.9922131406
2014-07-29,5726.14,5765.53,5664.11,5693.65,7066.927170712
2014-07-30,5759.6,5770.44,5643.44,5677.91,6803.6643618076
2014-07-31,5647.37,5686.76,5487.89,5519.39,7238.102165802
2014-08-01,5473.11,5473.11,5291.94,5335.28,12643.115143678
2014-08-04,5359.88,5996.9,5338.23,5830.5,18313.557702547
2014-08-05,5859.06,5893.52,5580.43,5727.12,18739.328418182
2014-08-06,5712.36,5844.29,5645.41,5743.86,6797.1640455383
2014-08-07,5764.54,5794.09,5533.17,5628.67,12005.000763248
2014-08-08,5361.85,5802.93,5296.87,5688.72,22436.924989336
2014-08-11,5713.35,5826.57,5647.37,5694.64,8631.3366195097
2014-08-12,5672.98,5706.45,5483.93,5607,9652.9696598257
2014-08-13,5607,5692.67,5532.18,5568.62,5455.9321219846
2014-08-14,5603.08,5636.54,5425.85,5440.61,7089.6782776542
2014-08-15,5511.52,5620.8,5467.2,5611.94,5348.676903542
2014-08-18,5625.73,5746.83,5584.36,5729.1,4346.5448120338
2014-08-19,5736.96,5902.37,5729.1,5800.96,4875.2372019322
2014-08-20,5804.91,5863.97,5677.91,5849.21,4012.8619102126
2014-08-21,5844.29,5896.45,5681.84,5799.98,6006.2922327804
2014-08-22,5798,5798,5607.99,5632.61,8178.4812527524
2014-08-25,5639.49,5833.44,5627.69,5809.83,4264.2074726233
2014-08-26,5848.23,5981.14,5848.23,5862.01,5163.4178898686
2014-08-27,5885.63,5897.44,5648.36,5719.24,5799.3654982095
2014-08-28,5712.36,5839.37,5674.95,5821.65,6321.5575718387
2014-08-29,5821.65,6078.61,5795.06,6046.12,7358.358016783
2014-09-02,6042.17,6094.36,5929.94,5938.81,8988.854014318
2014-09-03,5955.55,6033.31,5892.54,5922.08,4045.3634915588
2014-09-04,5935.85,5935.85,5642.46,5689.71,6043.1273583061
2014-09-05,5712.36,5811.79,5657.24,5736.96,5592.4387636386
2014-09-08,5669.04,5707.44,5421.91,5538.1,9478.544506601
2014-09-09,5515.45,5716.3,5467.2,5577.48,9515.3796321267
2014-09-10,5561.73,5752.72,5433.74,5726.14,7320.4395052123
2014-09-11,5670.02,5864.97,5570.58,5824.6,12477.357078812
2014-09-12,5817.7,5896.45,5685.77,5751.74,9271.6177720301
2014-09-15,5754.68,5755.69,5595.2,5672.98,5882.7862236648
2014-09-16,5671.97,5933.88,5671.97,5885.63,7424.4445655202
2014-09-17,5916.15,6010.67,5834.43,5845.27,6789.5803432242
2014-09-18,5833.44,5891.56,5739.94,5805.89,7475.3637096293
2014-09-19,5837.39,5871.85,5671,5741.9,13397.151830909
2014-09-22,5701.53,5718.26,5447.51,5526.27,10833.860448739
2014-09-23,5522.35,5724.17,5444.55,5489.85,8194.7320434256
2014-09-24,5483.93,5734.02,5374.66,5649.36,5704.0275262607
