Date,Open,High,Low,Close,Volume
2014-06-02,61.11,61.37,60.34,61.06,197407
2014-06-03,60.88,61.56,60.65,61.17,394928
2014-06-04,60.99,61.81,60.99,61.6,326035
2014-06-05,61.67,62.5,61.26,62.49,250071
2014-06-06,62.61,62.88,61.14,61.33,508886
2014-06-09,61.22,61.94,61.11,61.84,271741
2014-06-10,61.75,63.36,61.75,63.36,430400
2014-06-11,63.13,63.13,62.67,62.91,274072
2014-06-12,62.72,63.19,62.31,62.57,526698
2014-06-13,62.48,62.71,61.97,62.46,285277
2014-06-16,62.5,62.72,61.88,62.05,284938
2014-06-17,62.08,62.69,61.74,61.88,493135
2014-06-18,62,62.29,61.87,62.2,289233
2014-06-19,62.39,63.15,62.39,62.96,389426
2014-06-20,63.13,63.17,62.57,63.1,336324
2014-06-23,63.09,63.56,62.88,63.12,341542
2014-06-24,63.07,63.54,62.46,62.6,281334
2014-06-25,62.37,63.08,62.22,62.32,322147
2014-06-26,62.37,63.02,62.03,62.99,390614
2014-06-27,62.99,64.21,62.86,63.82,524045
2014-06-30,63.85,64.3,63.36,64.25,365091
2014-07-01,64.51,65.53,64.21,64.51,457899
2014-07-02,64.51,64.9,63.05,63.23,490700
2014-07-03,63.36,63.85,63.08,63.35,780688
2014-07-07,63.05,63.05,62.02,62.09,628950
2014-07-08,61.99,62,61.01,61.15,665293
2014-07-09,61.65,61.78,60.52,61.34,522877
2014-07-10,60.69,61.07,60.15,60.74,509340
2014-07-11,60.61,61,60.34,60.57,274800
2014-07-14,60.85,61.04,60.23,60.3,302830
2014-07-15,60.42,60.59,59.15,59.28,544466
2014-07-16,59.42,59.79,58.81,59.17,418760
2014-07-17,59.12,59.5,58.43,58.52,422212
2014-07-18,58.77,59.37,58.51,59.26,288950
2014-07-21,59.06,59.79,58.8,59.45,428319
2014-07-22,59.6,60.06,59.5,59.85,325892
2014-07-23,59.86,60.53,59.69,60.01,477967
2014-07-24,59.99,60.29,59.85,59.91,468759
2014-07-25,59.75,59.99,59.28,59.32,305747
2014-07-28,59.2,59.36,58.49,58.94,265430
2014-07-29,59,59.45,58.57,58.58,435595
2014-07-30,58.73,59.36,58.72,58.83,332193
2014-07-31,58.56,58.67,57.63,57.63,406735
2014-08-01,57.54,57.89,56.83,57.13,465282
2014-08-04,57.1,58.33,57.07,58.27,434317
2014-08-05,58.18,58.64,57.71,58.07,727161
2014-08-06,58.11,60.57,58.05,58.56,953237
2014-08-07,58.59,58.83,57.51,57.8,440264
2014-08-08,57.75,58.38,57.62,58.08,576947
2014-08-11,58.2,58.66,58,58.3,561610
2014-08-12,58.21,59.06,58.02,58.47,483482
2014-08-13,58.55,59.19,58.35,58.9,655842
2014-08-14,58.95,59.37,58.24,58.69,373132
2014-08-15,58.8,59,58.11,58.34,245796
2014-08-18,58.61,59.71,58.57,59.69,252829
2014-08-19,59.69,60.19,59.69,59.84,255025
2014-08-20,59.69,60.49,59.69,60.01,281610
2014-08-21,60.73,61.46,60.35,61.11,373575
2014-08-22,60.99,61.31,60.74,60.94,207511
2014-08-25,61.14,61.38,60.63,60.68,133982
2014-08-26,60.84,61.45,60.75,61.03,248212
2014-08-27,60.93,61.32,59.99,60.15,235957
2014-08-28,60.14,60.35,59.77,60.13,210259
2014-08-29,60.3,60.84,59.86,60.54,182966
2014-09-02,60.56,61.14,60.12,60.87,316182
2014-09-03,60.95,61.2,60.6,60.98,295669
2014-09-04,61.06,61.29,60.18,60.41,280384
2014-09-05,59.46,59.64,57.29,57.99,582826
2014-09-08,57.76,57.77,56.39,56.8,679391
2014-09-09,56.8,56.8,55.15,55.62,656313
2014-09-10,55.77,56.29,54.43,56.17,409814
2014-09-11,55.92,56.35,55.72,56.18,229589
2014-09-12,56.16,56.16,55.47,55.56,349776
2014-09-15,55.4,56.1,55.02,55.96,487113
2014-09-16,55.98,56.53,55.64,56.41,581718
2014-09-17,56.58,57.4,56.36,57.11,526059
2014-09-18,57.42,57.7,57.1,57.14,370642
2014-09-19,57.31,57.38,56.9,56.97,446419
2014-09-22,56.95,57.03,56.04,56.27,232631
2014-09-23,56.06,56.49,55.88,56.2,323021
2014-09-24,56.05,56.13,55.49,55.92,321985
2014-09-25,55.9,55.98,55.23,55.76,341503
2014-09-26,55.95,56.53,55.42,56.41,225228
2014-09-29,55.57,55.91,54.24,54.28,772370
2014-09-30,54.2,54.52,53.66,53.92,734060
2014-10-01,53.84,53.84,50.03,52.26,2756180
2014-10-02,52.03,52.03,50.33,51.02,967215
2014-10-03,51.31,51.45,49.88,50,1100730
2014-10-06,50.31,51.19,49.63,50.77,1144291
2014-10-07,50.39,50.61,49.74,50.23,783955
2014-10-08,50.19,50.9,49.44,50.7,498185
2014-10-09,50.66,50.83,49.66,49.74,427512
2014-10-10,49.75,49.98,48.55,48.69,575433
2014-10-13,48.69,49.27,48.13,48.16,612203
2014-10-14,48.5,49.91,48.18,48.8,702046
2014-10-15,48.29,48.64,47.05,47.56,946639
2014-10-16,46.81,47.37,46.2,46.24,1255946
2014-10-17,46.98,47.98,46.67,47.65,997567
2014-10-20,47.37,48.46,47.29,48.46,754067
2014-10-21,48.66,49.55,48.47,49.43,618389
2014-10-22,49.34,49.67,48.92,49.06,604181
2014-10-23,49.5,50.36,49.45,49.68,458194
2014-10-24,49.7,50.17,49.48,50.11,198168
2014-10-27,49.92,50.34,49.33,50.31,263575
2014-10-28,50.56,51.26,50.45,50.7,542616
2014-10-29,50.63,51.01,49.23,49.29,861097
2014-10-30,48.69,49.22,48.63,49.11,880368
2014-10-31,49.73,49.79,48.93,49.63,447449
2014-11-03,49.91,49.93,49.17,49.48,580857
2014-11-04,49.16,49.35,46.94,47.09,1161045
2014-11-05,44.6,45.59,43.05,44.99,2918431
2014-11-06,44.78,46.58,44.49,46.56,1122664
2014-11-07,46.4,48.88,46.25,48.74,1808204
2014-11-10,48.78,49.67,48.74,49.25,1398863
2014-11-11,49.19,50.03,48.98,49.57,646077
2014-11-12,49.37,50.21,49.28,49.85,742199
2014-11-13,49.74,49.9,48.51,48.56,849006
2014-11-14,48.56,49.44,48.55,48.95,591092
2014-11-17,49.76,50.01,49.42,49.72,591763
2014-11-18,49.8,50.2,48.95,49.01,615325
2014-11-19,48.94,49.07,48.16,48.54,625407
