Date,Open,High,Low,Close,Volume
2014-06-02,32.3368,32.714,32.1243,32.6965,1540777.9619089
2014-06-03,32.4818,33.0788,32.4818,32.6692,1650630.6205382
2014-06-04,32.5968,32.784,32.4368,32.6915,909525.27917097
2014-06-05,32.6118,32.8412,32.3817,32.7015,1795896.5178594
2014-06-06,32.6292,33.3112,31.8292,33.2638,6320764.9765682
2014-06-09,33.2688,33.4162,32.6118,33.2188,2728299.7654906
2014-06-10,33.2562,33.3288,32.9088,33.0662,983140.484085
2014-06-11,33.0462,33.1987,32.8412,33.1812,819233.72368997
2014-06-12,33.1312,33.2838,32.7115,32.7865,1444188.7634835
2014-06-13,32.8512,32.8512,32.4168,32.5842,1698415.0866662
2014-06-16,32.674,33.1962,32.5268,32.9412,2475277.7564924
2014-06-17,33.0262,33.826,32.9662,33.7388,2329275.6671115
2014-06-18,33.7438,33.8685,33.3088,33.6562,1384725.2504974
2014-06-19,33.7812,33.991,33.5438,33.926,2107433.7924627
2014-06-20,33.991,34.2285,33.8235,34.2135,2657541.3058512
2014-06-23,34.211,34.231,33.9635,34.046,1472844.2391938
2014-06-24,33.846,33.931,33.6512,33.6662,1318219.9004196
2014-06-25,33.6638,34.151,33.5288,34.1335,1621386.991389
2014-06-26,34.1935,34.1935,33.6738,33.831,710005.22789384
2014-06-27,33.7112,34.1985,33.5238,34.1785,1517087.781557
2014-06-30,34.166,34.186,33.5988,33.801,1733312.1907077
2014-07-01,35.0385,36.8005,35.026,36.648,9319971.4168522
2014-07-02,36.5355,36.7905,36.353,36.5755,3556443.8137277
2014-07-03,36.5305,36.5855,36.0505,36.243,2666803.722253
2014-07-07,36.203,36.203,35.908,36.0805,1931976.0186112
2014-07-08,36.148,36.288,35.898,36.2255,2138089.7900741
2014-07-09,36.463,37.3952,36.253,37.2928,3963586.0299811
2014-07-10,37.1128,37.3752,36.8255,37.1153,2258845.2930639
2014-07-11,37.003,37.5178,36.9205,37.4602,1709846.0688086
2014-07-14,37.5978,37.7152,37.3002,37.5052,2178648.3710955
