Date,Open,High,Low,Close,Volume
2014-06-02,4.45375,4.47875,4.3975,4.45625,6139184
2014-06-03,4.425,4.45125,4.405,4.41125,4543424
2014-06-04,4.4,4.48125,4.3875,4.46375,3678080
2014-06-05,4.45875,4.57125,4.45,4.5425,6812736
2014-06-06,4.5375,4.565,4.52125,4.54125,2187352
2014-06-09,4.5325,4.61,4.52125,4.54875,3578128
2014-06-10,4.53375,4.56625,4.51125,4.52,2468800
2014-06-11,4.49625,4.4975,4.45125,4.47,2123424
2014-06-12,4.455,4.47375,4.42125,4.44375,3008312
2014-06-13,4.44375,4.4745,4.428,4.44,1835232
2014-06-16,4.43875,4.47375,4.43625,4.45375,1889640
2014-06-17,4.445,4.5175,4.44,4.50125,3310608
2014-06-18,4.47,4.5225,4.45875,4.5075,2774392
2014-06-19,4.515,4.5175,4.47125,4.47625,3178360
2014-06-20,4.4875,4.5,4.37,4.385,19243248
2014-06-23,4.385,4.3975,4.36125,4.37,3948432
2014-06-24,4.36,4.41375,4.36,4.38,3898528
2014-06-25,4.36875,4.4125,4.36625,4.40375,2382360
2014-06-26,4.4075,4.4275,4.3675,4.4,2300576
2014-06-27,4.3925,4.43625,4.375,4.41875,2932480
2014-06-30,4.4,4.49875,4.4,4.495,5068880
2014-07-01,4.49125,4.58375,4.4825,4.5325,5092096
2014-07-02,4.57875,4.57875,4.48125,4.48625,2281600
2014-07-03,4.50625,4.54125,4.45125,4.5075,1820608
2014-07-07,4.4975,4.52375,4.47125,4.48125,2256896
2014-07-08,4.4825,4.5125,4.45625,4.49625,3221784
2014-07-09,4.50375,4.53,4.485,4.51125,2444976
2014-07-10,4.495,4.50125,4.43375,4.43625,2708152
2014-07-11,4.42625,4.4525,4.394,4.4275,3815032
2014-07-14,4.45625,4.48625,4.42625,4.45875,4033304
2014-07-15,4.455,4.51,4.4055,4.435,2052936
2014-07-16,4.44625,4.45125,4.31875,4.37875,7714256
2014-07-17,4.36375,4.3725,4.3225,4.32875,3969328
2014-07-18,4.347,4.407,4.335,4.385,1573272
2014-07-21,4.41625,4.4175,4.345,4.35,2897616
2014-07-22,4.365,4.3725,4.33625,4.3525,4249808
2014-07-23,4.35125,4.3925,4.31875,4.375,2227432
2014-07-24,4.3875,4.41625,4.365,4.39125,2087888
2014-07-25,4.37875,4.397,4.33375,4.33875,1508656
2014-07-28,4.34375,4.3475,4.2975,4.33625,2457040
2014-07-29,4.34375,4.3475,4.2575,4.25875,3442008
2014-07-30,4.2825,4.2895,4.21,4.23,3442504
2014-07-31,4.2125,4.245,4.17125,4.1725,2579104
2014-08-01,4.16625,4.2025,4.14875,4.18625,6125472
2014-08-04,4.19125,4.2125,4.16125,4.18375,5069048
2014-08-05,4.1625,4.2175,4.125,4.20875,2951328
2014-08-06,4.18125,4.23875,4.18125,4.20375,1785592
2014-08-07,4.2175,4.2175,4.16,4.17625,1957448
2014-08-08,4.175,4.2125,4.165,4.20125,2384264
2014-08-11,4.22125,4.235,4.19875,4.21,1797336
2014-08-12,4.185,4.2275,4.1725,4.1875,1799800
2014-08-13,4.1975,4.22125,4.175,4.1925,3368680
2014-08-14,4.1925,4.2125,4.175,4.1875,3259536
2014-08-15,4.215,4.22875,4.16875,4.20875,5618008
2014-08-18,4.24875,4.2825,4.2105,4.2625,3033592
2014-08-19,4.26875,4.2825,4.23625,4.27125,3437232
2014-08-20,4.255,4.305,4.23125,4.2825,2560136
2014-08-21,4.28625,4.33375,4.28,4.29375,4347976
