Date,Open,High,Low,Close,Volume
2014-06-02,18.8821,19.0087,18.8251,18.9921,26609978.348667
2014-06-03,18.9645,19.0225,18.7387,18.9076,30453577.843588
2014-06-04,18.8251,18.8919,18.7004,18.776,26924467.132158
2014-06-05,18.8507,18.9577,18.7092,18.9302,30428534.020704
2014-06-06,18.9499,19.1247,18.9381,19.0284,29339799.851315
2014-06-09,18.9989,19.1247,18.9439,19.0087,24551544.546539
2014-06-10,18.9645,19.2395,18.8507,19.1561,47733086.477961
2014-06-11,19.0441,19.2886,18.9989,19.1904,47196279.792626
2014-06-12,19.1247,19.1639,18.8644,18.8997,35100309.886081
2014-06-13,18.9076,18.9921,18.8507,18.9302,27333162.524443
2014-06-16,18.7927,18.9499,18.7387,18.7986,25117174.236063
2014-06-17,18.7672,18.8644,18.7092,18.776,23370679.212038
2014-06-18,18.9302,18.9645,18.7446,18.8733,32260438.949632
2014-06-19,18.8644,18.9381,18.7387,18.9381,26940661.295767
2014-06-20,18.8733,19.0815,18.8585,19.0284,51812312.988307
2014-06-23,19.0167,19.0815,18.8919,18.9302,24467138.757176
2014-06-24,18.8644,18.9577,18.7927,18.7986,31706366.772546
2014-06-25,18.8163,18.9921,18.7092,18.9439,29462507.658507
2014-06-26,18.8997,19.0167,18.7594,18.8919,24967391.970707
2014-06-27,18.8507,18.9823,18.7594,18.9302,45668273.588871
2014-06-30,18.9076,19.0815,18.8644,19.0441,31307826.593413
2014-07-01,19.1482,19.2464,18.9823,19.2219,45164477.456512
2014-07-02,19.2965,19.4153,19.2051,19.3289,39103809.179716
2014-07-03,19.4232,19.4978,19.4074,19.4496,25379376.707003
2014-07-07,19.3043,19.4978,19.2817,19.483,27573935.377419
2014-07-08,19.3819,19.5458,19.3515,19.3583,44834726.320485
2014-07-09,19.4566,19.6912,19.4153,19.648,46113666.043517
2014-07-10,19.4978,19.7079,19.4732,19.648,35324411.976997
2014-07-11,19.7079,19.8091,19.648,19.7079,27123883.867402
2014-07-14,19.8002,19.8091,19.6146,19.648,24920248.440587
2014-07-15,19.598,19.8326,19.5832,19.8248,38195630.463705
2014-07-16,19.868,20.1155,19.868,20.0643,52414241.556445
2014-07-17,19.9553,20.0781,19.7541,19.7914,38290053.985897
2014-07-18,19.8464,20.0457,19.8248,20.0103,32976259.271989
2014-07-21,19.9681,20.0369,19.8601,19.9623,26967769.360232
2014-07-22,20.0369,20.1399,20.0103,20.0369,37210480.079472
2014-07-23,19.8533,19.9181,19.7315,19.8326,37241719.682219
2014-07-24,19.8925,20.0015,19.8248,19.9455,28328750.211081
2014-07-25,19.9249,20.0948,19.8326,20.0555,37088729.542673
2014-07-28,19.868,20.0781,19.7462,20.0183,35852463.711724
2014-07-29,19.9839,20.0849,19.8385,19.8533,29061403.216766
2014-07-30,19.9455,19.9553,19.6657,19.7914,33827951.90619
