Date,Open,High,Low,Close,Volume
2017-10-10,9.85,9.85,9.8,9.85,9800
2017-10-11,9.8,9.8,9.8,9.8,500400
2017-10-12,9.8,9.8,9.8,9.8,1800
2017-10-13,9.775,9.84,9.775,9.78,128100
2017-10-16,9.78,9.78,9.78,9.78,100000
2017-10-17,9.78,9.78,9.76,9.76,5700
2017-10-18,9.8032,9.8032,9.76,9.77,105400
2017-10-19,9.85,9.85,9.76,9.76,11700
2017-10-20,9.75,9.75,9.73,9.73,500
2017-10-23,9.73,9.74,9.7,9.74,10500
2017-10-24,9.73,9.7799,9.7,9.74,319299
2017-10-25,9.7,9.78,9.7,9.78,26500
2017-10-26,9.65,9.76,9.65,9.76,30200
2017-10-27,9.79,9.79,9.79,9.79,14900
2017-11-02,9.6,9.78,9.6,9.78,10300
2017-11-03,9.75,9.76,9.75,9.75,2400
2017-11-06,9.7017,9.75,9.7017,9.75,500
2017-11-09,9.72,9.75,9.7,9.72,393398
2017-11-24,9.67,9.67,9.67,9.67,29200
2017-11-28,9.68,9.68,9.67,9.67,2300
2017-11-29,9.67,9.67,9.67,9.67,400
2017-12-01,10.1,10.1,9.72,9.75,5235
2017-12-04,9.67,9.75,9.67,9.75,200
2017-12-06,9.68,9.68,9.68,9.68,2120892
2017-12-07,9.67,9.7,9.67,9.69,36600
2017-12-13,9.66,9.66,9.66,9.66,100
2017-12-19,9.7,9.7,9.65,9.65,700
2017-12-26,9.72,9.72,9.68,9.68,300
2018-01-08,9.6837,9.6837,9.66,9.66,900
2018-01-09,9.67,9.71,9.66,9.66,200600
2018-01-10,9.69,9.692,9.67,9.692,651300
2018-01-11,9.69,9.695,9.69,9.695,2400
2018-01-12,9.7,9.7,9.7,9.7,100
2018-01-16,9.67,9.67,9.67,9.67,200
2018-01-17,9.69,9.69,9.69,9.69,100000
2018-01-19,9.69,9.69,9.69,9.69,100
2018-01-22,9.69,9.69,9.69,9.69,200
2018-01-23,9.68,9.7,9.67,9.67,62800
2018-01-30,9.67,9.69,9.67,9.69,250200
2018-02-01,9.68,9.68,9.68,9.68,200
2018-02-02,9.73,9.73,9.73,9.73,278321
2018-02-05,9.7135,9.7135,9.7135,9.7135,1810
2018-02-06,9.69,9.69,9.69,9.69,25085
2018-02-07,9.7,9.7,9.7,9.7,5848
2018-02-14,9.71,9.71,9.68,9.71,2728
2018-02-15,9.67,9.67,9.67,9.67,150200
2018-02-16,9.71,9.75,9.7,9.75,45379
2018-02-20,9.73,9.73,9.73,9.73,1007
2018-02-21,9.68,9.68,9.68,9.68,341
2018-02-22,9.7,9.7,9.68,9.68,900
2018-02-28,9.67,9.67,9.67,9.67,100
2018-03-01,9.67,9.68,9.67,9.67,220275
2018-03-09,9.67,9.69,9.67,9.68,100350
2018-03-13,9.67,9.67,9.67,9.67,50000
2018-03-16,9.6801,9.6801,9.68,9.68,1544
2018-03-22,9.7,9.7,9.69,9.7,205006
2018-03-23,9.67,9.67,9.67,9.67,700
2018-04-06,9.65,9.69,9.65,9.69,500
2018-04-12,9.68,9.68,9.67,9.67,1180
2018-04-23,9.75,9.75,9.75,9.75,1300
2018-04-24,9.77,9.78,9.75,9.77,7285
2018-04-25,9.8,9.8,9.8,9.8,1000
2018-04-26,9.76,9.76,9.76,9.76,400
2018-04-27,9.79,9.79,9.79,9.79,775
2018-04-30,9.79,9.79,9.79,9.79,1484
2018-05-07,9.8,9.8,9.8,9.8,1000
2018-05-08,9.8,9.8,9.8,9.8,2101
2018-05-16,9.8,9.8,9.8,9.8,100
2018-05-18,9.8,9.8,9.8,9.8,100
2018-05-21,9.79,9.8,9.79,9.79,119157
2018-05-22,9.82,9.82,9.82,9.82,346
2018-05-23,9.8,9.8,9.8,9.8,200
2018-05-30,9.8,9.8,9.8,9.8,200
2018-06-04,9.7999,9.8,9.7999,9.8,750
2018-06-05,9.79,9.79,9.76,9.76,603
2018-06-06,9.76,9.76,9.76,9.76,153
2018-06-12,9.76,9.78,9.76,9.78,12247
2018-06-15,9.79,9.79,9.79,9.79,400
2018-06-18,9.8,9.8,9.8,9.8,50400
2018-06-19,9.81,9.81,9.81,9.81,975
2018-06-20,9.8,9.8,9.8,9.8,71200
2018-06-21,9.8,9.85,9.8,9.85,116911
2018-06-25,9.85,9.86,9.85,9.86,7662
2018-06-26,9.86,9.86,9.85,9.85,1100
2018-06-27,9.85,9.85,9.85,9.85,1600
2018-06-28,9.85,9.9,9.84,9.87,13549
2018-07-02,9.8601,9.8601,9.8601,9.8601,600
2018-07-03,9.89,9.9,9.89,9.9,600
2018-07-06,9.88,9.9,9.88,9.9,200
2018-07-09,9.87,9.87,9.87,9.87,300
2018-07-12,9.8701,9.8701,9.8501,9.87,2600
2018-07-13,9.86,9.86,9.86,9.86,300
2018-07-17,9.86,9.86,9.83,9.86,551098
2018-07-18,9.84,9.92,9.83,9.9,801726
2018-07-19,9.86,9.86,9.85,9.85,3700
2018-07-24,9.86,9.86,9.83,9.83,5603
2018-07-25,9.85,9.85,9.85,9.85,18568
