Date,Open,High,Low,Close,Volume
2014-06-02,29.3429,29.527,29.0812,29.1027,4836594.141388
2014-06-03,28.998,29.3645,28.9428,29.3084,3870641.1000703
2014-06-04,29.2673,29.5645,29.0157,29.1616,5799588.4055042
2014-06-05,29.2841,29.5401,29.1457,29.3729,4045292.3912
2014-06-06,29.4299,29.5486,28.9101,29.2439,5917177.8705153
2014-06-09,29.17,29.3729,28.9812,29.0316,4168664.6290066
2014-06-10,28.8672,28.9746,28.0613,28.3679,8059331.4948005
2014-06-11,28.1397,28.4324,28.0697,28.3278,5590065.0475729
2014-06-12,28.4324,28.8672,28.3278,28.5699,5193649.8751865
2014-06-13,28.5156,28.5156,28.0043,28.093,7812923.9732071
2014-06-16,28.2296,28.3193,27.8332,28.109,6559207.9202771
2014-06-17,28.0537,28.3193,27.9491,28.1809,5131245.9907365
2014-06-18,28.2707,28.3586,27.9696,28.3361,4802511.5097184
2014-06-19,28.3278,28.4258,28.0463,28.3278,4111808.1843857
2014-06-20,28.4987,28.4987,27.9575,28.1557,6196660.370805
2014-06-23,28.1557,28.7212,27.8995,28.4081,6236806.0354389
2014-06-24,27.8248,28.0856,27.2246,27.3938,13191022.478782
2014-06-25,27.4593,27.8481,27.3462,27.7939,8897413.1598771
2014-06-26,27.8248,27.9575,27.5107,27.6228,6144555.5127098
2014-06-27,27.5406,27.8556,27.5023,27.7089,4383377.0788412
2014-06-30,27.7089,27.8004,27.5107,27.662,8929740.4215583
2014-07-01,27.6687,27.8556,27.4677,27.8248,7002519.6043399
2014-07-02,27.7257,28.6905,27.7257,28.525,8356365.5555835
2014-07-03,28.5455,28.5848,28.0613,28.3034,3944518.5363152
2014-07-07,28.1323,28.2389,27.5723,27.7004,5449369.0943722
2014-07-08,27.5649,28.1323,27.4752,28.0463,6788616.9138477
2014-07-09,28.0613,28.3118,27.9575,28.2707,6248766.2985957
2014-07-10,27.8901,28.3118,27.8827,28.1397,5807712.7413126
2014-07-11,28.037,28.037,27.4405,27.4499,5348598.4485732
