Date,Open,High,Low,Close,Volume
2014-06-02,50.3559,51.0568,50.1303,50.5074,2103587.2143315
2014-06-03,50.5074,51.4171,49.7413,51.2646,10376241.302559
2014-06-04,51.3142,52.5158,51.233,51.8645,4081667.487797
2014-06-05,51.9051,52.2357,51.4675,51.6101,4175501.9319339
2014-06-06,51.8645,52.1713,51.7863,51.9516,1889244.7292906
2014-06-09,52.0318,52.1,51.7506,51.9139,2082194.3875935
2014-06-10,51.9793,52.1188,51.323,51.3726,2822097.2506539
2014-06-11,51.1123,51.2171,50.1026,50.164,4177780.1290671
2014-06-12,50.2046,50.558,49.3543,50.2402,2467777.4843753
2014-06-13,50.262,50.5658,49.674,49.8176,1739994.023891
2014-06-16,49.9363,49.9531,49.1336,49.2643,1606379.5300345
2014-06-17,49.0454,49.2929,49.0188,49.2791,1429855.1174039
2014-06-18,49.1336,49.3365,48.9841,49.2573,1522445.8982722
2014-06-19,49.2483,49.3632,48.8515,49.3365,1462808.6580197
2014-06-20,49.4404,49.8987,49.1959,49.7077,1939974.2692669
2014-06-23,49.767,50.1214,49.3978,49.8274,1274074.9272719
2014-06-24,49.7077,49.9076,49.3365,49.6017,717248.18788809
2014-06-25,49.7077,50.1392,49.2405,49.2483,1588328.7326165
2014-06-26,49.2791,49.286,48.7485,49.0702,1606515.9187765
2014-06-27,48.8168,49.5067,48.698,49.4889,1686079.0490763
2014-06-30,49.4889,49.6345,49.2039,49.382,1368064.9556034
2014-07-01,49.5295,49.8848,49.4404,49.7156,1256653.5386405
2014-07-02,49.8176,50.2808,49.5463,50.2709,1370378.5127807
2014-07-03,50.2709,50.5836,49.9867,50.5401,1015190.909989
2014-07-07,50.3877,50.6945,50.1362,50.3045,1670813.6128538
2014-07-08,50.2471,50.4401,50.0838,50.155,1437283.7575457
2014-07-09,50.2026,50.3313,49.8562,50.2124,857955.90661012
2014-07-10,49.9135,50.1462,49.78,49.9501,1040797.643708
2014-07-11,49.9423,50.3045,49.5414,50.255,822878.7427686
2014-07-14,50.4728,51.2676,50.449,50.9548,2350354.8598993
2014-07-15,51.0815,51.8467,51.0815,51.521,2278888.1694331
2014-07-16,51.7655,52.1911,51.5804,52.0228,2464536.4837531
2014-07-17,51.8021,52.3059,51.2864,51.3092,1640843.4496811
2014-07-18,51.4052,51.5121,50.4154,50.936,2262206.3108688
2014-07-21,50.946,51.4052,50.7005,51.3963,1362891.2759942
2014-07-22,51.7249,52.1268,51.5893,52.0486,1667771.6387661
2014-07-23,51.9694,52.0486,51.5041,51.8467,1236621.5684604
2014-07-24,52.3851,52.3851,51.1161,51.9694,2302027.7823543
2014-07-25,52.2189,52.7494,51.8189,52.5702,1736159.9848133
2014-07-28,51.9605,52.6503,51.8961,52.5455,1710719.9484454
2014-07-29,52.5029,52.8444,52.494,52.6593,1491967.5607499
2014-07-30,52.6503,52.9087,52.4792,52.8612,1431915.0925499
2014-07-31,52.8008,52.8612,51.6438,51.6922,2518854.5630716
2014-08-01,51.5893,52.0416,50.9093,51.5804,1977626.6546127
2014-08-04,51.5041,51.9882,51.2528,51.9129,2512962.5694217
2014-08-05,51.9041,52.2287,51.1231,51.2438,1632419.6768668
2014-08-06,51.1073,51.7843,51.0518,51.1073,2209824.9516851
2014-08-07,51.2864,51.327,50.4916,50.6787,1853962.4771927
2014-08-08,50.7955,51.422,50.6529,51.1855,1497442.3058783
2014-08-11,51.422,51.8289,51.2617,51.6824,1168646.4297868
2014-08-12,51.5041,51.9041,51.3012,51.327,886144.93384245
2014-08-13,51.6071,51.9882,51.4646,51.7328,885285.17962502
2014-08-14,51.9278,52.3,51.7249,52.2435,1162898.9071746
2014-08-15,52.3673,52.4128,51.0073,51.0815,2160112.7706948
2014-08-18,51.4309,52.4128,51.422,52.2287,1158679.9487586
2014-08-19,52.3416,52.7306,52.1525,52.6593,735332.32477644
2014-08-20,52.4652,53.0205,52.3762,52.9087,682940.86272304
2014-08-21,52.9612,53.2076,52.8196,53.1047,752465.78161942
2014-08-22,52.9701,53.1047,52.4564,52.7306,895586.06564254
2014-08-25,52.8344,53.2888,52.7662,53.08,570592.90973244
2014-08-26,53.1107,53.1374,52.5088,53.0562,1184764.5482178
2014-08-27,52.9859,53.2888,52.7573,52.8008,837347.06256625
2014-08-28,52.6137,52.8702,52.3227,52.4128,963223.76846588
2014-08-29,52.5979,53.5096,52.5702,53.4789,1011893.333296
2014-09-02,53.5096,53.5521,53.0562,53.3759,997897.82780359
2014-09-03,53.8996,54.4687,53.8243,53.9322,1955880.2274328
2014-09-04,54.0777,54.2984,53.3245,53.6808,1535113.8866768
2014-09-05,53.7263,54.044,53.4353,53.9322,798078.21805714
2014-09-08,53.7184,54.2816,53.2888,54.2143,1055943.8660673
2014-09-09,54.239,54.3292,53.8827,54.0025,1255268.435195
2014-09-10,54.1441,54.1441,53.0127,53.1107,1230127.4437723
2014-09-11,53.1107,53.4541,52.8008,53.3443,1199027.7797592
2014-09-12,53.4165,53.4165,52.8108,52.978,842745.02588438
2014-09-15,53.0463,53.2572,52.6682,52.8108,670315.30637143
2014-09-16,52.8344,53.8827,52.6751,53.7362,969069.28891483
2014-09-17,53.6036,53.658,53.0562,53.2324,888496.88192491
2014-09-18,53.2977,53.5432,53.1275,53.3521,665702.33603444
2014-09-19,53.5966,53.7837,53.3927,53.6392,1223550.475552
2014-09-22,53.4699,53.5026,52.5029,52.69,1297485.297103
2014-09-23,52.4128,52.8702,52.0228,52.0228,1266318.9541494
2014-09-24,52.0584,52.791,51.8645,52.7395,1078310.6094511
2014-09-25,52.5276,52.5702,51.5299,51.5389,1072222.6201277
2014-09-26,51.5121,51.9694,51.3616,51.9129,710741.9397562
2014-09-29,51.5299,52.1268,51.521,52.004,786431.62978625
2014-09-30,51.9327,52.0486,51.327,51.3369,727111.61964457
2014-10-01,51.4487,51.7418,50.9726,51.035,1100029.7588828
2014-10-02,50.9726,51.4309,50.4916,51.2934,1468857.2461511
2014-10-03,51.6091,51.8813,51.2617,51.5497,3373675.5491921
2014-10-06,51.9545,51.9635,51.0895,51.327,1189449.2489302
2014-10-07,51.0983,51.2864,50.4599,50.4946,1256757.5981991
2014-10-08,50.5035,51.4319,50.1956,51.3012,1839819.4698017
2014-10-09,51.3616,51.4577,49.6047,49.6354,2260196.8500716
2014-10-10,49.7462,50.1392,49.2633,49.6493,3814198.0517834
2014-10-13,49.7027,50.8182,49.7027,49.865,1441342.0803324
2014-10-14,50.1699,50.4866,49.0594,49.2117,2078803.8644987
2014-10-15,48.7851,49.4334,47.8626,49.09,1759640.0644459
2014-10-16,48.409,49.7027,48.4011,49.2781,1974645.2977437
2014-10-17,49.7898,50.1778,49.6225,50.0263,1259817.7574524
2014-10-20,49.8898,50.7411,49.6779,50.7411,1819411.6728663
2014-10-21,51.0805,52.0536,50.7242,51.9922,1370908.9134436
2014-10-22,51.8318,52.8008,50.9994,52.0724,2367546.9133869
2014-10-23,51.7516,53.9846,51.033,53.4878,2458563.667145
2014-10-24,53.7966,54.4083,53.4393,54.2381,1457376.3449443
2014-10-27,54.1945,54.2301,53.3869,53.4967,2014596.0859622
2014-10-28,53.7797,54.3568,53.5135,54.2212,2065715.5967116
2014-10-29,54.4925,54.5152,53.6699,54.1687,1370962.4586534
2014-10-30,54.0421,54.1866,53.8886,54.0005,1848524.1023956
2014-10-31,54.5538,54.6518,53.8471,53.9846,3276356.6252714
2014-11-03,54.0332,54.0332,52.4098,52.8344,3871873.3147265
2014-11-04,51.9823,52.5009,50.4005,52.1971,9331009.5093088
2014-11-05,51.5131,52.1971,51.2102,51.4141,5188766.2246578
2014-11-06,51.5131,53.4808,51.423,53.3869,3182009.965637
2014-11-07,53.0215,53.3541,52.1238,52.4792,2574248.5980207
2014-11-10,52.5781,53.6432,52.4188,53.3274,1628374.4878109
2014-11-11,53.4967,54.0945,53.3463,53.5917,1501745.1181134
2014-11-12,53.3086,53.7797,53.0384,53.4967,1107851.4006587
2014-11-13,54.1183,54.9923,53.6768,54.246,2818452.1352408
2014-11-14,54.1787,54.3123,52.9969,53.0889,1522299.4066605
2014-11-17,53.1067,53.662,52.8266,53.6254,1553720.3419322
2014-11-18,53.6768,54.6458,53.6768,54.5152,1520470.7872321
2014-11-19,54.3994,54.4746,53.6254,54.0005,1977449.8543918
2014-11-20,53.556,54.051,53.5472,54.0332,727167.1854283
2014-11-21,54.5716,55.1626,54.5538,54.7904,2411076.138078
2014-11-24,55.0556,55.2863,54.7577,55.0121,1618388.8113302
2014-11-25,55.0121,55.6515,54.2301,54.2896,1731451.0372136
2014-11-26,54.3123,54.8933,54.2549,54.8072,844057.3886675
2014-11-28,54.9121,55.8386,54.6696,55.5545,721703.55345668
2014-12-01,55.4812,55.8634,54.8755,55.021,1211245.1801721
2014-12-02,55.2773,55.5901,55.0804,55.2863,1327165.5079134
2014-12-03,55.405,56.194,55.3169,55.9435,1844185.9301164
2014-12-04,55.8386,56.0505,54.5805,54.9527,2798212.0459436
2014-12-05,55.0804,55.503,54.8666,55.2932,1887109.9929082
2014-12-08,55.3091,55.7762,54.9923,55.3763,1470820.2337473
2014-12-09,54.6884,55.2585,54.638,55.1626,1183420.8665384
2014-12-10,55.021,55.1378,54.6033,54.6607,1894563.8902245
2014-12-11,55.0289,55.6832,54.9201,55.1378,1744976.7592617
2014-12-12,54.7815,55.0902,53.9194,53.949,1667839.3279936
2014-12-15,54.2301,54.4519,53.6254,53.7699,1463243.0814198
2014-12-16,53.4878,54.4429,53.4878,53.5224,2005597.4598581
2014-12-17,53.6432,54.3568,53.3869,54.2549,1510160.8086318
2014-12-18,54.6518,55.7693,54.3806,55.7693,1548650.7218816
2014-12-19,56.0583,56.8581,55.7238,56.4295,2324829.9594253
2014-12-22,56.583,57.4787,56.4681,57.451,1278260.5462177
2014-12-23,57.5481,58.0498,56.8125,57.9301,1768653.8448547
2014-12-24,58.2151,58.2241,57.4955,57.7935,824655.83756114
2014-12-26,57.8449,58.1587,57.4955,57.6589,900088.91469904
2014-12-29,57.7668,58.1172,57.359,57.6401,1226988.4821348
2014-12-30,57.5123,58.0053,57.4599,57.9123,779615.22355242
2014-12-31,58.2003,58.2805,57.0184,57.0462,1009723.2368694
2015-01-02,58.1756,59.1872,57.6589,58.6725,3213681.4520792
2015-01-05,58.3379,58.91,56.958,57.2323,2151273.769933
2015-01-06,57.1798,57.6242,56.2176,56.3711,2408907.0519385
2015-01-07,56.8492,57.1214,56.3385,57.0867,1439974.1517655
2015-01-08,57.7262,58.7774,57.649,58.5883,2002279.6774256
2015-01-09,58.6537,58.8664,58.232,58.4556,973681.24896484
2015-01-12,58.7229,58.7229,58.0093,58.2062,1606598.7623085
2015-01-13,58.6971,59.296,57.644,58.0548,1309749.1707168
2015-01-14,57.4401,58.4556,57.1639,58.232,2165723.904565
2015-01-15,58.4646,58.617,57.6876,57.7133,1569353.5226144
2015-01-16,57.4728,59.6722,57.4728,59.6098,1914116.9843774
2015-01-20,59.8414,60.173,59.2346,59.9334,1597086.9104201
