Date,Open,High,Low,Close,Volume
2014-06-02,21.4997,21.6697,21.4103,21.5464,3057097.1207381
2014-06-03,21.4271,21.6796,21.3635,21.5464,2679360.3341482
2014-06-04,21.446,21.6021,21.2273,21.4997,2826599.7787921
2014-06-05,21.4897,21.953,21.4003,21.783,4518074.8415902
2014-06-06,21.8974,22.2333,21.8546,22.1618,3984747.0678573
2014-06-09,22.1687,22.5325,22.13,22.3357,5089773.2351191
2014-06-10,22.2433,22.3814,22.0842,22.1379,3318704.0087917
2014-06-11,22.0554,22.1031,21.6349,21.7562,5673451.6960561
2014-06-12,21.6985,21.8188,21.283,21.3457,5270010.4269393
2014-06-13,21.4182,21.4182,21.1727,21.2741,4966130.7710103
2014-06-16,21.283,21.5464,21.1209,21.5186,3783180.3463321
2014-06-17,21.4003,21.4649,20.9659,21.3099,5065068.6843247
2014-06-18,21.3545,21.3635,20.7571,21.2741,6062866.7597928
2014-06-19,21.3099,21.6021,21.2005,21.2551,3706937.0606715
2014-06-20,21.3009,21.3913,21.0116,21.3913,6154512.4144253
2014-06-23,21.283,21.783,21.283,21.4182,5141063.4960035
2014-06-24,21.3367,22.2234,21.3277,21.6796,7987492.9069016
2014-06-25,21.6538,21.8894,21.4729,21.8367,3125326.8689922
2014-06-26,21.8188,21.8974,21.446,21.6697,4342769.908608
2014-06-27,21.6448,21.8098,21.2005,21.626,5917702.6261794
2014-06-30,21.6697,22.4639,21.6697,22.3079,7995485.3189897
2014-07-01,22.2979,22.8615,22.28,22.7801,6449385.6429879
2014-07-02,22.8258,22.8953,22.2144,22.3914,4797313.3226796
2014-07-03,22.455,22.6429,22.3635,22.5236,2714488.7205696
2014-07-07,22.4281,22.4729,21.9262,22.112,3397392.801537
2014-07-08,22.0742,22.2333,21.943,22.1031,3855283.069607
2014-07-09,22.1548,22.5157,22.112,22.1856,4612433.5906723
2014-07-10,21.7999,22.3158,21.7462,22.1618,4865882.0819941
2014-07-11,22.0932,22.0932,21.7373,21.8814,4786034.4146453
2014-07-14,21.9698,22.0276,21.792,21.8734,3646788.2496488
2014-07-15,21.7999,21.962,21.783,21.9342,5045259.1715695
2014-07-16,21.953,22.4451,21.792,22.4093,7788262.0419993
2014-07-17,21.9798,21.9998,21.4559,21.5186,6422821.0582162
