Date,Open,High,Low,Close,Volume
2014-06-02,16.2739,16.705,16.1553,16.5006,66378.065854039
2014-06-03,16.3501,16.8729,16.3193,16.4533,156896.90895777
2014-06-04,16.5893,16.5893,16.3241,16.3569,47160.825265668
2014-06-05,16.5738,16.7716,16.3742,16.4147,35948.349167091
2014-06-06,16.5738,16.7794,16.4784,16.5064,42738.039964093
2014-06-09,16.5006,16.7794,16.434,16.5468,209993.14112721
2014-06-10,16.5006,16.5468,16.5006,16.5276,14374.570606267
2014-06-11,16.705,16.705,16.1977,16.2353,42362.73563236
2014-06-12,16.1611,16.3569,16.1553,16.2295,24137.666992796
2014-06-13,16.2835,16.3414,16.1823,16.2169,12819.442159862
2014-06-16,16.2951,16.2951,15.8562,16.2353,52030.450807509
2014-06-17,16.2951,16.3501,16.2439,16.2797,15320.088701681
2014-06-18,16.2353,16.2353,16.0588,16.0983,25099.773124971
2014-06-19,16.0588,16.2835,15.9681,16.0511,26162.444230014
2014-06-20,16.1755,16.1755,15.8977,16.0511,65634.714456657
2014-06-23,16.0472,16.1611,15.9218,15.9816,87678.141808295
2014-06-24,16.0135,16.2199,15.9816,16.2015,17505.562545028
2014-06-25,16.1456,16.2199,16.0038,16.1755,16373.429036046
2014-06-26,16.1919,16.2759,16.0868,16.1485,16587.000009353
2014-06-27,16.0868,16.0868,15.9585,15.9633,52078.141413199
2014-06-30,15.9556,16.1755,15.8707,16.0588,43594.397361913
2014-07-01,16.0231,16.3144,15.9845,16.2739,35939.018396412
2014-07-02,16.2083,16.4533,16.0337,16.434,53207.164665289
2014-07-03,16.5092,16.5092,16.2835,16.5006,19414.223524915
2014-07-07,16.4678,16.569,16.1881,16.2247,27704.09489655
2014-07-08,16.3867,16.3867,15.9681,15.9681,43691.852077888
2014-07-09,16.0743,16.3087,15.9633,16.0511,39919.11046691
2014-07-10,16.0665,16.2353,15.7444,15.8707,50236.869332656
2014-07-11,15.8958,16.0308,15.5331,15.8264,53136.665509052
2014-07-14,15.8158,16.0077,15.7212,15.81,58566.137291599
2014-07-15,15.8562,16.0868,15.81,15.973,24092.049891701
2014-07-16,16.0983,16.2951,16.0038,16.0607,53020.54925172
2014-07-17,16.1611,16.3047,15.8977,16.1485,35306.599494874
2014-07-18,16.2739,16.3144,15.698,15.8003,86118.866352699
2014-07-21,15.7964,16.2199,15.7752,16.1032,26670.45285584
2014-07-22,16.1071,16.1727,15.8196,16.1727,54328.930651295
2014-07-23,16.0897,16.2575,15.7444,15.8707,63463.755145477
2014-07-24,16.0038,16.0511,15.619,15.7068,54358.996467926
2014-07-25,15.6142,15.7068,15.4743,15.6142,34368.338665543
2014-07-28,15.5958,15.7704,15.482,15.5833,35895.474799912
2014-07-29,15.6826,16.5468,15.6826,16.4533,61462.823211103
2014-07-30,16.434,16.5468,15.8562,15.8562,26846.700746432
2014-07-31,15.8476,15.8784,15.4974,15.4974,26296.185276406
2014-08-01,15.591,15.7916,15.3615,15.4743,43720.88114222
2014-08-04,15.4974,16.1881,15.4511,16.1225,140791.9987668
2014-08-05,15.3681,16.2951,15.3681,16.0491,51274.658382557
2014-08-06,15.8428,16.6578,15.7502,16.3472,52016.97302764
2014-08-07,16.7302,17.0841,16.6868,17.0079,127174.25733778
2014-08-08,17.1487,17.3339,16.9028,17.1729,75816.658771418
2014-08-11,17.2491,17.4372,17.1305,17.4198,109384.62466321
2014-08-12,17.5076,17.9059,17.2693,17.8442,130468.01938727
2014-08-13,17.9917,18.5252,17.8673,18.3216,99134.254696809
2014-08-14,18.4296,18.5252,17.8625,18.1953,145555.87557428
2014-08-15,18.4296,18.6988,17.4246,17.7496,77247.37694211
2014-08-18,18.0342,18.6882,17.8037,18.3178,125654.3784695
2014-08-19,18.3583,18.5734,18.1423,18.502,92622.413515564
2014-08-20,18.7094,19.6855,18.3583,19.6074,238784.78918395
2014-08-21,19.7328,20.487,19.0605,20.3086,297822.64877096
2014-08-22,20.5112,21.0021,20.0849,20.4822,284481.7202054
2014-08-25,20.6182,21.2654,19.7048,19.8919,302216.40500819
2014-08-26,20.19,20.6385,19.9189,20.2845,97172.719349744
2014-08-27,20.2681,20.5584,19.8205,20.0424,56933.252422875
2014-08-28,19.8475,19.9671,19.3759,19.4454,177921.20880086
2014-08-29,19.5814,19.7087,19.4906,19.6122,176543.36499735
2014-09-02,19.8235,20.1842,19.452,19.7579,127596.2155229
2014-09-03,19.754,19.7781,19.5504,19.5929,42593.931394726
2014-09-04,19.4386,19.5929,18.9139,19.1155,68929.51325844
2014-09-05,18.9322,19.2187,18.3737,18.9139,107269.6499761
2014-09-08,18.7422,19.399,18.2435,19.372,155053.56337263
2014-09-09,19.1724,19.4984,19.1435,19.3084,74287.449132453
2014-09-10,19.2293,19.3286,18.9139,19.1405,52765.50818651
2014-09-11,18.9061,19.1541,18.9061,19.0885,35851.931203413
2014-09-12,19.0354,19.0885,18.5484,18.6476,54530.060597031
2014-09-15,18.6428,18.667,18.0063,18.6158,97253.586028957
2014-09-16,18.5908,19.236,18.5598,19.0065,39604.974520736
2014-09-17,18.8936,19.2466,18.8936,19.0219,48102.196351892
2014-09-18,19.0885,19.6508,19.0219,19.6122,41294.880765829
2014-09-19,19.7386,19.8871,19.6122,19.672,61151.797521822
2014-09-22,19.5456,20.6182,19.4424,19.8678,122569.00363183
2014-09-23,19.9961,19.9961,19.2293,19.372,96769.422705977
2014-09-24,19.399,19.4242,18.7422,18.8473,137938.8564438
2014-09-25,18.9139,18.9139,18.7142,18.7142,20694.612612455
2014-09-26,18.474,19.0354,18.4296,19.0305,11944.423220685
2014-09-29,18.8193,19.1463,18.5156,18.5348,45718.702819702
2014-09-30,18.4788,19.2573,18.4162,19.2389,57726.367930541
2014-10-01,19.2254,19.3084,18.667,18.72,49758.926523461
2014-10-02,18.5994,19.1955,18.3708,19.0673,65001.258802822
2014-10-03,19.1019,19.2958,18.8145,18.8329,56311.201044313
2014-10-06,19.0633,19.3894,18.2175,18.474,71254.948661964
2014-10-07,18.4788,18.7335,17.7371,17.9493,97586.383516488
2014-10-08,17.9426,18.1837,16.6115,17.579,148292.90163996
2014-10-09,17.577,17.8336,16.65,17.1083,71287.08798319
2014-10-10,17.0079,17.7834,15.8553,17.1651,129949.64323847
2014-10-13,17.0649,17.7323,17.0127,17.1217,146875.66124914
2014-10-14,17.1121,17.3677,15.9266,16.8951,280861.38118217
2014-10-15,16.843,18.1808,16.4707,17.8037,204955.56171316
2014-10-16,17.7208,18.1489,17.3195,17.7168,231772.19664296
2014-10-17,18.0515,18.8647,17.7438,17.9127,212726.02018369
2014-10-20,17.9127,19.0846,17.9127,18.4576,207755.82966899
2014-10-21,18.6284,19.3759,18.6284,18.9775,193376.07530123
2014-10-22,19.0267,19.4936,18.4866,18.8791,223547.64066607
2014-10-23,19.0633,19.6855,18.9197,19.0885,96920.788541426
2014-10-24,19.3084,19.6334,18.502,19.1405,85679.283378516
2014-10-27,19.2428,19.8041,18.5878,19.4454,148288.75463076
2014-10-28,19.4618,19.726,19.4618,19.6334,76606.664022191
2014-10-29,20.4398,20.4398,19.6276,19.6324,189523.50376334
2014-10-30,20.0569,20.5613,18.773,19.5418,120093.23914515
2014-10-31,19.8775,19.8775,19.4424,19.7386,91084.909858218
2014-11-03,19.7048,20.0289,19.5118,19.7328,142527.52211299
2014-11-04,19.8649,20.0983,18.9592,18.9592,184879.89022238
2014-11-05,18.8637,19.7723,18.8637,19.5968,99524.073560707
2014-11-06,19.5832,19.7038,19.2187,19.2187,79670.267061608
2014-11-07,19.2032,19.7328,19.1289,19.29,105483.32576733
2014-11-10,19.3942,19.6826,19.1695,19.4482,49121.323860435
2014-11-11,19.4954,19.6546,19.1386,19.3672,80799.290313698
