Date,Open,High,Low,Close,Volume
2014-06-02,41.0872,41.5196,41.0377,41.4915,1160543.6763172
2014-06-03,41.2559,41.4644,41.0648,41.4644,1100047.7586404
2014-06-04,41.3897,41.8435,41.2888,41.6864,1261043.2621426
2014-06-05,41.4557,42.3816,41.4557,42.3428,2730776.6066379
2014-06-06,42.4853,42.4853,41.7804,41.8871,1404943.8420994
2014-06-09,41.9075,42.0577,41.3897,41.4265,1593453.1480407
2014-06-10,41.4353,41.6582,41.2481,41.6214,1260688.4715726
2014-06-11,41.4052,41.6515,40.7837,41.0717,1750042.6477186
2014-06-12,41.1153,41.3045,40.5374,41.0591,1451616.3353247
2014-06-13,41.0921,41.1425,40.7363,41.0445,1017241.2897636
2014-06-16,41.4954,42.1362,41.4954,41.7299,1389139.1598421
2014-06-17,41.5419,42.0083,41.378,41.9181,1181285.5168859
2014-06-18,41.8405,41.8988,41.1802,41.8027,1102479.7242344
2014-06-19,41.9539,42.432,41.76,42.0713,1312666.3214627
2014-06-20,42.0635,42.1732,41.603,41.9326,2274129.1704906
2014-06-23,42.0141,42.0141,41.603,41.6273,1105170.5631805
2014-06-24,41.635,42.3379,41.635,41.8104,1354358.3389232
2014-06-25,41.9035,42.0015,41.6418,41.7232,1190293.4844423
2014-06-26,41.6515,41.8251,41.4886,41.7882,859768.93913205
2014-06-27,41.8182,42.3709,41.7756,42.3031,3139189.0271364
2014-06-30,42.1964,42.4174,41.8445,42.2458,1178302.8008138
2014-07-01,42.3642,42.7752,42.0015,42.6521,1087500.1363263
2014-07-02,42.5649,42.6608,42.1071,42.4989,913618.72182676
2014-07-03,42.4485,42.6366,41.7523,42.1362,827715.05503703
2014-07-07,42.1653,42.5483,42.0946,42.4718,818503.90799715
2014-07-08,42.4242,43.0516,42.209,42.8838,1100805.8140736
2014-07-09,42.8906,42.9633,42.432,42.9411,1035219.0642628
2014-07-10,42.8324,43.5412,42.7752,43.3172,1525303.4489079
2014-07-11,43.3667,43.5257,43.0119,43.2086,1181571.2058043
2014-07-14,43.4122,43.6062,43.1872,43.4403,953586.29209768
2014-07-15,43.4841,43.9028,43.4403,43.7449,1506910.0331303
2014-07-16,43.7661,43.9698,43.5412,43.8612,1026749.4707692
2014-07-17,43.7225,43.9698,43.5935,43.7594,1273640.3901177
2014-07-18,43.7594,44.3518,43.5005,44.3518,981529.14359826
2014-07-21,44.3518,44.5622,44.122,44.3518,1038157.4315137
2014-07-22,44.8967,45.301,44.5195,45.1207,1431446.9039607
2014-07-23,45.3882,45.9032,45.2012,45.7597,2302106.0571331
2014-07-24,45.8731,46.353,45.7935,45.9729,2376444.9952521
2014-07-25,45.8324,46.1193,45.4057,45.5764,3705618.3605367
2014-07-28,45.6258,46.2212,45.4125,45.9894,1457874.6759627
2014-07-29,45.9971,46.3288,45.7674,46.2939,2282196.530489
2014-07-30,45.9245,47.2508,45.6423,46.926,4072049.9805522
2014-07-31,46.6118,47.1917,46.4539,46.6429,3922252.0387353
2014-08-01,46.5914,47.0278,46.353,46.4258,2510149.4717896
2014-08-04,46.5703,46.7379,46.1067,46.6118,3368292.9750538
2014-08-05,46.6118,47.3807,46.5556,46.7282,2996487.9280896
2014-08-06,46.4897,46.8301,46.3607,46.3888,1247825.25067
2014-08-07,46.3937,46.6856,46.1193,46.3607,1556411.5686053
2014-08-08,46.4838,46.8223,46.1998,46.8038,844409.80782336
2014-08-11,46.926,47.3662,46.6283,47.0676,930456.83475623
2014-08-12,47.0395,47.3235,46.9522,46.9522,1016154.2279587
2014-08-13,47.0346,47.7288,46.9464,47.7288,781612.90828047
2014-08-14,47.8307,48.0274,47.4894,47.6416,800727.25024556
2014-08-15,47.7647,47.8801,47.4371,47.4448,1103851.4435897
2014-08-18,47.7434,48.3028,47.5602,48.1622,1041364.9857958
2014-08-19,48.1768,48.5956,47.852,48.0828,1487847.259562
2014-08-20,48.168,48.7798,47.9334,48.4871,1778916.8244658
2014-08-21,48.617,49.0767,48.4667,48.9088,1348410.4400341
2014-08-22,48.7847,48.8226,47.6551,47.7288,1567996.9246347
2014-08-25,47.7434,47.7569,47.404,47.5679,1255262.4448591
2014-08-26,47.5136,47.7434,47.4894,47.5204,1033121.2618801
2014-08-27,47.6047,47.7288,47.4894,47.5204,836301.19310747
2014-08-28,47.5136,47.6047,47.3235,47.4244,871291.38171737
2014-08-29,47.5756,47.599,47.2567,47.2645,2317888.0492957
2014-09-02,47.4244,47.5136,47.0996,47.4661,1625732.9017137
2014-09-03,47.4583,47.9742,47.4187,47.6688,1119385.9074476
2014-09-04,47.7133,47.9528,47.3807,47.7715,1002982.6280431
2014-09-05,47.8016,48.3882,47.7133,48.3446,1299211.0953645
2014-09-08,48.4541,49.0767,48.3368,48.9253,1804225.5622568
2014-09-09,48.874,48.9175,48.5879,48.8002,1305621.0470892
2014-09-10,48.6741,48.7576,47.9839,48.2001,1573662.2287093
2014-09-11,48.2001,48.7042,47.8927,48.4143,3548946.3514237
2014-09-12,48.2951,48.3378,46.7175,47.2247,3609505.1825446
2014-09-15,47.1315,47.3623,46.352,46.6749,1621307.3018987
2014-09-16,46.5934,47.0928,46.4024,46.8931,1712191.4444532
2014-09-17,47.0744,47.2896,46.5023,46.5576,1627375.8708364
2014-09-18,46.704,46.7331,45.8672,46.1096,1534813.6926493
2014-09-19,46.2483,46.4694,46.1464,46.1814,1679233.050678
2014-09-22,46.1814,46.2909,45.8256,45.935,795372.38791984
2014-09-23,45.9487,46.131,45.2361,45.2428,1491275.5265826
2014-09-24,45.2515,45.5958,45.0238,45.2952,1266568.3001779
2014-09-25,45.3156,45.5667,45.1546,45.301,895868.87964152
2014-09-26,45.4562,45.8072,44.9869,45.7412,701641.66986087
2014-09-29,45.5744,45.8963,45.0751,45.8963,854084.03906669
2014-09-30,45.8314,45.9739,45.3669,45.7577,986907.72738651
2014-10-01,45.7868,46.6071,45.6181,46.131,1973886.6191607
2014-10-02,46.0224,46.4539,45.7218,46.0854,1519127.6177048
2014-10-03,46.3142,46.4092,45.6956,46.1145,773113.40511671
2014-10-06,46.1096,46.4092,45.935,46.0224,1670140.5109508
2014-10-07,45.9914,46.2483,45.7654,45.7721,957345.62822582
