Date,Open,High,Low,Close,Volume
2014-06-02,66.4447,66.854,65.6162,66.8104,267718.65496835
2014-06-03,66.5865,66.8372,66.1614,66.5171,263816.37135234
2014-06-04,66.3586,67.2395,66.3337,67.0284,223081.05127789
2014-06-05,67.1572,67.5041,66.6994,67.1017,232300.41075965
2014-06-06,67.1394,67.8331,66.9095,67.6517,229587.88467746
2014-06-09,67.615,67.7885,67.0373,67.2028,158938.08425307
2014-06-10,67.4842,67.6794,66.1781,66.8729,391011.44204825
2014-06-11,66.6241,67.5239,66.4617,67.3783,262316.81266255
2014-06-12,67.3961,67.3961,66.3576,66.4617,285748.67859581
2014-06-13,66.4705,66.9442,66.2485,66.6241,232220.68994102
2014-06-16,66.4894,66.6607,66.1831,66.2942,260536.71742111
2014-06-17,65.0921,65.4874,64.5014,65.209,1062049.8279878
2014-06-18,65.1189,66.1197,64.8077,66.1197,461220.25515942
2014-06-19,66.2752,66.7549,65.9196,65.979,364227.26523511
2014-06-20,65.8175,66.1296,65.7045,65.9423,690696.12704107
2014-06-23,66.084,66.084,65.3854,65.7431,620445.93983416
2014-06-24,65.763,66.4982,65.4488,66.2396,572889.94870705
2014-06-25,66.0187,66.7925,65.7333,66.5161,353264.13898623
2014-06-26,66.5161,66.7836,66.0939,66.6528,459458.32415514
2014-06-27,66.5329,67.3693,66.3843,67.0294,458488.55571578
2014-06-30,66.8729,67.1661,66.5428,67.1304,470473.92486693
2014-07-01,67.2672,68.2592,67.2672,68.0046,456321.9658726
2014-07-02,67.8371,68.0134,67.1404,67.4327,348516.2092181
2014-07-03,67.4407,67.7548,67.2038,67.627,295686.53456958
2014-07-07,67.5803,67.8638,67.3446,67.5526,316311.01673772
2014-07-08,67.3961,67.9015,67.064,67.4148,531897.30193955
2014-07-09,67.6725,68.5892,67.6725,68.5456,293550.218455
2014-07-10,67.6924,68.0313,67.3594,67.6924,344498.88543342
2014-07-11,67.5803,67.8092,67.2495,67.5803,203318.36125046
2014-07-14,67.8092,67.946,67.4763,67.6447,214088.74476061
2014-07-15,67.627,67.8549,66.9263,67.2772,289203.9201529
2014-07-16,67.627,67.8459,66.7648,67.084,681561.53399939
2014-07-17,66.6439,67.2038,66.1296,66.6806,461610.78625831
2014-07-18,67.0561,67.8549,66.7738,67.2593,419835.05904446
2014-07-21,67.2138,67.5993,67.0016,67.405,576178.68475685
2014-07-22,68.2205,70.2074,68.0134,69.9032,1343830.6298888
