Date,Open,High,Low,Close,Volume
2014-06-02,41.276,41.864,40.963,41.847,980297
2014-06-03,41.649,42.139,41.517,42.022,671699
2014-06-04,41.716,42.719,41.641,42.492,989787
2014-06-05,42.71,43.143,42.338,42.744,853861
2014-06-06,42.787,42.952,42.428,42.736,885432
2014-06-09,42.728,42.846,42.208,42.324,639968
2014-06-10,42.27,42.371,41.691,41.949,612051
2014-06-11,42.231,42.5,41.729,42.332,599099
2014-06-12,42.164,42.189,41.054,41.179,1116086
2014-06-13,41.39,42.216,41.215,42.209,796172
2014-06-16,42.072,42.189,41.639,41.896,621518
2014-06-17,41.896,42.485,41.799,42.031,582805
2014-06-18,41.972,42.373,41.69,42.272,508974
2014-06-19,42.414,42.74,42.263,42.494,544228
2014-06-20,42.405,42.815,42.189,42.423,1347841
2014-06-23,42.5,42.714,42.28,42.698,405678
2014-06-24,42.625,42.832,41.738,41.781,789002
2014-06-25,41.767,42.466,41.598,42.423,732952
2014-06-26,42.405,42.537,41.923,42.089,409641
2014-06-27,41.781,41.781,40.222,41.133,2054856
2014-06-30,41.107,41.116,40.372,40.555,1284994
2014-07-01,40.542,40.907,40.496,40.656,1010158
2014-07-02,40.581,40.797,40.073,40.273,805280
2014-07-03,40.363,40.542,40.146,40.222,572312
2014-07-07,39.938,40.389,39.912,40.146,780322
2014-07-08,40.137,40.137,39.532,39.622,1083272
2014-07-09,39.872,40.256,39.765,40.091,1204052
2014-07-10,39.465,40.056,39.388,39.722,831457
2014-07-11,39.153,39.298,38.282,38.339,2679946
2014-07-14,38.813,38.956,38.572,38.603,4357556
2014-07-15,38.697,38.789,38.457,38.504,1733438
2014-07-16,38.697,38.771,38.096,38.357,1151130
2014-07-17,38.102,38.23,37.379,37.395,1305559
2014-07-18,37.572,38.021,37.43,37.822,1297813
2014-07-21,37.599,37.771,37.42,37.563,896656
2014-07-22,37.781,38.021,37.599,37.628,1336967
2014-07-23,37.13,37.447,36.554,37.303,3249611
2014-07-24,37.411,37.73,37.311,37.456,1111481
2014-07-25,37.303,37.814,37.219,37.69,1011665
2014-07-28,37.744,37.947,37.621,37.781,867986
2014-07-29,37.939,38.489,37.837,38.204,1371547
2014-07-30,38.596,38.681,37.805,37.997,1152922
2014-07-31,37.636,37.855,37.379,37.379,666406
2014-08-01,37.295,37.505,36.913,37.037,931479
2014-08-04,37.181,37.528,36.971,37.456,1093687
2014-08-05,37.196,37.52,36.669,36.813,1677681
2014-08-06,36.589,37.311,36.537,37.037,1782175
2014-08-07,39.388,39.696,37.799,37.98,3283783
2014-08-08,38.339,38.348,37.847,37.972,1651998
2014-08-11,38.197,38.582,37.997,38.139,1040461
2014-08-12,38.171,38.655,38.112,38.471,1124719
2014-08-13,38.681,39.084,38.489,38.798,1084322
2014-08-14,38.789,38.939,38.638,38.771,864321
2014-08-15,38.948,39.084,38.538,38.997,1403101
2014-08-18,39.205,39.632,39.122,39.622,1019830
2014-08-19,40.1,40.424,39.855,40.389,1483067
2014-08-20,40.347,40.523,39.906,40.389,1202454
2014-08-21,40.256,40.631,40.073,40.573,984451
2014-08-22,40.782,41.33,40.782,41.155,1442025
2014-08-25,41.321,41.515,40.89,41.315,1273051
2014-08-26,41.032,41.306,40.848,41.054,1369286
2014-08-27,40.988,41.107,40.697,40.722,743065
2014-08-28,40.513,40.997,40.363,40.881,477335
2014-08-29,40.929,40.929,40.478,40.766,509493
2014-09-02,40.829,41.116,40.766,41.107,755927
2014-09-03,41.198,41.357,41.013,41.316,1156489
2014-09-04,41.267,41.868,41.224,41.633,1137239
2014-09-05,41.541,41.921,41.357,41.876,629844
2014-09-08,41.834,42.33,41.676,42.287,990805
2014-09-09,42.105,42.475,41.968,42.364,1461560
2014-09-10,42.513,42.975,42.296,42.9,1378270
2014-09-11,42.817,43.091,42.672,42.799,1014987
2014-09-12,42.857,43.017,42.555,42.59,1021340
2014-09-15,42.75,42.775,42.457,42.608,907991
2014-09-16,42.457,42.881,42.43,42.75,879652
2014-09-17,42.714,43.25,42.59,43.054,750130
2014-09-18,43.076,43.366,42.992,43.33,679916
2014-09-19,43.495,43.904,43.126,43.404,1269243
2014-09-22,43.358,43.358,42.287,42.338,1219348
2014-09-23,42.154,42.422,42.087,42.154,850909
2014-09-24,42.262,42.865,42.096,42.833,1177609
2014-09-25,42.766,43.338,42.324,42.422,1256043
2014-09-26,42.465,42.89,42.465,42.757,967636
2014-09-29,42.396,43.076,42.338,42.926,731525
2014-09-30,42.85,43.069,42.555,42.583,1708672
2014-10-01,42.699,43.091,41.86,42.037,1364926
2014-10-02,42.112,43.278,42.018,43.054,1537502
2014-10-03,43.572,44.628,43.53,44.437,2178281
2014-10-06,44.494,44.87,44.241,44.294,1482630
2014-10-07,44.014,44.199,43.614,43.619,872072
2014-10-08,43.68,44.662,43.68,44.536,1040432
2014-10-09,44.536,45.515,44.333,44.861,1781192
2014-10-10,44.662,45.324,43.67,43.699,1346487
2014-10-13,43.485,44.421,43.135,43.839,2000789
2014-10-14,43.647,44.559,43.485,44.393,1411914
2014-10-15,43.975,43.975,42.499,43.278,3141055
2014-10-16,42.664,43.404,42.564,43.278,1871229
2014-10-17,43.67,43.748,42.919,43.423,1427552
2014-10-20,43.351,44.158,43.305,44.158,1564588
2014-10-21,41.762,42.766,40.653,41.585,4849584
2014-10-22,41.978,42.246,41.5,41.541,1242144
2014-10-23,41.633,42.262,41.633,41.929,1158443
2014-10-24,41.937,43.082,41.811,42.992,1687364
2014-10-27,42.909,43.351,42.909,43.161,1223393
2014-10-28,43.536,44.047,43.351,44.032,866705
2014-10-29,43.896,44.04,43.469,43.748,690507
2014-10-30,43.731,44.318,43.614,44.115,425012
2014-10-31,44.494,44.996,44.494,44.971,837122
2014-11-03,44.978,45.263,44.167,44.333,1037439
2014-11-04,44.374,45.515,44.333,45.234,1531864
2014-11-05,45.7,45.767,44.838,44.947,969674
2014-11-06,44.955,45.483,44.677,45.254,1032345
2014-11-07,45.188,45.483,44.737,45.382,1349896
2014-11-10,45.34,46.447,45.234,46.162,1575357
2014-11-11,46.272,46.321,45.677,45.894,983494
2014-11-12,45.658,46.129,45.483,45.958,966361
2014-11-13,46.086,46.413,45.922,46.247,1092254
2014-11-14,46.162,46.337,45.558,45.717,802188
2014-11-17,45.784,45.958,45.139,45.241,616918
2014-11-18,45.206,45.558,45.173,45.244,672648
2014-11-19,45.154,45.727,45.02,45.502,825810
2014-11-20,45.315,46.059,45.315,45.558,938937
2014-11-21,46.003,46.038,45.315,45.617,875798
2014-11-24,45.591,46.279,45.558,46.17,857390
2014-11-25,46.321,46.782,46.212,46.63,1344294
2014-11-26,46.809,46.873,46.413,46.581,629277
2014-11-28,46.782,47.72,46.548,47.226,444211
2014-12-01,47.402,47.586,46.91,47.111,834266
2014-12-02,47.293,47.569,46.782,46.933,989527
2014-12-03,46.933,47.658,46.747,47.634,1071617
2014-12-04,47.716,48.357,47.397,47.927,994034
2014-12-05,48.079,48.416,47.775,48.079,612304
2014-12-08,47.775,48.476,47.665,48.19,811881
2014-12-09,47.59,48.036,47.169,47.843,1104748
2014-12-10,47.463,48.105,46.688,46.774,1102529
2014-12-11,47.111,47.724,46.825,47.104,901424
2014-12-12,47.057,47.935,46.774,47.126,810830
2014-12-15,47.488,47.825,46.837,47.681,861333
2014-12-16,47.581,47.868,47.018,47.044,1273054
2014-12-17,47.463,47.792,46.837,47.658,1391006
2014-12-18,48.054,48.357,47.563,48.347,948390
2014-12-19,48.391,48.694,48.054,48.121,1173954
2014-12-22,48.29,49.47,48.162,49.47,1352071
2014-12-23,49.487,50.083,49.487,49.656,747226
2014-12-24,49.408,50.144,49.344,49.495,231761
2014-12-26,49.545,49.872,49.47,49.712,639372
2014-12-29,49.554,50.372,49.526,49.882,623348
2014-12-30,49.882,50.262,49.416,49.58,408847
2014-12-31,49.79,50.159,49.416,49.454,967768
2015-01-02,49.857,50.159,49.108,49.517,700901
2015-01-05,49.183,49.656,48.876,49.2,721418
2015-01-06,49.3,49.464,47.8,48.391,1734591
2015-01-07,48.802,50.816,48.566,50.699,2251017
2015-01-08,51.034,51.794,50.8,51.087,1475051
2015-01-09,51.171,51.534,50.807,51.214,909979
2015-01-12,51.475,51.769,51.12,51.179,1167908
2015-01-13,51.879,52.243,51.062,51.591,1574851
2015-01-14,51.239,51.534,50.816,51.281,845896
2015-01-15,51.246,51.475,50.219,50.521,1041838
2015-01-16,50.338,51.312,50.159,51.264,898176
2015-01-20,50.776,51.482,50.566,51.195,1026529
2015-01-21,51.043,51.357,50.909,51.186,901593
2015-01-22,51.583,52.292,51.322,52.089,1330227
2015-01-23,52.234,52.621,52.089,52.274,1208478
2015-01-26,52.324,52.847,52.224,52.378,1518347
2015-01-27,51.801,52.158,51.542,51.93,1141643
2015-01-28,51.769,52.073,50.159,51.003,3359880
2015-01-29,51.426,51.426,50.136,50.512,1582445
2015-01-30,50.287,50.287,49.004,49.232,2007770
2015-02-02,49.09,49.174,47.571,48.636,1999651
2015-02-03,48.694,49.148,48.222,48.802,1909622
2015-02-04,48.729,50.472,48.729,50.252,2359958
2015-02-05,50.531,50.604,49.956,49.965,1255543
2015-02-06,49.899,50.355,49.764,50.159,1579100
2015-02-09,49.891,50.243,49.464,49.665,1031609
2015-02-10,49.934,50.457,49.729,50.355,1900609
2015-02-11,50.457,50.986,50.144,50.329,706962
2015-02-12,49.948,50.186,49.408,50.002,1151780
2015-02-13,49.891,49.916,49.224,49.849,1024318
2015-02-17,50.01,50.421,49.849,50.194,893742
2015-02-18,50.386,52.342,50.363,52.324,2124461
2015-02-19,52.529,53.42,52.529,53.186,1526365
2015-02-20,53.133,53.133,52.149,52.486,1269083
2015-02-23,52.283,52.865,51.82,51.902,1329577
2015-02-24,52.131,52.174,51.475,51.777,1185521
2015-02-25,51.777,52.139,51.23,51.568,1166834
2015-02-26,51.703,51.703,50.851,51.003,973060
2015-02-27,50.909,51.003,50.019,50.1,1398431
2015-03-02,50.269,51.079,50.177,50.521,980418
2015-03-03,50.559,50.559,49.587,50.136,1065393
2015-03-04,49.847,49.94,49.042,49.204,1610002
2015-03-05,49.279,49.804,49.119,49.678,763188
2015-03-06,49.322,49.507,48.711,48.841,1398683
2015-03-09,49.229,50.379,49.161,50.057,1609294
2015-03-10,49.795,49.923,49.142,49.524,1671542
2015-03-11,49.923,49.94,48.959,49.076,1029907
2015-03-12,49.204,51.167,49.142,50.904,1425967
2015-03-13,50.794,51.675,50.786,51.413,1875660
2015-03-16,51.66,52.192,51.413,51.607,933401
2015-03-17,51.432,51.634,51.008,51.423,914147
2015-03-18,51.319,51.472,50.685,51.1,842801
2015-03-19,51.21,51.793,50.929,50.955,671759
2015-03-20,51.413,52.159,51.395,52.021,1577047
2015-03-23,52.132,52.371,51.589,51.8,1156295
2015-03-24,51.616,52.192,51.453,51.886,856620
2015-03-25,51.988,52.335,51.48,51.498,1281743
2015-03-26,51.048,51.319,50.568,50.82,610219
2015-03-27,51.048,51.752,50.744,51.295,1051285
2015-03-30,51.38,51.98,51.372,51.516,615181
2015-03-31,51.66,52.691,51.395,52.113,1361476
2015-04-01,52.012,52.049,51.065,51.8,1102433
2015-04-02,51.793,52.472,51.328,52.335,1271584
2015-04-06,51.988,52.276,51.278,51.395,1652407
2015-04-07,51.541,51.541,49.727,49.933,1989267
2015-04-08,50.04,51.337,50.026,51.236,1366436
2015-04-09,51.752,52.132,51.057,51.372,852032
2015-04-10,51.598,52.012,51.432,51.625,819411
2015-04-13,51.446,51.947,51.354,51.472,789055
2015-04-14,51.557,51.717,50.458,51.024,1082940
2015-04-15,51.03,51.38,50.303,50.356,1182917
2015-04-16,50.652,51,50.235,50.414,1011745
2015-04-17,50.177,50.186,49.236,49.635,1867979
2015-04-20,49.813,50.431,49.551,49.964,2736891
2015-04-21,48.795,49.322,47.984,48.12,4562305
2015-04-22,47.942,48.424,47.552,48.213,1922623
2015-04-23,48.12,48.731,47.687,48.56,1415338
2015-04-24,48.804,48.95,48.439,48.757,980065
2015-04-27,48.786,49.067,48.087,48.169,1112946
2015-04-28,48.189,48.567,47.704,48.476,934581
2015-04-29,47.613,48.087,46.619,47.916,3320411
2015-04-30,47.656,47.813,46.809,46.875,1776317
2015-05-01,47.12,47.662,46.894,47.613,1267683
2015-05-04,47.908,48.299,47.029,47.077,1107749
2015-05-05,46.994,46.994,46.004,46.046,1173071
2015-05-06,46.173,46.173,45.436,45.748,1835814
2015-05-07,45.875,46.809,45.784,46.528,1084645
2015-05-08,47.037,47.527,46.698,46.809,931625
2015-05-11,46.722,46.756,46.096,46.14,1221265
2015-05-12,45.85,46.282,45.005,46.032,1373907
2015-05-13,46.046,46.188,45.824,46.013,1069357
2015-05-14,46.73,47.18,46.196,46.856,2380865
2015-05-15,47.047,47.068,46.698,46.831,924900
2015-05-18,46.682,46.856,46.267,46.756,971399
2015-05-19,46.92,47.297,46.698,47.214,892017
2015-05-20,47.114,47.52,46.775,47.25,732593
2015-05-21,47.004,47.433,46.926,47.315,632780
2015-05-22,47.358,47.813,47.223,47.484,1110226
2015-05-26,47.502,47.662,46.903,47.12,1232884
2015-05-27,47.367,47.782,47.106,47.511,948166
2015-05-28,47.638,47.782,46.911,47.052,869480
2015-05-29,47.004,47.019,46.046,46.716,1687963
2015-06-01,46.866,47.424,46.619,47.376,1259302
2015-06-02,47.274,47.901,46.967,47.646,1426932
2015-06-03,47.806,48.179,47.323,48.061,1101015
2015-06-04,48.026,48.323,47.74,47.977,936705
2015-06-05,48.026,48.29,47.569,48.228,872923
2015-06-08,48.152,48.486,47.916,47.951,812326
2015-06-09,47.79,48.136,47.385,47.892,737390
2015-06-10,47.951,48.783,47.832,48.223,930157
2015-06-11,48.23,49.091,48.223,48.868,1210578
2015-06-12,48.838,49.354,48.588,49.013,763758
2015-06-15,48.726,49.091,48.191,49.04,943944
2015-06-16,48.868,48.895,48.462,48.828,777628
2015-06-17,48.838,49.251,48.554,49.168,485311
2015-06-18,49.278,49.551,49.065,49.261,647749
2015-06-19,49.219,49.514,48.955,49.109,1171493
2015-06-22,49.411,49.671,49.202,49.663,685009
2015-06-23,50.077,50.419,49.449,49.685,1761655
2015-06-24,49.459,49.756,48.885,48.965,1021285
2015-06-25,49.467,50.462,49.467,49.865,1940071
2015-06-26,50.257,50.257,49.411,50.02,1652574
2015-06-29,49.796,49.925,48.691,48.699,1078404
2015-06-30,48.928,49.398,48.564,49.049,1052592
2015-07-01,49.78,49.78,49.133,49.286,1030684
2015-07-02,49.577,49.653,48.776,48.955,777038
2015-07-06,48.615,49.013,48.505,48.987,1371776
2015-07-07,49.202,49.524,48.606,49.506,1520578
2015-07-08,49.202,49.839,49.058,49.133,1489083
2015-07-09,49.653,49.957,49.459,49.56,1018696
2015-07-10,50.197,50.197,49.671,49.78,712397
2015-07-13,50.391,50.391,49.814,50.213,1748954
2015-07-14,50.103,50.47,49.625,49.899,878683
2015-07-15,50.139,50.189,49.371,49.43,861532
2015-07-16,50.043,50.154,49.371,49.663,939948
2015-07-17,49.585,49.599,48.442,48.664,1102970
2015-07-20,48.699,49.219,48.505,48.783,792436
2015-07-21,48.706,49.109,48.427,49.013,661852
2015-07-22,49.133,50.649,48.965,50.368,1330290
2015-07-23,50.674,50.862,49.176,49.227,1027272
2015-07-24,49.381,49.532,48.061,48.342,893400
2015-07-27,47.977,48.442,47.908,48.137,894927
2015-07-28,48.265,48.699,47.661,48.442,675721
2015-07-29,48.808,50.011,48.744,49.764,1160325
2015-07-30,49.645,50.334,49.398,50.093,1147870
2015-07-31,50.139,51.337,50.028,50.963,1315711
2015-08-03,50.705,50.784,49.865,50.342,1982634
2015-08-04,50.538,50.538,49.865,50.368,1544086
2015-08-05,50.8,51.286,50.171,50.485,2404461
2015-08-06,48.496,49.303,46.676,48.053,4758481
2015-08-07,47.748,47.985,47.168,47.841,2183958
2015-08-10,48.199,48.529,47.143,47.219,1157274
2015-08-11,46.794,47.51,46.758,47.262,966015
2015-08-12,46.676,47.874,46.258,47.796,1567126
2015-08-13,47.686,48.496,47.686,47.813,1420320
2015-08-14,47.739,48.24,47.534,47.677,797372
2015-08-17,47.21,47.822,46.962,47.73,968978
2015-08-18,47.883,48.283,47.458,47.558,718154
2015-08-19,47.329,47.558,46.598,47.279,1176548
2015-08-20,46.803,47.092,46.282,46.343,1037501
2015-08-21,46.25,46.446,44.75,45.873,2375194
2015-08-24,48.265,48.265,43.161,44.94,2125118
2015-08-25,45.722,46.003,44.922,44.932,2078296
2015-08-26,45.949,46.25,44.667,45.8,2356507
2015-08-27,46.148,46.401,45.331,46.068,1247544
2015-08-28,46.059,46.385,45.755,46.148,1104498
2015-08-31,45.943,46.078,45.185,45.202,1265054
2015-09-01,44.517,45.118,44.157,44.667,1902457
2015-09-02,45.13,45.73,45.13,45.556,1364002
2015-09-03,45.626,46.309,45.626,46.087,1431172
2015-09-04,45.531,45.942,45.291,45.659,1438181
2015-09-08,46.242,46.413,45.507,46.259,1542853
2015-09-09,46.568,46.977,45.745,45.892,963423
2015-09-10,45.618,46.472,45.608,46.149,697825
2015-09-11,45.993,46.977,45.864,46.935,657351
2015-09-14,46.996,47.184,46.233,46.319,916460
2015-09-15,46.302,46.977,46.078,46.679,759102
2015-09-16,46.616,46.817,46.087,46.466,1059565
2015-09-17,46.49,47.015,46.379,46.705,763629
2015-09-18,46.053,46.448,45.086,45.154,1759906
2015-09-21,45.273,45.694,44.982,45.077,1394142
2015-09-22,44.709,45.49,44.467,45.454,1447295
2015-09-23,45.522,45.736,45.025,45.368,699645
2015-09-24,44.951,45.242,44.524,44.966,1016243
2015-09-25,45.31,45.73,44.904,45.077,681766
2015-09-28,45.017,45.163,44.109,44.448,1080907
2015-09-29,44.291,44.667,43.966,44.444,1298229
2015-09-30,44.854,45.282,44.804,45.086,1689578
2015-10-01,44.914,45.188,43.794,43.956,1708391
2015-10-02,43.621,44.429,43.134,44.429,1826612
2015-10-05,44.684,45.172,44.093,44.951,1303735
2015-10-06,44.992,45.246,44.761,44.934,1330474
2015-10-07,44.128,44.941,43.631,44.506,2987228
2015-10-08,44.238,45.522,44.238,44.751,1221829
2015-10-09,44.597,44.795,44.085,44.246,1580236
2015-10-12,44.246,44.741,44.179,44.516,996583
2015-10-13,44.169,44.966,44.068,44.422,847888
2015-10-14,44.532,44.539,43.298,43.511,1594252
