Date,Open,High,Low,Close,Volume
2014-06-02,20.1218,20.2105,19.97,20.0331,19332003.36693
2014-06-03,20.0173,20.2025,19.9443,20.0064,21721234.652208
2014-06-04,19.9936,20.1297,19.8054,20.0173,16687272.752171
2014-06-05,20.1021,20.1021,19.8685,20.0695,30309537.734913
2014-06-06,20.1779,20.1858,19.6398,19.7196,53976283.652442
2014-06-09,19.4801,19.7315,19.2416,19.6704,55773737.065612
2014-06-10,19.3037,19.3688,19.1144,19.1461,90711993.21544
2014-06-11,19.1548,19.4013,19.1027,19.3766,38597231.347882
2014-06-12,19.3895,19.4881,19.2416,19.2663,34268276.207091
2014-06-13,19.3569,19.5491,19.287,19.4574,22885391.818567
2014-06-16,19.4073,19.5087,19.3382,19.4407,19426662.623231
2014-06-17,19.4013,19.5284,19.3569,19.4654,21782474.254894
2014-06-18,19.5166,19.7354,19.3866,19.7039,23244789.56173
2014-06-19,19.7196,19.761,19.6398,19.6782,30064040.559338
2014-06-20,19.7354,19.7403,19.42,19.5767,46807393.556048
2014-06-23,19.628,19.7039,19.4013,19.5964,23749897.319337
2014-06-24,19.5964,19.6358,19.3491,19.3836,29250958.183364
2014-06-25,19.3116,19.6398,19.3116,19.5688,22536480.204498
2014-06-26,19.6398,19.7078,19.4535,19.628,20355035.600354
2014-06-27,19.6704,19.9089,19.6122,19.8685,27835169.430544
2014-06-30,19.9129,19.9129,19.761,19.8616,26742171.83631
2014-07-01,19.9129,20.106,19.8646,20.037,22207638.848737
2014-07-02,20.0498,20.1524,20.037,20.0577,23554175.520744
2014-07-03,20.2184,20.2666,20.0863,20.2105,11624068.401566
2014-07-07,20.2065,20.2252,20.0824,20.1297,18195215.657013
2014-07-08,20.0824,20.1415,19.8419,19.9089,32965726.487637
2014-07-09,19.9572,20.2065,19.8419,20.2065,21235586.349842
2014-07-10,19.9246,20.0537,19.7354,19.97,20987127.48962
2014-07-11,20.2341,20.5653,20.2341,20.4342,35014762.785362
2014-07-14,20.3356,20.3593,20.106,20.3002,23697862.376849
2014-07-15,20.4136,20.4303,20.0498,20.1572,23793698.595874
2014-07-16,20.2459,20.308,20.0331,20.1178,34749358.705787
2014-07-17,20.2459,20.5693,20.1651,20.2459,54708479.265229
2014-07-18,20.2184,20.4874,20.0695,20.4263,32635690.920561
2014-07-21,20.3593,20.5771,20.2499,20.5121,25008302.819666
2014-07-22,20.581,20.7486,20.516,20.6501,26271224.407136
2014-07-23,20.6501,20.9161,20.581,20.8916,34985744.566484
2014-07-24,20.8382,21.2286,20.8382,21.1181,40960588.731075
2014-07-25,20.9408,21.068,20.8472,20.928,28356805.397433
2014-07-28,20.9939,21.064,20.7239,21.0019,23698329.103446
2014-07-29,21.0019,21.1783,20.928,21.1114,30283110.863274
2014-07-30,21.1369,21.2611,20.932,21.1181,22958094.632333
2014-07-31,21.0059,21.0531,20.8916,20.9605,29020122.310683
2014-08-01,20.8796,20.9939,20.6865,20.8432,32372527.128653
2014-08-04,20.7949,21.0807,20.7289,21.0531,30242717.70552
2014-08-05,21.0305,21.1537,20.9575,21.1291,27716796.404605
