Date,Open,High,Low,Close,Volume
2014-06-02,157.437,158.612,156.037,158.208,653939.41870626
2014-06-03,157.447,157.841,155.525,155.564,569704.92844503
2014-06-04,154.982,158.158,154.982,158.01,831270.75759225
2014-06-05,158,158.612,157.299,158.208,776432.44331045
2014-06-06,158.552,160.287,158.158,159.725,994778.68340429
2014-06-09,159.4,160.702,159.046,159.508,932128.63477364
2014-06-10,158.829,161.175,158.829,159.725,1782123.0131997
2014-06-11,160.296,160.899,159.193,159.331,948987.29656968
2014-06-12,159.153,160.967,158.425,160.346,1867018.7069913
2014-06-13,160.346,163.028,159.676,162.941,1463272.8223541
2014-06-16,162.694,164.024,162.467,163.532,688248.98595143
2014-06-17,163.028,164.842,163.028,163.58,1021157.8647468
2014-06-18,164.211,165.129,163.186,164.952,813847.23327093
2014-06-19,165.011,165.199,163.542,163.917,866501.14202407
2014-06-20,164.478,165.79,162.477,165.434,1932850.0370257
2014-06-23,165.217,165.484,163.158,165.316,774384.94342076
2014-06-24,165.277,166.185,164.448,165.631,1529292.7779354
2014-06-25,166.027,167.545,164.201,164.795,923985.28454371
2014-06-26,164.882,166.224,161.806,165.02,1709315.5802723
2014-06-27,164.852,166.666,161.322,166.135,1151329.7745242
2014-06-30,166.105,167.071,165.189,166.115,838683.94441427
2014-07-01,166.913,169.251,166.826,168.019,816249.67370613
2014-07-02,168.423,169.518,167.023,167.505,635606.23247257
2014-07-03,167.959,169.626,167.278,168.403,537517.90566204
2014-07-07,167.919,169.311,167.25,167.831,512720.74503663
2014-07-08,167.722,168.403,163.985,165.848,1164979.7737888
2014-07-09,166.105,168.156,165.227,168.087,1003786.0603336
2014-07-10,164.902,167.851,163.699,167.269,870198.60839247
2014-07-11,167.545,168.009,166.629,167.2,344152.38116143
2014-07-14,168.029,168.294,166.776,166.973,793298.20391739
2014-07-15,167.003,167.959,166.135,167.24,465449.76318516
2014-07-16,167.722,167.722,165.267,166.065,515651.53982673
2014-07-17,165.76,166.449,164.281,164.902,398383.24005249
2014-07-18,173.047,173.047,165.651,166.579,419915.96177502
2014-07-21,166.105,166.913,164.942,166.342,316835.14266288
2014-07-22,166.836,169.291,166.736,168.56,629022.59241122
2014-07-23,168.916,170.828,167.999,170.404,732496.88847095
2014-07-24,169.586,172.001,168.54,171.677,804067.10006827
2014-07-25,170.711,172.821,170.474,172.387,1119706.6001507
2014-07-28,172.001,173.639,171.371,171.854,1457920.3189277
2014-07-29,172.199,172.199,169.833,170.06,644147.11611347
2014-07-30,169.665,172.208,169.665,170.581,571466.44766662
2014-07-31,170.798,174.646,166.055,169.645,1900090.0387906
2014-08-01,168.877,170,165.504,167.17,781333.66518607
2014-08-04,167.417,168.029,165.484,167.437,624298.84080836
2014-08-05,166.923,167.959,165.227,166.539,581116.77404121
2014-08-06,165.356,166.312,164.685,165.227,386933.87217008
2014-08-07,166.282,167.357,164.114,165.741,328617.14054224
2014-08-08,166.342,166.619,164.785,166.342,621945.07793369
2014-08-11,166.459,168.57,165.514,167.16,911655.66410843
2014-08-12,166.993,168.413,166.065,168.116,552207.37366707
2014-08-13,168.176,170.297,167.367,169.912,449189.42973727
2014-08-14,170.307,172.131,169.626,172.051,457829.6967309
2014-08-15,172.889,172.889,170.08,171.549,492168.67333557
2014-08-18,172.387,174.339,171.292,173.875,697494.68010412
2014-08-19,173.797,175.374,171.242,174.546,431205.09935403
2014-08-20,174.319,174.556,173.166,174.269,532200.89629025
2014-08-21,174.713,177.505,173.708,176.784,563743.9555121
2014-08-22,176.774,177.475,175.02,176.193,1219310.0160327
2014-08-25,177.238,177.238,174.102,175.295,319694.94934387
2014-08-26,175.02,175.799,171.322,171.785,758895.33801456
2014-08-27,173.028,173.028,171.282,171.904,486853.69219546
2014-08-28,171.617,171.804,170.217,170.967,549133.58854291
2014-08-29,172.031,173.057,170.976,172.613,562841.39241065
2014-09-02,172.071,173.945,172.041,173.52,802064.22127573
2014-09-03,173.206,173.925,171.894,173.373,691003.32458461
2014-09-04,172.859,173.965,172.465,172.919,546163.24323489
2014-09-05,172.632,174.102,172.465,173.422,1044310.1294728
2014-09-08,173.037,173.905,172.228,173.086,807849.7521676
2014-09-09,172.465,172.909,170.868,171.371,437642.7067338
2014-09-10,172.011,172.742,170.888,172.19,568761.80070981
2014-09-11,171.371,172.228,170.197,171.706,436999.75728851
2014-09-12,171.933,172.425,169.152,171.381,664150.55114276
2014-09-15,171.213,171.539,169.734,170.514,427953.84395713
2014-09-16,170.345,172.555,170.187,171.312,843373.21607842
2014-09-17,171.559,172.485,170.504,171.381,1646685.8139585
2014-09-18,171.362,173.303,171.005,173.244,660748.19248506
2014-09-19,173.865,175.04,171.814,171.973,1490911.5355753
2014-09-22,171.125,171.252,168.019,169.448,524390.17605727
2014-09-23,166.105,167.979,165.434,165.484,751908.07984716
2014-09-24,165.04,166.422,164.508,166.115,1087128.1286518
2014-09-25,166.085,166.282,162.724,163.098,671592.1332084
2014-09-26,163.018,166.243,162.507,165.83,743543.65236317
2014-09-29,164.685,167.752,163.759,167.722,611951.98040371
2014-09-30,167.525,168.867,166.322,167.999,750888.89342361
2014-10-01,167.959,167.959,162.397,163.196,1479958.0703408
2014-10-02,163.522,164.054,160.456,161.846,829098.52145372
2014-10-03,162.447,165.958,162.16,165.109,515678.92095451
2014-10-06,165.76,166.332,162.831,163.285,690171.74959226
2014-10-07,162.063,162.762,159.685,159.992,558529.37184059
2014-10-08,159.892,163.65,159.173,163.423,840714.2043346
2014-10-09,163.393,164.014,158.058,158.669,839036.85672809
2014-10-10,158.158,159.026,153.128,153.523,1391805.0364571
2014-10-13,153.888,155.446,152.271,152.536,877299.44753443
2014-10-14,153.296,155.209,152.606,155.179,1088324.7853482
2014-10-15,152.823,155.367,150.605,152.941,1066388.4455195
2014-10-16,152.695,153.849,150.248,151.985,628238.68086355
2014-10-17,155.416,164.952,154.341,163.186,1612648.0297596
2014-10-20,162.28,163.966,158.966,161.027,1070673.0849618
2014-10-21,161.619,164.992,161.481,163.719,801638.29262112
2014-10-22,163.532,164.084,158.255,158.522,1914389.0721955
2014-10-23,161.501,163.58,160.523,162.497,1061716.4138246
2014-10-24,160.396,160.663,157.832,160.159,1124153.4981281
2014-10-27,160.002,160.928,156.541,157.754,1131303.0148305
2014-10-28,158.452,159.321,157.734,158.612,1513910.6688088
2014-10-29,159.114,160.239,155.781,158.138,1535908.8697038
2014-10-30,159.785,170.818,157.803,170.404,1997016.1888435
2014-10-31,173.086,173.293,170.05,171.667,1076730.3988999
2014-11-03,171.617,173.313,170.976,173.235,1653570.6464257
2014-11-04,172.613,173.708,171.785,173.176,825442.63383492
2014-11-05,174.98,175.473,171.617,174.91,560764.48316147
2014-11-06,175.434,177.298,174.92,176.587,578596.69616806
2014-11-07,177.278,177.278,174.881,175.887,490362.53301682
2014-11-10,175.414,179.753,175.217,179.191,923803.75780759
2014-11-11,179.496,183.164,178.204,182.426,1006048.5527822
2014-11-12,182.079,182.82,180.285,182.583,902330.86891987
2014-11-13,182.573,184.2,182.208,182.396,809698.4853518
2014-11-14,181.833,182.643,181.478,182.513,580426.16115122
2014-11-17,183.114,184.328,181.498,184.298,510908.52002282
2014-11-18,183.875,186.311,183.283,184.988,536467.28164731
2014-11-19,183.953,185.965,182.573,185.472,394178.71576193
2014-11-20,183.914,184.732,181.794,182.898,644192.75132647
2014-11-21,185.531,185.649,181.991,183.805,571613.49446404
2014-11-24,183.855,184.544,181.764,184.505,654750.71138172
2014-11-25,184.121,186.221,184.062,186.152,642418.0485989
2014-11-26,185.738,186.408,184.604,186.093,490840.1815795
