Date,Open,High,Low,Close,Volume
2014-06-02,141.074,141.624,140.494,141.566,568483.42191312
2014-06-03,141.202,141.664,140.661,141.26,415344.01418438
2014-06-04,141.114,142.342,140.406,142.028,500772.5180573
2014-06-05,141.594,144.72,141.448,144.592,554844.16676558
2014-06-06,145.132,145.132,143.531,143.983,396902.93532441
2014-06-09,143.835,144.71,141.074,141.86,461795.22259125
2014-06-10,141.33,142.126,139.835,140.091,482570.56370939
2014-06-11,140.003,140.661,139.059,139.825,422017.11439757
2014-06-12,143.806,143.806,139.236,139.953,652355.07257986
2014-06-13,140.671,140.671,138.804,140.013,534784.16408139
2014-06-16,140.131,140.573,138.617,138.971,476541.57335209
2014-06-17,138.558,140.239,137.998,139.875,571094.45807461
2014-06-18,139.807,141.85,139.217,141.496,635805.62124297
2014-06-19,141.85,143.167,141.143,142.863,731409.63626744
2014-06-20,142.902,143.609,141.694,143.433,891786.8850783
2014-06-23,143.433,144.346,142.863,143.541,486070.93954553
2014-06-24,143.363,144.15,143.079,144.042,406636.82929199
2014-06-25,143.835,144.484,143.835,144.238,549061.42377815
2014-06-26,144.317,144.504,143.423,144.376,499746.82653322
2014-06-27,144.416,145.28,143.895,145.005,684801.72498884
2014-06-30,145.034,145.919,144.081,145.31,1042790.4530163
2014-07-01,145.398,146.557,144.838,145.958,540250.44867201
2014-07-02,145.644,145.742,144.445,145.742,613797.00817325
2014-07-03,145.526,145.526,144.307,145.212,449959.06801975
2014-07-07,145.31,146.096,145.123,146.047,481924.41875126
2014-07-08,146.106,146.783,146.027,146.557,408565.08865521
2014-07-09,146.882,146.882,145.555,146.637,440769.56389878
2014-07-10,146.312,147.698,146.135,147.354,393090.17129591
2014-07-11,147.423,147.718,146.705,147.472,314382.5925386
2014-07-14,147.58,148.67,146.873,148.641,446284.69094293
2014-07-15,148.641,149.201,148.218,148.936,273754.82916377
2014-07-16,149.349,149.388,148.514,148.956,300504.21287899
2014-07-17,148.288,149.28,148.288,148.602,356918.26425435
2014-07-18,148.897,150.293,148.75,150.185,368306.69633518
2014-07-21,150.125,150.125,149.378,149.487,186171.15202894
2014-07-22,150.085,150.656,149.771,150.371,285835.1960029
2014-07-23,150.725,150.852,149.899,150.538,272572.43476796
2014-07-24,150.892,151.354,149.811,151.128,391961.70710921
2014-07-25,150.882,151.344,149.781,149.939,305261.26434234
2014-07-28,149.939,152.081,149.162,151.688,246871.12870134
2014-07-29,151.501,152.071,150.705,150.98,251116.35195378
2014-07-30,150.852,152.425,150.852,151.914,352204.96748895
2014-07-31,150.125,151.442,148.966,148.985,413038.24335743
2014-08-01,149.024,150.784,148.552,149.123,353117.71083924
2014-08-04,149.26,150.636,148.1,150.253,314261.5039559
2014-08-05,149.565,150.509,148.248,148.425,383127.32832743
