Date,Open,High,Low,Close,Volume
2014-06-02,19.4236,19.4743,19.2644,19.4119,11102757.171248
2014-06-03,19.4285,19.7568,19.3581,19.7244,14291559.589969
2014-06-04,19.6669,19.7792,19.5701,19.7665,10066259.31314
2014-06-05,19.6757,19.9209,19.6717,19.8672,22505279.625809
2014-06-06,19.8936,20.0117,19.8037,19.8418,9601032.2072004
2014-06-09,19.7626,19.8622,19.6385,19.6669,9928728.7619822
2014-06-10,19.7187,19.8359,19.6571,19.7089,8495272.1650379
2014-06-11,19.1411,19.5916,18.9448,18.9605,28973133.482098
2014-06-12,18.5794,18.7435,18.4631,18.6019,83729575.552664
2014-06-13,18.6117,19.0073,18.4935,18.9448,30870076.214194
2014-06-16,19.0513,19.3581,19.0073,19.151,30404476.554836
2014-06-17,19.2145,19.3581,19.1715,19.2457,22108523.539657
2014-06-18,19.2203,19.5867,19.2203,19.5437,17180330.615792
2014-06-19,19.5984,19.7665,19.5701,19.7137,15404090.07408
2014-06-20,19.7284,19.7451,19.4333,19.4969,15042451.241697
2014-06-23,19.5984,19.662,19.067,19.2389,13311772.754976
2014-06-24,19.2067,19.2702,19.1411,19.2067,14361101.189089
2014-06-25,19.1715,19.2907,19.106,19.2105,10335416.876654
2014-06-26,19.2585,19.3093,19.0817,19.151,11411426.890683
2014-06-27,19.0727,19.2702,19.0727,19.2457,9015293.28158
2014-06-30,19.3376,19.4686,19.2252,19.3483,11821210.064532
2014-07-01,19.1354,19.2292,18.8549,18.9341,13257622.524869
2014-07-02,18.8549,18.8745,18.2062,18.3459,20947246.897017
2014-07-03,18.2297,18.2297,17.9258,18.0166,15114616.067227
2014-07-07,18.0645,18.3048,18.0479,18.2257,19916548.180871
2014-07-08,18.1769,18.3088,18.1426,18.2013,13630057.218427
2014-07-09,18.2297,18.2824,18.1144,18.17,14296517.416242
2014-07-10,18.1144,18.2824,18.1144,18.2257,14096537.086413
2014-07-11,18.1378,18.2297,17.8838,17.9159,17305384.721393
2014-07-14,18.0059,18.0059,17.4285,17.4441,19307653.627339
2014-07-15,17.4499,17.5359,17.3494,17.4225,17107215.983742
2014-07-16,17.4441,17.4754,17.3063,17.4705,16695818.752908
2014-07-17,17.4128,17.5536,16.9458,16.9458,19026838.416993
2014-07-18,17.0669,17.1587,16.9028,17.0201,19118794.631177
2014-07-21,17.0796,17.1413,16.8911,17.0943,15768119.798736
2014-07-22,17.105,17.1314,16.8471,16.8568,16553425.560829
2014-07-23,16.8852,16.9536,16.8002,16.8471,8614241.572623
2014-07-24,16.6322,16.9409,16.5862,16.8695,11624206.068065
2014-07-25,16.8295,16.9663,16.6429,16.68,6955558.0106969
2014-07-28,16.6586,17.0386,16.6429,16.9458,10715842.022258
2014-07-29,16.9409,16.9995,16.6693,16.6917,11867654.375148
2014-07-30,16.7767,16.7914,16.3625,16.4465,15040060.349424
2014-07-31,16.4045,16.7026,16.3341,16.4827,17415762.883369
2014-08-01,16.5169,17.0152,16.4924,16.727,18353706.033076
2014-08-04,16.7163,16.7163,16.2619,16.6322,19004853.671255
2014-08-05,16.5912,16.7377,16.4632,16.512,12602252.95577
2014-08-06,16.4632,16.5745,16.297,16.5374,21515283.394227
2014-08-07,16.5804,16.8667,16.5511,16.7377,13654284.449168
2014-08-08,16.7601,17.0503,16.7377,17.0338,11252438.695468
2014-08-11,17.0669,17.148,16.9761,17.0298,9344685.7732188
2014-08-12,17.0055,17.0552,16.8667,16.9028,9372148.2824182
2014-08-13,16.9136,16.9888,16.7807,16.8461,6482511.3769446
2014-08-14,16.8969,17.0953,16.8695,17.0465,6066228.9882246
