Date,Open,High,Low,Close,Volume
2014-06-02,5.668,5.718,5.576,5.644,460090
2014-06-03,5.634,5.664,5.546,5.614,503605
2014-06-04,5.578,5.674,5.544,5.65,548865
2014-06-05,5.644,5.844,5.604,5.828,668215
2014-06-06,5.866,5.898,5.7884,5.882,745630
2014-06-09,5.89,5.898,5.844,5.888,327230
2014-06-10,5.868,5.89,5.834,5.864,377500
2014-06-11,5.808,5.854,5.754,5.8,294120
2014-06-12,5.782,5.788,5.718,5.758,418985
2014-06-13,5.79,5.796,5.668,5.71,487095
2014-06-16,5.718,5.772,5.634,5.77,451650
2014-06-17,5.758,5.862,5.742,5.832,693610
2014-06-18,5.842,5.898,5.818,5.878,439450
2014-06-19,5.88,5.9,5.832,5.864,499830
2014-06-20,5.9,5.9,5.828,5.87,951940
2014-06-23,5.896,5.896,5.716,5.758,475325
2014-06-24,5.824,5.84,5.702,5.712,457305
2014-06-25,5.702,5.766,5.682,5.744,360075
2014-06-26,5.752,5.782,5.6826,5.77,392340
2014-06-27,5.72,5.9,5.72,5.894,3422895
2014-06-30,5.894,5.9,5.814,5.89,647550
2014-07-01,5.9,6.098,5.871,6.038,925550
2014-07-02,6.038,6.098,5.99,6.018,589000
2014-07-03,6.032,6.092,6.002,6.05,271770
2014-07-07,6.046,6.082,5.99,6.022,551485
2014-07-08,6.022,6.056,5.956,6.052,721400
2014-07-09,6.08,6.08,6.008,6.062,507490
2014-07-10,5.984,6.038,5.88,5.934,524055
2014-07-11,5.938,5.9652,5.855,5.906,536000
2014-07-14,5.976,5.976,5.9,5.97,474155
2014-07-15,5.982,5.982,5.862,5.888,337660
2014-07-16,5.914,5.914,5.818,5.858,500395
2014-07-17,5.818,5.858,5.71,5.738,546835
2014-07-18,5.718,5.876,5.666,5.864,598335
2014-07-21,5.816,5.816,5.712,5.78,857040
2014-07-22,5.814,5.906,5.752,5.896,830910
2014-07-23,5.9,6.036,5.88,6.01,637125
2014-07-24,5.984,6.072,5.946,6,748980
2014-07-25,5.982,6.018,5.908,5.964,713825
2014-07-28,5.992,6.002,5.852,5.882,571505
2014-07-29,5.912,6.0704,5.774,5.806,771155
2014-07-30,5.842,5.876,5.772,5.778,599525
2014-07-31,5.708,5.744,5.604,5.61,502855
2014-08-01,5.624,5.656,5.552,5.556,752535
2014-08-04,5.562,5.654,5.56,5.604,1004470
2014-08-05,5.562,5.648,5.54,5.572,556170
2014-08-06,5.52,5.596,5.504,5.564,608240
2014-08-07,5.578,5.592,5.494,5.516,263130
2014-08-08,5.51,5.576,5.465,5.566,371585
2014-08-11,5.594,5.7,5.5896,5.638,327760
2014-08-12,5.636,5.646,5.49,5.564,482140
2014-08-13,5.566,5.654,5.55,5.586,559710
2014-08-14,5.594,5.6424,5.542,5.594,411330
2014-08-15,5.65,5.652,5.488,5.558,480160
2014-08-18,5.614,5.663,5.59,5.658,391470
2014-08-19,5.67,5.706,5.648,5.658,208245
2014-08-20,5.632,5.636,5.54,5.568,318210
2014-08-21,5.568,5.658,5.518,5.644,387810
2014-08-22,5.638,5.638,5.578,5.604,268345
2014-08-25,5.622,5.658,5.514,5.534,350810
2014-08-26,5.556,5.586,5.47,5.514,365905
2014-08-27,5.51,5.51,5.444,5.468,272925
2014-08-28,5.438,5.44,5.382,5.392,235725
2014-08-29,5.392,5.476,5.35,5.454,407990
2014-09-02,5.49,5.522,5.438,5.484,334410
2014-09-03,5.496,5.536,5.35,5.378,549935
2014-09-04,5.384,5.434,5.256,5.276,1208835
2014-09-05,5.252,5.318,5.216,5.28,782130
2014-09-08,5.292,5.3256,5.182,5.272,910240
2014-09-09,5.276,5.322,5.154,5.172,667540
2014-09-10,5.164,5.25,5.164,5.222,586930
2014-09-11,5.2,5.258,5.178,5.24,629395
2014-09-12,5.258,5.258,5.16,5.226,716135
2014-09-15,5.242,5.266,5.138,5.2,442070
2014-09-16,5.178,5.234,5.118,5.204,500445
2014-09-17,5.196,5.224,5.124,5.154,460350
2014-09-18,5.188,5.25,5.158,5.196,433245
2014-09-19,5.204,5.228,5.156,5.16,1148160
2014-09-22,5.132,5.156,5.054,5.114,587900
2014-09-23,5.11,5.132,5.04,5.058,683135
2014-09-24,5.074,5.09,5.02,5.038,595360
2014-09-25,5.018,5.04,4.924,4.974,852440
2014-09-26,4.98,5.01,4.966,4.986,763935
2014-09-29,4.908,4.992,4.908,4.942,696690
2014-09-30,4.928,4.968,4.876,4.882,1246390
2014-10-01,4.874,4.922,4.84,4.872,839460
2014-10-02,4.868,4.956,4.848,4.886,443945
2014-10-03,4.938,4.962,4.892,4.95,1460130
2014-10-06,4.926,4.992,4.924,4.958,608715
2014-10-07,4.93,4.974,4.898,4.902,447955
2014-10-08,4.88,4.988,4.858,4.974,563270
2014-10-09,4.974,5.01,4.88,4.894,513040
2014-10-10,4.894,5.05,4.889,5,850395
2014-10-13,5.01,5.068,4.958,5.028,1328135
2014-10-14,5.09,5.256,5.03,5.222,1553220
2014-10-15,5.146,5.304,4.994,5.274,1085305
2014-10-16,5.224,5.302,5.222,5.278,1027945
2014-10-17,5.354,5.354,5.23,5.258,916120
2014-10-20,5.24,5.278,5.174,5.218,708205
2014-10-21,5.238,5.28,5.212,5.26,486385
2014-10-22,5.354,5.354,5.122,5.16,394860
2014-10-23,5.196,5.3,5.196,5.29,709065
2014-10-24,5.302,5.322,5.264,5.304,438665
2014-10-27,5.286,5.33,5.244,5.312,421870
2014-10-28,5.344,5.516,5.2524,5.514,784870
2014-10-29,5.532,5.6,5.48,5.517,409860
2014-10-30,5.598,5.802,5.496,5.584,998125
2014-10-31,5.74,5.748,5.574,5.598,770590
2014-11-03,5.582,5.694,5.538,5.682,1288780
2014-11-04,5.672,5.8,5.672,5.794,691025
2014-11-05,5.818,5.818,5.718,5.774,555035
2014-11-06,5.772,5.796,5.76,5.786,372030
2014-11-07,5.796,5.799,5.694,5.738,374835
2014-11-10,5.746,5.792,5.728,5.784,418845
2014-11-11,5.772,5.832,5.71,5.756,588450
2014-11-12,5.752,5.798,5.724,5.784,292560
2014-11-13,5.778,5.798,5.696,5.73,268015
2014-11-14,5.732,5.78,5.638,5.722,461800
2014-11-17,5.644,5.696,5.594,5.594,318660
2014-11-18,5.61,5.664,5.498,5.556,307600
2014-11-19,5.542,5.583,5.446,5.468,323900
2014-11-20,5.426,5.51,5.426,5.492,355100
2014-11-21,5.57,5.683,5.442,5.528,919095
2014-11-24,5.56,5.608,5.536,5.592,497715
2014-11-25,5.596,5.68,5.526,5.572,496080
2014-11-26,5.6056,5.6238,5.534,5.622,446560
2014-11-28,5.55,5.68,5.49,5.606,353815
2014-12-01,5.6118,5.6118,5.475,5.492,826210
2014-12-02,5.508,5.626,5.478,5.524,1230275
2014-12-03,5.542,5.678,5.484,5.64,791485
2014-12-04,5.684,5.692,5.582,5.654,609450
2014-12-05,5.652,5.73,5.652,5.72,814620
2014-12-08,5.7,5.792,5.6,5.644,684450
2014-12-09,5.578,5.692,5.54,5.682,619910
2014-12-10,5.662,5.738,5.562,5.588,566865
2014-12-11,5.614,5.723,5.595,5.65,672075
2014-12-12,5.58,5.624,5.54,5.56,870595
2014-12-15,5.584,5.602,5.324,5.332,773275
2014-12-16,5.328,5.406,5.274,5.276,892885
2014-12-17,5.262,5.486,5.238,5.484,1012305
2014-12-18,5.532,5.59,5.496,5.566,712345
2014-12-19,5.55,5.628,5.524,5.596,1574775
2014-12-22,5.594,5.692,5.533,5.688,643955
2014-12-23,5.73,5.798,5.678,5.696,757800
2014-12-24,5.7,5.754,5.596,5.738,462900
2014-12-26,5.738,5.79,5.682,5.736,440610
2014-12-29,5.74,5.834,5.722,5.82,581100
2014-12-30,5.798,5.836,5.762,5.802,451460
2014-12-31,5.826,5.854,5.726,5.742,556650
2015-01-02,5.784,5.798,5.546,5.614,520500
2015-01-05,5.586,5.758,5.586,5.728,810110
2015-01-06,5.75,5.826,5.628,5.754,1318320
2015-01-07,5.778,5.854,5.588,5.808,1325625
2015-01-08,5.862,6.028,5.81,5.934,1232700
2015-01-09,5.944,5.996,5.88,5.916,413245
2015-01-12,5.994,5.998,5.868,5.94,680710
2015-01-13,5.996,6.097,5.938,5.998,899270
2015-01-14,5.926,6.038,5.894,6.002,554985
2015-01-15,6.12,6.12,5.912,5.968,726830
2015-01-16,5.95,6.196,5.95,6.18,1044455
2015-01-20,6.148,6.195,6.052,6.052,757715
2015-01-21,6.02,6.11,5.938,6.074,947370
2015-01-22,6.14,6.158,6.012,6.117,662510
2015-01-23,6.12,6.2,6.078,6.082,380665
2015-01-26,6.104,6.132,6.008,6.086,344790
2015-01-27,6.02,6.18,5.9922,6.152,544550
2015-01-28,6.196,6.196,6.012,6.054,1031740
2015-01-29,6.068,6.17,6.03,6.152,339700
2015-01-30,6.098,6.124,5.858,5.876,805180
2015-02-02,5.83,6.02,5.808,5.988,566830
2015-02-03,6.032,6.2,6.006,6.192,968095
2015-02-04,6.146,6.282,6.124,6.146,698075
2015-02-05,6.176,6.24,6.096,6.24,620445
2015-02-06,6.254,6.314,6.192,6.312,1131865
2015-02-09,6.234,6.33,6.174,6.178,392190
2015-02-10,6.23,6.23,6.044,6.186,735710
2015-02-11,6.16,6.244,6.104,6.232,335770
2015-02-12,6.268,6.306,6.234,6.278,281735
2015-02-13,6.274,6.316,6.208,6.268,311715
2015-02-17,6.286,6.392,6.228,6.334,492235
2015-02-18,6.328,6.43,6.294,6.406,471265
2015-02-19,6.356,6.49,6.34,6.45,300545
2015-02-20,6.44,6.446,6.3,6.44,831370
2015-02-23,6.43,6.452,6.369,6.414,529160
2015-02-24,6.534,6.8,6.401,6.746,1890245
2015-02-25,6.8,7.126,6.772,7,1849420
2015-02-26,7.026,7.128,6.936,7.12,1933760
2015-02-27,7.092,7.136,6.98,6.98,702075
2015-03-02,6.944,7.04,6.896,6.998,753500
2015-03-03,6.956,7.01,6.93,6.984,999000
2015-03-04,6.942,7.012,6.914,7.01,466000
2015-03-05,6.988,7.014,6.928,7.01,684500
2015-03-06,6.938,7.012,6.914,6.952,633500
2015-03-09,6.956,7.04,6.936,7.012,380500
2015-03-10,6.964,7,6.906,6.934,378000
2015-03-11,6.928,6.98,6.868,6.966,711500
2015-03-12,7.014,7.154,7.004,7.14,887000
2015-03-13,7.092,7.136,6.986,7.064,879000
2015-03-16,7.124,7.164,7.082,7.118,372500
2015-03-17,7.088,7.088,7.03,7.064,692000
2015-03-18,7.038,7.2,7.014,7.134,657000
2015-03-19,7.158,7.26,7.102,7.234,604000
2015-03-20,7.276,7.458,7.262,7.438,1520000
2015-03-23,7.422,7.504,7.406,7.484,615500
2015-03-24,7.546,7.872,7.452,7.486,968500
2015-03-25,7.476,7.606,7.322,7.342,1011500
2015-03-26,7.306,7.43,7.306,7.358,634000
2015-03-27,7.346,7.362,7.186,7.298,708500
2015-03-30,7.292,7.474,7.292,7.436,510500
2015-03-31,7.38,7.498,7.358,7.44,588290
2015-04-01,7.402,7.428,7.218,7.302,660500
2015-04-02,7.302,7.406,7.186,7.198,1019500
2015-04-06,7.172,7.192,7.102,7.128,1096500
2015-04-07,7.074,7.158,7.074,7.098,1169900
2015-04-08,7.098,7.126,7.048,7.11,1598000
2015-04-09,7.098,7.132,6.936,6.946,945855
2015-04-10,7.004,7.006,6.828,6.842,1062000
2015-04-13,6.836,6.88,6.636,6.676,1745500
2015-04-14,6.682,6.908,6.668,6.874,1030500
2015-04-15,6.856,6.922,6.842,6.866,582095
2015-04-16,6.83,6.94,6.83,6.872,599990
2015-04-17,6.824,6.826,6.656,6.658,538000
2015-04-20,6.734,6.812,6.67,6.732,430680
2015-04-21,6.74,6.816,6.642,6.65,360885
2015-04-22,6.64,6.724,6.57,6.628,628730
2015-04-23,6.6,6.738,6.566,6.73,1181500
2015-04-24,6.68,6.754,6.642,6.732,532840
2015-04-27,6.764,6.834,6.664,6.78,1018500
2015-04-28,6.774,6.868,6.73,6.83,600060
2015-04-29,6.77,6.858,6.738,6.838,741500
2015-04-30,6.738,6.968,6.732,6.886,1654000
2015-05-01,6.936,6.936,6.566,6.878,1167000
2015-05-04,6.906,7.008,6.726,6.936,972500
2015-05-05,6.92,6.952,6.742,6.8,788000
2015-05-06,6.804,6.88,6.774,6.872,828110
2015-05-07,6.846,7.014,6.846,6.932,799840
2015-05-08,6.974,7.024,6.868,6.918,615500
2015-05-11,6.928,7.046,6.928,6.984,862000
2015-05-12,6.944,6.99,6.792,6.834,571925
2015-05-13,6.882,6.9,6.78,6.82,317000
2015-05-14,6.832,6.95,6.832,6.948,271000
2015-05-15,6.952,7.052,6.874,6.906,367180
2015-05-18,6.942,6.994,6.862,6.958,428540
2015-05-19,6.96,7.01,6.878,6.994,544260
2015-05-20,7.01,7.084,7.008,7.058,375000
2015-05-21,7.044,7.096,7.006,7.092,641000
2015-05-22,7.07,7.114,6.99,7.016,573000
2015-05-26,6.998,7.046,6.948,7.018,629465
2015-05-27,7.012,7.156,6.948,7.152,600000
2015-05-28,7.112,7.14,7.022,7.14,513535
2015-05-29,7.086,7.2,6.996,7.18,887000
2015-06-01,7.156,7.292,7.08,7.172,798045
2015-06-02,7.136,7.196,7.048,7.072,394430
2015-06-03,7.102,7.18,7.058,7.118,471500
2015-06-04,7.058,7.11,6.988,7.002,595000
2015-06-05,7,7.026,6.92,7.006,581500
2015-06-08,6.982,6.986,6.88,6.888,328000
2015-06-09,6.872,6.91,6.746,6.796,745780
2015-06-10,6.832,7.026,6.832,6.924,1269160
2015-06-11,6.92,6.9518,6.868,6.918,382760
2015-06-12,6.94,6.942,6.852,6.896,281500
2015-06-15,6.816,6.864,6.74,6.808,384500
2015-06-16,6.792,6.868,6.776,6.826,484000
2015-06-17,6.852,6.868,6.75,6.812,679000
2015-06-18,6.838,7.018,6.816,7.01,1978000
2015-06-19,7.032,7.064,6.952,7.038,933000
2015-06-22,7.078,7.186,7.032,7.154,618500
2015-06-23,7.154,7.242,7.114,7.154,508870
2015-06-24,7.148,7.17,7.124,7.146,425000
2015-06-25,7.162,7.28,7.134,7.256,1188000
2015-06-26,7.256,7.27,7.126,7.164,4201500
2015-06-29,7.14,7.17,6.898,6.902,477000
2015-06-30,6.97,7.0404,6.856,6.916,811325
2015-07-01,6.964,7.052,6.9,7.046,853500
2015-07-02,7.05,7.162,6.948,6.968,524500
2015-07-06,6.984,7.09,6.898,7.074,885000
2015-07-07,7.078,7.14,6.948,7.066,665500
2015-07-08,6.978,7.138,6.948,7.028,1041000
2015-07-09,7.116,7.192,7.056,7.118,700000
2015-07-10,7.122,7.292,7.102,7.278,588500
2015-07-13,7.298,7.364,7.238,7.33,664500
2015-07-14,7.332,7.362,7.268,7.276,294180
2015-07-15,7.27,7.336,7.222,7.304,357500
2015-07-16,7.4,7.428,7.264,7.38,1466500
2015-07-17,7.39,7.462,7.35,7.446,604000
2015-07-20,7.442,7.46,7.398,7.436,627000
2015-07-21,7.43,7.526,7.364,7.412,489500
2015-07-22,7.396,7.48,7.388,7.44,410500
2015-07-23,7.414,7.418,7.246,7.26,370500
2015-07-24,7.252,7.284,7.116,7.142,452500
2015-07-27,7.124,7.196,7.056,7.13,418000
2015-07-28,7.15,7.208,7.014,7.168,497000
2015-07-29,7.166,7.416,7.132,7.364,605000
2015-07-30,7.45,7.614,7.006,7.504,1411500
2015-07-31,7.544,7.81,7.49,7.754,1480500
2015-08-03,7.776,7.798,7.476,7.634,743260
2015-08-04,7.624,7.724,7.582,7.686,639000
2015-08-05,7.732,7.794,7.648,7.686,842000
2015-08-06,7.714,7.746,7.476,7.488,530440
2015-08-07,7.434,7.504,7.374,7.474,561000
2015-08-10,7.512,7.588,7.284,7.5,787000
2015-08-11,7.474,7.538,7.186,7.47,420675
2015-08-12,7.436,7.494,7.356,7.46,525000
2015-08-13,7.458,7.488,7.38,7.422,478500
2015-08-14,7.422,7.534,7.346,7.426,784000
2015-08-17,7.422,7.522,7.344,7.522,506500
2015-08-18,7.528,7.552,7.364,7.388,566500
2015-08-19,7.364,7.456,7.3,7.416,809000
2015-08-20,7.362,7.546,7.256,7.472,854500
2015-08-21,7.34,7.542,7.278,7.31,1272000
2015-08-24,6.852,7.438,6.8048,7.13,1575975
2015-08-25,7.444,7.444,6.946,6.958,969500
2015-08-26,7.124,7.188,6.858,7.132,783000
2015-08-27,7.18,7.44,7.008,7.434,1870000
2015-08-28,7.344,7.382,7.242,7.294,596500
2015-08-31,7.29,7.306,7.176,7.236,609500
2015-09-01,7.11,7.264,7.11,7.23,821500
2015-09-02,7.318,7.42,7.176,7.414,908000
2015-09-03,7.416,7.424,7.252,7.3,479500
2015-09-04,7.198,7.296,7.146,7.202,267500
2015-09-08,7.302,7.508,7.266,7.492,706500
2015-09-09,7.558,7.612,7.39,7.422,818500
2015-09-10,7.412,7.5,7.39,7.408,496600
2015-09-11,7.354,7.604,7.354,7.596,628000
2015-09-14,7.596,7.62,7.522,7.534,262500
2015-09-15,7.562,7.708,7.562,7.694,426000
2015-09-16,7.71,7.762,7.58,7.64,422500
2015-09-17,7.626,7.766,7.626,7.676,510790
2015-09-18,7.538,7.65,7.456,7.5,1330500
2015-09-21,7.56,7.72,7.554,7.698,691000
2015-09-22,7.624,7.692,7.546,7.672,640500
2015-09-23,7.704,7.774,7.62,7.764,509290
2015-09-24,7.686,7.856,7.686,7.83,979310
2015-09-25,7.902,8.136,7.818,7.962,1276000
2015-09-28,7.916,7.976,7.548,7.6,946740
2015-09-29,7.604,7.618,7.334,7.486,885000
2015-09-30,7.572,7.664,7.36,7.386,1178000
2015-10-01,7.384,7.43,7.214,7.298,1073500
2015-10-02,7.24,7.582,7.182,7.582,1634500
2015-10-05,7.608,7.746,7.56,7.696,822115
2015-10-06,7.7,7.71,7.582,7.66,610000
2015-10-07,7.7,7.916,7.666,7.834,1613495
2015-10-08,7.812,7.864,7.75,7.824,1127500
2015-10-09,7.782,8.02,7.782,8,595000
2015-10-12,8.034,8.146,7.992,8.116,573475
2015-10-13,8.102,8.178,8.022,8.038,1024000
2015-10-14,8.05,8.158,7.948,7.968,677500
