Date,Open,High,Low,Close,Volume
2014-06-02,69.735,70.453,68.969,70.237,1900562
2014-06-03,69.84,70.255,68.767,69.281,1850646
2014-06-04,69.08,69.669,68.341,69.339,1530786
2014-06-05,69.555,70.415,69.292,70.028,1263252
2014-06-06,70.264,71.088,70.085,71.062,1581817
2014-06-09,71.257,71.277,70.37,70.549,1110780
2014-06-10,70.34,71.449,70.283,71.062,1273045
2014-06-11,71.183,72.177,70.72,71.903,1594110
2014-06-12,71.676,71.922,69.83,70.01,2213079
2014-06-13,69.754,70.549,69.339,70.274,1198389
2014-06-16,70.028,70.644,69.545,70.578,1362661
2014-06-17,72.454,73.681,72.214,73.453,2844657
2014-06-18,73.492,76.137,73.217,76.037,3174267
2014-06-19,76.037,76.171,73.52,73.699,3486209
2014-06-20,74.097,74.354,73.586,74.117,2354584
2014-06-23,74.325,74.325,73.501,73.651,1085267
2014-06-24,73.351,73.605,71.94,72.168,1885024
2014-06-25,72.148,73.482,71.373,73.159,1447905
2014-06-26,73.605,73.605,72.574,72.877,924815
2014-06-27,72.537,74.759,72.537,74.711,1979105
2014-06-30,74.428,75.365,74.325,74.532,1358907
2014-07-01,75.705,76.654,75.481,76.444,1883006
2014-07-02,76.501,76.956,75.782,75.952,1013177
2014-07-03,76.414,77.939,76.094,77.797,973025
2014-07-07,77.665,77.665,75.999,76.511,1282548
2014-07-08,76.559,76.559,73.852,74.58,1721566
2014-07-09,75.233,75.878,74.828,75.868,1244614
2014-07-10,74.884,75.555,74.059,75.062,933346
2014-07-11,75.345,75.65,74.921,75.451,827092
2014-07-14,75.829,76.321,75.669,75.829,1045344
2014-07-15,76.019,76.664,75.281,76.274,1241087
2014-07-16,76.775,76.785,75.014,75.12,1281539
2014-07-17,74.779,75.272,73.001,73.244,1908331
2014-07-18,73.881,74.561,73.444,74.561,1205223
2014-07-21,74.267,74.779,73.473,74.419,1083955
2014-07-22,75.023,76.047,74.383,75.943,1071868
2014-07-23,76.094,77.09,75.791,76.54,1437745
2014-07-24,76.18,76.626,74.759,75.611,2270520
2014-07-25,75.66,75.952,75.215,75.393,1211017
2014-07-28,75.63,76.114,75.167,75.896,1534974
2014-07-29,75.952,77.372,75.952,76.349,1802163
2014-07-30,76.654,77.317,76.047,77.297,2880638
2014-07-31,77.39,77.685,74.193,75.157,5460820
2014-08-01,77.734,80.297,77.465,79.927,8041907
2014-08-04,80.241,81.101,79.085,80.475,3415113
2014-08-05,79.682,81.341,79.236,79.823,3208413
2014-08-06,78.811,80.381,78.193,79.349,2130814
2014-08-07,78.212,80.077,78.212,79.037,1932370
2014-08-08,79.246,79.302,77.978,78.122,2747241
2014-08-11,78.193,81.281,78.122,79.436,3733669
2014-08-12,79.18,80.428,79.085,79.923,1864841
2014-08-13,79.909,81.101,79.349,80.455,1842330
2014-08-14,80.448,80.779,79.633,80.371,1265413
2014-08-15,80.608,81.155,79.795,80.789,2142298
2014-08-18,81.557,82.634,81.184,81.42,1291007
2014-08-19,81.42,82.273,81.42,81.707,1640991
2014-08-20,81.679,81.858,80.732,81.528,1289089
2014-08-21,81.62,82.323,81.557,82.323,1474457
2014-08-22,82.471,82.895,81.439,82.557,1531590
2014-08-25,83.278,83.441,82.654,83.259,1380254
2014-08-26,83.137,83.713,82.722,82.905,1175436
2014-08-27,83.137,83.212,81.767,82.026,1575377
2014-08-28,81.865,82.406,81.609,81.935,1361794
2014-08-29,82.312,82.434,81.163,81.457,935441
2014-09-02,81.963,83.77,81.686,83.723,1873818
2014-09-03,83.81,84.645,83.494,83.829,1672518
2014-09-04,83.723,84.512,82.915,83.391,1830441
2014-09-05,83.451,83.527,82.703,83.313,1220281
2014-09-08,83.147,83.47,82.759,83.219,1251917
2014-09-09,83.202,83.303,81.287,81.487,1305698
2014-09-10,81.23,83.333,81.163,82.538,1849351
2014-09-11,82.351,82.822,81.856,82.664,813599
2014-09-12,82.606,82.794,81.885,82.073,996935
2014-09-15,82.341,82.341,80.073,80.757,1635428
2014-09-16,80.433,81.895,80.158,81.749,1381348
2014-09-17,81.628,81.667,79.922,80.93,1741000
2014-09-18,81.269,81.686,80.751,81.467,1118669
2014-09-19,81.999,82.035,80.148,80.757,2370849
2014-09-22,80.604,80.613,78.565,79.193,1776390
2014-09-23,79.029,80.266,78.658,79.588,1615198
2014-09-24,79.163,81.741,78.687,81.497,3166361
2014-09-25,80.964,81.507,80.148,80.301,1712445
2014-09-26,80.519,81.731,80.217,81.457,1320602
2014-09-29,80.46,82.322,80.226,82.102,1781156
2014-09-30,82.566,83.713,82.102,83.091,3150350
2014-10-01,82.812,83.128,80.104,80.394,2668999
2014-10-02,80.236,80.557,77.911,79.058,2828437
2014-10-03,79.855,81.386,79.598,81.05,1654854
2014-10-06,81.04,83.547,81.04,82.092,2717215
2014-10-07,81.447,81.741,80.32,80.347,2074455
2014-10-08,80.356,81.536,79.201,80.964,2975942
2014-10-09,80.973,81.24,78.843,79.495,2974317
2014-10-10,79.42,79.495,76.748,76.811,3299673
2014-10-13,76.707,77.484,72.259,72.392,4857271
2014-10-14,72.543,73.632,70.059,70.883,6338554
2014-10-15,69.369,71.057,67.245,70.267,5808347
2014-10-16,68.731,71.321,67.547,71.196,4052565
2014-10-17,72.517,72.741,69.576,70.714,3367078
2014-10-20,70.175,73.473,70.175,73.254,2614578
2014-10-21,73.807,76.613,73.435,76.157,2974205
2014-10-22,76.546,77.531,74.714,74.924,2035195
2014-10-23,75.873,77,75.388,75.71,2015693
2014-10-24,75.541,77.407,74.724,77.316,1731433
2014-10-27,76.792,76.906,74.867,76.223,2612235
2014-10-28,76.633,76.661,75.768,76.431,1373100
2014-10-29,76.566,76.67,74.924,75.426,2783880
2014-10-30,74.972,76.848,73.72,76.556,6134127
2014-10-31,79.939,81.315,78.804,80.577,6305432
2014-11-03,80.356,82.253,80.12,81.487,2799184
2014-11-04,80.785,80.897,78.185,79.55,3333893
2014-11-05,79.667,80.453,78.677,78.754,2475462
2014-11-06,78.754,80.275,78.425,79.714,1859502
2014-11-07,79.789,80.738,79.514,80.714,1643604
2014-11-10,80.613,81.945,80.404,81.555,1350225
2014-11-11,81.722,82.654,81.315,81.989,2266161
2014-11-12,81.686,82.712,81.362,82.606,1871961
2014-11-13,82.606,82.915,81.371,82.017,1304000
2014-11-14,81.767,83.391,81.609,83.386,1471288
2014-11-17,83.101,83.451,82.282,82.443,1227432
2014-11-18,82.253,84.325,82.197,83.972,1730880
2014-11-19,84.181,84.181,82.654,82.713,1250848
2014-11-20,82.149,82.48,81.266,81.795,1831152
2014-11-21,82.906,82.976,80.202,80.476,2377671
2014-11-24,80.666,81.712,80.533,81.397,1684016
2014-11-25,81.72,82.149,80.867,81.544,1534151
2014-11-26,81.388,81.864,80.904,81.332,1566680
2014-11-28,81.944,83.055,81.934,82.778,749390
2014-12-01,83.026,83.462,81.626,82.187,1925397
2014-12-02,82.312,83.481,82.312,83.169,1884272
2014-12-03,83.315,84.479,82.849,84.181,2556283
2014-12-04,84.001,85.95,83.813,85.096,2218520
2014-12-05,85.684,87.5,85.552,86.806,2878093
2014-12-08,86.595,86.996,85.151,85.813,1866850
2014-12-09,85.086,86.493,83.919,86.187,1423388
2014-12-10,85.713,86.33,83.035,83.413,2477022
2014-12-11,83.822,85.096,82.823,82.976,1273877
2014-12-12,81.776,83.573,81.435,83.176,1853548
2014-12-15,83.803,84.249,82.369,82.986,2115952
2014-12-16,82.897,83.763,81.703,81.757,1860180
2014-12-17,82.263,82.849,81.047,82.538,2303762
2014-12-18,83.241,83.909,82.813,83.423,1843569
2014-12-19,83.937,84.249,83.063,83.68,5478741
2014-12-22,84.001,85.429,83.954,84.886,1786332
2014-12-23,85.284,85.495,84.45,84.498,1478505
2014-12-24,84.574,85.102,84.498,84.583,279923
2014-12-26,84.896,85.448,84.64,84.868,898689
2014-12-29,84.896,84.934,83.573,83.813,1121138
2014-12-30,83.365,83.491,81.16,81.694,1861533
2014-12-31,82.111,82.164,81.021,81.115,1306305
2015-01-02,81.322,81.97,80.28,81.495,1326473
2015-01-05,81.199,81.598,79.641,80.011,1774835
2015-01-06,80.506,81.515,79.166,79.983,2192897
2015-01-07,80.486,81.37,79.641,79.983,1750677
2015-01-08,80.61,83.803,79.917,83.519,2385270
2015-01-09,83.651,84.344,82.877,83.196,1676934
2015-01-12,83.045,83.529,80.696,80.932,1558017
2015-01-13,81.572,82.841,79.708,80.791,1547666
2015-01-14,80.069,81.553,79.554,81.144,1691355
2015-01-15,81.544,81.544,78.186,78.426,3138673
2015-01-16,78.502,79.907,77.892,79.326,3093241
2015-01-20,79.849,80.212,78.387,79.764,2423563
2015-01-21,79.423,80.297,79.051,79.897,2778444
2015-01-22,80.696,81.739,79.536,81.445,1550029
2015-01-23,79.953,84.239,79.953,83.092,3263424
2015-01-26,83.261,83.443,82.149,82.946,1606099
2015-01-27,82.733,83.149,81.515,82.369,961820
2015-01-28,83.261,83.403,81.562,81.598,983518
2015-01-29,81.874,82.414,80.42,82.263,876341
2015-01-30,81.835,82.916,81.341,81.655,1552302
2015-02-02,81.988,82.187,79.747,81.934,1469952
2015-02-03,82.341,83.5,81.144,83.453,1531019
2015-02-04,82.803,83.927,82.803,83.5,1918519
2015-02-05,83.743,84.181,82.778,83.622,3617255
2015-02-06,75.213,76.685,72.885,73.995,13043893
2015-02-09,73.425,74.89,72.541,74.309,4269331
2015-02-10,74.726,74.746,73.092,74.3,2541373
2015-02-11,74.397,74.775,74.043,74.329,2067086
2015-02-12,83.433,87.918,82.053,85.114,16779144
2015-02-13,85.076,86.254,84.117,85.039,3604200
2015-02-17,85.16,86.254,84.079,84.278,2738611
2015-02-18,84.498,84.915,84.146,84.722,2135222
2015-02-19,85.618,86.892,84.574,86.758,2669585
2015-02-20,86.661,87.744,85.788,87.707,1892381
2015-02-23,87.716,90.236,87.519,90.034,3708804
2015-02-24,89.78,90.12,89.229,89.49,1512321
2015-02-25,89.334,90.256,89.334,89.906,1285193
2015-02-26,89.047,90.276,88.042,88.61,2170394
2015-02-27,88.543,88.915,87.074,87.186,1750554
2015-03-02,85.836,87.871,85.826,87.594,1814884
2015-03-03,87.375,87.443,85.636,86.493,1713965
2015-03-04,86.016,86.806,85.391,85.4,1866345
2015-03-05,85.381,87.966,85.342,86.834,1929907
2015-03-06,86.024,86.978,85.682,85.93,1841454
2015-03-09,85.853,86.435,85.578,86.215,863331
2015-03-10,85.214,85.958,84.737,85.072,1223469
2015-03-11,85.12,85.615,84.475,84.69,968883
2015-03-12,84.757,87.225,84.465,87.015,1325770
2015-03-13,86.862,87.756,85.968,86.978,1189440
2015-03-16,87.464,88.759,86.68,88.508,1446863
2015-03-17,88.063,88.815,87.235,87.912,1662804
2015-03-18,87.912,89.902,87.69,89.538,1892813
2015-03-19,89.472,90.341,89.339,90.147,1283231
2015-03-20,90.451,91.436,90.223,91.317,1747242
2015-03-23,90.701,91.835,90.594,90.832,1580669
2015-03-24,90.51,91.642,90.302,90.899,1132620
2015-03-25,90.796,90.966,89.3,89.454,1941335
2015-03-26,88.806,89.424,87.854,88.321,1451067
2015-03-27,88.425,90.031,88.108,89.198,968776
2015-03-30,89.892,89.93,89.26,89.68,1366727
2015-03-31,89.586,91.517,89.207,89.622,1306147
2015-04-01,89.509,89.671,88.164,89.661,1425018
2015-04-02,90.385,93.604,89.977,93.289,2792796
2015-04-06,92.385,95.293,92.167,93.861,2004246
2015-04-07,93.9,94.671,93.594,93.755,1078895
2015-04-08,94.212,95.28,93.726,93.929,1544120
2015-04-09,94.232,94.232,92.614,93.138,1275116
2015-04-10,93.624,94.824,93.547,94.441,1064770
2015-04-13,94.631,95.04,93.881,94.034,794749
2015-04-14,93.996,94.232,92.967,93.395,868476
2015-04-15,93.938,94.097,93.089,93.265,1088208
2015-04-16,93.26,93.822,92.478,92.518,1352799
2015-04-17,91.709,91.883,90.73,91.498,1524270
2015-04-20,92.089,93.049,91.883,92.737,799678
2015-04-21,92.327,93.909,92.281,93.604,1282451
2015-04-22,93.736,95,93.576,94.71,899826
2015-04-23,94.73,94.914,94.135,94.182,1063091
2015-04-24,94.212,95.692,93.75,94.157,1204598
2015-04-27,94.68,95.409,93.699,94.087,1128209
2015-04-28,93.812,93.9,92.414,93.118,1083021
2015-04-29,93.019,93.299,91.157,91.651,1590435
2015-04-30,90.832,91.642,88.508,89.72,4659141
2015-05-01,95.26,97.778,94.378,96.818,6017990
2015-05-04,96.761,97.405,95.418,96.063,1928627
2015-05-05,95.476,96.179,94.025,94.043,1603777
2015-05-06,94.043,94.74,92.977,94.358,1471249
2015-05-07,94.162,96.305,93.708,96.122,1700600
2015-05-08,96.6,97.905,96.6,97.847,2200122
2015-05-11,97.495,99.028,97.445,98.849,2181850
2015-05-12,97.788,98.552,96.739,98.294,1482156
2015-05-13,98.632,98.859,96.985,97.098,1021951
2015-05-14,98.441,99.221,97.375,99.162,1161502
2015-05-15,99.51,99.87,98.191,98.49,997475
2015-05-18,98.582,99.181,98.024,98.532,1234517
2015-05-19,99.251,99.65,98.691,98.769,1237013
2015-05-20,98.284,100.53,97.715,100.45,1482131
2015-05-21,100.19,100.88,100.01,100.82,1050384
2015-05-22,106.4,109.51,104.73,107.58,5097212
2015-05-26,108.11,108.27,105.44,105.51,2806228
2015-05-27,106.17,106.65,105.25,105.79,2835536
2015-05-28,105.13,105.72,103.72,104.17,2127633
2015-05-29,103.98,104.37,102.02,102.3,2950041
2015-06-01,102.46,103.03,101.28,102.49,1415131
2015-06-02,102.13,103.18,101.09,102.67,1545373
2015-06-03,104.02,104.48,101.51,101.66,1768472
2015-06-04,100.89,101.39,100.11,100.75,2253872
2015-06-05,100.9,101.97,100.42,101.45,1742361
2015-06-08,101.03,101.6,99.86,99.93,995128
