Date,Open,High,Low,Close,Volume
2014-06-02,9.15279,9.26169,9.13791,9.20168,9060588
2014-06-03,9.17329,9.22959,9.13932,9.19098,8587517
2014-06-04,9.22959,9.37477,9.18908,9.25753,8925911
2014-06-05,9.26169,9.33801,9.18307,9.30448,6558921
2014-06-06,9.35708,9.40774,9.30075,9.36081,5447969
2014-06-09,9.36081,9.55432,9.35568,9.48082,7267407
2014-06-10,9.44969,9.48779,9.41385,9.48779,4249366
2014-06-11,9.43387,9.51617,9.43387,9.49528,6088346
2014-06-12,9.44036,9.44036,9.22357,9.30075,9545666
2014-06-13,9.32128,9.37057,9.25753,9.29052,6471660
2014-06-16,9.25194,9.31755,9.18307,9.26262,5435593
2014-06-17,9.22172,9.31146,9.18681,9.29426,5851629
2014-06-18,9.2975,9.33245,9.21191,9.32452,4855378
2014-06-19,9.31565,9.35708,9.24496,9.29242,5068965
2014-06-20,9.33474,9.41661,9.28308,9.35708,10161645
2014-06-23,9.34172,9.44264,9.30821,9.33704,3420987
2014-06-24,9.31335,9.39427,9.19098,9.21332,5923251
2014-06-25,9.19098,9.24076,9.14488,9.22775,4037557
2014-06-26,9.22172,9.25422,9.15794,9.25009,4233890
2014-06-27,9.25422,9.30311,9.21474,9.29939,3543302
2014-06-30,9.28078,9.32128,9.19843,9.27474,5619405
2014-07-01,9.29052,9.33056,9.21332,9.23656,9632495
2014-07-02,9.22586,9.2845,9.21191,9.24076,5582575
2014-07-03,9.27705,9.412,9.26587,9.38593,3854661
2014-07-07,9.40124,9.40362,9.29335,9.32452,9800679
2014-07-08,9.31565,9.33941,9.23052,9.27705,8347734
2014-07-09,9.31335,9.32776,9.15794,9.18496,9674933
2014-07-10,9.07933,9.14488,9.01234,9.02394,21553279
2014-07-11,8.66707,8.69034,8.4652,8.64851,40651960
2014-07-14,8.67877,8.69732,8.52336,8.52566,18855865
2014-07-15,8.52566,8.54197,8.38794,8.43122,29960152
2014-07-16,8.45633,8.54011,8.40331,8.53034,20315605
2014-07-17,8.47914,8.54197,8.43405,8.43914,13748965
2014-07-18,8.45917,8.51965,8.41258,8.50056,12136987
2014-07-21,8.45633,8.4745,8.42334,8.43405,7166487
2014-07-22,8.43914,8.48517,8.39775,8.41956,10649965
2014-07-23,8.41772,8.43541,8.35584,8.40516,11308878
