Date,Open,High,Low,Close,Volume
2014-06-02,108.93,109.77,107.7,109.57,850702
2014-06-03,109.12,110.5,108.22,110.07,811922
2014-06-04,109.5,111,108.73,108.98,1039161
2014-06-05,109.44,111.45,108.8,110.94,975978
2014-06-06,111.22,112.5,110.58,111.36,641225
2014-06-09,111.76,112.39,111.08,111.37,1001611
2014-06-10,111.55,112.83,111.09,112.59,780500
2014-06-11,112.04,113.39,111.85,112.37,529933
2014-06-12,112.25,112.64,111,111.54,618771
2014-06-13,111.63,112.54,111.04,112.3,599437
2014-06-16,111.76,113.8,111.75,113.36,787885
2014-06-17,112.99,114.14,112.81,113.56,484356
2014-06-18,113.18,113.72,110.85,112.54,1125014
2014-06-19,112.97,113.26,109.25,109.52,1488583
2014-06-20,109.09,109.36,108.17,108.81,1666708
2014-06-23,109.05,109.26,108.5,108.81,766894
2014-06-24,108.9,110.83,108.64,109.46,1207082
2014-06-25,108.94,109.83,108.37,108.89,749480
2014-06-26,108.85,109.53,106.57,107.16,1105248
2014-06-27,107.52,111.25,107.33,111.11,2000493
2014-06-30,110.93,112.48,110.66,111.44,852636
2014-07-01,112,112.92,111.45,112.19,646741
2014-07-02,111.95,112.71,111.16,111.51,631700
2014-07-03,111.79,112.63,111.59,112.36,295844
2014-07-07,111.36,114.58,111.29,112.24,820368
2014-07-08,111.94,112.22,108.2,109.16,1422410
2014-07-09,110,112.68,109.66,111.75,835085
2014-07-10,109.6,112.17,109.2,111.29,749642
2014-07-11,110.86,112.06,109.74,110.2,1241910
2014-07-14,109.43,112.81,109.21,109.84,1183384
2014-07-15,111.06,111.9,109.57,110.72,1661740
2014-07-16,111.57,111.98,109.43,109.69,979346
2014-07-17,109.27,111.18,109.09,109.42,795235
2014-07-18,109.81,110.78,109.31,110.19,872448
2014-07-21,110.23,110.52,108.8,109.2,925181
2014-07-22,109.92,112.65,109.21,112.12,928098
2014-07-23,110.51,112.03,110.31,110.81,1469002
2014-07-24,112.5,117.77,112.32,113.23,4458795
2014-07-25,113.08,113.37,112.18,112.41,980668
2014-07-28,108.03,114.14,108.03,113.31,885710
2014-07-29,113.44,114.97,113.31,114.29,1072484
2014-07-30,114.94,116.11,114.57,115.67,1129347
2014-07-31,114.86,114.86,112.47,112.59,1365626
2014-08-01,109.01,113.37,109.01,112.2,1126619
2014-08-04,111.2,112.96,111.17,112.38,936708
2014-08-05,111.78,114.31,111.5,113.76,1048788
2014-08-06,114.2,115.18,113.02,114.03,808575
2014-08-07,114.5,114.5,112.34,112.48,738668
2014-08-08,112.29,114.73,111.01,114.33,826464
2014-08-11,114.9,117.74,114.85,116.76,1537487
2014-08-12,116.8,116.93,113.09,113.66,1176537
2014-08-13,114.44,115.36,113.83,115.07,496570
2014-08-14,115.32,115.32,113.98,114.68,570028
2014-08-15,115.45,115.86,113.1,114.01,747208
2014-08-18,114.95,117.31,114.72,116.57,689120
2014-08-19,116.67,120.58,116.6,120.02,1562891
2014-08-20,121.45,123.25,119.62,122.57,2911763
2014-08-21,122.38,123.59,121.62,122.09,913833
2014-08-22,122.45,122.61,121.01,121.64,672295
2014-08-25,122.27,123,121.05,121.55,672645
2014-08-26,121.99,124.37,121.71,123.86,916482
2014-08-27,124.36,124.8,123.38,123.66,482602
2014-08-28,122.89,124.31,122.4,123.66,803293
2014-08-29,124.22,124.55,123.21,124.19,528533
2014-09-02,124.5,125.99,124.21,125.73,653884
2014-09-03,125.73,126.1,123.79,123.91,741214
2014-09-04,123.89,124.42,122.86,123,676749
2014-09-05,122.94,124.37,122.79,123.71,618275
2014-09-08,123.56,124.89,123.37,123.83,721402
2014-09-09,123.42,124.82,122.91,123.03,871749
2014-09-10,123.37,125.24,122.31,125.19,819264
2014-09-11,125.43,127.04,125.22,126.12,923444
2014-09-12,125.7,125.98,124.31,125.08,786311
2014-09-15,126.12,126.72,123.69,123.87,718798
2014-09-16,123.22,126.15,123.21,125.82,616594
2014-09-17,125.69,126.89,124.97,125.44,708120
2014-09-18,126.13,127.82,125.61,127.64,838612
2014-09-19,128.25,128.3,124.32,124.84,1544904
2014-09-22,124.24,124.72,121.62,122.2,875988
2014-09-23,121.58,122.09,120.47,120.52,1039820
2014-09-24,120.7,122.12,120.36,122.08,764695
2014-09-25,122.27,122.45,119.06,119.71,564657
2014-09-26,120.08,121.51,120.08,121.04,574246
2014-09-29,118.38,119.59,117.6,119.16,755420
2014-09-30,119.4,120.04,118.13,118.74,713890
2014-10-01,118.5,118.64,116.3,117.08,1036051
2014-10-02,117.02,119.21,116.49,118.71,745552
2014-10-03,121,123.55,120.78,122.65,1085468
2014-10-06,123.34,123.38,121.44,122.16,732031
2014-10-07,120.95,120.95,117.79,117.91,1033661
2014-10-08,117.76,119.33,114.53,119.03,1155605
2014-10-09,118.12,118.89,114.68,115.31,1489545
2014-10-10,113.47,113.55,106.86,107.11,2759514
2014-10-13,107.22,112.36,106.82,109.11,2041917
2014-10-14,112.76,112.76,108.29,109.82,1188642
2014-10-15,107.74,111.94,107.22,110.3,1138474
2014-10-16,108,110.08,107.5,109.74,924102
2014-10-17,111.32,114.52,110.8,113.7,1091884
2014-10-20,113.02,113.31,110.75,112.88,1113160
2014-10-21,112.98,116.89,112.97,116.61,815356
2014-10-22,116.3,116.96,112.67,112.74,977673
2014-10-23,114.5,115.81,113.72,114.57,880797
2014-10-24,114.75,115.62,113.37,114.9,876150
2014-10-27,114.83,116.05,113.53,115.59,790146
2014-10-28,116.57,120.49,115.53,120.25,911743
2014-10-29,119.03,119.96,115.68,117.12,2197567
2014-10-30,123,123.83,120.01,121.78,3487107
2014-10-31,123.89,124,122.01,122.98,1356826
2014-11-03,122,125.43,122,124.37,1312833
2014-11-04,124.88,126.65,124.4,125.64,1386318
2014-11-05,126.65,126.65,124.58,125.42,968166
2014-11-06,125.72,126.35,125.01,125.21,883822
2014-11-07,125.22,126.69,124.2,126.66,907134
2014-11-10,126.66,127.15,124.25,126.59,816175
2014-11-11,127.12,127.71,125.85,126.57,697561
2014-11-12,125.99,126.29,124.63,125.76,725610
