Date,Open,High,Low,Close,Volume
2014-06-02,58.83,59.07,58.321,58.341,184286
2014-06-03,58.172,58.45,57.582,57.892,260122
2014-06-04,57.592,57.842,57.233,57.402,217948
2014-06-05,57.362,58.002,57.223,57.982,295260
2014-06-06,58.42,58.96,57.872,58.46,441950
2014-06-09,58.351,59.527,58.261,59.348,320997
2014-06-10,59.228,59.627,58.82,59.458,204187
2014-06-11,58.96,59.857,58.96,59.498,209039
2014-06-12,59.318,59.677,58.69,59.159,252755
2014-06-13,59.368,59.927,59.189,59.398,142544
2014-06-16,59.258,59.817,58.9,59.657,247321
2014-06-17,59.637,61.006,59.587,59.727,454138
2014-06-18,59.687,60.227,59.238,60.157,245774
2014-06-19,60.217,60.727,59.747,60.397,213187
2014-06-20,60.277,61.385,59.997,61.285,411912
2014-06-23,61.365,61.8,60.896,61.025,219942
2014-06-24,61.006,61.79,60.507,61.494,264403
2014-06-25,61.155,61.97,61.055,61.9,210054
2014-06-26,61.83,62.36,61.345,61.96,193103
2014-06-27,61.504,63.009,61.504,62.769,443566
2014-06-30,62.779,63.718,62.15,63.608,282356
2014-07-01,63.848,65.454,63.608,64.725,475348
2014-07-02,64.735,65.464,64.555,64.705,282373
2014-07-03,64.945,65.294,64.635,64.715,198142
2014-07-07,64.625,64.625,63.708,63.778,251086
2014-07-08,63.758,63.758,62.709,62.839,414261
2014-07-09,63.069,63.348,62.54,63.268,283071
2014-07-10,62.24,63.398,62.19,63.079,219022
2014-07-11,62.999,63.468,62.869,63.139,137804
2014-07-14,63.608,64.016,63.089,63.258,217217
2014-07-15,63.159,63.368,62.44,63.029,307326
2014-07-16,63.458,63.898,62.64,62.789,367632
2014-07-17,62.59,62.979,61.81,61.87,226179
2014-07-18,61.8,62.47,61.79,62.34,282867
2014-07-21,62.03,62.5,61.712,62.17,230292
2014-07-22,62.57,63.608,62.57,62.879,310400
2014-07-23,62.879,63.119,62.3,62.889,245817
2014-07-24,63.059,63.298,62.46,62.65,209212
2014-07-25,59.937,60.677,58.301,58.371,372999
2014-07-28,58.371,58.371,57.532,58.012,241735
2014-07-29,58.062,59.209,58.062,58.42,260161
2014-07-30,58.89,58.95,58.281,58.71,171836
2014-07-31,57.912,58.67,56.993,57.013,214665
