Date,Open,High,Low,Close,Volume
2014-06-02,62.29,62.99,61.12,62.7,2092592
2014-06-03,62.82,63.45,61.7,62.93,2317772
2014-06-04,64.24,66.88,63.58,65.39,7911295
2014-06-05,65.45,65.83,63.67,64.02,3061932
2014-06-06,64.23,64.64,62.66,62.88,2612880
2014-06-09,62.68,63.75,62.04,62.57,1867154
2014-06-10,62.56,63.15,61.81,62.32,1761225
2014-06-11,61.96,64.77,61.84,63.54,3019271
2014-06-12,63.7,64.54,62.76,63.9,2820907
2014-06-13,63.68,65.03,63.13,64.47,1822823
2014-06-16,64.61,67,64.5,66.85,4145429
2014-06-17,66.85,69.6,66.66,69.13,4878879
2014-06-18,69.03,69.94,68.16,69.75,3675108
2014-06-19,69.71,70,67.76,68.27,2554098
2014-06-20,68.57,69.49,68.01,68.9,2606588
2014-06-23,68.91,71.57,67.89,70.15,5198686
2014-06-24,69.97,70.94,68.43,68.71,3282578
2014-06-25,68.5,70.8,68.18,70.18,2154431
2014-06-26,70.21,72.46,70.15,71.47,4030005
2014-06-27,71.17,72,70.85,71.4,2376532
2014-06-30,71.85,72.68,70.84,71.06,2222665
2014-07-01,71.52,71.58,69.7,70.69,2212404
2014-07-02,71.05,71.8,69.61,69.85,1824200
2014-07-03,70.05,70.42,69.02,69.5,1078027
2014-07-07,69.51,69.95,66.72,67.72,2983123
2014-07-08,67.19,67.71,62.41,64.39,7268666
2014-07-09,64.69,65.74,64.11,64.42,2567723
2014-07-10,62.66,64.21,62.04,63.67,2820519
2014-07-11,64.03,64.4,62.23,63.43,2711955
2014-07-14,63.88,64.24,63.08,63.27,1560824
2014-07-15,63.45,64.29,62.6,62.95,1502293
2014-07-16,63.42,63.79,63.04,63.46,1866075
2014-07-17,63.05,63.65,61.26,61.45,2603515
2014-07-18,61.57,62.67,60.75,62.36,2349540
2014-07-21,62.21,63.08,61.76,62.9,1556216
2014-07-22,63.5,63.95,62.92,63.47,1335192
2014-07-23,63.47,63.62,62.53,62.81,1487668
2014-07-24,62.96,63.54,62.03,63.3,1572827
2014-07-25,63.17,64.42,62.84,64.05,2376468
2014-07-28,65.31,66.68,65.31,65.53,3316790
2014-07-29,66.2,66.5,65.32,65.39,2013298
2014-07-30,65.99,66.15,65.32,65.58,1389751
2014-07-31,65,65.36,62.81,63.11,2568920
2014-08-01,62.49,62.99,60.58,62.03,2985216
2014-08-04,62.4,64,62.4,63.14,2518929
2014-08-05,63.95,64.77,62.86,63.66,4061671
2014-08-06,61.68,65.94,60.15,65.6,9419152
2014-08-07,66.01,68.94,65.72,68.17,6131246
2014-08-08,68,68.49,67.01,67.83,2725038
2014-08-11,68.03,70.36,67.88,69.17,2899461
2014-08-12,69.63,70.05,68.3,69.07,2082450
2014-08-13,69.24,69.97,68.9,69.5,2106584
2014-08-14,69.6,69.8,68.03,69.21,1635930
2014-08-15,69.47,70.02,68.27,69.12,1994364
2014-08-18,69.55,70.69,69.34,70.28,1964990
2014-08-19,70.34,71.15,70.05,70.16,1617109
2014-08-20,69.9,71.07,69.33,70.83,1484820
2014-08-21,70.83,71,70.09,70.7,1111929
2014-08-22,70.34,70.7,69.584,70.46,1116862
2014-08-25,71.05,71.75,70.56,71.16,1252199
2014-08-26,70.8,71.36,70.25,71.02,1012954
2014-08-27,70.96,71.35,69.8,70,1450673
2014-08-28,69.32,69.8,68.27,69.15,1858591
2014-08-29,69.21,69.95,69.21,69.68,964751
2014-09-02,69.69,70,68.91,69.4,1065181
2014-09-03,69.74,72.35,69.65,71.66,3099736
2014-09-04,71.63,73.5,71.25,71.55,2439453
2014-09-05,71.45,72,70.42,71.47,1311750
2014-09-08,71.55,73.07,71.3,71.79,1418754
2014-09-09,71.66,72.47,70.73,70.895,1443084
2014-09-10,70.7,71.43,69.51,70.97,1622335
2014-09-11,70.67,71.64,70.3,71.62,1170707
2014-09-12,71.53,73.78,71.42,72.78,3085475
2014-09-15,72.64,72.98,69.8,69.92,2251713
2014-09-16,69.7,70.74,68.55,70.69,1547737
2014-09-17,70.99,72.42,70.94,71.69,1608795
2014-09-18,72.02,72.2,71.31,71.69,1185717
2014-09-19,71.89,72.33,70.16,70.87,2441324
2014-09-22,70.44,70.83,66.91,67.17,2706467
2014-09-23,66.93,69.2,66.93,67.75,1826990
2014-09-24,67.85,68.98,67.2,68.43,1596760
2014-09-25,68.47,68.5,66.86,67.2,1405055
2014-09-26,67.58,68.07,67.01,67.97,1033732
2014-09-29,66.87,67.86,66.18,67.51,1256339
2014-09-30,67.61,67.63,64.93,65.81,2340727
2014-10-01,65.82,65.87,63.25,63.71,1677077
2014-10-02,63.9,64.85,62.16,63.83,2240658
2014-10-03,64.47,65.07,63.87,64.1,1345443
2014-10-06,64.31,64.43,61.61,62.37,2401276
2014-10-07,62.21,62.22,60.39,60.42,2139430
2014-10-08,60.35,62.66,58.81,62.19,2680369
2014-10-09,61.34,61.5,56.47,56.49,5326494
2014-10-10,55.79,56.08,53.53,53.72,4531013
2014-10-13,53.91,54.73,50.36,50.51,4620460
2014-10-14,51.37,53.07,50.13,52,4162763
2014-10-15,50.76,53.82,50.51,53.24,4498120
2014-10-16,52.23,55.14,51.6,54.22,2546170
2014-10-17,55.39,55.98,52.75,53.23,2861134
2014-10-20,53.23,54.61,52.61,54.37,1910671
2014-10-21,55.15,56.6,54.93,56.35,2156265
2014-10-22,56.5,56.99,54.51,54.75,2487367
2014-10-23,55.31,56.86,55.11,56.27,2035771
2014-10-24,56.14,56.93,55.13,56.44,1442348
2014-10-27,56.01,56.01,53.97,54.29,2398812
2014-10-28,54.85,57.42,54.06,57.38,2794087
2014-10-29,57.44,58,55.27,56.16,1883186
2014-10-30,55.85,56.4,54.61,56.1,2017934
2014-10-31,57.4,58.97,56.6,58.9,2533632
2014-11-03,58.78,59.78,58.06,58.31,1848364
2014-11-04,57.93,58.41,56.81,56.87,1667461
2014-11-05,57.05,57.73,56.03,56.26,1818850
2014-11-06,56.45,57.35,55.8,56.41,3185187
2014-11-07,52.72,53.48,50,50.29,11163480
2014-11-10,50.79,52.6,50.7,51.96,4772723
2014-11-11,51.91,52.35,50.76,50.99,2187787
2014-11-12,51.1,51.39,49.18,49.59,3818672
2014-11-13,49.25,49.4,47.13,47.56,4233309
2014-11-14,47.31,48.66,45.94,48.49,3790814
2014-11-17,48.1,49.15,47.2,47.95,2503385
2014-11-18,48.41,49.68,48.25,49.46,2944397
2014-11-19,49.5,49.69,48.25,48.82,2017399
2014-11-20,48.51,49.91,47.88,49.43,1720057
