Date,Open,High,Low,Close,Volume
2016-07-06,28.5769,29.5062,28.1043,28.9887,11046383
2016-07-07,28.9107,29.1412,28.7451,28.9835,9037477
2016-07-08,29.1159,30.7273,28.8572,30.4768,6989563
2016-07-11,29.8769,31.1033,29.7343,31.0355,9756466
2016-07-12,30.9635,30.9992,30.5139,30.7034,9146354
2016-07-13,30.7034,31.0238,30.2522,30.7332,8012778
2016-07-14,30.5563,31.4125,30.3245,31.3075,5734608
2016-07-15,31.436,31.5159,30.7273,31.1033,6077559
2016-07-18,30.8239,31.3143,30.6663,31.1396,2565449
2016-07-19,30.9875,31.3017,30.6232,31.2952,3219499
2016-07-20,31.4735,31.5224,30.3606,30.5624,5520640
2016-07-21,30.5978,30.7332,30.3488,30.5011,5002499
2016-07-22,30.3555,30.5326,29.9254,29.9929,4036473
2016-07-25,29.882,30.0234,29.0555,29.7343,5015205
2016-07-26,29.4831,30.0049,29.3123,29.9195,2588305
2016-07-27,29.7959,30.0537,29.5744,29.6992,2682498
2016-07-28,29.59,29.8017,29.3521,29.5366,4814634
2016-07-29,29.4228,29.6273,29.1471,29.2696,7385818
2016-08-01,29.209,29.4524,28.893,29.0193,4910052
2016-08-02,28.8395,29.1537,28.6441,28.8395,5381645
2016-08-03,28.8395,30.0413,28.7481,29.9195,7757846
2016-08-04,30.109,30.4219,30.0413,30.3726,5018449
2016-08-05,30.5139,30.9508,30.5139,30.7093,4391023
2016-08-08,30.7391,30.8834,30.3185,30.3846,3486072
2016-08-09,29.5834,30.678,29.3985,30.6358,1775450
2016-08-10,30.6417,30.8417,30.4158,30.6291,1944957
2016-08-11,30.8001,32.0003,30.7823,31.9047,3282191
2016-08-12,31.5714,32.0993,31.4489,32.0003,2121165
2016-08-15,32.1467,32.6448,32.0925,32.5795,2401399
2016-08-16,32.5302,32.7531,32.34,32.5124,1650886
2016-08-17,32.5854,32.6202,32.3838,32.4277,1700305
2016-08-18,32.3104,32.4947,32.1348,32.2737,1440693
2016-08-19,32.1467,32.1467,31.3938,31.5224,1970148
2016-08-22,31.5224,31.5945,31.0112,31.1211,1781653
2016-08-23,31.1821,31.631,31.0482,31.5106,4140491
2016-08-24,31.1634,31.4801,30.765,31.2289,1139573
2016-08-25,31.1145,31.5463,30.9926,31.382,2277967
2016-08-26,31.3938,31.8199,31.3263,31.5335,1542200
2016-08-29,31.4801,32.0933,31.3447,31.862,1718667
2016-08-30,31.7284,32.508,31.7284,31.9826,1566143
2016-08-31,31.8994,32.1105,31.6126,32.0197,2720004
2016-09-01,32.1966,32.2881,31.6972,31.9953,1578065
2016-09-02,32.233,32.508,32.1045,32.4522,1383035
2016-09-06,32.525,32.5564,31.7909,32.0567,2128153
2016-09-07,31.8747,32.294,31.6242,32.1838,2867388
2016-09-08,32.0265,32.1966,31.7781,31.8141,1805766
2016-09-09,31.4735,31.6184,30.7317,30.7317,3537691
2016-09-12,30.4084,31.272,30.3103,31.1329,3046261
2016-09-13,30.9191,31.2474,30.3771,30.4203,2643544
2016-09-14,30.427,30.702,30.1801,30.4084,1895372
2016-09-15,30.3831,30.762,30.094,30.6959,2331192
2016-09-16,30.4627,30.6343,30.0457,30.5556,3868578
2016-09-19,30.647,31.2497,30.6285,30.8706,1594902
2016-09-20,30.8706,31.0541,30.5251,30.5488,1760763
2016-09-21,30.6832,31.0105,30.5311,30.9926,1399551
2016-09-22,31.2162,31.6073,31.1821,31.3938,2706216
2016-09-23,31.1882,31.3568,30.7935,30.9316,1327740
2016-09-26,30.7994,31.3017,30.5791,31.1389,1753898
2016-09-27,31.0661,31.4801,31.0355,31.3754,1967946
2016-09-28,31.4549,31.4735,31.2162,31.4428,1489727
2016-09-29,31.0601,31.3754,30.7874,30.8224,2367964
2016-09-30,31.0789,31.1694,30.5676,30.944,3197804
2016-10-03,30.7688,31.4058,30.7688,31.2415,2239522
2016-10-04,31.1634,31.278,30.7383,30.8884,1994862
2016-10-05,31.0172,31.1851,30.762,30.968,1454920
2016-10-06,30.9013,30.9875,30.702,30.8224,1251739
2016-10-07,30.702,30.8884,30.3162,30.3533,1746279
2016-10-10,30.537,30.5903,30.3349,30.3651,1679727
2016-10-11,30.3474,30.4937,29.7995,29.9232,2283552
2016-10-12,30.0339,30.0339,29.5752,29.7812,2659829
2016-10-13,29.5641,30.2027,29.1804,29.6777,1983502
2016-10-14,29.831,30.357,29.6717,30.07,1429489
2016-10-17,30.1314,30.1482,29.7329,29.825,1836603
2016-10-18,30.1861,30.5903,29.7871,29.8435,1886006
2016-10-19,29.9534,30.2715,29.4621,30.0279,1237790
2016-10-20,29.8739,29.8986,29.4495,29.6063,2334572
2016-10-21,29.3152,29.721,29.2599,29.5871,2805423
2016-10-24,29.7082,29.9474,29.4014,29.5157,2088376
2016-10-25,29.4861,29.4861,29.0952,29.1315,2099267
2016-10-26,29.0585,29.2538,28.9011,29.0401,2581656
2016-10-27,28.991,28.991,28.4574,28.8714,5171892
2016-10-28,30.537,31.4243,30.2324,30.5251,6526530
2016-10-31,30.5251,31.2162,30.4203,31.0355,2568914
2016-11-01,30.968,31.0172,30.3898,30.6959,2911705
2016-11-02,30.6707,31.096,30.5676,30.5903,1447161
2016-11-03,30.5734,31.1262,30.3898,30.9926,1882457
2016-11-04,31.0172,31.4058,30.7258,31.0728,2579573
2016-11-07,31.3508,31.6548,31.0259,31.486,2314141
2016-11-08,31.5403,32.0993,31.2289,32.0079,1914081
2016-11-09,31.6073,32.786,31.5551,32.5019,2753357
2016-11-10,32.7986,33.6413,32.6433,32.9508,2949686
2016-11-11,32.8825,33.2794,32.3913,32.4648,2322946
2016-11-14,32.7066,32.8641,32.5192,32.7183,4320067
2016-11-15,32.7928,33.1018,32.6403,32.9012,2801981
2016-11-16,32.7006,33.1054,32.653,33.0966,2522493
2016-11-17,33.0602,33.2304,32.78,33.1323,1534807
2016-11-18,33.1205,33.2854,32.8825,33.2118,1898011
2016-11-21,32.9808,33.5328,32.8282,33.333,2288577
2016-11-22,33.321,33.9461,33.2118,33.7047,2182230
2016-11-23,33.8516,34.0456,33.642,33.9654,1729858
2016-11-25,34.1363,34.1781,33.7536,34.0702,803779
2016-11-28,34.1363,34.2329,33.6735,33.839,1724790
2016-11-29,33.6979,34.0763,33.6073,33.6479,1770879
2016-11-30,33.8756,34.181,33.3582,33.4743,7716951
2016-12-01,33.5641,33.6073,32.8693,32.9859,5452360
2016-12-02,33.0469,33.499,32.8751,33.1636,4181643
2016-12-05,33.3396,33.4117,32.6083,32.8149,2306651
2016-12-06,32.8521,32.9434,32.5913,32.8693,3747800
2016-12-07,32.8693,33.1175,32.5124,33.0162,5397743
2016-12-08,33.0966,33.151,32.5272,32.6759,3619337
2016-12-09,32.5735,32.968,32.4574,32.8693,2367872
2016-12-12,32.7979,33.0966,32.7124,32.8641,2513846
2016-12-13,33.0409,33.145,32.4151,32.7793,4470677
2016-12-14,32.8031,33.6824,32.792,33.0229,2562236
2016-12-15,32.9986,33.6547,32.8276,33.3634,2580291
2016-12-16,33.394,33.4923,33.1137,33.3753,4347041
2016-12-19,33.3634,33.499,33.1084,33.4555,1920974
2016-12-20,33.6249,33.7595,33.3634,33.5097,1951453
2016-12-21,33.4616,33.4616,32.8216,32.9434,2396162
2016-12-22,32.9434,33.4683,32.6811,32.9249,2535349
2016-12-23,33.0721,33.333,32.7301,33.1813,857092
2016-12-27,33.3278,33.3813,32.9375,33.151,669438
2016-12-28,33.2728,33.2728,32.5489,32.7183,970889
2016-12-29,32.8641,32.9561,32.6209,32.8751,787656
2016-12-30,32.9926,33.1636,32.5005,32.6463,1158883
2017-01-03,32.8031,32.9823,32.2552,32.7066,2630288
2017-01-04,32.9434,33.1933,32.8521,33.0229,2443037
2017-01-05,33.0721,33.2974,32.6938,32.8342,2314490
2017-01-06,32.8088,32.9926,32.5005,32.792,2069947
2017-01-09,32.8818,32.9926,32.6209,32.7066,1221152
2017-01-10,32.7066,32.9191,32.5556,32.748,2154716
2017-01-11,32.7368,32.7979,32.421,32.6634,6064773
2017-01-12,32.5489,32.8031,32.4821,32.6693,3335162
2017-01-13,33.1137,33.5768,33.1137,33.333,2297895
2017-01-17,33.139,33.1933,32.6693,32.9501,2029737
2017-01-18,32.9375,33.1137,32.7793,32.9561,2211330
2017-01-19,33.0103,33.2854,32.8693,33.0349,1348863
2017-01-20,33.1263,33.2854,32.9986,33.1881,2893456
2017-01-23,33.0654,33.3634,32.6209,32.9375,2196491
2017-01-24,33.0596,33.4743,32.9241,33.2974,2791162
2017-01-25,33.4428,33.686,33.2974,33.5821,2884639
2017-01-26,33.4802,34.0763,33.333,33.9009,3776249
2017-01-27,33.9245,34.0889,33.8154,34.0456,2577039
2017-01-30,34.0456,34.0456,33.3278,33.7477,2580197
2017-01-31,33.6249,33.8095,33.4242,33.6675,2945163
2017-02-01,33.7655,33.8756,33.3604,33.5581,1905199
2017-02-02,33.3582,33.7848,33.1753,33.6073,3113404
2017-02-03,33.822,34.4836,33.5216,34.1013,2377834
2017-02-06,33.9068,34.0524,33.7909,33.9714,1445080
2017-02-07,34.0889,34.1603,33.822,33.8695,3118063
2017-02-08,33.4616,34.3251,33.408,34.1957,7603022
2017-02-09,34.1839,34.7873,34.1839,34.708,1853599
2017-02-10,34.8129,34.9533,34.5021,34.7873,2055501
2017-02-13,34.9771,35.3291,34.9286,35.0207,1951308
2017-02-14,35.0023,35.0207,34.647,34.873,1657088
2017-02-15,34.8432,35.1539,34.7451,35.0512,1678956
2017-02-16,35.0996,35.4513,34.5748,34.9352,1840642
2017-02-17,34.9465,35.1352,34.7755,35.1179,1481892
2017-02-21,35.1179,35.4579,35.0207,35.3835,2551547
2017-02-22,35.2065,35.4513,35.0744,35.1607,1543088
2017-02-23,35.3539,35.4393,34.8121,34.8967,1672531
2017-02-24,34.7934,35.2869,34.5733,35.2191,3030124
2017-02-27,35.13,35.2751,35.0259,35.1352,1462883
2017-02-28,35.1479,35.2811,34.9278,35.1352,2705329
2017-03-01,35.4824,36.1042,35.3955,35.9017,2356542
2017-03-02,35.9017,35.9632,35.5433,35.7321,3189231
2017-03-03,35.7203,35.8829,35.5746,35.7931,2360211
2017-03-06,35.5433,35.7506,35.3509,35.5492,2571474
2017-03-07,35.5746,35.6845,35.3539,35.4697,2731347
2017-03-08,35.4765,35.6347,35.3607,35.4513,2117605
2017-03-09,35.3955,35.6347,35.2447,35.3607,2146306
2017-03-10,35.5187,35.6845,35.3351,35.5373,2000330
2017-03-13,35.6229,35.9387,35.4013,35.8174,2581915
2017-03-14,35.6406,35.7447,35.5004,35.6845,1560473
2017-03-15,35.8234,36.4933,35.8234,36.3846,2927014
2017-03-16,36.4025,36.5177,36.2002,36.2686,2343221
2017-03-17,36.4025,36.4536,36.2256,36.311,3165622
2017-03-20,36.3239,36.4745,35.9327,35.9574,2408394
2017-03-21,36.1291,36.2442,35.5559,35.6593,3053794
2017-03-22,35.6593,35.8474,35.5247,35.6473,2725627
2017-03-23,35.5373,35.8593,35.5247,35.672,1730314
2017-03-24,36.6768,36.6768,35.9201,36.1467,2971823
2017-03-27,35.7871,36.1417,35.4393,36.0063,1547554
2017-03-28,35.9818,36.427,35.8049,36.3178,1341965
2017-03-29,36.4813,36.8172,36.2686,36.3534,2259462
2017-03-30,36.3966,36.5607,36.2316,36.3356,1896236
2017-03-31,36.3051,36.8111,36.1885,36.7013,2003152
2017-04-03,36.6641,36.9631,36.2872,36.6455,3147134
