Date,Open,High,Low,Close,Volume
2014-06-02,15.0725,15.0725,14.8018,14.9559,44505.399802505
2014-06-03,14.8215,14.865,14.5627,14.6931,24771.329228534
2014-06-04,14.6644,14.8166,14.5034,14.5953,25522.312937935
2014-06-05,14.6714,15.2552,14.5568,15.2088,56066.702919055
2014-06-06,15.2958,15.5231,15.1585,15.4519,34063.487498082
2014-06-09,15.2444,15.7335,15.2444,15.7266,22521.414422608
2014-06-10,15.7078,15.7147,15.4025,15.5419,15282.822118524
2014-06-11,15.3076,15.3076,14.9797,15.1871,37769.82488868
2014-06-12,14.7623,15.1071,14.7623,14.9797,15678.556121725
2014-06-13,15.2958,15.2978,14.865,14.9737,22965.729582213
2014-06-16,14.9283,15.3758,14.9283,15.2385,28626.446410617
2014-06-17,15.3818,15.5023,15.1871,15.3383,26256.090821108
2014-06-18,15.0271,15.5587,15.0271,15.3867,24928.205879419
2014-06-19,15.0844,15.2266,14.8215,14.9499,54724.648473415
2014-06-20,15.0508,15.5695,14.8838,15.197,133555.6715971
2014-06-23,15.2958,15.5635,15.0379,15.3254,20558.938125402
2014-06-24,15.2158,15.5635,14.9115,14.9737,47028.5836132
2014-06-25,14.9332,15.1684,14.8215,15.0923,28286.378315795
2014-06-26,15.274,15.274,14.9835,15.1288,9103.9062884847
2014-06-27,14.8492,15.193,14.8334,15.0784,107463.54217885
2014-06-30,15.1832,15.3008,14.9223,15.0617,25884.647396109
2014-07-01,15.1397,15.611,14.8719,15.3867,55831.893996439
2014-07-02,15.1526,15.6624,15.1456,15.3679,26611.340527307
2014-07-03,15.3818,15.5063,15.28,15.4272,17701.758864436
2014-07-07,15.274,15.3196,15.032,15.1397,33206.232509049
2014-07-08,15.1733,15.1733,14.8107,14.9895,25683.23801852
2014-07-09,15.0508,15.1832,14.8581,15.0271,16293.917436166
2014-07-10,14.7959,14.9559,14.7386,14.7386,19930.419414435
2014-07-11,14.6872,14.9499,14.6328,14.6773,18014.500058782
2014-07-14,14.8937,14.9559,14.6644,14.786,21034.628615183
2014-07-15,14.9283,14.9293,14.5953,14.6872,21347.369809529
2014-07-16,14.8334,14.8334,14.289,14.455,24195.440103671
2014-07-17,14.2989,14.4609,14.2989,14.3967,47590.303234112
2014-07-18,14.3216,14.8531,14.035,14.7386,95388.088490364
2014-07-21,14.6002,14.7089,14.3997,14.5726,16761.511066547
2014-07-22,14.6714,14.7959,14.5251,14.6714,33571.603289498
2014-07-23,14.6614,14.7672,14.5034,14.5686,21384.817784257
